StartTime: 2017-07-07 11:51:18.845
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
37.523	-0.2700	0.0327	0.9644	4.7607	-21.3013	-5.7373	5.0867	14.7876	149.6558	45.9000	126	-253	156	100815	0.43 
37.652	-0.1416	0.1392	0.9219	1.8921	2.2583	3.5400	5.5206	13.1726	149.1559	45.8900	128	-255	148	100815	0.43 
37.724	-0.2983	0.0732	0.9756	-5.2490	19.5923	3.4180	5.3119	14.9139	149.9799	45.9000	125	-254	154	100814	0.43 
37.863	-0.2847	0.0610	0.9658	0.4883	1.4038	-0.3662	5.2679	15.3369	149.9634	45.9000	127	-251	159	100814	0.43 
37.938	-0.3447	0.0054	0.9814	0.7935	-5.3101	4.5776	5.3229	15.4468	150.1392	45.9200	128	-253	156	100815	0.43 
38.078	-0.2300	0.0854	0.9263	0.3662	-0.8545	3.1128	5.3613	14.8206	149.8920	45.9200	126	-258	157	100814	0.43 
38.140	-0.2231	0.0571	0.9316	1.5869	6.5918	-10.4370	5.1306	15.2216	149.4965	45.9100	127	-252	158	100814	0.43 
38.267	-0.2988	0.1021	0.9829	0.9766	-1.5259	-6.1035	5.1691	15.4688	148.7659	45.9200	128	-253	164	100815	0.43 
38.334	-0.2593	0.1006	0.9497	-4.2725	7.3853	4.2725	5.1636	15.4907	148.8757	45.9400	130	-251	155	100815	0.43 
38.463	-0.3379	0.0908	0.9639	-1.0376	9.5215	-6.4697	4.4824	16.8475	148.8647	45.9600	130	-249	165	100814	0.43 
38.542	-0.2866	0.0688	0.9780	-1.4648	3.6621	-20.4468	4.0759	16.8365	147.6068	45.9600	134	-250	159	100814	0.43 
38.668	-0.2593	0.1001	0.9600	2.0142	4.8218	10.8032	4.2078	16.6168	147.1234	45.9700	136	-247	161	100814	0.43 
38.750	-0.3008	0.0986	0.9517	-4.0894	-1.6479	8.6670	4.2957	16.9025	148.0078	45.9700	133	-253	160	100814	0.43 
38.879	-0.2783	0.0752	0.9155	0.1221	-10.9863	-1.2207	4.1034	16.3641	148.2990	45.9700	135	-250	156	100814	0.43 
38.958	-0.3359	0.0664	0.9902	0.7935	4.5166	4.3335	4.4220	16.3586	148.5791	46.0000	133	-249	158	100814	0.43 
39.083	-0.2529	0.0220	0.9263	-3.1128	-11.9019	0.4883	4.2792	15.9467	148.7714	46.0000	133	-251	158	100814	0.43 
39.165	-0.2939	0.0723	0.9976	-1.7090	-2.3193	-2.6245	4.0430	15.7928	148.5901	46.0000	129	-251	157	100814	0.43 
39.285	-0.2510	0.0347	0.9375	-2.0142	0.9155	1.7090	3.6859	15.7269	148.3759	46.0000	130	-249	154	100814	0.43 
39.374	-0.2686	0.1001	0.9482	-3.6011	-6.0425	-5.3101	3.4991	15.2875	148.1287	46.0000	130	-251	156	100814	0.43 
39.497	-0.3159	0.0601	0.9766	2.4414	-5.1880	-4.8828	3.3783	14.8865	147.6343	45.9900	131	-249	153	100814	0.43 
39.582	-0.3613	0.1592	0.9854	5.0659	12.2681	-2.9297	3.4827	15.4523	146.8597	46.0000	132	-249	157	100814	0.43 
39.695	-0.2808	0.1060	0.9131	0.6104	1.7700	2.7466	3.5815	15.8533	146.8652	46.0000	135	-248	157	100814	0.43 
39.790	-0.2046	0.0610	0.9126	-0.6104	16.4185	5.3711	3.7463	16.4960	147.5684	46.0000	132	-249	157	100814	0.43 
39.909	-0.3018	-0.0166	0.9785	-2.3804	14.2212	-7.5073	3.5760	18.7866	147.5684	46.0100	139	-253	163	100814	0.43 
40.014	-0.3379	0.0913	0.9624	1.1597	4.0894	4.6997	3.2355	19.2865	146.5686	46.0200	138	-247	163	100814	0.43 
40.133	-0.4106	0.1074	0.9487	-4.1504	-11.5356	10.6812	3.1915	18.9075	146.9806	46.0100	138	-248	164	100814	0.43 
40.205	-0.2114	0.0688	0.8472	-3.5400	-18.0054	9.7046	3.1476	17.0178	148.2825	46.0400	136	-252	160	100814	0.43 
40.320	-0.0981	-0.0288	0.8359	2.8076	5.9814	0.3662	3.3124	16.3531	148.9856	46.0200	130	-255	155	100814	0.43 
40.411	-0.2554	0.0562	0.9009	-1.6479	2.9907	5.4321	3.3728	17.5452	148.9581	46.0200	132	-254	157	100814	0.43 
40.529	-0.3467	0.0850	0.9321	-1.6479	-0.3662	9.2773	3.5541	17.8638	149.5734	46.0300	133	-255	161	100814	0.43 
40.635	-0.3203	0.0562	0.9302	-1.2817	-0.3662	4.6997	3.5815	17.9407	150.1062	46.0500	128	-255	163	100814	0.43 
40.743	-0.3223	0.0938	0.9443	-0.9766	-0.1221	7.1411	3.7189	18.1110	150.4742	46.0500	127	-256	165	100814	0.43 
40.827	-0.3110	0.0845	0.9458	-4.5776	4.0894	10.8032	3.8892	18.0011	151.4520	46.0500	128	-260	159	100815	0.43 
40.943	-0.3633	0.0454	0.9819	-7.8125	-12.7563	4.0283	3.5925	17.7429	152.1277	46.0600	123	-258	159	100814	0.43 
41.035	-0.2451	-0.1860	0.8574	-7.2632	-8.1177	-24.9023	1.8402	16.6003	150.7050	46.0600	121	-259	156	100815	0.43 
41.147	-0.2939	0.1978	1.0576	-16.9678	3.4180	-14.0381	0.1758	16.6113	147.4310	46.0800	124	-248	155	100815	0.43 
41.246	-0.2085	-0.2300	0.9482	-24.4751	9.7046	10.1318	-2.2906	16.6772	148.4418	46.0800	126	-247	152	100815	0.43 
41.358	-0.2061	-0.0308	0.9805	0.6714	7.7515	-15.8081	-3.6804	17.0508	147.5464	46.0900	129	-243	153	100815	0.43 
41.454	-0.1655	-0.1099	1.0376	18.7988	12.3901	-7.5073	-3.1915	17.3969	146.3818	46.1000	130	-240	154	100815	0.43 
41.568	-0.4653	-0.3555	1.3291	8.3618	48.7061	-28.2593	-2.3181	18.5339	144.6680	46.1000	138	-244	159	100814	0.43 
41.716	-0.3477	0.0122	0.7573	8.7280	24.6582	40.0391	-2.7246	18.6658	144.1681	46.0800	141	-241	161	100814	0.43 
41.784	-0.2603	0.0698	0.9092	22.8882	4.7607	34.0576	0.4724	20.8411	148.0188	46.0600	136	-247	166	100815	0.43 
41.998	-0.2095	0.1436	0.5278	12.6953	16.6016	38.3911	4.4110	21.3135	151.4685	46.0500	130	-258	169	100815	0.43 
42.058	-0.3115	0.1982	0.8989	-0.7324	-11.2305	11.2305	5.5646	22.7197	153.6823	46.0600	129	-269	176	100815	0.43 
42.144	-0.2681	0.0142	1.4355	9.8267	10.6812	-11.1694	5.7129	21.8188	153.8635	46.0600	126	-275	177	100815	0.43 
42.194	-0.8320	-0.1455	0.8726	-8.0566	-27.0386	-10.0098	6.6962	22.7307	153.7372	46.0500	127	-275	180	100814	0.43 
42.332	-0.5049	0.1631	0.9141	-21.7896	-24.7803	-28.2593	2.9279	23.4943	148.1561	46.0500	136	-263	179	100814	0.43 
42.398	-0.2432	-0.0454	0.4824	-17.3340	-3.1128	-2.0142	0.0000	21.9067	146.6785	46.0300	137	-254	170	100813	0.43 
42.557	-0.2144	-0.1152	0.9326	-2.3193	-16.3574	-22.0947	-1.6205	20.8246	145.3436	46.0400	137	-252	161	100813	0.43 
42.630	-0.2788	0.1641	0.8213	4.8218	-3.9673	3.6011	-1.8512	19.5447	143.4869	46.0400	136	-246	162	100813	0.43 
42.746	-0.5366	0.1016	1.0005	19.1040	-11.0474	12.7563	-1.3953	20.5005	144.7394	46.0300	137	-248	163	100812	0.43 
42.814	-0.1245	0.0239	0.4023	31.5552	0.7324	-2.4414	1.7194	19.3634	145.6732	46.0200	133	-251	159	100812	0.43 
42.953	-0.3555	0.1426	0.7949	4.4556	27.8931	7.8125	3.9056	22.0386	146.0962	46.0000	139	-256	168	100811	0.43 
43.021	-0.3569	0.0259	1.1509	10.0098	-3.6621	21.0571	5.3064	23.0109	148.1671	46.0400	140	-259	173	100811	0.43 
43.148	-0.5605	0.2876	0.7964	5.5542	-8.6060	-19.7144	6.0919	22.5659	147.7716	46.0100	138	-266	179	100811	0.43 
43.224	-0.4106	0.1865	0.9189	-14.0381	-11.7188	-39.6118	5.5920	22.6318	144.8108	46.0200	143	-258	180	100810	0.43 
43.339	-0.2808	0.0786	0.5615	-41.3818	-20.4468	25.5737	3.2245	21.1926	145.1788	46.0300	140	-253	173	100810	0.43 
43.444	-0.3179	-0.0640	0.7051	-21.4233	8.2397	8.3008	-0.3625	21.4288	146.3104	46.0200	137	-253	166	100810	0.43 
43.563	-0.2129	-0.0054	1.0278	-3.6621	-16.2964	4.3335	-1.6315	19.7424	146.6840	46.0200	133	-256	158	100810	0.43 
43.635	-0.3687	-0.1836	1.1943	-0.3662	-4.3335	-0.7324	-2.6422	18.6383	146.4258	46.0400	128	-256	153	100809	0.43 
43.752	-0.2080	0.3174	0.4375	7.3242	-41.6260	23.8647	-3.1531	18.4845	145.5798	46.0300	130	-247	151	100809	0.43 
43.859	-0.2861	0.1338	0.7676	40.7104	-8.7891	0.3662	-0.9229	19.0283	145.8215	46.0100	130	-252	152	100808	0.43 
43.968	-0.3584	0.0469	0.8154	18.1885	16.4185	-0.9766	2.5488	19.3634	146.4423	46.0000	127	-255	157	100808	0.43 
44.068	-0.2993	0.1162	0.9902	1.4038	-13.6719	12.5732	4.1309	18.8800	147.3102	46.0000	133	-259	163	100807	0.43 
44.190	-0.2231	0.0366	0.9165	14.4043	19.7754	5.6152	5.1910	17.5342	148.5297	46.0000	130	-263	164	100807	0.43 
44.260	-0.4180	-0.0776	0.6523	-7.0190	-22.8882	4.2114	7.2070	20.9125	149.8755	46.0000	128	-266	172	100806	0.43 
44.373	-0.4863	0.0259	0.8916	-31.8604	-17.7612	18.6157	5.0812	22.6263	150.4797	46.0000	129	-270	176	100806	0.43 
44.484	-0.2739	-0.1045	0.5479	-18.2495	-10.9863	8.1177	2.7356	21.1157	151.4740	45.9900	124	-267	170	100806	0.43 
44.598	-0.2095	-0.0928	0.7441	8.5449	-6.1646	4.5776	1.7358	20.2478	151.5674	46.0000	119	-267	163	100806	0.43 
44.691	-0.1616	0.1904	1.0166	9.4604	-18.3105	-8.2397	3.0267	18.8251	150.8368	46.0000	118	-270	163	100805	0.43 
44.789	-0.3784	0.0259	1.2368	-7.6904	19.9585	-11.1084	2.6807	18.9294	150.3534	45.9900	119	-270	162	100805	0.43 
44.899	-0.2690	-0.0322	0.7817	9.5215	6.8970	34.6069	2.2577	19.6216	150.9082	46.0100	121	-266	161	100805	0.43 
45.016	-0.2266	0.1035	0.5293	30.0293	-1.1597	-17.5781	4.2352	19.8468	150.4962	45.9900	119	-273	166	100805	0.43 
45.107	-0.2910	0.3286	0.6787	11.8408	0.4883	-2.6855	6.5533	21.4563	149.4141	45.9800	124	-270	171	100805	0.43 
45.203	-0.3755	0.0845	0.9829	2.8076	5.5542	-8.7280	6.9489	22.2858	149.8370	45.9900	126	-272	175	100804	0.43 
45.315	-0.4443	0.3223	1.2544	9.4604	-19.8975	-5.3711	7.9321	22.4451	149.2383	46.0000	130	-269	182	100804	0.43 
45.418	-0.2964	-0.3379	0.5239	-3.1738	-72.9980	-4.5776	9.0747	20.7697	149.8425	45.9800	126	-276	179	100804	0.43 
45.620	-0.3110	0.2202	0.7275	-23.8647	-11.4746	-0.1831	5.8008	20.4236	145.6622	45.9800	123	-264	177	100804	0.43 
45.683	-0.2749	-0.1992	0.6265	-21.9116	8.0566	-6.8970	2.7136	20.2972	145.2557	45.9900	130	-260	170	100804	0.43 
45.805	-0.2813	0.0034	1.0493	-1.5259	-6.0425	-4.9438	1.1975	20.1544	144.1846	45.9800	128	-258	166	100803	0.43 
45.866	-0.2744	-0.0498	1.2661	-11.3525	8.2397	-12.4512	-0.3900	19.4788	143.0365	45.9900	129	-256	160	100803	0.44 
46.026	-0.7754	-0.0078	1.1255	-18.1274	11.5967	6.6528	-1.4063	21.4124	143.2562	46.0000	134	-253	164	100803	0.44 
46.099	-0.4937	-0.0176	0.8477	13.2446	26.1230	9.8877	-0.2856	24.2688	144.3109	45.9800	136	-254	167	100802	0.44 
46.202	-0.2339	0.2939	0.5474	15.3809	7.8735	18.3716	3.2520	25.2191	146.0687	45.9900	139	-263	179	100802	0.44 
46.251	-0.4604	0.1147	1.0049	6.5918	-1.8921	9.7656	4.7131	26.2628	147.6947	45.9900	133	-266	186	100802	0.44 
46.436	-0.3652	0.0249	1.0059	6.6528	9.9487	19.8364	6.0425	25.3400	149.5184	45.9800	132	-271	187	100802	0.44 
46.516	-0.8149	0.4883	1.2251	11.9019	9.0942	5.0049	6.9269	24.6149	149.5404	46.0000	127	-272	189	100801	0.44 
46.632	-0.6738	0.2275	1.0913	-2.9297	12.2070	-49.9268	5.4877	24.7083	146.6730	45.9800	130	-270	189	100801	0.44 
46.702	-0.2529	-0.1084	0.5581	-27.2217	-12.5122	1.2817	3.7628	22.8406	146.2555	45.9700	131	-267	184	100801	0.44 
46.848	-0.2178	-0.0483	0.6333	17.0898	-28.0151	-31.6162	1.7578	21.8024	143.9813	45.9900	127	-263	178	100800	0.44 
46.919	-0.4121	-0.0229	1.1895	-13.9160	-23.2544	4.8218	1.0602	21.3245	142.2125	45.9800	132	-257	172	100800	0.44 
47.009	-0.2490	-0.1021	0.8408	11.7798	-39.4287	-11.6577	0.3131	18.6823	142.0422	45.9900	131	-254	173	100800	0.44 
47.079	-0.2397	0.0688	0.6655	-0.8545	-33.9966	19.3481	0.0934	20.1434	140.8777	45.9900	135	-254	170	100799	0.44 
47.262	-0.3110	0.3569	0.6621	38.5132	-7.7515	11.3525	1.1646	21.5826	139.8065	45.9500	137	-254	176	100799	0.44 
47.331	-0.4321	-0.0513	0.8877	7.5684	10.6201	19.7144	5.1361	21.5387	143.0914	45.9700	137	-263	182	100799	0.44 
47.451	-0.3667	0.0273	0.9473	0.0610	-3.9063	22.5220	6.2787	21.0168	145.2887	45.9600	130	-267	185	100799	0.44 
47.519	-0.2871	0.1152	1.2593	-0.4272	11.1694	14.3433	7.8113	20.5115	148.4363	45.9700	127	-277	188	100798	0.44 
47.662	-0.7026	-0.0854	1.2026	-6.8970	9.8877	16.7847	7.7344	21.8573	150.2655	45.9700	123	-279	191	100799	0.44 
47.726	-0.5786	0.1279	1.0244	-22.3389	-9.3994	-17.9443	5.4053	23.3899	147.6233	45.9400	122	-277	196	100798	0.44 
47.871	-0.1494	-0.0356	0.4482	-27.4658	-4.2114	4.4556	2.7686	21.2585	147.3981	45.9400	128	-273	186	100799	0.44 
47.956	-0.2827	-0.0415	0.8169	-7.6904	3.0518	3.9673	0.4120	21.7914	146.9696	45.9600	129	-268	181	100798	0.44 
48.026	-0.2373	0.1338	1.2334	-5.7373	-3.9673	-15.1367	-0.3131	21.0114	146.3983	45.9600	130	-270	179	100798	0.44 
48.135	-0.7729	-0.2358	1.0703	-14.6484	29.4800	25.5127	-0.5273	21.8243	147.8046	45.9500	130	-266	176	100797	0.44 
48.261	-0.3882	-0.0005	0.8857	17.4561	18.6768	46.0205	0.9283	20.9509	151.4026	45.9600	123	-272	174	100797	0.44 
48.337	-0.2192	0.0659	0.5264	11.9019	-11.1694	48.5229	4.1144	20.5994	155.7422	45.9600	113	-283	179	100797	0.44 
48.449	-0.3086	0.0771	0.7891	5.4321	1.3428	12.1460	5.6744	20.7751	158.4668	45.9600	105	-294	182	100796	0.44 
48.529	-0.3062	0.1147	0.9575	5.8594	8.9722	13.1226	6.7566	20.9454	159.5929	45.9700	98	-300	182	100796	0.44 
48.693	0.0059	0.4624	0.9443	-10.0708	26.6113	29.0527	8.3221	21.1707	161.8121	45.9600	97	-301	184	100796	0.44 
48.749	-0.7920	0.2783	1.4268	7.8125	23.4375	11.1084	8.9594	26.4276	163.9435	45.9900	96	-303	199	100796	0.44 
48.865	-0.5732	0.0347	0.9243	-49.3164	-9.8877	4.8218	6.9324	26.1310	163.6029	45.9500	97	-304	195	100795	0.44 
48.946	-0.2686	0.0410	0.5117	-34.0576	-20.2637	25.0244	3.7573	24.0656	164.8059	45.9500	93	-302	180	100795	0.44 
49.057	-0.4600	0.0581	0.9268	-11.5356	-1.5869	7.9956	1.7523	23.7415	165.4871	45.9500	85	-305	172	100795	0.44 
49.153	-0.0537	0.0142	0.8076	-9.8877	-27.2217	27.5879	1.3568	20.8191	166.8658	45.9400	78	-302	165	100794	0.44 
49.301	-0.3511	0.2432	1.2251	-19.0430	7.9956	44.2505	1.2744	20.9125	169.7552	45.9500	71	-303	161	100794	0.44 
49.364	-0.8110	0.3916	1.3203	-34.7290	12.1460	73.8525	1.9885	19.6545	176.2592	45.9700	56	-310	157	100794	0.44 
49.478	-0.3569	-0.0337	0.3320	-22.9492	11.1694	130.8594	1.4392	19.6271	-174.8914	45.9800	33	-312	146	100794	0.44 
