39 steps
StartTime: 2017-07-11 11:44:32.425
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
14.441	-1.1040	0.0425	1.8755	-1.3428	-2.9297	4.0283	2.0105	30.4926	142.2894	42.9000	99	-283	295	100908	0.35 
14.598	-1.1118	0.0244	1.8701	-5.1880	-0.4272	4.3335	1.9556	30.3772	142.7673	42.9100	94	-281	290	100908	0.35 
14.629	-1.1304	-0.0972	1.8306	-7.4463	1.4648	-15.6860	0.8569	30.4376	142.2510	42.9100	95	-279	292	100908	0.35 
14.707	-1.0425	0.0205	2.0483	7.5684	-3.6011	-18.1274	-0.1483	30.5969	139.8395	42.9300	99	-273	290	100908	0.35 
14.832	-0.9912	-0.0239	1.8354	-8.0566	-9.9487	-4.8218	-0.9393	28.8556	138.7738	42.9200	100	-269	284	100908	0.35 
14.911	-1.0347	-0.0801	1.8643	-1.1597	1.8921	-11.2305	-1.6095	28.6798	138.3893	42.9200	96	-268	279	100909	0.35 
15.040	-0.9561	-0.0215	1.8467	2.4414	0.9155	-4.4556	-2.0215	28.4161	137.3840	42.9500	98	-266	280	100909	0.35 
15.118	-0.9395	-0.0151	1.8677	2.2583	-0.5493	2.6855	-1.6864	28.6249	137.4390	42.9400	100	-265	281	100908	0.35 
15.290	-0.9189	-0.0176	1.8950	5.3101	2.9907	16.2964	-0.8459	28.6249	138.5760	42.9400	97	-268	282	100909	0.35 
15.431	-0.8965	-0.0464	1.7891	-0.2441	13.4888	51.5747	1.4886	28.5370	142.7563	42.9500	86	-277	282	100909	0.35 
15.462	-0.9819	0.1758	1.5718	16.2354	-12.1460	-14.2212	0.7306	30.9155	142.4817	42.9500	84	-284	287	100909	0.35 
15.618	-1.3804	-0.1147	2.0605	1.1597	4.5166	11.7188	3.2300	33.8599	146.6675	42.9400	81	-289	294	100909	0.35 
15.681	-1.2212	0.1899	1.8364	18.9209	-9.7046	-10.9863	4.0100	32.9755	145.3436	42.9400	78	-292	296	100909	0.35 
15.861	-1.1826	0.1099	1.8525	-2.5024	-16.4795	9.4604	4.4220	31.6846	145.4755	42.9300	76	-293	297	100908	0.35 
15.885	-1.2192	-0.0620	1.7100	4.1504	4.6997	10.3760	4.7900	30.5804	146.7279	42.9200	63	-295	290	100908	0.35 
16.057	-1.1006	0.1836	1.8721	9.0942	-15.4419	-44.4336	3.6639	31.6516	143.9813	42.9100	66	-296	296	100908	0.35 
16.104	-1.1240	0.1528	1.8530	3.2349	-6.2866	-27.4658	3.1915	30.9814	141.7291	42.9200	72	-290	292	100908	0.35 
16.244	-1.0815	0.1523	1.8643	-2.7466	-13.9771	-9.8267	1.9995	30.2454	139.6527	42.9400	78	-289	290	100908	0.35 
16.307	-1.1899	0.0723	1.9043	2.9907	1.1597	-5.7983	1.7249	29.7070	139.1583	42.9200	80	-281	289	100908	0.35 
16.479	-1.0625	0.1714	1.8379	3.9673	8.7280	-11.7798	1.8732	30.3113	138.7299	42.9300	80	-276	287	100907	0.35 
16.541	-1.1431	0.0854	1.9229	-2.6245	5.0659	-3.8452	1.7139	31.0913	138.3289	42.9200	84	-273	293	100907	0.35 
16.666	-1.1460	-0.1104	1.8433	-10.7422	10.6812	-11.4136	0.5273	31.7285	137.9114	42.9400	83	-269	289	100907	0.35 
16.713	-1.1206	0.0796	1.9780	-10.6812	3.5400	-8.6670	-1.2524	32.5195	136.0657	42.9500	90	-266	292	100908	0.35 
16.885	-1.0928	-0.0913	1.8345	-23.4375	6.0425	8.9111	-2.5708	32.6404	137.1094	42.9600	88	-260	292	100907	0.35 
16.948	-1.0635	-0.1064	1.8477	-11.3525	8.3618	-0.1831	-3.8342	33.1787	137.8235	42.9600	86	-257	287	100908	0.35 
17.089	-1.0571	-0.1035	1.8599	-2.1362	10.1929	1.8311	-4.5428	33.7555	137.4719	42.9600	89	-249	288	100908	0.35 
17.151	-1.0410	-0.1074	1.8979	0.4883	8.5449	10.2539	-4.0210	34.1949	137.9663	42.9400	88	-252	288	100908	0.35 
17.292	-0.9985	-0.0186	2.1641	2.9297	0.6714	4.3335	-3.2300	33.9478	138.4991	42.9700	86	-252	290	100908	0.35 
17.510	-1.2886	0.1187	1.7734	11.5967	-21.9727	-15.2588	-3.9221	33.6237	137.5269	42.9600	85	-252	289	100908	0.35 
17.557	-1.4595	-0.1289	2.0264	9.8267	0.9766	23.1323	-1.0767	33.9093	141.4600	42.9600	76	-257	289	100908	0.35 
17.667	-1.2051	0.1230	1.7612	26.2451	-9.6436	-13.5498	0.7745	32.8821	140.2899	42.9500	72	-259	290	100909	0.35 
17.698	-1.1187	0.1577	1.8188	6.4697	-1.8311	-11.4136	1.6095	32.5854	138.6804	42.9700	72	-257	295	100908	0.35 
17.879	-1.0308	0.0210	1.8613	-13.2446	1.3428	-20.0195	0.5054	32.4042	137.5708	42.9700	77	-251	297	100908	0.35 
17.923	-0.9819	0.0391	2.0195	-3.4180	-22.2778	-24.2310	-1.0931	31.2836	135.5438	42.9900	76	-246	295	100908	0.35 
18.079	-1.5200	0.2402	1.9043	13.1226	-5.6763	-38.6353	-2.7795	30.6793	131.3141	42.9700	78	-237	294	100908	0.35 
18.110	-1.2427	0.2183	1.8804	-3.4790	3.7231	-14.4043	-3.3948	30.9320	128.6829	42.9900	86	-226	299	100908	0.35 
18.282	-1.0776	-0.1729	1.7324	-17.3950	-10.5591	28.4424	-3.3673	30.2344	131.9733	42.9800	88	-223	297	100908	0.35 
18.329	-1.0200	-0.0845	1.8008	-1.8311	-4.2725	8.1177	-3.2245	30.0201	133.8574	42.9800	79	-225	294	100909	0.35 
18.532	-1.0513	0.0571	2.0205	4.3335	-2.6245	11.5967	-2.1753	29.5862	135.0220	42.9800	78	-228	289	100909	0.35 
18.641	-1.1196	0.2065	2.3032	-7.9346	17.9443	34.5459	-0.3571	29.2456	138.3179	42.9800	72	-232	289	100908	0.35 
18.704	-0.9932	0.1582	1.3584	-1.9531	7.5684	44.4336	-0.2252	28.4985	141.9928	42.9700	65	-235	285	100908	0.35 
18.751	-1.1060	-0.0562	1.6538	34.4849	-26.7944	-16.6016	1.7578	29.3829	143.7067	42.9900	58	-241	291	100908	0.35 
18.945	-1.0278	0.2085	1.6792	15.8081	-1.6479	-20.5688	3.2410	29.1742	141.0205	42.9700	62	-243	292	100908	0.35 
19.054	-0.9473	0.0283	1.7290	-7.4463	17.7612	-23.0713	2.7466	30.5145	139.5319	42.9900	66	-239	299	100908	0.35 
19.085	-0.9961	0.1079	2.1299	1.6479	-13.1226	-54.1382	-0.1428	31.3165	135.0165	42.9900	75	-235	302	100908	0.35 
19.179	-1.4927	0.3032	1.8213	16.0522	-18.7988	-16.4795	-1.5051	31.0254	130.7153	42.9600	86	-220	305	100908	0.35 
19.335	-1.3223	0.4009	2.0845	-5.3101	-14.0381	-1.6479	-1.3953	31.0803	129.7870	42.9700	89	-213	307	100908	0.35 
19.382	-1.0474	-0.0796	1.7422	-18.4937	-13.6108	50.3540	-0.4944	29.2346	135.2417	42.9800	83	-218	300	100908	0.35 
