StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
55.681	-1.1201	-0.0361	1.8730	-0.3052	-0.8545	-0.7324	-1.1865	30.2893	64.0009	45.4500	-91	15	225	100648	0.56 
55.728	-1.1313	-0.0361	1.8765	0.0000	-2.1973	-0.6714	-1.2360	30.2289	63.6328	45.4600	-94	16	224	100649	0.56 
55.775	-1.1025	0.0000	1.7329	-10.1929	-7.5073	-9.7656	-1.0547	31.7560	67.6373	45.4600	-76	14	225	100651	0.56 
55.854	-1.7554	-0.2539	2.5195	18.7988	4.5166	-38.1470	-2.1368	31.5802	65.7367	45.4600	-80	12	229	100651	0.56 
55.900	-0.9282	-0.0239	2.0742	-13.0005	2.7466	-16.9067	-2.6312	28.8226	64.1107	45.4600	-89	11	225	100651	0.56 
55.963	-0.8848	-0.0889	1.5410	-9.1553	1.6479	2.6855	-3.3014	28.4216	63.3417	45.4400	-95	13	227	100651	0.56 
56.057	-0.9189	-0.2241	1.6777	3.8452	-9.7656	8.3618	-3.2904	28.0316	62.8967	45.4400	-95	12	234	100651	0.56 
56.103	-1.0483	-0.1064	1.8242	9.3994	13.5498	-3.1738	-2.6312	28.9819	62.4792	45.4400	-96	3	229	100651	0.56 
56.353	-1.0322	-0.1890	1.9609	-0.3052	-8.6670	-3.5400	-2.0929	29.8114	62.9407	45.4500	-92	0	225	100651	0.56 
56.447	-1.4722	0.0483	2.0474	-15.1978	9.1553	6.4087	-3.1146	30.4102	62.7814	45.4400	-96	0	227	100652	0.56 
56.479	-1.1729	-0.1011	1.9658	11.7188	8.0566	-6.7749	-3.0597	31.6901	64.4678	45.4500	-91	0	229	100652	0.56 
56.525	-1.1133	0.1304	1.7832	7.8125	6.2866	9.3384	-1.5161	32.5854	66.3135	45.4500	-91	0	228	100653	0.56 
56.666	-0.9766	-0.0322	1.7251	-9.3994	-22.7051	-14.6484	-0.9558	32.0691	68.8074	45.4600	-83	-2	228	100654	0.56 
56.713	-1.0654	0.0879	1.6597	-7.3242	-3.7231	-8.3008	-2.5708	30.0751	69.2578	45.4700	-94	0	233	100654	0.56 
56.853	-1.6592	-0.1216	2.3403	16.5405	-13.1226	5.4321	-2.5378	30.0751	69.6149	45.4600	-100	-3	232	100654	0.56 
