StartTime: 2017-07-07 14:39:13.815
12 steps
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
318.129	-1.0889	-0.0444	1.8740	-0.3662	-0.4883	-0.7935	-1.4502	29.1577	165.8496	45.7200	-51	-303	241	100665	0.55 
318.192	-1.0815	-0.0483	1.8677	-0.4883	0.1221	-0.4883	-1.5326	29.2017	165.7233	45.7300	-51	-306	238	100664	0.55 
318.254	-1.0898	-0.0503	1.8711	-0.3662	0.6714	-0.5493	-1.6040	29.3665	165.6189	45.7100	-50	-305	238	100664	0.55 
318.317	-1.0845	-0.0537	1.8687	-0.4272	0.2441	-0.3662	-1.6315	29.4598	165.5530	45.7300	-52	-303	239	100664	0.55 
318.396	-1.0962	-0.0420	1.8711	-0.3052	1.3428	0.3662	-1.6754	29.6246	165.4651	45.7200	-49	-302	236	100665	0.55 
318.506	-1.0845	-0.0581	1.8687	-0.7935	0.0000	1.2207	-1.5820	29.7455	165.6299	45.7300	-45	-302	236	100664	0.55 
318.584	-1.0947	-0.0508	1.8745	-0.3662	-1.5259	0.0610	-1.5930	29.7345	165.5695	45.7200	-45	-305	240	100664	0.55 
318.725	-1.0918	-0.0532	1.8750	-0.5493	0.7935	0.1831	-1.6425	29.7510	165.4761	45.7200	-48	-303	240	100664	0.55 
318.818	-1.1001	-0.0610	1.8740	-0.3662	0.7935	0.6104	-1.6315	29.9487	165.4816	45.7300	-46	-301	238	100664	0.55 
318.928	-1.0703	-0.0620	1.8750	0.0000	3.3569	-2.2583	-1.7084	30.1025	165.2893	45.7300	-43	-304	237	100664	0.55 
319.022	-1.0732	-0.0684	1.8735	0.0000	8.2397	-3.3569	-1.8951	30.6628	164.8608	45.7200	-44	-304	239	100665	0.55 
319.131	-1.0664	-0.1079	1.8682	-0.1831	13.3057	-3.2959	-2.1039	31.6406	164.3665	45.7300	-40	-304	241	100665	0.55 
319.209	-1.1304	-0.0444	1.8770	1.4648	12.1460	4.9438	-2.0490	32.8821	164.0039	45.7400	-34	-304	245	100665	0.55 
319.365	-1.1567	0.0161	1.7471	-8.3618	8.6060	21.0571	-1.4447	33.6566	165.1685	45.7500	-34	-306	241	100665	0.55 
319.444	-1.1772	-0.0190	1.9370	-1.6479	6.5308	22.0337	-0.8350	34.9036	167.4097	45.7200	-36	-307	244	100666	0.55 
319.553	-1.1074	-0.0479	1.8853	12.7563	-0.9766	13.6719	0.8240	34.7882	169.2609	45.7400	-41	-314	244	100666	0.55 
319.662	-1.0532	0.1196	1.5859	2.6855	-3.2349	11.2915	3.0432	34.1730	170.7166	45.7300	-45	-315	246	100666	0.55 
319.772	-0.9688	0.0303	1.6694	-10.3760	-6.3477	-8.6670	2.2687	32.8656	170.2222	45.7400	-51	-319	247	100666	0.55 
319.865	-1.3247	-0.0923	1.7417	-0.3662	19.1040	-7.3853	1.5326	33.3490	169.2828	45.7500	-52	-325	243	100666	0.55 
320.069	-0.7993	-0.1494	1.8525	-4.2725	-33.0200	13.4888	2.4115	31.6846	168.9368	45.7600	-51	-320	244	100666	0.55 
320.194	-0.8896	-0.2026	1.6270	-12.2070	2.6855	-15.8691	0.5603	31.1243	168.2227	45.7400	-59	-320	243	100666	0.55 
320.225	-0.8921	-0.0488	1.5532	0.1221	-20.9351	23.4375	0.3461	31.1078	168.1073	45.7300	-54	-322	239	100666	0.55 
320.272	-1.1611	-0.1636	1.7695	-4.6387	-3.6621	6.9580	0.9174	30.2234	170.0903	45.7500	-68	-322	238	100667	0.55 
320.382	-1.1846	0.0332	2.1025	-3.4790	-28.5034	0.3052	-0.1208	30.1685	170.9308	45.7400	-74	-320	232	100667	0.55 
320.475	-0.9307	0.0981	1.5713	16.4185	-9.2773	11.5356	0.2911	29.5642	172.1722	45.7400	-78	-322	230	100668	0.55 
320.600	-1.1406	-0.0098	1.8521	-2.0752	-5.3711	13.8550	2.4005	30.7507	175.7977	45.7400	-87	-324	226	100668	0.55 
320.679	-0.9907	0.0913	1.5986	-4.1504	-8.1787	-20.0195	1.3129	29.1577	174.0509	45.7200	-92	-325	226	100668	0.55 
320.803	-1.6650	-0.3345	2.1440	15.3809	15.8081	-44.0674	0.3516	29.9377	171.3373	45.7300	-89	-321	228	100668	0.55 
320.897	-0.9336	0.0088	2.2363	-10.1318	9.5825	-12.0239	0.0385	28.6688	169.4421	45.7300	-78	-319	228	100669	0.55 
320.991	-0.8589	-0.1982	1.5342	-10.1318	3.9673	-10.3760	-0.8185	27.8998	170.2277	45.7100	-79	-319	224	100669	0.55 
321.100	-0.9131	-0.1563	1.5732	7.3242	-11.2305	6.6528	-1.3843	28.5370	169.2499	45.7000	-75	-314	222	100670	0.55 
321.209	-1.1699	-0.1885	1.5938	4.8828	14.5264	0.4272	-0.5493	28.7292	169.8102	45.7000	-73	-311	224	100670	0.55 
321.366	-1.2524	-0.1216	2.3267	9.7656	-29.6631	0.7324	-0.6757	29.9817	171.0022	45.6900	-73	-310	221	100670	0.55 
321.428	-1.1709	0.0210	1.9238	-3.6621	-15.8081	-6.1646	-0.2911	28.2733	172.1173	45.6600	-76	-311	221	100671	0.55 
321.506	-1.0688	-0.0269	1.8076	-3.2959	-1.5259	-11.7188	-0.0330	28.5864	172.4139	45.6500	-79	-308	217	100671	0.54 
321.647	-0.9907	0.1328	1.6450	-4.6997	-1.7700	-4.5166	-1.1041	27.4548	170.4749	45.6400	-74	-307	215	100672	0.54 
321.725	-1.7700	-0.0747	2.4170	20.6909	-19.1040	15.5640	-0.6042	28.0591	169.6399	45.6400	-69	-303	214	100672	0.54 
321.834	-1.3340	0.1157	2.1724	5.3101	-17.3950	-2.5024	-0.9998	26.7462	169.7717	45.6300	-74	-303	213	100673	0.54 
321.929	-1.0659	-0.0483	1.8452	-7.2632	36.9873	-11.1084	-2.8290	28.1360	169.0906	45.6200	-74	-299	214	100673	0.54 
322.069	-0.9038	-0.2354	1.6914	3.0518	-4.8828	21.8506	-2.6038	29.7345	169.9530	45.6000	-65	-299	211	100674	0.54 
322.209	-1.1079	-0.0815	1.6719	7.0801	10.8032	-5.6763	-2.1753	29.7345	169.9969	45.5900	-64	-299	210	100674	0.54 
322.256	-1.1528	0.1328	1.9902	10.9863	-10.3149	17.3950	-1.5601	30.3827	170.4474	45.5800	-63	-300	213	100675	0.54 
322.366	-0.9609	0.0991	1.7300	11.4746	3.6621	18.7378	0.0714	30.2014	172.0789	45.6000	-65	-304	217	100674	0.54 
322.663	-1.0571	-0.0635	1.8286	0.1221	-7.2021	-5.7983	1.5710	31.3879	173.9575	45.5900	-68	-302	218	100675	0.54 
322.741	-1.0786	0.2139	1.8022	-6.9580	-3.5400	-8.5449	0.1978	30.5750	171.7273	45.5800	-70	-305	221	100675	0.54 
322.803	-1.5083	-0.2642	2.1675	7.3242	-12.2070	-13.9771	-0.1923	30.4431	170.5957	45.5800	-66	-299	218	100675	0.54 
322.850	-1.2959	0.0171	2.4019	-4.2114	2.2583	-26.9775	-2.5763	29.7070	166.4813	45.5800	-65	-302	221	100675	0.54 
322.928	-1.0742	-0.0435	1.8569	-3.3569	25.5737	-18.3716	-4.8450	30.2509	163.8666	45.5600	-57	-295	217	100675	0.54 
323.007	-0.9546	-0.2100	1.7085	-1.4038	-8.1177	28.9307	-3.8123	30.1630	165.7397	45.5700	-54	-295	220	100676	0.54 
323.194	-1.4077	0.3682	2.0356	-16.4185	14.5264	55.1147	-2.7686	30.7288	168.9093	45.5700	-64	-295	219	100676	0.54 
323.210	-1.0605	-0.1675	1.8779	5.1880	-7.9346	-4.3335	-2.2797	29.9268	172.2821	45.5700	-74	-291	214	100677	0.54 
323.288	-0.9536	-0.0156	1.5972	4.9438	-2.7466	1.3428	-1.4667	29.2676	172.5787	45.5600	-79	-294	214	100678	0.54 
323.397	-0.9360	0.1455	1.6211	-4.3335	-23.1323	-19.1650	-1.1261	28.6414	172.2272	45.5600	-81	-292	213	100678	0.54 
323.491	-1.1113	-0.1387	1.4375	5.1270	17.6392	-9.4604	-1.5051	28.5645	171.3593	45.5700	-86	-287	217	100679	0.54 
323.600	-1.0576	0.1367	1.8936	2.8076	-28.5034	17.8223	-1.0602	29.5038	168.6127	45.5600	-72	-293	222	100679	0.54 
323.679	-0.9478	-0.2188	1.7178	-15.1367	-24.3530	26.6113	-1.5710	29.0643	170.2661	45.5600	-75	-291	220	100680	0.54 
324.022	-1.0586	-0.0576	1.7261	-2.5635	6.4087	7.7515	-2.9608	30.3113	170.0024	45.5300	-73	-288	218	100680	0.54 
325.663	-1.0352	-0.3003	1.6499	0.4883	5.9204	-2.7466	-1.9995	30.5200	171.5790	45.5500	-76	-290	219	100680	0.54 
325.741	-1.6367	0.3076	2.7046	-36.5601	-1.5259	21.9727	-1.5381	31.8439	172.3535	45.5400	-72	-292	221	100681	0.54 
325.788	-1.0063	-0.1509	2.0493	20.2637	10.3760	-17.3950	-0.8679	29.6960	173.9026	45.5300	-81	-292	215	100682	0.54 
325.882	-0.7910	0.0049	1.4102	9.8267	18.6157	0.9155	-0.7306	30.0586	172.0953	45.5200	-85	-292	217	100681	0.54 
325.897	-0.8574	0.2026	1.4766	-7.8125	-31.3110	-5.3101	-0.4449	30.5969	171.6504	45.5200	-75	-293	224	100682	0.54 
325.960	-1.1157	-0.1416	1.5391	8.6060	22.7661	15.2588	0.2747	29.8773	172.9962	45.5200	-81	-291	221	100682	0.54 
326.054	-1.1382	-0.1318	1.9624	-12.5732	-55.9082	7.7515	0.2692	32.5305	170.5792	45.4100	-89	-292	229	100684	0.53 
326.100	-1.2993	0.1187	1.9375	-10.1318	12.5122	-10.3149	-0.3735	33.6017	167.7173	45.4100	-76	-297	232	100685	0.53 
326.163	-1.1816	-0.1582	1.7881	-21.7896	10.4980	4.0894	-1.8787	34.5410	168.4094	45.4100	-72	-295	230	100685	0.53 
326.257	-1.2568	-0.0410	1.8491	-9.5215	4.2725	3.8452	-3.2684	35.4089	168.2062	45.4100	-69	-290	225	100685	0.53 
326.272	-1.2402	-0.1313	1.8442	-1.0376	-3.7231	1.4648	-3.2025	35.3210	168.9478	45.4100	-72	-289	225	100685	0.53 
326.335	-1.2334	-0.0698	1.8652	2.1362	-5.7983	-1.7700	-2.9333	34.6674	168.8489	45.4000	-70	-289	226	100685	0.53 
326.429	-1.2300	-0.0552	1.8237	0.2441	-7.3242	-7.3242	-2.9553	33.7610	168.3600	45.4200	-73	-286	224	100685	0.53 
326.522	-1.1924	-0.0137	1.8652	3.0518	-5.6763	0.4272	-2.9333	33.0798	167.7722	45.4000	-74	-286	222	100685	0.53 
326.601	-1.1719	-0.0117	1.8540	-0.1831	-6.5918	-1.4038	-2.7301	32.5250	167.7777	45.4000	-75	-286	226	100685	0.53 
326.726
