StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
534.571	-1.0938	0.0137	1.8779	-0.1221	0.3662	-0.4272	0.2417	29.2731	124.4257	45.6800	79	-119	228	100668	0.55 
534.602	-1.0923	0.0098	1.8770	-0.2441	0.3052	0.7935	0.2582	29.3884	124.4202	45.6900	81	-120	230	100668	0.55 
534.696	-1.0942	0.0137	1.8735	0.0000	0.0000	0.3662	0.2966	29.4434	124.4421	45.6900	83	-118	229	100668	0.55 
534.805	-1.0947	0.0146	1.8735	-0.4272	1.1597	0.5493	0.3186	29.5422	124.4312	45.6700	78	-120	231	100668	0.55 
534.899	-1.1094	0.0186	1.8696	-0.1221	2.3193	0.7324	0.3516	29.7510	124.5081	45.7000	81	-124	232	100667	0.55 
535.008	-1.0786	-0.0117	1.8770	0.6714	5.1880	-2.0752	0.3680	30.1190	124.4586	45.6900	79	-122	232	100668	0.55 
535.102	-1.0991	0.0132	1.8765	0.2441	12.2070	-1.3428	0.4230	30.8441	124.3378	45.7000	84	-121	231	100667	0.55 
535.274	-1.1548	-0.0093	1.8369	12.2681	23.8037	-2.2583	0.8020	32.4097	123.8599	45.7000	88	-120	239	100667	0.55 
535.399	-1.2935	-0.0737	1.8335	19.4702	38.5742	-0.2441	2.1863	35.7111	123.6237	45.7100	92	-126	244	100667	0.55 
535.602	-1.3374	-0.0635	1.7817	27.5269	23.7427	-10.1318	3.9221	38.8751	122.7393	45.7000	103	-127	252	100668	0.55 
535.649	-1.2734	-0.0439	1.7456	29.4800	7.7515	-2.8687	5.3558	40.2759	121.3715	45.6900	107	-129	259	100668	0.55 
535.665	-1.4053	-0.0933	1.6997	29.5410	8.2397	12.8784	8.7451	41.0614	122.7557	45.6900	115	-135	264	100668	0.55 
535.774	-1.3291	0.1099	1.5801	58.1665	-3.5400	15.1978	13.2275	41.0394	123.7720	45.7000	112	-139	263	100668	0.55 
535.852	-1.4316	0.1748	1.5273	54.0161	-11.9629	53.0396	21.4178	39.2651	128.1445	45.6700	110	-158	260	100668	0.55 
536.009	-1.0996	0.1582	1.1421	53.2837	-27.4658	52.9175	28.7347	35.6616	133.2147	45.6500	110	-182	253	100668	0.55 
536.087	-1.5625	2.1382	2.0142	15.2588	20.5688	117.5537	35.1563	29.4928	139.4879	45.6200	90	-213	243	100668	0.55 
536.181	0.3462	-0.3232	0.9131	77.8198	-203.7354	203.3691	43.0554	0.5438	155.8960	45.5800	32	-268	229	100668	0.55 
536.493	-0.2856	-0.0381	1.0171	-17.2729	-148.6206	237.9761	41.3196	-23.0878	162.2845	45.5400	-78	-310	215	100670	0.55 
536.618	0.3613	-0.4839	0.8438	-17.1509	-160.6445	104.4922	30.9265	-46.3953	172.4908	45.5200	-192	-303	215	100670	0.55 
