StartTime: 2017-07-07 14:06:03.877
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
373.343	-1.1523	-0.0444	1.8530	0.9155	5.3101	-3.4790	-0.8459	31.4923	-139.9713	41.1400	-214	-154	98	100662	0.55 
373.437	-1.1895	-0.0249	1.8042	4.3945	18.3105	-11.5967	-1.1755	32.6404	-141.0864	41.1400	-211	-155	100	100662	0.55 
373.546	-1.1787	-0.0376	1.8267	6.7139	25.2075	-17.5171	-1.7633	34.8596	-143.3441	41.1400	-207	-162	97	100661	0.55 
373.704	-1.2720	-0.1211	1.7432	-2.6245	36.9263	2.8076	-1.6589	38.6664	-143.5913	41.1300	-193	-165	88	100662	0.55 
373.767	-1.2363	0.0278	1.5132	-4.4556	51.0254	10.4370	-1.8512	42.9016	-143.9978	41.1500	-181	-170	80	100661	0.55 
373.845	-1.3774	-0.0317	1.4941	-11.2915	57.7393	13.7939	-1.3843	48.5101	-142.9211	41.1700	-156	-163	73	100662	0.55 
373.986	-1.3877	-0.0195	1.5898	-8.5449	46.4478	10.1318	-1.3348	52.7728	-142.6410	41.1500	-133	-160	67	100663	0.55 
374.079	-1.5811	-0.0195	1.6592	0.6104	43.5791	6.2866	-1.3348	56.3873	-143.3276	41.1400	-110	-154	68	100663	0.55 
374.204	-1.7441	0.0156	1.7261	-1.5869	28.5645	4.2114	-1.0712	58.7714	-144.5801	41.1500	-92	-156	68	100664	0.55 
374.283	-1.8027	0.0327	1.7700	-5.3711	14.5874	4.3945	-0.7306	59.8645	-145.3601	41.1100	-77	-157	69	100665	0.55 
374.393	-1.8960	-0.0688	1.8364	-0.4883	-9.2773	7.6294	-1.2524	59.2877	-147.2168	41.1000	-67	-158	66	100666	0.55 
374.501	-1.7695	-0.0215	1.7891	5.9814	-15.0757	-16.4185	-2.7081	57.2443	-151.1829	41.1100	-66	-164	71	100666	0.55 
374.596	-1.9126	-0.0376	1.8394	-2.8076	8.1787	-12.1460	-3.4552	55.1184	-154.5667	41.1000	-66	-162	75	100667	0.55 
374.720	-2.1494	-0.0107	1.9990	-8.6670	66.4673	4.7607	-6.5204	58.9087	-159.4775	41.1000	-59	-166	74	100668	0.55 
374.830	-2.0269	-0.0767	1.7173	9.0942	70.0684	7.5684	-5.1031	64.3304	-159.8621	41.0800	-40	-164	74	100669	0.55 
374.923	-2.2500	-0.0176	1.9937	12.3901	-8.0566	-9.7046	-6.4215	68.6700	-164.6136	41.0600	-18	-170	77	100669	0.55 
375.033	-2.0615	-0.0688	1.7061	10.6201	-66.8335	-3.5400	-5.1361	63.8580	-166.7560	41.0600	-24	-168	73	100670	0.55 
375.158	-2.5869	0.0913	2.3555	-5.6763	-79.7729	-0.9766	-4.0100	56.0138	-166.8988	41.0400	-54	-164	66	100669	0.55 
375.251	-2.5869	0.0913	2.3555	-5.6763	-79.7729	-0.9766	-0.0330	32.0142	-162.3889	41.0100	-130	-159	66	100668	0.55 
375.376	-1.2900	0.0581	1.3345	23.0103	-34.3628	9.0332	1.7853	32.1240	-161.5594	40.9700	-177	-159	78	100668	0.55 
375.440	-1.0459	-0.1040	0.6816	19.6533	26.8555	19.4092	5.8228	30.9155	-159.4061	40.9800	-195	-162	85	100667	0.55 
375.564	-1.1470	-0.2056	0.9185	-19.4092	1.2817	11.2915	7.5421	34.9146	-156.4124	40.9500	-187	-162	83	100666	0.55 
375.658	-3.7153	-0.1284	4.7407	-7.8735	203.6133	-53.8330	1.6754	44.0387	-159.7797	40.9200	-170	-158	76	100665	0.55 
379.600	-1.6396	-0.1753	-1.7354	11.8408	-253.6011	39.6729	-1.6809	25.9003	175.4846	40.6000	-123	-126	72	100671	0.55 
379.631 
380.307	-1.8286	0.1079	1.7583	8.7891	3.7842	-7.9956	-3.5870	59.8096	178.0389	40.5000	-51	-140	67	100669	0.55 
380.401	-1.8008	-0.1060	1.4712	6.6528	15.8081	12.6343	-3.5486	55.6183	174.3585	40.4700	-36	-152	73	100674	0.54 
381.030	-2.2046	-0.0879	1.6934	6.6528	15.8081	12.6343	-3.5486	55.6183	174.3585	40.4800	-36	-152	73	100675	0.54 
381.562	-2.3271	0.0449	2.2266	5.0049	-104.7974	-25.5127	-4.3341	45.9613	165.0092	40.4100	-59	-146	62	100675	0.54 
381.657
