StartTime: 2017-07-07 14:16:34.206
22 steps
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
317.891	-1.1558	-0.0122	1.8696	-0.0610	-0.6714	0.2441	-0.6757	31.2561	171.5735	42.6900	-38	-306	145	100668	0.55 
317.954	-1.1494	-0.0151	1.8735	-0.1831	-1.4038	0.6714	-0.6317	31.1462	171.6339	42.6900	-37	-305	147	100668	0.55 
318.032	-1.1543	-0.0171	1.8691	-0.1831	-1.1597	0.0000	-0.6482	31.0913	171.6284	42.6900	-40	-310	143	100669	0.55 
318.157	-1.0957	-0.0586	1.8579	0.0610	-2.1973	-3.7842	-0.7031	30.9265	171.5625	42.7100	-40	-303	147	100669	0.55 
318.251	-1.0308	0.0151	1.8936	-0.5493	-1.9531	-0.6714	-0.8130	30.3772	171.2164	42.7100	-41	-304	146	100669	0.55 
318.345	-1.0728	-0.0381	1.8521	-2.5635	11.7188	3.4790	-0.8899	30.7837	171.7273	42.7200	-38	-305	141	100668	0.55 
318.470	-1.0630	-0.0420	1.8472	-0.7324	22.5830	1.4038	-1.0052	32.2833	171.8976	42.7100	-35	-303	144	100668	0.55 
318.548	-1.1411	0.0273	1.8052	-3.8452	30.0293	8.6060	-0.8899	35.0079	172.2876	42.7300	-32	-307	146	100668	0.55 
318.673	-1.1855	0.0679	1.7725	-26.7944	56.4575	45.4102	0.0769	39.2871	175.8362	42.7300	-26	-309	142	100669	0.55 
318.751	-1.0659	-0.1733	1.7334	-4.3945	31.5552	29.5410	1.0931	42.0447	179.7034	42.7400	-31	-307	140	100668	0.55 
318.876	-1.1782	-0.0078	1.8960	24.2920	32.4707	-12.0850	1.6425	45.3406	179.1760	42.7400	-27	-308	140	100669	0.55 
319.001	-1.4814	0.2886	2.4248	15.0146	52.9175	-9.6436	2.8290	49.1089	177.1436	42.7300	-11	-313	151	100670	0.55 
