StartTime: 2017-07-07 14:16:34.206
15steps
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1171.720	-1.1016	-0.0522	1.8760	0.0000	-1.9531	-28.0151	-5.8667	29.3225	157.6978	41.7000	-47	-305	271	100680	0.54 
1173.302	-1.0854	-0.0464	1.8716	1.8921	-0.7935	-23.0103	-6.8774	28.9490	155.0116	41.7300	-38	-301	269	100680	0.54 
1173.349	-1.0957	-0.0542	1.8760	1.8311	0.4272	-15.3809	-7.4268	28.8721	153.1384	41.7200	-31	-301	268	100680	0.54 
1173.411	-1.1045	-0.0547	1.8877	1.2207	-1.7700	-8.3008	-7.6135	28.8446	152.0343	41.7400	-25	-299	273	100680	0.54 
1173.474	-1.0757	-0.0352	1.8823	-1.1597	-2.7466	12.3291	-7.2839	28.7347	152.3694	41.7500	-25	-301	271	100679	0.54 
1173.536	-1.0503	-0.0942	1.8657	1.5259	-1.4038	23.0103	-6.0095	28.9215	154.8138	41.7500	-28	-301	269	100679	0.54 
1173.599	-1.2173	-0.3037	2.0361	-0.7935	13.3057	-5.7983	-3.8013	36.9690	165.6793	41.7900	-59	-300	268	100680	0.54 
1173.677	-1.2383	-0.1597	2.1812	4.3945	-8.3618	-3.6621	-4.7296	36.8152	164.0533	41.8100	-55	-301	264	100679	0.54 
1173.708	-1.3564	0.1499	1.5981	-2.6855	-0.4883	41.5649	-3.5046	36.3043	165.8386	41.8000	-62	-301	266	100679	0.54 
1173.771	-1.2383	-0.1958	1.8325	11.9629	2.2583	-0.0610	-0.5328	37.0789	169.3762	41.8000	-68	-302	265	100678	0.54 
1173.818	-1.1499	0.0723	1.5972	8.8501	9.3384	7.0190	0.5164	37.6556	168.6786	41.8100	-69	-304	269	100678	0.54 
1173.927	-1.2456	-0.0239	1.8594	3.7842	7.0801	0.1831	1.6479	38.5895	169.3872	41.7900	-70	-302	275	100678	0.54 
1174.052	-1.2163	-0.0557	2.0376	-3.8452	-5.7983	-9.7656	0.8240	37.7765	167.9919	41.8000	-70	-298	273	100678	0.54 
1174.146	-1.6475	0.0581	2.1445	10.9253	-16.1743	8.6670	0.0385	37.4579	166.0364	41.8100	-66	-301	276	100677	0.54 
1174.286	-1.3633	-0.1201	1.7017	-2.6245	13.6108	-26.9775	-0.4669	37.3645	163.9655	41.8000	-70	-298	276	100677	0.54 
1174.349	-1.2051	-0.1543	1.6772	-11.6577	3.4180	7.1411	-1.7523	37.9468	162.9877	41.8100	-62	-300	276	100676	0.54 
1174.443	-1.2202	-0.0435	1.6802	-9.5215	-1.8311	-11.4136	-3.1146	38.1500	162.2791	41.8300	-63	-296	276	100676	0.54 
1174.553	-1.2246	-0.1763	1.8882	-11.1084	-1.1597	1.7700	-4.1089	37.8040	162.0044	41.8200	-64	-292	272	100676	0.54 
1174.677	-1.2935	-0.1157	2.0229	4.3335	-7.7515	7.6904	-4.3176	36.4746	161.8890	41.8400	-65	-292	269	100675	0.54 
1174.786	-1.3696	0.1108	1.6714	-2.6245	12.3901	33.4473	-3.2190	36.3922	163.6688	41.8400	-67	-294	265	100675	0.54 
1174.849	-1.2090	-0.0967	1.6309	15.4419	-0.4883	1.6479	-1.0822	37.1887	165.8441	41.8400	-72	-295	269	100674	0.54 
1174.974	-1.2100	0.0571	1.6753	13.7329	4.8218	12.0850	0.9778	37.4689	166.3989	41.8300	-74	-296	269	100674	0.54 
1175.114	-1.2534	0.0112	1.8315	9.4604	1.2817	-9.8267	2.0050	37.7051	166.5143	41.8400	-75	-300	272	100674	0.54 
1175.193	-1.2305	0.0684	2.0391	7.5073	-4.5776	-8.6670	2.0160	37.1558	165.1520	41.8500	-76	-301	276	100674	0.54 
1175.302	-1.6558	-0.0049	2.0215	-1.4038	-52.6123	38.0249	2.9883	36.2164	166.6461	41.8600	-76	-302	282	100674	0.54 
1175.411	-1.3926	-0.1079	1.7793	-1.4648	4.9438	-42.3584	1.2469	35.3815	163.9490	41.8600	-78	-299	278	100673	0.54 
1175.505	-1.1997	-0.1489	1.7227	-17.2729	-5.1270	-3.6011	-0.7361	35.0629	161.7352	41.8700	-70	-299	277	100673	0.54 
1175.584	-1.1626	0.0361	1.6133	-12.6343	4.2114	-4.8828	-3.2190	35.1343	159.9225	41.8700	-69	-298	270	100673	0.54 
1175.708	-1.2588	-0.2144	2.0347	-8.8501	-7.1411	19.5313	-3.4167	35.6342	161.4771	41.8800	-68	-294	269	100672	0.54 
1175.927	-1.2651	-0.2637	2.2407	6.5308	-34.1797	5.6152	-2.8345	33.1567	162.9053	41.8700	-76	-293	271	100672	0.54 
1175.958	-1.3223	0.2173	1.6025	2.6245	-4.9438	17.5781	-2.7246	30.8331	163.0920	41.8800	-81	-296	265	100672	0.54 
1176.036	-1.1650	-0.0801	1.7515	14.5264	12.2681	-7.3853	-1.0876	31.7175	164.5148	41.8400	-85	-294	267	100672	0.54 
