StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
409.839	-1.1035	-0.0439	1.8760	-0.4883	0.0610	1.5259	-1.0327	29.7180	144.4702	44.7400	59	-234	236	100668	0.55 
409.980	-1.1060	-0.0410	1.8730	-0.3662	-0.0610	1.8311	-1.0162	29.7620	144.5087	44.7200	63	-234	233	100669	0.55 
410.042	-1.0957	-0.0391	1.8701	-0.5493	1.1597	1.0376	-0.9943	29.8059	144.5636	44.7500	58	-232	233	100668	0.55 
410.152	-1.1265	-0.0444	1.8604	-0.1221	3.6621	-0.8545	-1.0162	30.0476	144.5032	44.7700	58	-234	233	100669	0.55 
410.534	-1.1411	-0.0322	1.8735	0.5493	3.4790	-0.9155	-1.0767	30.4706	144.2450	44.7700	60	-234	234	100668	0.55 
410.566	-1.1592	-0.0342	1.8794	-0.3052	-0.6714	1.5259	-1.0217	30.6409	144.1956	44.7800	60	-233	236	100668	0.55 
410.597	-1.1821	-0.0415	1.8691	-1.4038	-6.6528	1.5869	-0.9888	30.3003	144.2670	44.7700	60	-236	240	100669	0.55 
410.659	-1.2031	-0.0288	1.8638	-1.4648	-15.5029	2.1973	-1.0217	29.3225	144.3109	44.8000	54	-236	233	100669	0.55 
410.722	-1.2007	-0.0371	1.8330	-2.5024	-19.4092	4.6387	-1.0052	27.6581	144.7284	44.8000	53	-235	230	100669	0.55 
410.800	-1.1992	-0.0742	1.8213	-2.3193	-25.1465	9.3994	-0.7855	25.8783	145.6567	44.8100	46	-234	225	100669	0.55 
410.894	-1.1973	-0.0625	1.6963	-7.3242	-30.4565	7.0801	-0.8734	23.4119	146.3928	44.8200	39	-237	217	100669	0.55 
411.034	-1.1162	-0.0684	1.5664	-19.1040	-10.3149	4.0894	-1.8402	22.3627	147.2992	44.8100	29	-234	208	100669	0.55 
411.129	-1.0137	-0.0728	1.2930	-25.5737	12.8174	6.8970	-3.7848	22.9395	147.7112	44.8300	24	-232	205	100668	0.55 
411.378	-1.1855	-0.0322	1.4658	-24.5361	13.4277	16.2964	-5.7404	25.9772	148.6670	44.8100	29	-226	203	100668	0.55 
411.519	-0.8291	-0.4795	1.5342	-18.7988	-109.6802	-0.4883	-6.9434	22.5879	151.0565	44.8200	23	-219	193	100668	0.55 
411.581	-0.2144	-0.0659	2.0669	-45.2271	-327.9419	23.9258	-6.7236	-0.7690	152.5726	44.8000	-31	-207	152	100668	0.55 
411.644	-0.4106	-0.2788	0.9668	-39.3066	-200.6226	23.3765	-13.1561	-22.8571	160.9827	44.7900	-146	-195	139	100669	0.55 
411.706	1.1523	-0.8262	0.2720	-54.3213	-199.7070	-19.6533	-23.8898	-40.5780	173.9355	44.7600	-237	-182	152	100669	0.55 
411.753	-0.6123	-0.1436	0.7964	13.7939	34.9121	-42.2363	-25.8783	-46.2085	177.1820	44.7400	-285	-175	181	100669	0.55 
411.847	0.1274	-0.1528	0.9736	10.1318	63.1714	-29.0527	-22.7197	-40.8417	176.1877	44.7400	-284	-185	182	100670	0.55 
411.941	-0.1089	-0.0376	1.1523	-4.0283	13.3667	9.3994	-20.5389	-35.0079	176.6656	44.7400	-266	-191	172	100670	0.55 
412.066	-0.0522	-0.0576	1.2710	14.2212	-3.9063	-17.2729	-19.2975	-31.9318	178.5773	44.7400	-260	-196	165	100671	0.55 
412.144	-0.1445	-0.3140	1.1875	-1.9531	-4.2114	29.9683	-19.7369	-29.9817	-176.7535	44.7300	-256	-200	168	100672	0.54 
412.363	-0.0381	-0.2339	1.0615	-1.8921	-13.3667	-11.2915	-21.4453	-28.8831	-172.3645	44.7200	-261	-193	169	100672	0.54 
412.581	-0.0356	-0.0913	1.1519	2.3193	0.2441	-5.6152	-20.6158	-27.1912	-170.6891	44.7300	-260	-195	167	100672	0.54 
