StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
812.598	-1.0718	0.0044	1.8755	0.1831	-0.1831	1.0376	0.2692	28.8336	-157.8571	46.2400	-224	-254	189	100670	0.55 
812.645	-1.0903	0.0034	1.8848	-1.1597	0.0000	-1.4648	0.2087	28.9325	-157.8955	46.2500	-224	-254	189	100670	0.55 
812.801	-1.0713	-0.0054	1.8784	-2.1973	-0.1221	-3.4790	-0.0714	28.9874	-158.1482	46.2400	-223	-253	192	100670	0.55 
812.879	-1.0864	0.0186	1.8809	-2.2583	0.3662	-6.6528	-0.5823	29.0369	-158.8019	46.2700	-220	-252	189	100669	0.55 
813.004	-1.0713	0.0024	1.8828	-5.4321	1.0986	-11.5356	-1.4008	29.0533	-159.7961	46.2600	-218	-252	189	100670	0.55 
813.098	-1.0674	0.0479	1.8633	-9.3994	2.8687	-11.2915	-2.6477	29.1248	-161.0980	46.2700	-220	-254	187	100669	0.55 
813.129	-1.0972	0.0547	1.8716	-14.5264	4.2725	-4.5166	-4.1144	29.4983	-161.9934	46.2700	-212	-251	183	100670	0.55 
813.270	-1.1157	0.0132	1.8794	-18.9209	8.2397	0.1831	-5.6085	30.1080	-162.1252	46.2500	-211	-252	185	100670	0.55 
813.410	-1.1230	0.0386	1.8257	-21.9727	13.2446	1.8311	-7.2400	31.0089	-162.0758	46.2600	-209	-245	177	100670	0.55 
813.473	-1.1367	0.0215	1.7710	-29.4800	18.2495	-0.4883	-9.3329	32.7063	-162.0538	46.2500	-205	-240	170	100670	0.55 
813.582	-1.1919	-0.0127	1.6548	-37.7808	24.1699	-3.7842	-12.4695	34.8926	-162.8009	46.2300	-199	-230	163	100670	0.55 
813.692	-1.1934	0.0332	1.3818	-37.6587	38.6353	-3.7231	-16.6058	37.9083	-164.5477	46.2000	-188	-219	151	100669	0.55 
813.785	-1.2383	-0.0376	1.4023	-44.2505	64.0259	4.8828	-20.5389	42.8796	-167.3712	46.2000	-170	-208	145	100670	0.55 
813.895	-1.2988	-0.6870	1.3926	-70.3125	42.8467	-65.1855	-29.0533	46.3733	-173.6279	46.2000	-147	-191	135	100670	0.55 
814.004	-2.4551	-1.5303	3.2466	-251.2817	15.3809	-176.2695	-55.7776	37.5073	167.1570	46.1700	-119	-152	127	100670	0.55 
814.114	-1.1582	-1.0381	1.7222	-183.1055	-89.9048	-25.4517	-76.7780	32.4207	173.5950	46.1300	-126	-66	139	100670	0.55 
814.208	-1.1748	-1.7861	0.8911	-144.5313	-49.2554	1.5869	-95.1526	26.4606	-175.6219	46.1100	-155	-1	186	100671	0.55 
814.302	-0.8311	-0.7739	-0.1523	-31.3721	-30.7617	100.1587	-93.4113	39.2487	-162.3889	46.0800	-151	26	214	100671	0.55 
814.442	-1.7900	-0.8145	0.6514	-0.4272	-19.6533	99.6094	-93.0212	49.8230	-154.5612	46.0800	-119	35	226	100672	0.54 
814.551	-1.8584	-0.9224	0.6992	12.8174	1.5259	55.6030	-89.4781	58.4473	-145.4919	46.0700	-87	41	225	100672	0.54 
814.645	-1.5835	-0.8696	0.8018	10.9253	-9.4604	-15.6860	-87.0776	60.7709	-138.2849	46.0600	-73	38	222	100672	0.54 
814.754	-1.4819	-0.8252	0.7896	1.7700	-3.6011	-25.1465	-84.9463	59.4745	-131.0284	46.0300	-81	35	218	100673	0.54 
814.849	-1.4595	-0.8789	0.7568	9.2163	4.6387	-3.6011	-83.3038	58.5791	-124.7717	46.0300	-91	35	215	100673	0.54 
814.958	-1.4316	-0.8608	0.7998	3.3569	-3.1128	-9.0332	-81.3373	58.8812	-118.4326	46.0300	-94	35	214	100673	0.54 
815.067	-1.5117	-0.9380	0.8149	2.8076	-3.6011	-11.2915	-79.1400	58.9856	-111.6486	46.0300	-99	32	208	100673	0.54 
815.223	-1.4136	-0.8721	0.8374	3.3569	0.3052	-16.2354	-77.1350	58.1781	-105.4523	46.0300	-104	31	209	100674	0.54 
815.270	-1.4165	-0.9194	0.8257	1.9531	0.2441	-10.8643	-75.5035	57.3486	-99.7668	46.0400	-112	28	208	100674	0.54 
815.442	-1.3984	-0.9170	0.8115	2.3193	3.2959	-3.1128	-73.8062	57.1014	-94.3121	46.0600	-117	26	204	100674	0.54 
815.504	-1.3936	-0.9229	0.8379	1.7700	0.0610	-2.9907	-72.3944	57.3267	-89.3408	46.0300	-116	30	207	100673	0.54 
815.614	-1.3950	-0.9331	0.8389	0.7935	-0.6104	-2.4414	-70.4828	57.3596	-83.9246	46.0400	-116	30	205	100673	0.54 
815.723	-1.3848	-0.9316	0.8394	-0.5493	-1.2207	-2.2583	-68.7415	57.2168	-78.6951	46.0400	-115	27	204	100673	0.54 
815.864	-1.3916	-0.9390	0.8311	0.0000	-1.4648	-0.6104	-67.0605	57.1454	-73.6688	46.0300	-119	26	205	100673	0.54 
815.942	-1.3730	-0.9307	0.8364	1.2817	-0.8545	-2.9297	-65.3467	56.8707	-68.9117	46.0100	-119	28	203	100673	0.54 
816.036	-1.3833	-0.9429	0.8418	1.0376	-1.0986	-3.7842	-63.9020	56.4313	-64.6930	46.0400	-124	24	205	100673	0.54 
