StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
646.813	-1.1133	0.0005	1.8711	-0.4272	-0.9766	-0.4883	0.0220	30.3552	117.7734	45.9500	80	-90	223	100668	0.55 
646.953	-1.1294	0.0039	1.8647	-0.8545	-1.6479	0.0000	-0.0385	30.2728	117.6801	45.9500	78	-90	222	100668	0.55 
647.031	-1.1211	0.0000	1.8662	-1.1597	-1.2207	-0.6104	-0.1593	30.1904	117.5812	45.9500	78	-91	218	100668	0.55 
647.141	-1.1221	0.0034	1.8721	-1.1597	-1.5869	-1.0376	-0.3076	30.1465	117.3669	45.9600	77	-88	224	100668	0.55 
647.250	-1.1152	-0.0078	1.8706	-1.2207	-1.3428	-1.7700	-0.5109	30.0037	117.1802	45.9400	75	-90	220	100668	0.55 
647.360	-1.1094	-0.0049	1.8701	-1.0986	0.6714	-2.1362	-0.7141	30.0201	116.8671	45.9700	76	-86	221	100668	0.55 
647.454	-1.1211	-0.0020	1.8711	-1.3428	-0.4272	-1.2207	-0.8844	30.0806	116.6034	45.9600	75	-87	222	100668	0.55 
647.547	-1.1143	-0.0195	1.8711	-1.0376	0.3052	-1.3428	-1.0437	30.1025	116.3947	45.9600	76	-83	219	100668	0.55 
647.657	-1.1235	-0.0010	1.8789	-0.9766	-1.7090	0.4272	-1.1261	30.1245	116.1914	45.9800	77	-85	219	100668	0.55 
647.781	-1.1099	-0.0342	1.8647	0.0610	-1.2207	3.5400	-0.9723	29.9927	116.4880	45.9800	74	-88	220	100668	0.55 
647.938	-1.0879	-0.0410	1.8560	1.8311	3.6621	-1.8921	-0.8130	30.1080	116.5375	45.9700	75	-87	217	100668	0.55 
647.985	-1.1284	-0.0313	1.8755	3.4790	7.3853	-2.1362	-0.6976	30.7782	116.1530	45.9700	78	-83	218	100668	0.55 
648.156	-1.1465	-0.0391	1.8730	5.8594	6.6528	-1.7090	-0.3900	31.4868	115.7629	45.9500	79	-86	221	100668	0.55 
648.235	-1.1748	-0.0562	1.8560	10.5591	5.7983	-7.0801	0.0659	32.1240	115.1312	45.9700	80	-85	221	100668	0.55 
648.313	-1.2134	-0.0249	1.8433	17.8833	8.7891	-7.0801	0.8734	32.9480	114.0491	45.9700	83	-89	222	100667	0.55 
648.422	-1.2173	-0.0107	1.8037	22.2168	8.7280	1.3428	2.7136	33.7830	113.8348	45.9700	81	-90	223	100668	0.55 
648.532	-1.1982	-0.0420	1.7944	29.2969	4.7607	16.2354	5.8777	33.9532	115.3345	45.9600	85	-94	222	100667	0.55 
648.626	-1.1929	-0.0337	1.7476	38.6353	8.9111	18.4937	9.8987	34.4257	117.4493	45.9400	85	-105	219	100667	0.55 
648.750	-1.1890	-0.0176	1.6465	51.6968	20.5688	20.8740	14.9744	35.2661	120.0696	45.9600	90	-119	220	100667	0.55 
648.860	-1.3970	-0.0132	1.4888	80.0781	33.5083	22.1558	22.7527	37.6172	124.1400	45.9500	97	-137	222	100667	0.55 
648.954	-1.0874	0.3716	1.2026	49.4995	12.5732	102.6611	32.9919	37.3480	131.9678	45.9100	107	-165	229	100667	0.55 
651.063	-0.6099	0.9067	0.8813	0.7324	0.7324	-0.4883	52.4158	11.7828	164.1302	45.7200	-7	-349	285	100674	0.54 
651.173	-0.5991	0.9028	0.8833	0.0000	0.6104	-0.9766	51.9379	12.7002	165.2618	45.7200	-6	-353	286	100674	0.54 
651.266	-0.6060	0.8989	0.8833	0.7935	1.0376	-2.0752	51.5094	13.4802	166.3660	45.7200	-7	-349	288	100675	0.54 
651.391	-0.6006	0.9058	0.8735	0.3662	0.1221	-0.3052	51.1798	14.2163	167.2998	45.7200	-6	-348	289	100675	0.54 
651.517	-0.6265	0.9233	0.8691	-1.2207	0.0000	0.5493	50.8063	14.7656	168.2886	45.7300	-5	-351	290	100675	0.54 
651.594	-0.6206	0.9111	0.8848	0.0000	0.7324	4.8828	50.3943	15.2380	169.4092	45.7400	-8	-349	288	100675	0.54 
651.673	-0.5996	0.9082	0.8794	-0.7935	-0.2441	2.7466	50.0977	15.5457	170.4749	45.7300	-6	-349	286	100675	0.54 
651.798	-0.5742	0.8896	0.8823	-1.0376	0.6104	1.1597	49.7351	15.8752	171.3977	45.7400	-5	-354	285	100675	0.54 
651.907	-0.5889	0.9097	0.8784	-1.0986	-0.5493	3.5400	49.4550	16.0840	172.2656	45.7100	-6	-354	286	100675	0.54 
652.001	-0.6021	0.9028	0.8906	-1.7090	-0.0610	2.3193	49.0814	16.3367	173.0786	45.7000	-10	-354	286	100674	0.54 
652.126	-0.5801	0.8940	0.8926	-0.7324	-0.7935	1.0986	48.7463	16.5894	173.8257	45.7200	-9	-351	284	100675	0.54 
652.204	-0.5791	0.8955	0.8779	-0.6714	-1.0986	-0.4272	48.4772	16.9025	174.3475	45.7100	-13	-353	287	100675	0.54 
652.329	-0.5894	0.9028	0.8745	-0.8545	-0.5493	1.0376	48.1805	17.3035	174.7980	45.7100	-11	-350	289	100675	0.54 
652.469	-0.5977	0.9033	0.8784	-0.7935	-0.5493	1.5869	47.9279	17.6990	175.3693	45.7100	-12	-350	286	100675	0.54 
652.626	-0.5854	0.8975	0.8823	0.1221	0.0000	0.3052	47.7631	18.0396	175.9680	45.7200	-8	-353	285	100675	0.54 
652.688	-0.5737	0.9063	0.8687	-0.3052	-0.1221	0.1221	47.6422	18.3801	176.4459	45.7100	-8	-350	284	100675	0.54 
652.751	-0.5850	0.9033	0.8740	-0.5493	0.4272	0.1221	47.4554	18.7317	176.9238	45.7100	-9	-351	286	100675	0.54 
652.876	-0.5840	0.9019	0.8843	-0.7935	0.7324	1.4648	47.3071	19.0448	177.4677	45.7100	-11	-350	287	100674	0.54 
652.954	-0.5737	0.8960	0.8848	-0.6104	0.7935	1.7090	47.1643	19.2920	177.9840	45.7100	-11	-352	287	100674	0.54 
653.063	-0.5776	0.8823	0.9033	-0.6104	2.8076	-2.6855	46.9885	19.6930	178.3960	45.7200	-9	-349	285	100674	0.54 
653.157	-0.6069	0.9067	0.8921	1.9531	-1.5259	-3.6621	46.8512	20.2313	178.4344	45.7100	-10	-349	286	100674	0.54 
653.266	-0.6074	0.9097	0.8901	0.3052	-2.5635	-1.2207	46.7743	20.6158	178.4235	45.7200	-9	-351	288	100674	0.54 
653.438	-0.6108	0.9199	0.8877	-0.1221	-0.3662	-0.4272	46.6425	20.8960	178.6212	45.7100	-8	-354	286	100674	0.54 
653.532	-0.6035	0.9028	0.8911	0.0000	1.2207	0.1221	46.6150	21.2036	178.9948	45.7200	-7	-348	286	100674	0.54 
653.626	-0.6143	0.9126	0.8843	0.0610	1.0986	1.0376	46.6150	21.4014	179.3408	45.7300	-8	-348	285	100674	0.54 
653.689	-0.6025	0.9043	0.8872	-0.7324	1.4648	1.4648	46.5656	21.6101	179.7144	45.7300	-10	-348	291	100674	0.54 
653.813
