StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
270.000	-1.0845	-0.0781	1.8716	2.9297	-2.1362	3.2349	-2.1643	29.8828	33.4149	46.2400	-110	22	232	100643	0.57 
270.078	-1.0845	-0.0781	1.8716	-0.7324	-1.0986	1.8921	-0.7526	29.4379	37.0294	46.2900	-106	21	228	100642	0.57 
270.109	-1.0923	-0.0713	1.8760	-0.6714	3.6621	1.0376	-0.8899	29.6027	37.3370	46.2900	-103	21	235	100642	0.57 
270.172	-1.1045	-0.0586	1.8804	0.4272	4.4556	-1.4038	-0.9888	30.0421	37.5952	46.3100	-103	22	230	100642	0.57 
270.218	-1.1074	-0.0498	1.8657	-0.7324	-0.3052	1.6479	-1.0657	30.1959	38.1610	46.3300	-99	18	228	100642	0.57 
270.312	-1.0913	-0.0679	1.8716	-0.7324	0.0000	2.9907	-0.9943	30.1465	39.0784	46.3100	-100	22	233	100641	0.57 
270.343	-1.1074	-0.0659	1.8711	0.1831	0.0610	-0.1831	-1.0107	30.1465	39.7760	46.3100	-100	21	235	100641	0.57 
270.437	-1.1045	-0.0615	1.8706	-0.1831	-0.6104	-0.3662	-1.0712	30.1355	40.1660	46.3300	-101	19	232	100641	0.57 
270.531	-1.0825	-0.0674	1.8682	-0.7324	-0.9766	-0.4883	-1.2030	30.0696	40.6384	46.3300	-100	15	230	100641	0.57 
270.656	-1.1064	-0.0645	1.8774	0.0000	-0.3662	-0.9766	-1.3403	30.1410	40.8417	46.3300	-101	20	229	100641	0.57 
272.234	-1.0933	-0.0630	1.8706	-0.7935	0.0610	0.8545	-1.3843	30.1080	41.2042	46.3300	-107	18	231	100641	0.57 
272.344	-1.0962	-0.0684	1.8765	0.0000	0.8545	0.8545	-1.4063	30.1959	41.6217	46.3300	-101	17	229	100642	0.57 
272.375	-1.1050	-0.0649	1.8774	0.5493	2.1362	0.5493	-1.3458	30.3387	41.9897	46.3500	-101	19	234	100641	0.57 
272.422	-1.0898	-0.0771	1.8770	2.2583	2.8076	-0.2441	-1.2744	30.5475	42.1820	46.3500	-103	20	233	100641	0.57 
272.469	-1.0791	-0.0425	1.8584	3.6621	8.7280	5.1270	-1.0382	31.1517	42.3193	46.3500	-101	20	231	100641	0.57 
272.547	-1.1587	0.0508	1.8696	-2.8687	14.1602	14.2822	0.8185	29.7015	55.9479	46.3100	-89	3	225	100644	0.57 
272.594	-0.8408	0.1035	2.0166	11.9629	-26.0010	32.0435	0.7361	28.8446	60.2106	46.3200	-87	4	227	100644	0.57 
272.641	-0.8223	-0.0806	1.4473	16.2964	-26.7944	4.5166	1.4722	27.2296	64.0778	46.3000	-80	-1	229	100645	0.57 
272.719	-1.0845	0.0679	1.8428	-2.3193	6.9580	-13.2446	2.8180	29.1852	66.5717	46.3100	-78	-2	228	100644	0.57 
272.750	-0.9785	0.1108	1.6206	-9.8877	10.7422	-4.3335	0.9668	29.0314	66.9781	46.2800	-81	-1	227	100645	0.57 
272.828	-1.5957	-0.2544	2.3242	7.9346	24.5361	-20.7520	0.1154	30.5695	68.0603	46.2900	-84	-7	231	100645	0.57 
272.953	-1.0562	-0.1909	2.2896	-3.4790	0.5493	-41.7480	-0.6647	29.0314	65.9344	46.3000	-89	-7	232	100646	0.57 
273.063	-0.7515	-0.0010	1.4517	-12.2070	15.0146	-18.0054	-1.9446	28.4216	65.5774	46.2900	-97	-7	232	100646	0.57 
273.187	-0.9106	-0.1226	1.5571	5.6763	-20.6909	17.4561	-2.0544	29.4653	66.1377	46.2700	-100	-8	233	100647	0.57 
273.266	-1.1460	-0.1582	1.6147	-10.0098	6.2256	3.4180	-1.6754	29.3555	67.7307	46.2700	-96	-8	231	100647	0.57 
273.359	-1.0659	0.1401	1.9961	21.1792	-27.4658	28.6865	-2.1973	29.8334	70.6476	46.2800	-90	-9	238	100647	0.57 
273.484	-0.8833	0.1304	1.6655	13.1836	-4.2725	22.5220	-0.7361	29.8499	75.7068	46.2700	-84	-8	238	100648	0.56 
273.563	-1.0981	-0.0801	1.8452	3.3569	0.2441	-0.7935	1.6425	31.2067	79.9640	46.2600	-72	-7	241	100649	0.56 
273.675	-1.0483	0.1538	1.6040	-9.4604	-9.4604	-10.6201	0.0714	30.0146	79.1620	46.2900	-75	-8	238	100650	0.56 
273.800	-1.5386	-0.3374	2.0396	6.3477	20.7520	-22.2168	-0.4065	30.4816	80.4254	46.2500	-81	-8	242	100651	0.56 
273.971	-0.8496	-0.0640	2.2334	-5.3101	5.3711	-31.6772	-0.6812	29.7510	78.6127	46.2400	-84	-11	242	100651	0.56 
274.018	-0.9546	-0.0371	1.5503	-15.6860	2.7466	8.5449	-1.8347	29.5422	78.8269	46.2600	-86	-11	242	100652	0.56 
274.096	-0.9897	-0.2520	1.5508	1.3428	-12.8784	13.3667	-1.9995	29.7620	80.5078	46.2500	-87	-8	246	100652	0.56 
274.175	-1.1113	-0.0596	1.6250	3.6621	2.3193	-3.0518	-1.8951	29.7729	79.4531	46.2500	-86	-10	247	100653	0.56 
274.300	-1.2505	-0.1958	2.2568	-2.3804	-27.4048	6.8970	-2.2961	29.6301	82.1997	46.2600	-84	-10	249	100654	0.56 
274.394	-1.1782	0.0640	1.9585	-3.5400	-13.4888	-0.7935	-1.1261	28.4711	84.8804	46.2300	-82	-11	251	100655	0.56 
274.503	-1.1616	0.0112	1.8159	-0.3052	10.3149	0.3052	-0.0110	29.7180	86.6602	46.2400	-83	-8	249	100655	0.56 
274.628	-0.9414	0.0513	1.5366	-8.8501	-2.2583	-0.0610	-1.6589	28.7732	86.7920	46.2300	-82	-11	245	100655	0.56 
274.753	-1.5566	-0.2856	2.1050	16.4185	26.0010	-7.3853	-1.1096	29.9542	88.0170	46.2300	-78	-9	251	100656	0.56 
274.909	-0.7959	-0.3623	2.2578	-5.9204	13.9160	-26.6113	-0.0549	28.7952	87.4182	46.2500	-76	-9	248	100656	0.56 
275.003	-0.7456	-0.1646	1.4766	-20.8130	12.3901	-11.2915	-1.0986	27.7460	86.7316	46.2400	-83	-10	248	100657	0.56 
275.034	-1.0254	-0.1855	1.6719	5.1270	3.3569	5.9204	-1.9171	29.6411	85.4297	46.2300	-83	-6	251	100657	0.56 
275.113	-0.9795	-0.1729	1.7051	8.0566	22.9492	-7.7515	-1.2744	30.3607	85.1111	46.2300	-80	-7	251	100657	0.56 
275.237	-1.2808	0.0430	1.8325	0.7324	1.3428	0.4272	-1.3788	31.5308	83.6279	46.2200	-83	-9	248	100657	0.56 
275.347	-1.0679	0.2915	2.2080	9.0332	-17.7612	13.5498	-0.8405	30.6793	85.3308	46.2300	-83	-9	248	100658	0.56 
275.441	-0.9321	-0.0522	1.5928	6.7749	10.6812	25.8789	0.7965	30.3058	89.2529	46.2200	-81	-11	250	100658	0.56 
275.535	-0.9648	0.0264	1.6982	0.1221	-14.5264	-21.5454	0.6647	31.4813	89.7803	46.2200	-78	-13	250	100658	0.56 
275.659	-1.1768	0.0928	1.7241	-7.1411	-7.8735	-1.0376	-0.2142	30.6189	89.9780	46.2200	-75	-11	249	100658	0.56 
275.800	-1.2183	-0.3203	2.1338	2.0142	-25.0854	4.2114	0.4779	29.8334	90.5328	46.2200	-83	-10	254	100659	0.56 
275.847	-0.9531	0.0146	1.8369	-15.4419	2.5635	-19.1650	-1.8182	29.0973	86.5723	46.2100	-90	-8	250	100659	0.56 
276.034	-1.1050	-0.1211	1.7476	0.2441	6.3477	-8.3008	-3.8947	30.9265	83.9465	46.2100	-92	-8	256	100659	0.56 
276.065	-0.9346	-0.1855	1.5776	3.2349	-3.3569	22.2778	-2.5214	30.2014	85.5121	46.2100	-93	-9	253	100659	0.56 
276.175	-1.4829	0.2241	2.4009	-26.0620	4.4556	24.4751	-2.0544	31.2561	88.1323	46.2000	-85	-10	259	100660	0.55 
276.284	-1.4199	-0.1758	2.6934	-12.2070	15.4419	9.2773	-1.0107	30.6628	92.7466	46.2100	-77	-6	262	100660	0.55 
276.456	-1.0288	0.1743	1.8574	4.2725	26.3062	20.9961	1.1700	31.2946	94.4769	46.1900	-74	-9	260	100660	0.55 
276.534	-0.7729	0.0322	1.4189	-11.8408	-20.3857	-21.6064	-0.4120	30.0256	93.8287	46.2000	-69	-9	259	100661	0.55 
279.302	-1.1367	0.0303	1.8921	16.8457	14.5874	-21.3013	0.5328	32.8107	88.1378	46.0500	-86	7	255	100667	0.55 
279.380	-1.1465	0.0400	1.8965	12.2681	-4.5776	-37.9028	0.3021	33.5138	84.8639	46.0300	-92	6	251	100667	0.55 
279.489	-1.1387	0.0610	1.8584	6.1035	-5.5542	-14.4043	-0.4669	32.9425	82.4744	46.0400	-98	5	250	100667	0.55 
279.536	-1.1914	-0.0396	1.8569	6.7749	-1.2817	-3.4180	-0.0330	32.8326	82.2437	46.0500	-106	4	246	100666	0.55 
279.630
