StartTime: 2017-07-07 14:39:13.815
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
92.881	-1.2065	-0.0254	1.8623	-23.6816	-1.8311	136.8408	20.7202	15.2380	164.2621	45.5000	110	-145	276	100671	0.55 
92.944	-1.2314	0.0776	1.9155	-21.3013	-13.5498	133.6670	20.5499	11.5356	174.2981	45.5100	108	-183	279	100671	0.55 
92.990	-1.1533	-0.0210	1.8408	-3.4180	-8.1177	4.8828	14.1943	9.4757	-156.8298	45.4300	-47	-301	253	100672	0.54 
93.084	-1.1753	-0.0596	1.8853	-0.3662	-6.5308	-15.4419	13.3429	10.6238	-159.7852	45.4100	-47	-301	253	100672	0.54 
93.116	-1.1177	-0.0176	1.8545	1.3428	-5.0659	-5.6763	12.8485	11.5466	-162.9218	45.4100	-43	-298	253	100671	0.55 
93.162	-1.1196	-0.0200	1.8809	1.1597	-1.0376	0.0610	12.5354	12.6947	-164.9982	45.4000	-43	-301	254	100671	0.55 
93.225	-1.1196	-0.0542	1.8633	0.9155	-0.8545	-2.7466	12.0850	13.9362	-166.8604	45.4000	-42	-300	249	100672	0.54 
93.303	-1.1172	-0.0347	1.8735	0.1831	-1.3428	0.1831	11.6565	14.9524	-168.6456	45.4100	-42	-297	253	100672	0.54 
93.428	-1.1099	-0.0493	1.8774	-1.0986	-0.0610	0.1221	11.1127	15.9851	-170.1508	45.4200	-40	-300	249	100672	0.54 
93.522	-1.1060	-0.0366	1.8794	-0.8545	-0.1831	1.7700	10.5634	16.9739	-171.5076	45.4200	-42	-300	251	100672	0.54 
93.616	-1.0869	-0.0610	1.8843	0.2441	-3.9063	-0.5493	10.0525	17.5891	-172.8699	45.4300	-41	-298	255	100672	0.54 
93.725	-1.0728	-0.0508	1.8643	0.8545	-2.6855	-0.1831	9.5856	18.1274	-174.3420	45.4300	-39	-301	252	100672	0.54 
93.819	-1.0420	-0.0859	1.8569	1.7700	2.8687	-2.6855	9.1516	18.8306	-175.6989	45.4300	-42	-299	251	100672	0.54 
93.928	-1.0605	-0.0659	1.8716	2.0752	11.9629	-5.2490	8.6957	20.5060	-177.2479	45.4400	-38	-302	253	100671	0.55 
94.100	-1.2139	0.0024	1.8242	-0.6714	6.2866	3.2959	8.3002	22.2968	-178.5498	45.4600	-32	-303	258	100671	0.55 
94.178	-1.0273	-0.0454	2.0605	-16.6626	8.4229	31.9824	8.0914	23.4229	-176.7426	45.4600	-36	-301	259	100672	0.54 
94.225	-0.9829	-0.1934	1.8022	1.9531	4.4556	17.2119	7.7069	23.0823	-175.7648	45.4600	-44	-304	251	100672	0.54 
94.319	-1.0083	0.0825	1.8242	11.9019	9.1553	-14.4653	7.7344	24.7522	-177.7368	45.4500	-42	-302	251	100672	0.54 
94.428	-1.0420	-0.0088	1.8286	0.0610	6.4697	-2.3193	7.9211	26.0321	-178.9398	45.4700	-39	-303	256	100672	0.54 
94.522	-1.0449	-0.0313	2.0825	7.0190	7.9346	-19.5923	6.9159	26.7737	178.6926	45.4700	-36	-303	259	100673	0.54 
94.772	-1.4736	0.1816	2.4971	4.6387	25.3296	-0.1221	6.9818	28.4601	176.9623	45.4700	-32	-305	261	100673	0.54 
94.850	-1.3525	-0.3022	1.4702	-6.8359	29.4800	-9.4604	7.0752	29.8224	176.2592	45.4500	-34	-304	260	100673	0.54 
94.913	-1.2544	-0.0747	1.7959	-15.8081	1.4648	14.0991	5.5591	31.9482	174.7705	45.4400	-30	-301	263	100673	0.54 
94.959	-1.1919	-0.0938	1.8193	-14.4043	17.0288	4.1504	4.1528	33.0414	174.9298	45.4400	-33	-298	258	100673	0.54 
95.054	-1.2290	-0.0967	1.9678	-19.2871	29.3579	1.6479	2.4280	35.4089	174.4080	45.4400	-31	-299	257	100672	0.54 
95.163	-1.3467	-0.3555	2.0146	4.0894	-18.6768	17.7002	1.6040	34.9640	174.1333	45.4300	-32	-294	258	100672	0.54 
95.257	-1.4082	0.1660	1.6157	15.0757	16.7847	18.4326	2.5653	34.6729	173.9026	45.4200	-40	-295	253	100672	0.54 
95.381	-1.2480	0.0176	1.6523	6.7139	15.5640	-14.1602	3.6200	35.5627	173.3643	45.4100	-44	-299	255	100672	0.54 
95.585	-1.3457	-0.0283	1.9004	4.4556	20.0195	11.2305	4.1034	37.0789	172.6172	45.4000	-39	-298	262	100671	0.55 
95.663	-1.2925	-0.0313	2.0845	3.8452	-18.6768	-20.7520	3.6310	37.1887	171.0846	45.4000	-43	-300	264	100672	0.54 
95.725	-1.7178	0.0654	1.7095	19.5923	-21.1182	-4.0894	3.6859	35.1453	168.9423	45.4000	-37	-303	264	100671	0.55 
95.803	-1.3315	0.0913	1.8193	-12.3291	6.8970	3.0518	3.8562	35.9473	168.0469	45.3900	-42	-302	267	100671	0.55 
95.928	-1.2163	-0.2295	1.6401	-22.0947	12.3291	20.5078	2.8894	36.7822	169.6729	45.3700	-43	-298	263	100671	0.55 
96.006	-1.2876	-0.0635	1.8066	-15.1978	5.3711	-8.6060	0.5933	37.3425	168.5303	45.3800	-47	-294	262	100670	0.55 
96.163	-1.3281	-0.2124	2.1431	4.6997	-23.9258	10.1929	0.1703	36.2494	168.8324	45.3900	-51	-291	259	100670	0.55 
96.225	-1.3481	0.1509	1.6753	0.6714	9.2163	18.4937	1.3568	36.0571	170.7001	45.3800	-56	-294	257	100670	0.55 
96.366	-1.2729	-0.0444	1.7056	11.5967	11.7188	-1.8921	2.2742	36.4471	170.8759	45.3500	-61	-292	254	100670	0.55 
96.444	-1.2729	-0.0771	1.7524	11.9019	11.3525	6.1646	3.5980	37.4139	170.7440	45.3400	-60	-293	259	100669	0.55 
96.538	-1.3262	0.0093	1.9932	15.4419	-5.4321	-20.6909	4.1309	38.0951	169.1455	45.3500	-56	-296	264	100669	0.55 
96.647	-1.6411	0.0273	2.0317	12.2681	-14.3433	-6.9580	3.7299	36.7712	167.0856	45.3400	-52	-298	264	100669	0.55 
