StartTime: 2017-07-07 14:56:27.700
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
519.724	-1.1719	-0.0532	1.8608	-0.3662	0.0610	0.0000	0.5109	29.3884	-135.8350	42.6300	-247	-146	181	100646	0.57 
519.834	-1.1821	-0.0488	1.8608	-0.3662	0.4883	0.7935	0.3900	29.6466	-136.1755	42.6300	-245	-145	183	100646	0.57 
519.927	-1.1753	-0.0532	1.8535	-0.0610	-0.3662	0.1221	0.3131	29.8004	-136.4337	42.6300	-246	-145	180	100646	0.57 
520.037	-1.1919	-0.0508	1.8511	0.0610	2.5635	2.0142	0.2527	30.0641	-136.7194	42.6200	-245	-144	182	100646	0.57 
520.131	-1.2231	-0.0522	1.8345	0.7935	9.8267	0.0000	0.2637	30.8221	-136.9336	42.6100	-245	-145	181	100645	0.57 
520.240	-1.2388	-0.1450	1.8203	0.8545	22.5220	-16.4185	-0.1373	32.4646	-137.9059	42.6100	-240	-142	177	100646	0.57 
520.350	-1.2236	-0.0088	1.9019	10.4370	29.2969	-14.2822	-1.0931	35.0024	-141.0040	42.6100	-231	-148	174	100645	0.57 
520.444	-1.2544	-0.0474	1.7529	-4.1504	34.0576	15.5029	-0.5219	37.7655	-141.0809	42.6200	-225	-155	170	100645	0.57 
520.584	-1.1621	-0.0352	1.2441	-23.3154	74.6460	57.6172	1.0492	43.3081	-137.1588	42.6300	-208	-149	166	100646	0.57 
520.709	-1.4634	-0.0796	1.4180	-11.5967	79.1626	7.4463	2.1478	51.1414	-134.2914	42.6100	-180	-137	155	100646	0.57 
520.756	-1.5352	0.1475	1.5532	-6.7749	46.4478	4.0283	1.0986	57.4146	-137.2247	42.6100	-151	-134	151	100646	0.57 
520.881	-1.4668	-0.0610	1.4932	1.3428	22.7661	-1.1597	0.5493	59.7821	-140.1031	42.6100	-129	-130	148	100647	0.57 
521.021	-1.7148	0.0083	1.7246	-0.9766	-2.9297	-4.6387	-1.5820	60.0842	-145.0305	42.5900	-114	-133	148	100647	0.57 
521.084	-1.6348	-0.0332	1.7520	-3.5400	-27.7710	5.6763	-1.6754	57.4200	-147.2278	42.5900	-110	-132	150	100648	0.56 
521.194	-1.8213	-0.1299	2.0596	-3.2959	-56.7627	5.3101	-1.8896	53.3112	-149.4086	42.5800	-117	-129	152	100649	0.56 
521.303	-2.3960	-0.1519	2.4702	-15.1978	25.5127	15.7471	-1.2634	48.3124	-149.8645	42.5300	-143	-135	157	100650	0.56 
521.459	-2.0098	-0.1401	2.0513	-0.9155	85.3271	21.6675	0.0714	55.0800	-149.1669	42.5300	-130	-133	160	100651	0.56 
521.506	-1.8535	-0.0439	1.8188	4.0283	70.8008	-7.8735	0.1263	61.9849	-151.6443	42.5100	-99	-135	157	100651	0.56 
521.631	-2.0557	-0.1069	1.9507	16.9678	-12.6343	-18.3105	-2.0050	64.9731	-157.6208	42.5200	-79	-133	161	100651	0.56 
521.803	-1.9922	-0.0815	1.9346	18.7988	-54.7485	-24.9634	-4.3451	58.8428	-165.1575	42.4700	-90	-139	154	100651	0.56 
521.881	-1.7505	-0.1948	1.8013	20.3247	-230.5908	-6.8359	-3.7903	47.0819	-168.8214	42.4400	-125	-142	149	100651	0.56 
522.006	-1.3530	0.0879	0.4165	14.2212	31.1279	-14.3433	-1.8567	31.7065	-172.6996	42.3900	-201	-149	167	100650	0.56 
522.068	-0.8506	-0.1958	0.8193	13.3667	-36.6211	12.2681	0.3955	30.0146	-171.0406	42.3400	-229	-153	176	100650	0.56 
522.162	-1.2612	-0.0020	0.8833	2.9297	27.8931	3.7842	1.0876	31.2561	-170.9143	42.3100	-236	-158	176	100649	0.56 
522.287	-2.4722	0.2368	1.6948	-17.5171	135.9253	-15.1367	0.6152	38.3368	-172.1118	42.3000	-224	-156	175	100648	0.56 
522.428	0.0903	-0.0293	0.5352	-1.2207	20.3247	34.6680	0.8405	41.8195	-170.2002	42.2900	-189	-149	163	100648	0.56 
522.490	-1.0986	-0.0571	1.5703	-8.9722	46.2646	10.9863	0.8514	50.4602	-168.8214	42.2500	-163	-148	162	100648	0.56 
522.568	-1.5327	-0.0659	1.7979	5.1270	39.9780	-18.0054	-0.4504	54.9316	-170.3595	42.2500	-137	-152	157	100648	0.56 
522.709	-1.8081	-0.0601	1.8794	3.9063	-9.8877	5.3711	-1.3898	56.3708	-172.8479	42.2500	-117	-150	155	100649	0.56 
522.803	-1.7222	0.0083	1.8799	-0.7324	-49.5605	4.6997	-1.6040	52.4542	-173.8861	42.2300	-119	-153	155	100649	0.56 
522.881	-1.7627	-0.1294	1.9741	-5.0049	-54.2603	1.5259	-1.8787	46.7084	-174.2871	42.2400	-133	-154	158	100649	0.56 
523.006	-1.6255	-0.1128	1.9204	-18.9209	22.3389	-1.2817	-2.9938	44.6320	-174.9243	42.2300	-147	-153	161	100650	0.56 
523.100	-1.7397	0.0176	1.8354	-14.3433	99.7925	2.6855	-4.9823	50.9656	-176.0779	42.2200	-138	-150	165	100651	0.56 
523.209	-2.0601	-0.4121	1.8848	2.5635	77.1484	16.3574	-3.7683	60.2765	-174.4794	42.2100	-102	-146	160	100652	0.56 
523.350	-2.0337	-0.0718	1.7485	4.5776	51.7578	-20.4468	-5.2075	65.2698	-179.2694	42.1900	-72	-148	162	100652	0.56 
523.428	-2.0542	-0.0522	1.7100	-33.1421	-8.6670	15.9302	-7.5531	65.5389	177.6105	42.1800	-62	-150	161	100652	0.56 
523.553	-2.1621	-0.0039	1.8115	-35.6445	-54.8096	11.7188	-6.7621	61.0071	179.9011	42.1700	-71	-139	162	100652	0.56 
523.646	-1.9658	-0.5034	2.3794	6.2256	-195.9839	-4.9438	-5.3723	50.5206	-177.8906	42.1400	-103	-128	153	100651	0.56 
523.740	-1.1978	0.0254	-0.1128	12.2070	24.3530	-0.9155	1.0382	30.3497	-177.8796	42.0700	-192	-133	167	100651	0.56 
523.865	-1.0361	0.0142	1.0186	-7.7515	-11.9629	45.9595	2.2961	30.9100	-174.9628	42.0600	-218	-137	176	100650	0.56 
523.944	-1.1035	0.0098	0.8491	-7.3853	34.9121	32.5928	4.0155	33.5193	-170.9198	42.0500	-223	-129	177	100649	0.56 
524.084	-2.6357	-0.2466	1.5640	-32.3486	157.7148	0.7935	5.1196	41.6107	-167.4042	42.0200	-202	-124	173	100649	0.56 
524.147	-0.9741	-0.0317	1.4766	13.0005	6.8970	-23.3765	3.8837	53.2452	-168.0908	42.0200	-151	-115	158	100648	0.56 
524.272	-1.5645	0.0508	1.5015	-7.4463	13.7939	35.3394	4.5538	57.4750	-168.3435	42.0100	-117	-118	156	100648	0.57 
524.381	-1.7241	-0.0488	1.7407	-13.1226	-26.1230	20.2026	5.1196	57.5079	-167.1460	42.0100	-103	-119	162	100648	0.56 
524.475	-1.8916	0.0049	1.9170	2.8687	-66.9556	11.2915	3.8562	52.8882	-169.1016	42.0000	-102	-116	160	100648	0.56 
524.585	-1.7119	-0.1162	1.9072	-6.2866	-68.5425	12.6953	4.2297	45.0439	-169.8102	41.9900	-125	-117	159	100649	0.56 
524.709	-1.8062	-0.1108	2.0269	-10.8032	-9.0332	5.9814	3.3618	40.6055	-170.6342	41.9700	-149	-117	160	100650	0.56 
524.834	-1.4478	-0.0542	1.7085	2.9907	51.2695	7.5684	3.6694	43.5114	-169.3762	41.9500	-150	-117	162	100650	0.56 
524.928	-1.9502	-0.0249	1.9390	7.1411	82.0923	-1.8311	4.7681	49.7736	-169.1565	41.9600	-131	-120	162	100650	0.56 
525.053	-1.8721	0.0127	1.6362	7.8125	53.0396	-12.2070	4.6252	56.0083	-172.1832	41.9500	-105	-123	164	100651	0.56 
525.131	-1.9585	-0.1084	1.6846	10.4370	64.6362	-28.9917	0.8350	62.1002	-178.8519	41.9500	-83	-123	160	100651	0.56 
525.210	-1.8022	0.0737	1.7666	18.9209	-2.8076	-3.7231	0.3461	64.7260	176.8799	41.9400	-62	-127	164	100651	0.56 
525.334	-1.9980	-0.0918	1.7446	11.9019	-57.7393	-2.5635	0.7690	60.4303	173.7762	41.9000	-70	-132	160	100651	0.56 
525.459	-2.8174	-0.2407	2.4614	12.1460	-62.4390	-24.2920	-1.4777	54.7614	169.1785	41.8900	-94	-134	157	100651	0.56 
525.553	-2.0996	0.2744	-0.5586	9.4604	-63.1104	-12.6343	-1.0272	28.9929	167.0416	41.8500	-173	-128	162	100651	0.56 
525.631	-0.7969	-0.2422	0.7842	12.5732	-26.5503	18.8599	0.8624	28.0206	169.2224	41.8100	-223	-134	176	100650	0.56 
525.756	-0.9932	0.0356	0.8906	6.6528	-3.1738	4.4556	0.9558	28.6304	169.8926	41.7900	-230	-135	181	100649	0.56 
525.865	-0.7695	0.1113	0.6475	-2.7466	-34.6680	-6.8359	1.1206	28.5754	171.4362	41.7700	-236	-136	183	100649	0.56 
525.959	-2.9668	-0.1011	3.1055	3.5400	82.0313	1.8921	-1.5601	39.6826	170.4858	41.7500	-218	-134	175	100649	0.56 
526.038	-1.5903	-0.0410	2.0776	-13.3057	98.4497	27.5269	-0.1813	47.6862	172.8754	41.7200	-181	-134	163	100649	0.56 
526.162	-1.9526	-0.1812	1.8110	-9.3994	49.7437	-10.9253	-0.6757	55.1678	175.0232	41.7200	-136	-135	154	100650	0.56 
526.303	-2.0093	-0.0127	2.0356	5.0659	-7.1411	4.2725	-1.9611	56.8323	173.5510	41.7100	-110	-135	157	100651	0.56 
526.381	-2.1416	0.0723	2.1411	9.7656	-67.1387	-9.5825	-0.2417	52.7948	174.5068	41.6900	-108	-134	155	100652	0.56 
526.569	-1.8818	-0.1060	2.0220	-4.6997	-38.6353	16.4185	1.1865	45.6097	176.0284	41.6800	-132	-138	156	100653	0.56 
526.616	-1.5693	0.0215	1.7910	-2.7466	13.3667	-0.4272	1.1096	44.6375	176.8030	41.6400	-146	-142	154	100653	0.56 
526.694	-1.6108	-0.0464	1.6943	-7.2632	38.9404	9.5215	1.1536	47.0215	177.9291	41.6200	-139	-139	158	100653	0.56 
526.819	-2.1787	-0.1475	1.9180	-7.6294	75.9888	17.4561	1.4447	54.0692	178.9893	41.6400	-118	-139	160	100654	0.56 
526.944	-1.8540	-0.0747	1.6094	-13.3667	81.2378	13.7329	2.6862	61.0126	-179.5441	41.6300	-87	-139	162	100654	0.56 
527.006	-2.2505	-0.0693	1.8042	9.1553	44.3726	4.4556	2.3950	67.3846	179.6649	41.6500	-59	-136	167	100653	0.56 
527.131	-2.1177	0.0718	1.7720	4.2114	-60.5469	26.6113	4.7186	64.9402	179.1266	41.6300	-54	-135	168	100654	0.56 
527.209	-2.0996	-0.0688	1.8101	-18.4937	-52.5513	-24.5361	3.7299	56.6840	178.1927	41.6600	-77	-133	158	100653	0.56 
527.350	-0.9434	0.1655	0.1128	30.6396	-416.2598	75.8057	2.8894	38.1006	175.3967	41.6300	-125	-123	153	100652	0.56 
527.444	-0.7920	0.2896	1.3706	6.2256	5.0659	-22.0947	5.3229	31.1902	175.9845	41.5800	-204	-123	172	100650	0.56 
527.600	-0.8994	-0.0098	0.6914	-9.4604	-22.6440	-25.8789	3.0817	29.0533	174.8914	41.5400	-226	-124	176	100650	0.56 
527.663	-1.1597	0.0278	0.9185	-12.5732	10.5591	7.2632	1.4722	30.6793	174.4629	41.5500	-228	-124	178	100649	0.56 
527.757	-2.6558	-0.5454	3.1113	-33.0200	232.4219	-42.2974	-1.0327	40.9460	172.0404	41.5400	-216	-122	176	100648	0.56 
527.851	-1.3335	0.0532	1.5801	15.5640	107.7271	-21.2402	-1.2909	48.6749	171.5845	41.5000	-171	-121	162	100648	0.56 
528.010	-1.3882	0.0151	1.7783	6.2866	57.3730	25.5127	-1.2909	55.1843	171.7822	41.4900	-138	-125	153	100648	0.56 
528.072	-1.4385	-0.0068	1.7598	0.9155	-18.8599	7.5073	0.8405	54.6680	174.8090	41.4800	-119	-129	157	100648	0.56 
528.166	-1.9160	-0.0518	2.0669	7.5684	-62.8662	-4.3945	0.6042	48.8013	174.3695	41.4600	-122	-131	154	100649	0.56 
528.260	-1.9028	-0.1240	2.1201	-2.1973	-58.8379	2.3804	0.9338	41.9403	174.8090	41.4200	-144	-131	157	100649	0.56 
528.385	-1.6782	-0.0464	2.0176	-5.8594	10.4980	-0.4272	0.3186	40.0946	175.3033	41.4200	-162	-133	160	100650	0.56 
528.464	-1.3359	-0.0444	1.5239	-3.8452	18.8599	8.1177	0.3625	42.2205	176.8964	41.4100	-158	-132	158	100650	0.56 
528.588	-1.3262	-0.0093	1.6372	-4.4556	14.8315	17.1509	0.7361	43.5168	178.5278	41.4200	-149	-129	161	100651	0.56 
528.698	-2.1880	0.0322	2.0654	-9.0332	86.0596	1.5259	1.1371	47.2906	-179.6979	41.4300	-140	-134	162	100651	0.56 
528.792	-2.0659	-0.1206	1.8101	-0.3662	120.4834	2.9907	1.0217	58.5791	-179.2090	41.4300	-105	-134	163	100651	0.56 
528.916	-2.0581	-0.0708	1.5615	12.9395	75.4395	-5.6152	0.2747	67.1100	177.2260	41.4300	-63	-133	166	100651	0.56 
529.010	-2.1455	-0.0078	1.6670	1.0376	8.7280	21.5454	1.6205	70.8453	175.9680	41.4200	-37	-135	176	100652	0.56 
529.104	-1.8804	0.0122	1.6899	-8.8501	-68.7256	7.1411	2.9553	66.7584	175.8746	41.4000	-38	-136	170	100652	0.56 
