StartTime: 2017-07-07 14:56:27.700
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
273.915	-1.1216	-0.0889	1.8730	-0.4883	-1.5869	0.9155	-2.3291	29.9487	-128.6444	43.1300	-269	-104	228	100646	0.57 
274.008	-1.1191	-0.0884	1.8701	-0.3052	-0.1221	1.0376	-2.3511	29.9432	-128.6389	43.1400	-269	-107	227	100646	0.57 
274.087	-1.1201	-0.0874	1.8730	-0.0610	0.0000	0.8545	-2.3236	29.9323	-128.5730	43.1300	-271	-106	229	100646	0.57 
274.227	-1.1152	-0.0840	1.8696	0.0000	0.0000	0.9766	-2.2687	29.9432	-128.5291	43.1500	-268	-105	225	100646	0.57 
274.305	-1.1187	-0.0854	1.8716	-0.2441	0.5493	1.0986	-2.2247	30.0146	-128.5126	43.1400	-269	-103	230	100646	0.57 
274.430	-1.1167	-0.0859	1.8706	-0.3662	0.7935	0.9155	-2.2247	30.1245	-128.4576	43.1500	-267	-103	229	100646	0.57 
274.602	-1.1406	-0.0830	1.8804	-0.6104	-1.4038	0.8545	-2.2302	30.1740	-128.4631	43.1400	-269	-103	227	100645	0.57 
274.633	-1.1357	-0.0869	1.8711	-0.4883	-4.3335	0.3662	-2.2302	29.9268	-128.4796	43.1600	-269	-104	231	100645	0.57 
274.743	-1.1338	-0.0903	1.8867	-0.2441	-9.8267	-0.7935	-2.2577	29.3115	-128.5840	43.1600	-268	-103	230	100645	0.57 
274.868	-1.1113	-0.0811	1.8740	0.1221	-20.3857	-2.0752	-2.3291	27.9053	-128.7378	43.1600	-271	-104	230	100645	0.57 
274.946	-1.1064	-0.0874	1.8901	1.2207	-32.2266	-0.7324	-2.3291	25.5322	-128.8422	43.1700	-277	-102	239	100645	0.57 
275.134	-1.0112	-0.0825	1.8779	2.5635	-44.4336	-2.9907	-2.1094	22.0331	-128.6554	43.1400	-283	-105	246	100645	0.57 
275.212	-0.9092	-0.0645	1.8540	2.6245	-57.4951	-3.1128	-1.9336	17.2925	-128.6664	43.1700	-292	-110	262	100646	0.57 
275.274	-0.8706	-0.1040	1.8140	1.3428	-50.9033	-4.2114	-1.7194	11.8872	-128.0237	43.1600	-295	-108	278	100645	0.57 
275.353	-0.6753	-0.0210	1.8379	-0.7324	-65.0024	-4.5166	-1.8842	6.5918	-127.8149	43.1700	-299	-108	299	100646	0.57 
275.477	-0.5493	-0.0596	1.7842	1.4038	-65.9180	-3.9673	-1.8787	0.9393	-127.6831	43.1900	-304	-113	319	100646	0.57 
275.602	-0.4473	-0.0718	1.6855	0.1221	-63.4155	-2.8076	-1.9446	-4.2957	-127.3096	43.1600	-301	-116	342	100646	0.57 
275.681	-0.3237	-0.0254	1.6230	-0.1221	-62.4390	-3.4790	-2.1259	-9.3219	-126.6779	43.1900	-298	-118	361	100646	0.57 
275.837	-0.2510	-0.0410	1.5190	3.1738	-60.7910	-3.2349	-2.0435	-14.0735	-126.0901	43.1800	-286	-119	382	100646	0.57 
275.899	-0.1812	-0.0576	1.4531	1.3428	-59.4482	-2.4414	-2.0105	-18.5449	-125.5518	43.1900	-281	-121	404	100645	0.57 
276.009	-0.1001	-0.0352	1.3677	4.1504	-48.1567	-7.1411	-1.7029	-22.4780	-125.2551	43.1800	-271	-124	423	100646	0.57 
276.102	-0.0635	0.0088	1.2949	4.2725	-43.7622	-5.3101	-1.0602	-25.3729	-125.4584	43.1800	-256	-130	438	100645	0.57 
