StartTime: 2017-07-07 14:06:03.877
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
177.242	-1.0127	0.0000	1.8955	-0.1221	0.0000	-3.3569	-0.5438	28.0920	-126.9141	39.9600	-242	-115	128	100668	0.55 
177.305	-1.0176	0.0073	1.8926	-0.1831	0.4272	-1.5259	-0.6592	28.0811	-127.2437	39.9500	-241	-116	124	100668	0.55 
177.414	-1.0210	-0.0142	1.8818	-0.4883	1.2817	1.0986	-0.6372	28.1964	-127.2491	39.9700	-243	-120	125	100668	0.55 
177.508	-1.0264	-0.0146	1.8818	-0.4272	2.8076	-2.0142	-0.6757	28.3942	-127.2821	39.9800	-244	-115	127	100668	0.55 
177.633	-1.0391	-0.0205	1.8916	-0.7935	4.6387	-6.1646	-1.0327	28.7567	-127.8534	39.9700	-242	-117	125	100668	0.55 
177.712	-1.0723	-0.0269	1.8770	0.4883	3.6621	-3.2959	-1.3019	29.1083	-128.4631	39.9800	-238	-118	126	100668	0.55 
177.836	-1.0039	-0.0068	1.7808	1.7090	24.9023	-2.4414	-1.1975	30.2289	-128.7378	39.9900	-240	-121	118	100668	0.55 
177.915	-1.1587	0.0000	1.6064	0.3662	65.0635	6.8970	-1.2195	35.0024	-129.1168	39.9900	-230	-119	115	100669	0.55 
178.055	-1.3188	-0.0723	1.5801	-7.7515	94.7266	-8.5449	-1.6699	43.0719	-129.6881	40.0000	-214	-121	101	100668	0.55 
178.133	-1.3721	0.0176	1.7266	-9.5825	62.6221	5.6763	-2.9224	49.7351	-131.0834	40.0100	-187	-124	82	100668	0.55 
178.258	-1.5249	-0.0786	1.8311	-8.7280	22.8271	5.9814	-2.8839	53.3661	-130.8582	40.0000	-170	-122	71	100669	0.55 
178.368	-1.5659	-0.0469	1.7935	-7.0190	3.2349	11.8408	-2.4115	54.0198	-130.4022	39.9900	-158	-116	69	100669	0.55 
178.492	-1.6714	-0.0850	1.8823	-6.6528	-19.9585	7.3242	-1.9336	52.6904	-129.7595	40.0000	-159	-115	64	100670	0.55 
178.571	-1.5981	-0.0469	2.0073	4.0283	-44.3726	8.9111	-1.3074	48.8837	-129.6332	39.9900	-172	-117	64	100670	0.55 
178.696	-1.4907	0.0308	2.1196	0.6714	-71.2280	0.0000	-0.6097	42.4237	-129.7815	40.0100	-192	-118	70	100671	0.55 
178.836	-1.1587	-0.0293	1.7632	6.9580	-45.2881	2.6245	0.1318	36.1505	-129.5068	39.9900	-214	-119	81	100671	0.55 
178.914	-1.1118	-0.0083	1.8975	1.3428	-40.7104	1.1597	0.6097	31.8604	-129.3695	39.9900	-229	-119	93	100671	0.55 
179.009	-1.0293	0.0073	1.8623	2.5024	-22.7661	-0.4272	0.6812	28.6249	-129.2432	39.9900	-239	-119	101	100672	0.54 
179.102	-1.0337	0.0142	1.8906	-0.8545	-9.7656	-1.7700	0.7031	27.3175	-129.1553	39.9900	-246	-119	107	100672	0.54 
179.212	-1.0435	-0.0044	1.8853	-0.5493	-7.8125	1.8311	0.6372	26.4551	-128.9301	39.9900	-248	-122	108	100672	0.54 
179.336	-1.0576	0.0039	1.8579	0.3662	-1.4648	0.7324	0.6812	26.1914	-128.5675	39.9800	-249	-117	110	100672	0.54 
179.430	-1.0527	-0.0059	1.8882	-1.2207	0.2441	-0.1831	0.5328	26.4661	-128.4576	39.9900	-253	-115	112	100672	0.54 
179.524	-1.0659	-0.0093	1.8926	-0.0610	0.7935	-0.6104	0.4010	26.6858	-128.3093	39.9900	-253	-119	113	100672	0.54 
179.634	-1.0640	-0.0103	1.8838	0.6714	0.7935	-0.1831	0.3406	26.9110	-128.2434	40.0100	-252	-120	116	100673	0.54 
179.758	-1.0498	0.0010	1.8838	0.0000	0.1831	0.0000	0.3625	27.0703	-128.0731	40.0100	-251	-117	113	100673	0.54 
179.883	-1.0747	-0.0068	1.8867	0.3662	-0.0610	-0.1831	0.3351	27.2736	-128.0072	40.0100	-253	-119	112	100673	0.54 
179.977	-1.0337	-0.0039	1.8721	0.9155	1.5259	2.3193	0.4285	27.3340	-127.7655	40.0200	-252	-120	112	100674	0.54 
180.040	-1.0327	0.0034	1.8833	-0.3662	6.4087	-1.4038	0.4120	27.8558	-127.6227	40.0300	-249	-123	111	100674	0.54 
180.165	-1.0415	-0.0078	1.8574	-0.6104	8.9722	-1.2207	0.3296	28.7622	-127.7380	40.0400	-250	-123	107	100674	0.54 
180.259	-1.0928	0.0000	1.9014	-1.6479	25.1465	-1.5869	0.1208	30.4211	-127.8094	40.0500	-247	-123	105	100674	0.54 
180.368	-1.1045	-0.0083	1.8330	-3.9063	38.5132	-2.3193	-0.2747	33.2941	-128.0457	40.0400	-242	-121	99	100674	0.54 
180.524	-1.1499	-0.0103	1.9805	1.4038	58.6548	-2.3193	-0.7086	38.0127	-128.5400	40.0400	-231	-121	93	100674	0.54 
180.571	-1.6035	-0.0176	2.2056	-2.5024	48.3398	2.2583	-1.1206	43.8959	-129.2542	40.0600	-208	-121	78	100674	0.54 
180.727	-1.5474	-0.0386	1.9917	-3.8452	15.6860	-2.8687	-1.5930	46.3678	-130.0287	40.0500	-189	-122	72	100674	0.54 
180.805	-1.4614	-0.0112	1.8418	-2.7466	-0.4883	4.8828	-1.9830	46.3019	-130.8252	40.0400	-178	-118	69	100674	0.54 
180.930	-1.3667	-0.0493	1.6899	-2.3193	-22.0947	4.4556	-1.6315	44.8132	-130.5396	40.0400	-176	-113	73	100674	0.54 
181.009	-1.3296	-0.0190	1.6255	4.6997	-34.3628	-2.3804	-1.4886	41.8799	-131.2976	40.0100	-177	-110	81	100674	0.54 
181.133	-1.3096	-0.0303	1.6802	5.4932	-37.7197	-5.1880	-1.1755	38.3258	-132.2260	40.0200	-188	-112	89	100674	0.54 
181.258	-1.2661	0.0000	1.6597	2.0142	-28.6255	-10.1929	-1.3348	34.9420	-133.5883	40.0200	-201	-113	95	100673	0.54 
181.336	-1.2651	-0.0269	1.8296	-0.8545	-26.6724	-0.4272	-1.5436	32.4646	-134.2474	40.0300	-210	-115	103	100672	0.54 
181.446	-1.1328	-0.0181	1.7529	-0.1831	-14.7095	2.6245	-1.3513	30.2179	-133.9124	40.0200	-217	-112	109	100672	0.54 
181.571	-1.2437	-0.0156	1.9019	-0.3662	-4.8218	6.4087	-1.0822	30.0476	-133.3191	40.0300	-219	-114	111	100672	0.54 
181.649	-1.1362	-0.0054	1.8730	-0.3052	-8.8501	-1.9531	-1.1206	29.2291	-133.1323	40.0400	-221	-111	113	100671	0.55 
181.774	-1.1157	0.0059	1.8643	-2.1973	-5.7373	3.1128	-0.8185	28.7677	-132.5830	40.0400	-226	-112	115	100671	0.55 
181.883	-1.1426	-0.0259	1.8809	-0.1221	0.7324	-0.6714	-0.8899	28.8721	-132.2040	40.0400	-223	-114	115	100671	0.55 
181.977	-1.1138	-0.0073	1.8809	0.3052	-2.4414	3.2959	-0.8020	28.8171	-132.0337	40.0500	-222	-110	115	100670	0.55 
182.086	-1.1313	-0.0205	1.8853	0.7324	0.8545	-0.7324	-0.7086	28.8721	-131.7371	40.0600	-225	-112	113	100670	0.55 
182.181	-1.1313	-0.0181	1.8730	-0.4272	-0.1221	-1.4038	-0.7690	29.0204	-131.7426	40.0600	-229	-111	114	100670	0.55 
182.274	-1.1333	-0.0098	1.8813	0.4272	-1.2817	-1.2817	-0.8569	29.0424	-131.7371	40.0600	-225	-110	116	100670	0.55 
182.384	-1.1260	-0.0122	1.8633	-0.5493	-1.4038	1.4648	-0.7800	29.0204	-131.5503	40.0700	-224	-109	116	100669	0.55 
182.478	-1.1177	-0.0176	1.8823	0.0000	-0.3052	0.6104	-0.7581	29.0588	-131.2866	40.0800	-227	-109	116	100669	0.55 
182.602	-1.1274	-0.0186	1.8721	-0.1831	-1.5869	-0.4272	-0.7361	29.0588	-131.0944	40.0700	-227	-111	114	100669	0.55 
182.743	-1.1372	-0.0132	1.8745	0.7935	-1.1597	-2.0752	-0.7745	29.0533	-131.1603	40.0900	-229	-111	117	100669	0.55 
182.805	-1.1333	-0.0103	1.8667	2.9907	6.9580	-4.0283	-0.7635	29.5258	-131.4075	40.0900	-226	-114	112	100669	0.55 
182.930	-1.1421	-0.0039	1.8242	2.8076	15.0146	-0.6714	-0.4779	30.6134	-131.5833	40.1000	-224	-114	115	100668	0.55 
183.009	-1.1992	0.0103	1.7583	1.0986	33.4473	-0.9766	-0.3351	33.1787	-131.7645	40.1000	-221	-113	107	100668	0.55 
183.180	-1.2905	-0.0200	1.7021	-4.0283	51.3916	4.7607	-0.3680	37.7545	-131.5997	40.1200	-214	-112	101	100668	0.55 
183.274	-1.3530	0.0054	1.6665	-1.0376	47.9126	-1.2207	-0.7361	42.8632	-132.0776	40.1100	-196	-112	89	100668	0.55 
183.352	-1.4453	0.0015	1.6660	-0.1831	52.9175	-1.1597	-0.9613	48.1476	-133.0280	40.1300	-174	-112	79	100668	0.55 
183.462	-1.4434	0.0195	1.6484	-2.0142	30.4565	7.6294	-0.6866	52.1686	-133.4949	40.1300	-158	-118	69	100669	0.55 
