12 steps
StartTime: 2017-07-11 15:59:09.180
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
256.350	-1.0313	-0.0210	1.8887	0.0610	1.5869	-0.2441	-0.8185	28.6304	119.6356	37.1000	120	-132	262	100850	0.40 
256.459	-1.0259	-0.0181	1.8848	0.6104	0.8545	0.0000	-0.7800	28.7128	119.6191	37.1200	118	-134	261	100851	0.40 
256.537	-1.0254	-0.0156	1.8828	0.1221	1.0986	0.9155	-0.6757	28.7622	119.7290	37.1200	118	-136	264	100851	0.40 
256.678	-1.0259	-0.0200	1.8784	0.3052	0.2441	1.4648	-0.6262	28.8556	119.8224	37.1100	118	-136	266	100850	0.40 
256.756	-1.0332	-0.0142	1.8760	0.5493	0.3052	0.6714	-0.5493	28.9215	119.8663	37.1300	115	-133	263	100850	0.40 
256.881	-1.0459	-0.0093	1.8857	0.7935	0.0000	0.0000	-0.4889	28.9655	119.9158	37.1400	119	-138	264	100850	0.40 
256.959	-1.0190	0.0039	1.8984	0.2441	1.2207	4.2725	-0.4285	29.0314	120.0586	37.1300	118	-139	265	100850	0.40 
257.084	-1.0127	-0.0225	1.8472	-0.9766	8.0566	8.6670	-0.1154	29.4708	120.7672	37.1300	118	-135	265	100850	0.40 
257.209	-0.9697	-0.0918	1.8618	-0.6104	10.6201	6.7749	0.2527	30.4486	121.7175	37.1500	120	-136	268	100850	0.40 
257.287	-0.9839	-0.1138	1.8721	0.6714	12.6343	-1.5259	0.1923	31.5692	121.8164	37.1500	121	-139	269	100850	0.40 
257.397	-1.0146	-0.1167	1.8428	6.9580	19.5923	-16.1133	-0.1978	32.8711	120.5475	37.1600	126	-141	272	100850	0.40 
257.522	-1.0254	-0.0352	2.0898	4.8218	41.6260	4.5166	0.9119	35.9528	120.9375	37.1600	134	-142	281	100850	0.40 
257.678	-0.9551	0.1011	1.8037	34.1797	25.6958	-22.6440	1.8732	38.0347	119.1852	37.1600	140	-142	295	100850	0.40 
257.725	-0.9902	0.1685	1.7114	21.1792	32.5317	-14.0381	3.9661	40.7538	117.5922	37.1800	148	-140	304	100850	0.40 
257.835	-0.9536	0.2271	1.9897	6.1035	28.1982	-2.2583	4.9988	43.1543	117.4493	37.1700	154	-141	314	100850	0.40 
257.975	-1.1655	0.3643	2.1953	-7.2632	4.7607	1.8921	4.2023	44.4781	116.7517	37.1400	160	-138	325	100851	0.40 
258.037	-1.4072	-0.1606	2.1040	-20.7520	51.5747	53.1616	4.7351	46.6809	118.6414	37.1200	167	-134	334	100851	0.40 
258.162	-1.5220	-0.2202	3.6504	-30.8228	18.8599	1.0376	4.9109	50.9985	122.8766	37.0900	173	-147	352	100852	0.39 
258.240	-1.3149	0.4180	1.3394	9.7656	-39.6729	-11.5967	-5.6744	44.5111	109.7424	37.0400	180	-129	346	100852	0.39 
258.365	-1.0293	0.0371	0.5581	2.1973	-89.9048	3.2959	-3.8892	38.3203	108.1329	36.9800	182	-112	317	100852	0.39 
258.506	-1.0361	0.0142	3.0059	0.4883	-18.7378	76.6602	-4.4220	40.7593	109.0833	36.9400	189	-106	304	100852	0.39 
258.584	-0.8169	0.4189	1.3525	35.6445	-92.2852	94.2383	3.5706	37.8973	117.3669	36.9100	190	-120	300	100853	0.39 
258.740	-0.8618	-0.3521	0.7710	-39.6729	-64.6973	-10.6812	4.4714	33.4589	122.7283	36.8700	176	-142	273	100853	0.39 
258.803	-1.3242	-0.0630	1.6475	-10.9253	49.0723	-24.9023	3.2904	33.9148	123.8049	36.8500	168	-147	248	100853	0.39 
258.912	-1.6841	0.0474	4.4487	-5.6763	43.3960	-28.5645	-0.8789	39.2816	117.7020	36.8600	177	-138	253	100853	0.39 
258.991	-1.1187	0.0918	0.5654	41.9922	-25.9399	-63.7817	-3.9056	33.8159	110.6818	36.8000	165	-124	250	100853	0.39 
259.147	-1.3354	-0.2646	0.5547	15.6250	-19.2261	-17.7612	-0.8624	32.5800	109.7424	36.7900	150	-121	239	100853	0.39 
259.225	-0.7017	0.4009	3.5229	-13.1836	-24.4751	142.2729	-0.9888	36.9086	112.2253	36.7900	154	-120	246	100853	0.39 
259.334	-0.9873	-0.0249	1.0581	14.5264	-36.5601	71.0449	4.4385	34.7717	119.5917	36.7600	152	-138	258	100853	0.39 
259.459	-1.1211	0.0391	0.7217	-29.1138	-36.3159	-2.5024	3.8617	32.6569	122.2284	36.7500	147	-151	254	100854	0.39 
259.553	-1.0181	-0.0298	1.8735	-13.7329	80.3833	-31.6162	2.4170	32.5415	124.0247	36.7400	138	-153	246	100854	0.39 
259.647	-1.5215	0.0117	4.1626	4.5776	10.6812	-86.7920	-3.2190	38.8696	115.4938	36.7300	152	-141	260	100854	0.39 
259.756	-1.1533	0.1265	0.7139	51.4526	-8.9722	-53.0396	-5.8337	33.9862	106.6663	36.7200	150	-117	263	100854	0.39 
259.866	-1.2490	-0.3730	0.6206	19.4702	-12.8784	-40.6494	-3.3234	33.5248	105.2765	36.6800	147	-111	262	100854	0.39 
260.006	-0.4375	0.3623	3.4751	-4.2114	-31.2500	139.0991	-2.6752	38.6664	107.8638	36.6600	152	-109	274	100854	0.39 
260.084	-1.0747	-0.2603	0.8721	9.2773	-39.3066	73.8525	4.9384	34.7498	118.6359	36.6400	157	-128	281	100854	0.39 
260.209	-1.0898	-0.0283	0.7368	-22.6440	-38.0859	11.6577	4.6802	32.8931	122.1735	36.6300	154	-143	268	100854	0.39 
260.272	-0.9189	0.2612	2.8237	-4.3335	103.5156	-39.9780	2.3621	35.5957	122.4097	36.6400	155	-144	259	100854	0.39 
260.397	-1.4668	-0.1631	3.7847	8.9111	-28.5645	-82.1533	-3.4991	39.6936	113.4064	36.6400	171	-135	278	100855	0.39 
260.553	-1.2686	0.2676	0.5854	36.9873	-9.1553	-40.1611	-5.8887	34.6729	105.4138	36.6100	166	-110	264	100855	0.39 
260.600	-1.3018	-0.0752	0.6816	13.7329	-0.4272	-46.0205	-4.7131	34.6729	102.7661	36.6100	163	-104	249	100855	0.39 
260.741	-0.4702	0.0234	3.0273	-10.1318	12.5122	120.4834	-2.4664	39.5728	108.1274	36.5800	178	-101	256	100855	0.39 
260.834	-0.9834	-0.2148	0.9438	12.6953	-48.9502	60.1196	4.1089	36.2659	117.0154	36.5600	183	-124	257	100855	0.39 
260.959	-1.1787	-0.0283	0.6870	-29.7241	-39.3066	0.5493	2.7081	34.3213	119.0973	36.5600	169	-137	235	100855	0.39 
261.038	-1.1963	-0.6597	2.1182	-14.5264	83.6792	-88.3789	-0.4065	36.4911	117.9218	36.5500	162	-134	215	100855	0.39 
261.178	-1.4463	-0.1431	3.9204	3.3569	-29.5410	-89.2944	-5.4492	42.1381	110.8740	36.5400	180	-123	228	100855	0.39 
261.257	-1.1455	-0.0073	0.3506	46.8140	-15.0757	-44.5557	-7.5037	36.6119	103.8153	36.5200	170	-99	219	100856	0.39 
261.366	-1.2974	-0.1475	0.6558	8.7891	5.4321	-48.2788	-5.8832	36.5295	101.8488	36.4700	156	-95	206	100855	0.39 
261.475	-0.4395	-0.0034	3.2349	-3.2349	-7.3242	119.0796	-5.0427	42.3413	105.4688	36.4800	163	-94	216	100854	0.39 
261.569	-1.0522	0.2070	1.3184	20.0195	-47.1191	84.2896	3.7463	39.9133	115.5707	36.4600	170	-115	227	100855	0.39 
261.679	-0.8857	-0.0220	0.8457	-28.3203	-45.0439	34.7290	5.2570	36.3922	122.3328	36.4400	151	-137	213	100854	0.39 
261.788	-1.1484	-0.3857	0.7695	-22.7051	14.8926	-5.4932	4.1748	35.2881	125.2222	36.4400	137	-143	200	100854	0.39 
261.913	-1.2510	0.0630	4.3945	-16.7847	93.2617	-91.5527	1.2085	42.3962	120.1904	36.4400	151	-137	213	100854	0.39 
262.022	-1.0557	0.2920	0.8936	21.2402	-60.6689	-26.4893	-3.5541	37.5403	112.6318	36.4200	144	-116	214	100854	0.39 
262.116	-1.1245	-0.0537	0.7007	37.9028	-43.1519	1.0986	0.7031	34.6783	112.7692	36.3800	127	-114	203	100854	0.39 
262.241	-1.2129	1.3066	1.0063	-1.5869	30.7617	95.0317	7.1136	34.3158	119.2181	36.4000	111	-127	198	100853	0.39 
