15+15
StartTime: 2017-07-11 16:15:19.429
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
462.123	-1.0513	-0.0786	1.8730	-0.2441	1.0986	-1.5259	-2.4884	29.2676	153.1329	43.3700	22	-247	210	100805	0.43 
462.170	-1.0601	-0.0703	1.8789	0.3052	-2.0142	0.1831	-2.4445	29.1742	152.6111	43.3800	21	-250	209	100806	0.43 
462.233	-1.0615	-0.0713	1.8784	0.3052	-2.3804	1.0376	-2.3511	28.9709	152.7209	43.3800	20	-250	209	100806	0.43 
462.327	-1.0464	-0.0688	1.8774	0.2441	-2.6245	1.0986	-2.2577	28.7567	152.7979	43.3700	23	-249	212	100806	0.43 
462.358	-1.0400	-0.0698	1.8784	0.0610	-1.6479	-0.1221	-2.1973	28.6084	152.8748	43.3700	16	-253	210	100806	0.43 
462.405	-1.0459	-0.0669	1.8755	0.7324	-1.2207	-0.0610	-2.1588	28.5590	152.9626	43.3600	16	-247	208	100806	0.43 
462.514	-1.0352	-0.0278	1.8721	3.0518	-0.9155	3.2349	-1.8182	28.5040	153.2153	43.3700	16	-250	207	100806	0.43 
462.624	-1.0220	0.0415	1.8608	3.1128	1.3428	6.8970	-1.1151	28.6578	153.8800	43.3700	16	-252	210	100806	0.43 
462.749	-1.0498	0.0225	1.8613	0.9766	-0.7324	11.9629	-0.2582	28.7622	155.1050	43.3700	12	-253	210	100807	0.43 
462.827	-1.0269	-0.1235	1.8662	5.6763	8.3008	-11.1084	0.1099	28.9764	155.5939	43.3700	9	-252	212	100807	0.43 
463.170	-0.8843	-0.0425	1.8662	1.5869	9.2163	-12.8174	-0.3406	29.2566	154.2096	43.3700	14	-257	212	100806	0.43 
463.249	-0.9478	-0.1685	1.8462	-10.1929	6.3477	4.6387	-0.6976	29.6301	155.0391	43.3700	13	-253	213	100806	0.43 
