StartTime: 2017-07-11 16:15:19.429
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
790.284	-1.1982	-0.0479	1.8560	-0.9155	-2.6245	-3.0518	-1.7853	32.7008	153.2043	43.7600	10	-253	221	100833	0.41 
790.409	-1.1777	-0.0806	1.8472	0.3662	-2.9297	-5.2490	-2.1204	32.4207	152.6715	43.7600	10	-255	222	100833	0.41 
790.487	-1.1958	-0.1167	1.8994	-0.6104	-1.4648	-13.6719	-2.6422	32.1570	151.5509	43.7700	10	-255	219	100833	0.41 
790.596	-1.0918	-0.1084	1.9189	1.8921	-8.6670	5.5542	-2.8729	31.4099	151.0510	43.7500	13	-256	220	100833	0.41 
790.721	-1.1572	-0.1079	1.7871	2.7466	-3.8452	7.0190	-2.2797	30.7617	151.6992	43.7500	12	-256	222	100832	0.41 
790.799	-1.1606	0.1064	1.9087	4.3335	-6.9580	14.4043	-1.4612	30.8551	152.8912	43.7400	11	-257	221	100832	0.41 
790.940	-0.9468	-0.0420	1.9321	14.2212	3.7842	6.9580	0.3735	30.5804	154.8633	43.7400	6	-262	225	100832	0.41 
791.034	-1.0015	0.0625	1.6909	2.8687	10.0098	5.7373	2.0050	31.1572	155.5334	43.7500	3	-264	230	100832	0.41 
791.112	-1.0718	-0.1001	1.5635	-2.8687	-11.0474	-27.5879	1.3678	31.2506	155.0940	43.7700	1	-266	231	100832	0.41 
791.237	-0.9844	0.0547	1.5225	8.8501	-18.4326	-43.2739	-0.5493	29.9323	150.7764	43.7600	8	-268	233	100832	0.41 
791.346	-1.3853	0.1030	2.8408	14.5264	-15.9912	25.7568	-1.7743	31.5527	145.4535	43.7500	20	-267	244	100832	0.41 
791.440	-1.1304	-0.0610	1.8457	-3.7842	12.6953	-4.8828	-0.2747	30.7013	147.6672	43.7500	18	-265	248	100833	0.41 
791.565	-1.1191	-0.0566	1.5098	3.4180	-9.2773	9.3994	-0.3735	31.4648	148.5132	43.7400	15	-270	251	100833	0.41 
791.644	-1.0078	-0.2461	1.6040	9.7046	-24.7803	12.7563	1.8402	29.2456	151.1169	43.7500	4	-274	254	100833	0.41 
791.768	-1.3901	-0.1274	2.6704	-16.1743	-17.2729	-5.1270	1.1865	29.3939	151.7212	43.7600	-5	-274	258	100833	0.41 
791.847	-0.8979	0.3018	1.9751	12.0850	6.7139	21.3013	-0.5328	27.7734	149.4196	43.7200	-5	-272	257	100834	0.41 
791.971	-1.2500	0.1748	1.5918	-0.5493	56.8848	-41.3208	-0.5219	31.0254	148.4473	43.7000	0	-276	264	100834	0.41 
792.081	-0.9185	0.2773	1.4287	-24.6582	8.1787	-2.9907	-2.9608	31.2451	146.2225	43.7100	11	-271	262	100835	0.41 
792.165	-1.1719	0.1177	1.7671	-21.7896	-2.0752	44.9829	-2.8400	32.7887	149.7821	43.7100	4	-268	264	100834	0.41 
792.290	-1.5366	-0.2920	2.5479	3.0518	6.2256	37.2925	-1.9171	32.8766	152.6385	43.7100	-10	-263	259	100835	0.41 
792.414	-0.9717	-0.0674	1.9087	-0.2441	-21.8506	17.1509	0.7581	31.5857	156.7804	43.7000	-25	-257	261	100835	0.41 
792.493	-1.0864	-0.1528	1.6538	-11.7188	8.9111	3.3569	-1.0272	32.6349	155.3577	43.6900	-28	-257	259	100835	0.41 
792.633	-0.9277	-0.1904	1.3818	16.3574	-55.1147	16.4185	-0.9778	32.2449	155.4181	43.7000	-26	-256	260	100836	0.41 
792.758	-0.9600	-0.2222	1.6338	19.7144	-37.1704	-30.5176	-0.7251	30.1135	153.4790	43.7100	-31	-258	265	100836	0.41 
792.821	-1.3066	0.1953	1.9263	-2.2583	1.1597	-5.0659	-1.5381	29.2511	150.3149	43.6900	-26	-256	271	100837	0.41 
792.930	-1.1816	-0.0688	2.3442	-8.4229	-37.9028	-38.7573	-2.8564	29.9213	149.0900	43.6800	-23	-254	274	100838	0.41 
793.024	-1.2363	-0.2471	1.5957	12.4512	32.8979	-9.6436	-0.5878	30.4761	151.5179	43.6900	-22	-253	278	100837	0.41 
793.134	-1.1836	0.1543	1.7324	-10.1929	14.8926	-14.4043	-1.3513	33.2007	148.7439	43.6800	-20	-253	282	100838	0.41 
793.258	-1.2290	0.0864	1.8462	-26.5503	-2.9297	22.8882	-2.6862	32.6514	149.6777	43.6600	-19	-248	276	100837	0.41 
793.383	-1.0283	-0.0532	1.8086	-15.5640	-16.5405	33.5083	-1.2030	30.7617	155.6982	43.6700	-30	-244	270	100838	0.41 
793.430	-1.2368	-0.5308	2.6694	10.4980	-2.8076	29.7852	-0.0165	29.0918	158.0273	43.6700	-45	-234	268	100839	0.41 
793.556	-1.0591	0.0366	1.9360	-2.9907	10.9863	2.4414	0.4944	27.9712	158.5437	43.6400	-54	-233	266	100839	0.40 
793.664	-1.0762	-0.1509	1.4717	1.5869	20.0195	-7.9956	0.3186	29.1632	158.9832	43.6500	-57	-231	265	100839	0.40 
793.789	-1.1260	-0.3271	1.8003	26.3062	11.7798	-7.2021	1.4557	30.6464	158.5272	43.6600	-55	-234	268	100839	0.40 
793.883	-1.0054	0.1299	1.9180	15.1978	12.7563	-53.4668	1.3733	30.6848	154.6051	43.6500	-52	-234	275	100839	0.40 
793.962	-1.3408	0.0371	2.6421	4.2725	16.6626	-68.0542	0.2032	31.7230	152.6880	43.6200	-47	-233	280	100840	0.40 
794.102	-0.8696	-0.2432	1.6377	10.6201	1.9531	32.5317	1.3843	30.4541	152.6276	43.6500	-39	-231	281	100840	0.40 
794.196	-1.0439	0.1704	1.4390	-8.6670	5.0049	7.4463	0.8350	32.0416	151.7761	43.6200	-35	-232	282	100841	0.40 
794.305	-0.9565	0.0752	1.0845	-11.2915	-7.0801	5.3101	0.2307	31.5472	152.6111	43.6200	-38	-232	278	100841	0.40 
794.415	-0.9048	0.2705	2.0044	-15.8081	-7.4463	23.9258	0.0439	33.2721	154.6216	43.6100	-40	-223	272	100841	0.40 
794.509	-1.3696	0.2402	2.4985	6.3477	-13.8550	8.2397	0.6427	31.6681	155.0775	43.6200	-39	-220	265	100841	0.40 
794.633	-1.0981	0.0146	1.7739	-11.1084	-10.4980	17.7002	0.6976	30.6134	155.9070	43.6200	-41	-216	269	100842	0.40 
