StartTime: 2017-07-11 16:15:19.429
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
303.946	-1.0518	-0.0498	1.8706	0.1221	-0.5493	-0.0610	-1.3129	28.9215	147.1179	43.2500	49	-231	206	100838	0.41 
304.009	-1.0586	-0.0459	1.8926	-0.1221	1.0986	-1.3428	-1.3623	28.9709	147.0575	43.2400	52	-233	201	100838	0.41 
304.071	-1.0610	-0.0405	1.8750	-0.2441	-1.1597	-0.3662	-1.4337	29.0094	146.9696	43.2500	54	-234	204	100838	0.41 
304.118	-0.9995	0.0825	1.5195	-2.7466	-78.0029	13.6719	-1.0052	4.7241	147.0245	43.2900	-16	-228	181	100839	0.40 
304.212	-0.9106	-0.0547	1.3311	-5.7983	-67.9932	25.5737	-1.7194	-0.2307	150.2161	43.2900	-44	-230	176	100839	0.41 
304.243	-1.0493	-0.3496	1.1416	-15.6250	-42.4194	-22.3389	-2.8125	-1.7468	151.1334	43.2900	-62	-230	169	100839	0.40 
304.290	-0.9082	0.1880	0.5405	-12.3291	-49.8047	-31.6162	-3.9166	-3.4058	147.1234	43.2600	-71	-226	165	100839	0.41 
304.353	-1.3691	-0.7813	-1.2563	14.5874	-314.6362	6.2256	-5.4327	-30.3882	152.7155	43.2500	-124	-224	167	100840	0.40 
304.431	0.7002	-0.1167	0.0786	15.0757	-119.2017	-0.3662	-5.2350	-46.0767	156.6980	43.2300	-186	-230	207	100840	0.40 
304.540	-0.2314	-0.0288	0.3145	1.7700	-6.1646	14.9536	-7.2675	-47.2083	161.7517	43.2100	-211	-229	236	100840	0.40 
304.650	0.0586	-0.0117	1.0103	0.5493	43.3960	-2.5635	-8.6078	-40.0946	165.6683	43.2000	-216	-228	236	100841	0.40 
304.759	-0.0205	-0.2329	0.9604	5.2490	22.8271	-20.6909	-8.7067	-34.9695	168.3545	43.2000	-210	-229	230	100842	0.40 
304.853	0.0288	0.0049	1.0112	3.6621	36.5601	-6.8970	-8.3276	-30.0916	170.0354	43.2000	-197	-232	219	100843	0.40 
304.931	-0.1504	-0.2021	1.1392	6.7139	44.8608	4.3945	-6.5698	-24.7522	170.9033	43.1900	-186	-238	211	100843	0.40 
305.166	-0.6064	-0.4355	1.0591	-9.8267	3.9673	43.1519	-6.1304	-24.8071	173.8531	43.1900	-174	-242	211	100844	0.40 
305.275	0.6045	0.0181	1.5527	4.0894	-7.0190	-20.4468	-5.0867	-21.2476	174.1553	43.1900	-177	-241	213	100844	0.40 
305.306	-0.2271	0.0654	0.7437	-0.1221	-20.9961	-4.2725	-5.2679	-22.6868	175.9900	43.1800	-180	-242	215	100844	0.40 
305.368	-0.0225	-0.0723	1.0503	1.6479	11.6577	-8.5449	-4.9109	-21.0388	178.1543	43.1700	-183	-245	218	100844	0.40 
305.447	0.0107	0.0620	1.2173	6.6528	12.3291	-6.1035	-4.5483	-18.2043	179.6979	43.1700	-177	-245	217	100845	0.40 
305.572	-0.1353	0.1216	1.2378	-0.1831	-8.5449	6.2866	-3.8287	-16.3422	-178.5498	43.1700	-175	-248	217	100845	0.40 
305.744	-0.0083	-0.0513	1.0220	-3.8452	-6.3477	4.3335	-4.2407	-16.1224	-176.0889	43.1600	-176	-245	216	100845	0.40 
305.806	-0.0024	0.0591	1.0928	-1.8311	1.2207	-2.7466	-4.3835	-15.3149	-174.6497	43.1600	-174	-243	217	100845	0.40 
