StartTime: 2017-07-11 16:10:50.377
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
173.018	-1.0068	-0.0293	1.8789	0.0000	-0.5493	0.7324	-1.4063	27.7679	56.2500	37.2800	-48	32	194	100855	0.39 
173.143	-1.0059	-0.0229	1.8838	0.9155	-0.7935	0.1831	-1.2964	27.6416	56.1346	37.3000	-46	34	195	100855	0.39 
173.237	-1.0083	-0.0117	1.8706	0.1221	0.4272	-5.4321	-1.3184	27.6691	55.8270	37.2900	-46	30	192	100855	0.39 
173.393	-1.0029	-0.0176	1.8843	-0.8545	0.4272	-1.2207	-1.4667	27.7899	55.6238	37.3000	-51	31	193	100855	0.39 
173.502	-0.9932	-0.0112	1.8853	0.2441	-0.1221	-2.0142	-1.5051	27.7899	55.4315	37.3000	-48	30	195	100854	0.39 
173.549	-1.0283	0.0308	1.8916	4.1504	2.8687	-8.1177	-1.4996	27.9053	54.7559	37.3100	-51	31	195	100854	0.39 
173.658	-1.0044	0.0591	1.8657	1.7090	3.1128	-3.3569	-1.3568	28.2294	54.5197	37.3100	-52	28	191	100854	0.39 
173.799	-1.0220	0.0444	1.8765	0.1831	5.4932	3.1128	-1.1151	28.6798	55.1294	37.3400	-50	28	195	100854	0.39 
173.861	-1.0239	0.0518	1.8638	-0.7935	5.8594	2.1973	-0.8405	29.1852	56.1017	37.3200	-46	28	194	100854	0.39 
173.955	-1.0293	0.0439	1.8730	-4.8218	5.1270	-2.0142	-0.9009	29.6906	56.7059	37.3100	-46	29	194	100854	0.39 
174.065	-1.0630	0.0479	1.8931	-11.9019	2.6245	-7.9346	-1.8018	30.0421	56.8817	37.3200	-43	29	198	100854	0.39 
174.190	-1.0859	0.0786	1.8892	-23.8647	2.7466	-4.5166	-3.8782	30.3168	56.4478	37.3200	-45	34	198	100854	0.39 
174.315	-1.0874	-0.0171	1.8867	-31.6162	-4.5776	-20.0806	-7.0258	30.1410	55.2448	37.3200	-46	39	207	100854	0.39 
174.362	-1.1440	-0.0083	1.8647	-40.9546	-13.9160	-13.7329	-10.8820	29.1193	53.6243	37.3300	-52	44	215	100854	0.39 
174.487	-1.2056	0.0059	1.6279	-74.1577	-16.9067	-17.2729	-16.2433	27.3505	52.9980	37.3200	-57	49	227	100854	0.39 
174.612	-1.2129	-0.2256	0.9277	-73.3643	22.4609	-22.0337	-23.2086	26.6254	52.8882	37.3100	-60	59	252	100855	0.39 
174.690	-0.9761	-0.6699	0.6997	-62.0117	60.9741	-48.7061	-29.4543	29.7235	51.1688	37.3000	-53	62	275	100855	0.39 
174.784	-0.5239	-2.9912	2.8433	-119.5068	100.6470	-103.1494	-44.2145	32.6733	40.3693	37.2800	-53	66	303	100855	0.39 
174.893	-0.9150	-0.4946	1.4365	-152.6489	-49.3164	84.7168	-66.7255	9.6625	39.5123	37.2500	-98	43	377	100856	0.39 
175.018	-0.5884	-1.1846	-0.1709	-209.0454	-73.1201	65.3687	-78.9313	14.7546	52.3004	37.1900	-69	23	451	100858	0.39 
175.143	-0.7266	-1.1763	0.5156	4.3335	-48.7061	13.3057	-86.9843	15.5347	53.2507	37.1700	-40	-4	499	100859	0.39 
175.190	-0.7617	-0.6489	0.4023	-10.0098	-23.3765	-17.0288	-83.9850	16.4850	55.3986	37.1700	-23	-7	507	100860	0.39 
175.315	-0.7026	-0.8955	0.5313	54.7485	21.1182	-37.2925	-79.7937	15.3809	53.5858	37.1700	-20	-8	511	100861	0.39 
175.409	-0.6787	-1.2974	1.1074	53.7720	36.5601	-36.7432	-73.8831	13.7054	46.7688	37.1600	-36	2	497	100861	0.39 
175.518	-0.5664	-0.7856	0.7979	56.9458	-5.9814	44.3726	-67.1320	16.2378	46.7853	37.1500	-35	9	484	100862	0.39 
175.643	-0.7847	-0.6958	0.7529	22.3999	-34.5459	42.0532	-60.7544	19.9622	49.0210	37.1600	-25	23	473	100862	0.39 
175.768	-0.5469	-0.7705	0.9771	-4.4556	-3.9673	25.8789	-57.3651	23.4283	49.0265	37.1400	-15	30	466	100862	0.39 
175.846	-0.7930	-0.9536	0.9282	-29.6631	-33.4473	33.9355	-58.3978	25.1807	47.1698	37.1400	-12	27	468	100862	0.39 
175.940	-0.8462	-1.0205	0.9063	-10.1318	-3.0518	3.8452	-58.5956	25.8234	47.8070	37.1500	-2	25	475	100862	0.39 
176.034	-0.9800	-1.0986	0.8999	1.9531	15.6860	-7.1411	-58.6890	26.4496	45.8405	37.1400	0	21	478	100861	0.39 
176.143	-0.8428	-0.9980	0.9517	9.7046	2.8687	-15.8081	-57.9474	25.9607	42.8522	37.1700	-8	21	476	100862	0.39 
176.252	-0.8076	-0.9521	1.0234	1.4038	6.4087	-4.2725	-57.1014	25.4993	40.4242	37.1600	-10	26	472	100862	0.39 
176.393	-0.8535	-0.9912	0.9609	-3.7842	-4.0894	-1.8921	-56.5082	25.3400	39.6112	37.1800	-14	24	473	100862	0.39 
176.487	-0.8423	-1.0044	0.9458	-0.5493	-0.2441	1.8311	-56.0632	25.4553	38.8037	37.1700	-16	22	473	100862	0.39 
176.565	-0.8325	-0.9834	0.9561	1.4038	1.8921	1.3428	-55.3546	25.9222	37.9028	37.1900	-13	22	469	100863	0.39 
176.674	-0.8638	-1.0078	0.9727	0.4883	0.9766	1.6479	-54.7229	26.3782	36.9635	37.1900	-14	24	474	100863	0.38 
176.799	-0.8501	-0.9985	0.9561	-0.1221	-0.8545	0.1221	-54.1296	26.7627	36.2274	37.1900	-15	24	474	100863	0.38 
176.862	-0.8403	-0.9971	0.9653	0.1831	-0.2441	-2.3804	-53.6298	26.8286	35.4639	37.2000	-14	22	473	100863	0.38 
177.034	-0.8389	-0.9941	0.9624	0.3662	-0.0610	-1.8921	-53.1903	26.9000	34.6179	37.2000	-16	22	473	100863	0.39 
177.096	-0.8418	-0.9927	0.9688	0.1831	0.7324	0.9155	-52.7399	27.1252	33.8599	37.1900	-16	23	472	100863	0.38 
177.190	-0.8467	-0.9956	0.9629	-0.4883	-1.0986	0.0000	-52.3059	27.3285	33.2666	37.2000	-15	22	476	100863	0.38 
177.284	-0.8398	-1.0044	0.9673	0.2441	1.1597	2.0142	-51.9104	27.6196	32.6733	37.2200	-12	22	476	100863	0.38 
177.394	-0.8613	-0.9956	0.9727	0.1831	-0.6714	0.0000	-51.4984	27.9053	32.1899	37.2000	-15	25	476	100864	0.38 
177.549	-0.8369	-1.0024	0.9536	0.0610	-0.0610	-2.3193	-51.1578	27.9272	31.6132	37.2200	-17	24	476	100864	0.38 
177.627	-0.8306	-0.9868	0.9619	0.9766	3.4180	-2.5635	-50.8887	28.0096	30.9265	37.2100	-14	24	472	100864	0.38 
177.690	-0.8472	-0.9971	0.9741	0.3662	1.0986	-2.8076	-50.6580	28.1525	30.0916	37.2300	-17	22	474	100864	0.38 
177.877	-0.8359	-0.9927	0.9761	-0.4883	0.7324	-3.1128	-50.5426	28.1030	29.3005	37.2500	-18	25	473	100864	0.38 
177.940	-0.8325	-0.9888	0.9609	0.1221	1.1597	1.8311	-50.2954	28.3063	28.8062	37.2400	-17	26	475	100865	0.38 
178.034	-0.8306	-0.9849	0.9810	0.0610	2.5024	2.0142	-50.0043	28.7402	28.3667	37.2600	-14	23	475	100865	0.38 
178.143	-0.8296	-0.9883	0.9629	-0.3052	4.3335	1.1597	-49.8669	29.0918	27.8339	37.2500	-18	21	474	100864	0.38 
178.206	-0.8647	-1.0000	0.9854	0.2441	0.6104	0.4883	-49.6967	29.4653	27.3560	37.2700	-16	22	475	100864	0.38 
178.331
