StartTime: 2017-07-11 16:15:19.429
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
144.762	-1.0337	-0.1104	1.8838	-0.4883	2.3804	-4.7607	-3.2135	28.4546	95.4163	41.8200	112	-29	223	100851	0.39 
144.981	-1.0020	-0.1123	1.8403	1.9531	5.0049	0.0610	-3.4167	28.7347	94.7626	41.8300	113	-28	225	100852	0.39 
145.059	-1.0400	-0.1895	1.8369	8.1787	6.5918	-1.9531	-2.9608	29.2950	94.7021	41.8300	112	-31	225	100851	0.39 
145.121	-0.9517	-0.1660	1.8335	23.1934	9.5825	-2.4414	-1.7798	30.1190	94.0485	41.8300	115	-31	222	100851	0.39 
145.215	-1.0244	-0.1655	1.8677	23.9868	3.8452	1.5259	0.3131	30.6189	93.7079	41.8400	116	-35	222	100851	0.39 
145.278	-1.0620	-0.0986	1.8052	24.8413	10.1929	10.4370	2.6532	31.1902	94.4934	41.8400	117	-41	216	100851	0.39 
145.418	-1.1362	-0.0913	1.7676	28.7476	14.3433	4.3335	5.5646	32.3602	96.0864	41.8200	122	-50	218	100851	0.39 
145.543	-1.1392	-0.0698	1.7559	33.8135	14.4043	8.4839	8.8550	33.6127	97.7893	41.8200	127	-60	220	100851	0.39 
145.606	-1.1938	-0.0825	1.5986	49.2554	9.6436	38.3301	14.1174	34.1345	101.3434	41.7900	133	-70	218	100851	0.39 
145.716	-1.0044	0.1450	1.0273	75.2563	35.2783	58.8989	21.9122	34.7333	106.2653	41.7600	137	-93	218	100851	0.39 
145.825	-0.8047	0.2891	0.8472	75.0732	14.5874	98.2056	35.4749	33.5962	118.4601	41.7500	149	-134	228	100851	0.39 
145.919	1.3184	-0.6260	0.5610	233.2153	-217.1021	124.0234	56.3983	15.3589	129.7870	41.7200	141	-204	238	100852	0.39 
146.028	-0.5771	0.8560	0.5029	144.8975	-95.2759	-93.3228	67.3242	17.0618	120.6244	41.7100	120	-260	257	100853	0.39 
146.184	-0.7622	1.1216	0.3945	127.9907	-61.5845	52.1240	78.2117	15.7874	115.3180	41.6900	118	-276	275	100854	0.39 
146.262	-0.6001	1.0811	0.4087	7.0190	-63.9648	34.5459	82.5952	12.4255	114.5325	41.6500	103	-297	298	100854	0.39 
146.403	-0.6089	0.7993	0.7354	-4.3945	-5.6152	16.7236	79.4751	11.0742	115.9003	41.6500	90	-303	297	100855	0.39 
146.481	-0.6675	0.9683	0.8052	-24.2920	1.4648	-14.0991	75.9814	11.2170	118.9215	41.6500	84	-304	292	100855	0.39 
146.559	-0.8979	0.9609	0.9741	-26.1230	1.3428	-37.1094	71.5430	14.8206	121.2396	41.6300	88	-295	286	100855	0.39 
146.809	-0.9238	1.0381	0.9956	-18.6157	9.8267	-22.2778	67.8461	19.0118	123.9587	41.6300	104	-286	280	100855	0.39 
146.856	-0.9937	1.0127	0.9551	-21.1182	-0.6104	-25.0244	64.3579	21.5662	125.3430	41.6200	116	-280	275	100856	0.39 
146.903	-0.9966	0.9238	1.2544	-11.5356	28.9917	1.9531	60.9027	23.0054	128.2764	41.6300	123	-270	266	100856	0.39 
147.028	-0.9888	1.0322	1.0127	15.5640	5.9814	19.2261	61.2048	22.0990	131.0779	41.6400	119	-275	269	100856	0.39 
147.122	-0.8389	0.9907	0.9419	9.6436	-5.4932	-1.9531	61.7377	20.9949	133.5278	41.6200	115	-278	270	100857	0.39 
147.215	-0.8701	0.9839	0.9482	-10.9253	6.5308	1.7700	60.4852	21.6156	135.1538	41.6100	113	-279	273	100857	0.39 
147.325	-0.9258	1.0195	1.0063	-4.5166	-8.4839	-14.4043	58.6450	22.5275	136.8018	41.6200	113	-276	273	100857	0.39 
147.434	-0.8335	0.9180	1.0273	9.5825	4.0894	-6.0425	57.6563	23.1097	137.9608	41.6200	116	-272	271	100856	0.39 
147.528	-0.9370	1.0005	0.9507	14.5264	1.0376	-41.1377	57.6782	25.3235	138.2465	41.6200	119	-273	274	100857	0.39 
147.653	-1.0132	1.0073	0.8604	2.1973	1.8311	-38.6963	56.8652	29.3280	137.5653	41.6100	134	-265	279	100856	0.39 
147.731	-1.1074	0.9741	0.9717	-6.2866	4.8218	-21.2402	55.0470	32.0856	137.5488	41.6200	145	-257	280	100856	0.39 
147.841	-1.0967	0.9990	0.9453	-2.3804	4.0894	-2.0752	53.9594	33.4149	138.3838	41.6200	154	-248	276	100857	0.39 
148.028	-1.0928	0.9976	0.9448	0.0610	-2.7466	11.6577	53.5803	33.1787	140.0757	41.6400	154	-251	277	100856	0.39 
148.090	-1.0503	0.9819	0.9365	-0.0610	0.5493	13.4888	53.5913	32.3877	142.0807	41.6500	153	-257	282	100856	0.39 
148.184	-1.0215	0.9878	0.9419	0.9155	0.3662	13.0005	53.6627	31.5582	144.2010	41.6300	146	-253	279	100857	0.39 
148.278	-0.9976	0.9775	0.9463	-0.1221	0.3052	6.8970	53.5803	31.0693	145.8984	41.6300	141	-262	277	100856	0.39 
148.403	-0.9976	0.9834	0.9434	-0.3662	0.4272	0.7324	53.2507	31.0474	147.1674	41.6300	143	-264	279	100856	0.39 
148.497	-0.9966	0.9868	0.9424	-0.0610	-0.4883	-3.2349	52.7179	31.4539	147.9474	41.6400	140	-263	281	100857	0.39 
148.637	-1.0171	0.9858	0.9409	-0.4883	-0.7935	-4.1504	52.0752	31.9702	148.4088	41.6300	141	-265	276	100857	0.39 
148.731	-1.0103	0.9883	0.9399	-1.1597	0.0610	-1.6479	51.5424	32.2998	149.0515	41.6300	141	-261	279	100857	0.39 
148.825	-1.0132	0.9854	0.9395	-1.2817	0.3662	1.5869	51.0919	32.5854	149.8370	41.6300	140	-258	277	100857	0.39 
148.935	-1.0259	0.9868	0.9551	0.0000	-0.9155	2.1973	50.7623	32.6898	150.6995	41.6600	140	-259	276	100857	0.39 
149.059	-1.0112	0.9907	0.9370	0.6714	-0.9155	0.3662	50.5536	32.7448	151.4795	41.6300	140	-262	277	100857	0.39 
149.138	-1.0264	0.9971	0.9448	-0.1831	0.3052	-1.8921	50.2954	32.9755	152.1222	41.6600	139	-256	276	100857	0.39 
