StartTime: 2017-07-11 16:10:50.377
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
43.843	-1.0225	0.0986	1.8823	0.0000	-0.1221	0.5493	3.6145	28.3008	124.0027	38.2600	140	-156	273	100866	0.38 
43.906	-1.0234	0.1074	1.8726	-0.1831	2.8076	-0.4883	3.6035	28.3887	124.0137	38.2600	144	-153	273	100865	0.38 
44.031	-1.0249	0.1094	1.8745	-0.1221	0.0000	0.4883	3.5925	28.5040	124.0356	38.2600	143	-156	274	100866	0.38 
44.124	-1.0234	0.1040	1.8799	-0.1221	-0.2441	-0.1221	3.5266	28.5315	124.0082	38.2600	143	-156	276	100865	0.38 
44.219	-1.0298	0.1074	1.8779	0.3052	0.6104	0.7935	3.5211	28.5535	124.0192	38.2700	140	-156	276	100865	0.38 
44.328	-1.0039	0.1084	1.8618	0.2441	-0.7324	-1.2817	3.5486	28.4711	124.0466	38.2400	143	-152	275	100865	0.38 
44.437	-1.0181	0.1055	1.8662	0.1221	-2.0752	0.1831	3.4937	28.4161	123.9697	38.2800	141	-157	274	100865	0.38 
44.531	-1.0234	0.0981	1.8755	0.1831	0.1221	0.5493	3.4882	28.3942	124.0137	38.2800	142	-154	271	100865	0.38 
44.656	-1.0195	0.1006	1.8716	0.3052	-0.4272	0.4272	3.5046	28.4106	124.0302	38.2900	142	-154	272	100865	0.38 
44.734	-1.0132	0.1099	1.8682	-0.0610	0.1221	-0.6104	3.4387	28.4436	123.9423	38.2800	146	-160	274	100865	0.38 
44.859	-1.0337	0.1089	1.8853	0.2441	0.1221	0.4883	3.4497	28.5095	123.9972	38.2900	143	-156	274	100865	0.38 
44.938	-1.0176	0.1060	1.8667	0.0000	0.1221	0.6714	3.4937	28.3667	124.0521	38.2900	143	-154	276	100865	0.38 
45.062	-1.0210	0.1128	1.8721	-0.2441	0.0000	-0.1831	3.4937	28.3942	124.0576	38.3100	143	-156	273	100865	0.38 
45.140	-1.0244	0.1064	1.8794	-0.3052	-0.1831	0.0610	3.4387	28.4491	124.0466	38.3000	144	-158	275	100866	0.38 
45.266	-1.0181	0.1035	1.8735	-0.2441	0.1831	-0.3052	3.3838	28.4711	124.0411	38.3200	141	-156	274	100866	0.38 
45.375	-1.0229	0.1060	1.8779	0.0000	0.1831	-0.1221	3.3289	28.4875	124.0082	38.3200	140	-155	272	100866	0.38 
45.484	-1.0171	0.1040	1.8726	0.1221	0.0000	0.0000	3.3234	28.4930	124.0137	38.3000	142	-156	274	100866	0.38 
45.609	-1.0098	0.1084	1.8677	0.3052	-2.8687	0.4883	3.3783	28.4161	124.0576	38.3100	142	-155	274	100867	0.38 
45.672	-1.0303	0.1108	1.8691	0.4883	-2.8687	0.3052	3.4003	28.2294	124.0796	38.3300	142	-156	274	100866	0.38 
45.812	-1.0132	0.1089	1.8848	0.5493	-2.7466	1.2817	3.4167	27.9547	124.1180	38.3300	139	-155	272	100867	0.38 
45.875	-1.0117	0.1045	1.8828	1.2817	-3.1738	3.4790	3.6090	27.6086	124.3817	38.3300	137	-156	270	100866	0.38 
46.047	-0.9946	0.1147	1.8706	1.0376	-2.6245	2.9297	3.9001	27.3395	124.7772	38.3400	138	-156	271	100866	0.38 
46.156	-0.9731	0.1226	1.8745	-1.3428	1.2817	0.0000	3.9056	27.3175	124.9036	38.3500	140	-160	272	100866	0.38 
46.250	-0.9941	0.1094	1.8789	-3.7231	2.1362	-2.0752	3.5706	27.5372	124.7992	38.3500	140	-159	272	100866	0.38 
46.328	-1.0469	0.1138	1.8906	-6.4087	-7.7515	-2.0752	2.8564	27.3230	124.4861	38.3600	139	-157	268	100865	0.38 
46.437	-1.0684	0.0781	1.8979	-5.8594	-31.3721	-1.4648	2.1039	25.4883	124.1949	38.3500	132	-157	265	100865	0.38 
46.547	-0.9614	0.0664	1.8906	-2.0752	-51.0864	2.5024	1.6809	21.6760	124.1675	38.3600	126	-152	253	100865	0.38 
46.640	-0.8550	0.0698	1.8696	-0.3662	-73.4863	3.6011	1.5601	15.8478	124.4641	38.3600	112	-149	239	100865	0.38 
46.735	-0.7188	0.0596	1.8345	0.8545	-90.3320	3.4180	1.6040	8.3551	124.9310	38.3500	87	-151	221	100865	0.38 
46.828	-0.5166	0.0459	1.7354	0.1831	-101.8677	9.5825	1.4886	-0.5603	126.1945	38.3600	57	-146	194	100864	0.38 
46.969	-0.3818	0.0288	1.5552	3.4790	-92.2241	-1.2207	1.3074	-9.1516	128.2983	38.3600	21	-146	176	100865	0.38 
47.094	-0.2700	0.0742	1.4771	9.4604	-95.9473	-4.7607	1.7084	-17.1716	129.8859	38.3600	-12	-149	166	100865	0.38 
47.156	-0.1504	0.1113	1.3052	8.2397	-94.7266	-5.4932	2.2412	-25.1312	131.9403	38.3600	-45	-144	164	100865	0.38 
47.265	0.0884	0.1870	1.1265	5.8594	-103.8208	-9.8877	2.2522	-32.2888	134.6759	38.3500	-82	-145	164	100865	0.38 
47.360	0.2266	0.2915	0.7983	3.5400	-110.2295	14.5264	2.7960	-40.3912	137.7576	38.3600	-113	-146	177	100865	0.38 
47.531	-0.3032	0.0928	0.9639	0.4883	16.1743	7.0190	1.2195	-40.6769	145.1294	38.3500	-135	-146	186	100865	0.38 
47.594	0.1655	0.0342	0.8535	-3.0518	30.8838	-0.7935	-1.9940	-37.0898	152.1057	38.3400	-135	-142	187	100865	0.38 
47.703	-0.1450	-0.0308	1.1045	0.1221	-12.8174	0.0000	-3.3893	-34.0686	156.2476	38.3100	-132	-144	181	100866	0.38 
47.766	0.0078	0.0684	0.9170	-1.1597	-27.0996	-28.8696	-3.5815	-34.9530	158.8348	38.3400	-137	-141	185	100866	0.38 
47.922	0.1470	0.1582	0.8057	-7.9346	52.3682	5.0049	-3.7024	-31.4484	162.1692	38.3300	-136	-141	186	100866	0.38 
48.000	0.0898	-0.0161	1.0410	-7.8125	91.9189	4.5776	-4.8175	-22.6923	165.9705	38.3300	-119	-143	181	100866	0.38 
48.156	-0.2544	-0.0229	1.2939	-2.0752	107.5439	13.7329	-5.4108	-10.6622	168.5742	38.3100	-87	-142	171	100866	0.38 
48.219	-0.2407	0.0449	1.4722	0.1221	105.2856	1.3428	-5.4108	0.9668	169.5520	38.3000	-51	-140	166	100867	0.38 
48.312	-0.3701	0.0674	1.6001	2.6245	97.8394	-0.0610	-4.9768	11.1621	168.9532	38.2900	-13	-148	172	100866	0.38 
48.406	-0.4502	0.0283	1.6914	-3.4180	92.5293	-17.3950	-4.9384	20.2753	167.2229	38.3100	22	-147	184	100867	0.38 
48.547	-0.5991	-0.0063	1.7329	-0.6104	103.1494	-11.2915	-5.8887	29.2676	163.7073	38.2900	57	-147	197	100867	0.38 
