StartTime: 2017-07-11 16:04:30.497
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
65.294	-0.9858	0.0000	1.8862	0.0000	-0.5493	-0.1831	0.1648	27.3505	176.5063	37.7000	-90	-262	212	100840	0.40 
65.404	-1.0356	-0.0127	1.9014	-0.5493	0.0000	-2.1973	0.0934	27.3615	176.3690	37.7000	-89	-262	214	100840	0.40 
65.482	-1.0479	-0.0024	1.8809	-0.4272	3.7231	-2.4414	-0.1648	27.6361	175.8746	37.7000	-92	-262	212	100841	0.40 
65.607	-1.0596	-0.0034	1.8472	-0.6104	10.9863	-4.7607	-0.5054	28.4271	175.2045	37.7200	-89	-264	211	100841	0.40 
65.685	-1.1812	-0.0308	1.8584	0.1831	23.1934	-4.5166	-0.8185	30.4761	174.4629	37.7100	-84	-262	204	100841	0.40 
65.795	-1.0620	-0.0264	1.5811	6.5918	48.0347	-6.8359	-1.1591	33.9038	173.2214	37.7000	-77	-263	204	100840	0.40 
65.888	-1.2910	0.0806	1.7715	6.6528	71.7163	-12.6343	-1.6919	41.3800	170.7495	37.7100	-57	-265	203	100840	0.40 
65.998	-0.9941	-0.0435	1.3999	6.0425	21.9116	-14.8315	-1.0437	45.3955	170.2496	37.7200	-39	-266	203	100840	0.40 
66.138	-1.3271	0.0269	1.6885	5.4932	15.1978	8.7891	0.2692	48.5651	170.9528	37.7100	-33	-273	203	100840	0.40 
66.216	-1.3535	0.1533	1.8970	14.1602	-7.7515	28.2593	2.5488	48.1311	172.6941	37.6900	-39	-273	199	100840	0.40 
66.341	-1.4604	0.2168	2.0674	14.3433	-49.8047	10.3760	3.4772	45.2142	172.1832	37.7100	-48	-277	198	100841	0.40 
66.419	-0.5195	0.1357	1.6841	16.4795	-82.2754	0.6104	5.3723	38.1665	172.1393	37.7000	-60	-280	194	100841	0.40 
66.529	-0.9307	0.1611	1.8140	0.0610	-105.8350	18.6768	5.7129	30.6628	172.1777	37.7000	-80	-284	196	100842	0.40 
66.623	-0.7793	0.0703	1.7979	-1.4038	-61.2793	-1.2207	6.0590	22.1375	173.1775	37.6900	-107	-287	201	100843	0.40 
