StartTime: 2017-07-11 16:15:19.429
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
850.264	-1.1084	-0.0752	1.8657	-1.2207	-0.8545	-6.4087	-0.9448	30.3168	154.6545	43.8300	-9	-261	248	100891	0.36 
850.389	-1.1226	-0.0903	1.8760	-0.4883	1.5259	-2.5024	-1.4941	30.3662	153.8361	43.8200	-6	-260	247	100891	0.36 
850.576	-1.1118	-0.1362	1.8525	-1.3428	4.5776	-12.0239	-2.1533	30.7068	152.8583	43.8300	-2	-260	246	100891	0.36 
850.639	-1.1445	-0.1553	1.8506	1.1597	5.7373	-16.1133	-3.2739	31.2067	150.9906	43.8000	0	-260	244	100891	0.36 
850.717	-1.1387	-0.0762	1.8521	10.1929	11.5967	-13.7939	-3.6310	31.8274	149.1559	43.8200	8	-259	248	100890	0.36 
850.826	-1.1191	0.0815	1.8491	21.4844	7.3853	3.7842	-2.2137	33.0908	148.5077	43.8100	15	-263	252	100890	0.36 
850.935	-1.2085	0.1938	1.9492	21.7896	13.6108	12.7563	0.8569	34.3323	149.7766	43.8000	21	-270	262	100889	0.36 
851.060	-1.1431	0.1216	1.8618	24.4141	-6.5918	10.8643	4.2078	33.9368	151.7212	43.7900	17	-274	268	100890	0.36 
851.154	-1.0464	0.1782	1.7852	23.1934	-5.5542	6.5918	6.9214	32.9205	152.3529	43.8100	15	-283	277	100890	0.36 
851.249	-1.1050	0.1377	1.8081	18.1885	8.5449	-8.5449	8.7067	33.2556	152.3859	43.8000	15	-282	281	100890	0.36 
851.357	-1.0732	0.2139	1.7681	9.8267	18.9819	-26.9165	8.7781	34.8651	150.4028	43.8000	21	-284	290	100890	0.36 
851.467	-1.0225	0.3013	1.8423	-14.8926	8.9111	-11.7188	6.8665	36.0571	148.0463	43.7900	30	-283	293	100890	0.36 
851.592	-1.3770	0.4478	2.0815	-17.1509	1.2817	-30.2124	3.9825	36.4471	146.1346	43.8100	36	-281	289	100891	0.36 
851.686	-1.3994	0.0137	1.7778	-30.7007	22.2168	-45.7153	0.0934	35.9747	142.7783	43.7900	39	-276	286	100891	0.36 
851.764	-1.1836	-0.0439	1.6958	-33.8135	-4.1504	9.2773	-3.3508	35.4034	142.5476	43.7700	40	-271	275	100891	0.36 
851.889	-1.1401	-0.0986	1.5317	-24.2920	18.1274	-29.1748	-6.5643	35.5518	141.9489	43.7400	40	-263	261	100891	0.36 
852.029	-1.0854	-0.1992	1.8154	-17.2119	26.8555	-11.8408	-9.3329	37.1613	140.5206	43.7200	43	-258	257	100891	0.36 
852.092	-1.1626	-0.2188	2.2065	6.5918	-1.2817	-25.3296	-10.6952	37.3920	138.9386	43.7400	47	-255	254	100891	0.36 
852.217	-0.9365	0.0908	1.1758	31.3110	-39.1846	70.1904	-5.8722	36.1121	143.0804	43.7500	41	-257	256	100891	0.36 
852.311	-1.1328	0.0815	1.6963	26.4282	-15.1367	14.5264	-0.6537	36.1285	147.4640	43.7100	28	-265	262	100890	0.36 
852.436	-1.2554	-0.0493	1.5186	13.2446	12.8174	37.1704	3.5376	36.6943	151.2048	43.7000	16	-267	266	100891	0.36 
852.545	-1.1382	0.0996	1.6509	8.6060	15.9912	3.9673	5.7239	37.9138	152.9846	43.7000	12	-272	273	100890	0.36 
852.639	-1.0776	0.1489	2.2139	-13.7329	0.9155	38.4521	6.6357	38.5181	155.4510	43.6900	6	-270	273	100890	0.36 
852.764	-1.3232	-0.1953	1.5283	-28.3203	-37.9639	-15.6860	2.7740	37.5952	153.1000	43.6900	5	-268	268	100890	0.36 
852.858	-1.2378	0.0859	1.6440	-31.7993	-24.9023	17.7002	-1.7633	37.4194	150.6226	43.6700	7	-262	260	100889	0.36 
852.967	-1.2358	-0.1030	1.5112	-25.8789	-1.4648	-0.8545	-4.4989	36.8976	151.2762	43.6700	5	-253	249	100889	0.36 
853.061	-1.1177	-0.2544	1.8872	-13.9771	18.2495	3.3569	-5.9052	37.7216	151.4355	43.6700	2	-248	241	100888	0.36 
853.186	-1.1362	-0.2939	2.0073	15.0757	-11.2915	-10.4370	-7.5092	37.4963	149.1888	43.6600	7	-245	244	100888	0.36 
853.279	-1.4600	-0.1743	1.7222	22.3999	37.8418	56.7017	-2.5488	37.4304	153.3472	43.6600	3	-249	249	100887	0.36 
853.389	-1.2725	0.0264	1.6519	36.2549	-12.3291	-4.2725	0.4944	37.1228	154.3799	43.6300	-6	-255	252	100887	0.36 
853.498	-1.1245	0.0571	1.2754	20.9961	6.6528	2.5635	3.7024	37.8094	154.4403	43.6300	-6	-256	259	100887	0.37 
853.608	-1.0898	0.2134	1.9116	-6.7749	-25.3906	21.5454	6.2073	38.4521	156.7474	43.6000	-6	-259	265	100886	0.37 
853.702	-1.8228	0.0601	2.3076	-6.1035	-23.5596	-46.9971	3.4332	36.2000	154.6216	43.6100	-8	-260	263	100886	0.37 
853.811	-1.3740	-0.0884	1.7983	-14.8926	-36.4380	-21.9116	-1.5216	34.5740	148.5132	43.6000	-2	-252	258	100886	0.37 
853.905	-1.1533	-0.1001	1.4155	-19.1650	-3.7842	-10.4980	-3.6914	32.8656	147.7222	43.5900	-1	-249	253	100885	0.37 
854.030	-1.1694	-0.2881	1.7529	-7.9956	7.2021	2.1362	-4.9933	33.5028	147.5244	43.5900	0	-245	247	100885	0.37 
854.108	-1.0444	-0.1450	2.0068	6.1035	-5.5542	-29.0527	-6.5094	33.8983	145.0854	43.5600	3	-241	243	100885	0.37 
854.248	-1.8730	-0.1147	2.5044	-2.1973	-4.0283	-8.6670	-6.6357	35.4694	143.3990	43.5600	11	-242	250	100885	0.37 
854.373	-1.4263	-0.1411	2.0962	19.2871	-23.6206	4.8828	-4.4714	34.6893	144.8877	43.5500	10	-239	253	100884	0.37 
854.467	-1.2515	0.0742	1.6230	23.5596	12.3901	25.8789	-1.8292	34.4751	145.1843	43.5300	12	-251	255	100884	0.37 
854.546	-1.2241	0.0425	1.5703	25.2075	17.5171	-2.3193	1.4557	35.9528	146.8488	43.5100	10	-253	259	100884	0.37 
854.701	-1.0615	0.1265	1.9824	0.7935	2.1362	3.4180	3.7683	37.3700	148.5022	43.5200	9	-258	266	100883	0.37 
854.780	-1.8901	0.0405	2.1626	-10.0708	19.5313	-18.3105	2.5488	36.5186	148.6890	43.5300	7	-257	269	100883	0.37 
854.890	-1.6709	0.3467	2.0806	-18.3716	23.8037	-18.7988	-0.7471	35.8868	144.7559	43.5300	9	-254	266	100883	0.37 
854.998	-1.2368	-0.1294	1.4326	-31.3721	12.8784	11.4136	-2.6752	35.0519	146.4148	43.5200	8	-250	256	100883	0.37 
855.077	-1.1812	-0.1440	1.7246	-10.1929	11.7798	-3.5400	-4.7131	36.6724	146.4807	43.5200	4	-245	248	100882	0.37 
855.233	-1.0732	-0.2534	2.0161	2.8076	-5.0049	-24.4751	-6.6357	36.6669	144.4427	43.5300	12	-244	248	100882	0.37 
855.296	-1.7129	-0.0200	2.3354	11.5356	-7.9956	-16.0522	-7.0258	36.8756	142.6245	43.5400	20	-242	249	100881	0.37 
855.405	-1.3862	0.0088	1.8379	25.0854	-16.7236	29.3579	-2.9608	37.5897	145.5304	43.5300	19	-244	250	100881	0.37 
