step 20
StartTime: 2017-07-11 15:59:09.180
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
74.519	-1.0044	-0.0459	1.8306	0.6104	1.9531	-11.1084	-1.3293	29.4214	116.4386	37.3700	121	-126	274	100818	0.42 
74.676	-1.0283	-0.0327	1.9028	2.3804	1.1597	-6.4087	-1.3513	29.4818	115.9003	37.3800	122	-126	276	100818	0.42 
74.769	-1.0649	-0.0029	1.8862	-0.2441	-1.5259	-3.7842	-1.4447	29.4653	115.4224	37.3700	123	-122	276	100818	0.42 
74.848	-1.0747	-0.0103	1.9058	-1.8311	-1.8311	5.3101	-1.5051	29.3390	115.5322	37.3900	121	-126	276	100818	0.42 
74.957	-1.0303	-0.0425	1.8760	-1.1597	2.0142	9.3994	-1.0327	29.2236	116.7023	37.4000	122	-125	275	100818	0.42 
75.113	-1.0591	-0.0415	1.8745	-0.7935	0.1831	2.0142	-0.7910	29.3225	117.3669	37.4100	121	-130	272	100818	0.42 
75.160	-1.0420	-0.0474	1.8784	-2.3804	-0.4272	-2.9907	-0.9778	29.3445	117.3175	37.4100	119	-130	274	100818	0.42 
75.254	-1.0410	-0.0518	1.8882	0.9155	-4.2725	5.7373	-0.9613	29.2181	117.4768	37.4200	121	-128	273	100818	0.42 
75.364	-0.9702	-0.0566	1.8838	4.6997	-6.7139	-6.6528	-0.8075	28.6633	117.2681	37.4200	121	-126	273	100818	0.42 
75.473	-1.0317	-0.0591	1.9014	0.4883	0.3052	-0.1221	-0.8130	28.3337	116.6858	37.4300	120	-125	273	100818	0.42 
75.582	-1.0396	-0.0669	1.8730	5.4932	0.7324	12.8784	-0.4010	28.7677	117.2571	37.4300	120	-128	269	100818	0.42 
75.691	-1.0278	-0.0327	1.8994	9.8877	4.3335	11.2915	0.7196	29.0314	118.3228	37.4500	121	-132	275	100817	0.42 
75.801	-1.0732	0.0244	1.8940	9.7656	9.7046	13.9771	2.6257	29.6906	120.0366	37.4400	126	-137	275	100817	0.42 
75.895	-0.9946	0.1089	1.8940	10.7422	4.0894	3.4180	4.0320	30.3882	121.1902	37.4500	125	-141	279	100817	0.42 
75.989	-0.9331	0.1460	1.8335	9.9487	1.8311	-11.4136	4.5428	30.1685	120.6024	37.4800	125	-143	281	100817	0.42 
76.113	-0.9614	0.1177	1.8462	9.5825	5.7983	-8.0566	5.0592	30.7397	119.9103	37.4600	125	-138	282	100817	0.42 
76.223	-0.9292	0.1421	1.8511	-3.7231	2.8687	-6.3477	4.7461	30.8331	119.2731	37.4700	130	-141	284	100817	0.42 
