3
StartTime: 2017-07-12 15:39:00.902
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
30.774	-1.3071	0.0366	1.8135	0.0000	0.4883	1.8311	1.9171	36.0187	74.2950	43.6900	-36	26	192	100730	0.50 
30.915	-1.3130	0.0391	1.8320	0.1831	-1.7090	2.1362	1.9885	36.0791	74.4598	43.7200	-36	27	194	100730	0.50 
30.993	-1.3208	0.0342	1.8320	0.0000	-0.0610	1.2207	2.1039	36.0077	74.7015	43.6900	-38	26	190	100730	0.50 
31.118	-1.3335	0.0352	1.8281	0.6104	0.9766	-0.1221	2.1039	36.0352	74.7345	43.6900	-35	28	192	100730	0.50 
31.196	-1.3228	0.0601	1.8291	1.8921	2.8076	-2.2583	2.0105	36.1176	74.4049	43.6800	-36	27	193	100730	0.50 
31.326	-1.3291	0.0469	1.8066	1.0986	6.2256	2.5024	2.2137	36.4362	74.5862	43.7000	-36	27	194	100730	0.50 
31.405	-1.3232	0.0615	1.8013	1.0376	5.7983	1.4038	2.4225	36.9910	74.8224	43.7000	-34	29	192	100730	0.50 
31.545	-1.4106	0.0688	1.7437	2.3804	14.1602	0.9155	2.6917	37.9358	75.1245	43.6900	-34	31	193	100730	0.50 
31.623	-1.2661	-0.0137	1.3687	9.2163	24.1699	-2.0752	3.0487	40.1825	75.0916	43.7000	-31	29	195	100730	0.50 
31.798	-1.3145	-0.0513	1.5625	-4.1504	62.8052	25.6348	5.5920	44.4342	79.0906	43.6900	-18	24	195	100731	0.50 
31.814	-1.3467	0.0791	1.4595	1.3428	50.7202	8.6060	7.0807	49.1803	81.1560	43.6900	0	20	200	100731	0.50 
31.942	-1.5552	0.0508	1.7075	7.2632	46.7529	8.9722	9.3768	53.7012	84.3256	43.7000	15	18	207	100731	0.50 
32.010	-1.7739	0.1396	1.7769	9.3994	21.1792	1.5259	10.9094	56.5466	85.9735	43.7100	27	15	215	100731	0.49 
32.146	-1.8335	0.1938	1.7822	4.1504	3.2349	9.1553	12.4091	57.3322	87.6160	43.7100	30	13	217	100732	0.49 
32.218	-2.0874	0.1836	1.9492	-7.0190	-3.0518	10.6812	13.2990	56.4642	89.6045	43.7300	35	7	217	100733	0.49 
32.346	-2.1763	0.3076	2.1270	2.3804	-8.6060	0.0610	13.6176	55.0195	90.5823	43.7000	34	9	215	100734	0.49 
32.440	-2.0288	0.1753	1.9536	6.7749	18.9209	-9.6436	13.0023	55.3326	90.3076	43.6800	34	10	211	100735	0.49 
32.581	-1.8354	0.1411	1.9395	1.7700	-22.3999	-12.2070	11.1072	54.7119	88.1488	43.6600	36	6	209	100735	0.49 
32.643	-1.8066	0.1743	2.1782	-12.9395	-71.4722	-10.1929	7.9211	49.3451	85.4736	43.6700	24	16	206	100735	0.49 
32.768	-1.6074	0.2002	1.4888	-0.0610	-118.8965	1.4648	4.7461	39.6057	82.4359	43.6500	3	18	196	100735	0.49 
32.862	-0.4839	0.0703	-0.1274	1.8311	-117.4316	12.2681	4.1968	30.3607	81.2549	43.6200	-23	21	182	100734	0.49 
32.987	-1.1260	-0.1436	1.3423	-11.2305	20.8740	9.0332	3.3893	34.0192	82.1228	43.5900	-38	27	181	100733	0.49 
33.050	-0.8633	0.0225	0.4492	-2.9297	-24.2920	-3.9673	2.3401	30.7562	81.1945	43.5900	-41	26	182	100733	0.49 
33.206	-0.4233	0.0664	2.3521	6.4697	242.7979	21.3623	3.5486	38.8751	83.3038	43.5800	-40	27	189	100732	0.49 
33.360	-0.7959	-0.0835	1.8340	-6.1035	-8.9722	-6.6528	4.0045	39.7156	83.3588	43.5800	-17	23	191	100732	0.49 
33.375	-1.0020	0.1479	0.7559	6.8359	-63.6597	-16.2354	2.9059	36.6614	80.7880	43.5500	-28	24	185	100732	0.49 
33.563	-1.6587	0.0469	2.2319	-7.7515	48.1567	12.2070	2.8400	39.6332	82.0239	43.5300	-33	24	186	100732	0.49 
33.657	-0.9126	0.0186	1.2339	0.6104	-36.7432	5.7983	2.7850	37.8424	82.3370	43.5400	-24	25	190	100731	0.49 
33.766	-1.6875	0.0698	2.2935	2.6245	2.3804	-11.2915	2.7795	39.6222	82.6392	43.5400	-28	28	193	100732	0.49 
