StartTime: 2017-07-12 15:33:02.443
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
47.832	-1.0464	-0.0522	1.9058	1.2817	0.9155	-0.2441	-0.7031	28.6908	118.2953	43.1100	124	-118	221	100753	0.48 
47.942	-1.0308	-0.0479	1.8638	1.2207	-1.9531	1.1597	-0.5383	28.4436	118.3118	43.1400	122	-119	225	100753	0.48 
48.045	-1.0518	-0.0513	1.8892	-0.8545	1.2207	0.9155	-0.4944	28.5205	118.4381	43.1000	120	-119	226	100753	0.48 
48.178	-1.0396	-0.0688	1.8984	0.0610	1.4648	-1.4038	-0.6372	28.6304	118.2733	43.1300	121	-119	223	100752	0.48 
48.241	-1.0356	-0.0615	1.8843	-1.0986	0.7324	0.2441	-0.8075	28.7128	118.1250	43.1000	121	-117	224	100753	0.48 
48.366	-1.0332	-0.0547	1.8774	0.0000	-0.4883	1.0376	-0.8514	28.7677	118.1305	43.1200	121	-115	221	100753	0.48 
48.444	-1.0444	-0.0532	1.8813	-0.8545	0.7324	0.7324	-0.8789	28.7567	118.2019	43.1200	125	-117	224	100753	0.48 
48.584	-1.0356	-0.0625	1.8940	-0.9155	-1.5259	0.1221	-0.9558	28.7238	118.1964	43.1200	122	-116	224	100753	0.48 
48.663	-1.0576	-0.0615	1.9033	-1.1597	-3.7842	0.5493	-1.0437	28.5150	118.2404	43.1300	122	-119	223	100753	0.48 
48.788	-1.0562	-0.0630	1.9116	-0.5493	-10.2539	1.8311	-1.0657	27.8119	118.3392	43.1400	120	-119	220	100753	0.48 
48.850	-1.0610	-0.0601	1.8906	-2.8076	-19.5313	-2.6855	-1.2360	26.3507	118.4161	43.1300	117	-119	216	100753	0.48 
48.991	-0.9888	-0.0537	1.8853	-5.1880	-36.9873	-2.1362	-1.7249	23.6975	118.2404	43.1200	112	-116	209	100753	0.48 
49.164	-0.9214	-0.0562	1.8745	-11.5967	-55.8472	5.7373	-2.3236	19.2920	118.5699	43.1400	99	-112	199	100753	0.48 
49.227	-0.7920	-0.0684	1.7988	-17.1509	-66.3452	8.9722	-3.4387	13.7439	119.9323	43.1400	84	-110	183	100753	0.48 
49.274	-0.6626	-0.1577	1.7612	-21.6064	-67.9932	13.6719	-5.1746	7.7563	122.1130	43.1200	57	-109	163	100753	0.48 
49.445	-0.5234	-0.1870	1.7949	-23.4375	-68.5425	17.5171	-7.3169	2.0160	124.7278	43.1300	33	-106	150	100753	0.48 
49.570 
49.633	-0.2603	-0.3652	1.5889	-22.2778	-57.9224	15.9912	-12.6508	-8.2397	133.3246	43.1500	-14	-93	135	100753	0.48 
49.664	-0.2324	-0.3979	1.5342	-21.6064	-59.0210	7.5684	-15.7104	-12.6013	138.5651	43.1700	-32	-89	128	100753	0.48 
49.839	-0.1138	-0.3672	1.3604	-18.8599	-49.9878	-7.6294	-18.7372	-16.5894	143.9868	43.1900	-57	-77	126	100753	0.48 
49.983	-0.1714	-0.3833	1.2969	-16.1743	-43.0908	3.4790	-21.2750	-19.0942	149.2328	43.1700	-73	-72	123	100753	0.48 
50.044	-0.1396	-0.3955	1.2407	-10.1318	-9.1553	-1.3428	-24.1040	-19.8798	155.8356	43.1700	-84	-67	129	100753	0.48 
50.076	-0.1953	-0.4058	1.2871	-0.7324	3.7842	-0.7324	-25.5652	-18.6493	161.1584	43.1800	-91	-68	129	100752	0.48 
50.252	-0.1494	-0.3984	1.3267	2.3804	8.2397	-1.9531	-26.0925	-16.5234	165.6683	43.1800	-87	-67	130	100752	0.48 
50.383	-0.2104	-0.3721	1.3784	1.8311	2.9907	-0.6104	-26.0760	-14.6008	169.4916	43.1900	-84	-67	133	100752	0.48 
50.461	-0.1714	-0.3354	1.3525	0.9766	0.7324	-2.6245	-26.0760	-13.2330	173.3533	43.1700	-85	-64	128	100752	0.48 
