13
StartTime: 2017-07-12 15:27:58.684
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
111.358	-1.2280	0.0620	1.8550	-0.5493	1.0986	-0.2441	1.6974	30.7452	112.5000	40.9000	117	-91	235	100775	0.46 
111.468	-1.2354	0.0454	1.8540	-0.6714	1.8921	1.0986	1.6644	31.0693	112.6483	40.9100	118	-88	235	100775	0.46 
111.590	-1.2637	0.0493	1.8633	-0.4272	1.7700	1.5869	1.6864	31.4374	112.8131	40.9200	120	-89	235	100775	0.46 
111.637	-1.2529	0.0444	1.8457	0.1221	2.9907	0.1831	1.7084	31.7175	112.9010	40.9200	116	-87	237	100775	0.46 
111.778	-1.2627	0.0493	1.8511	0.3052	1.0376	-1.2817	1.6974	32.0306	112.8406	40.9200	120	-92	240	100775	0.46 
111.997	-1.2500	0.0483	1.8525	0.4272	0.8545	-2.0142	1.6315	32.2174	112.6373	40.9200	120	-88	240	100775	0.46 
112.075	-1.2588	0.0508	1.8540	0.0000	0.3662	-0.6714	1.5765	32.3987	112.4945	40.9400	118	-89	239	100774	0.46 
112.200	-1.2554	0.0566	1.8433	-0.2441	2.1973	0.7935	1.5436	32.6349	112.4670	40.9200	120	-91	242	100774	0.46 
112.200	-1.2544	-0.0005	1.8838	1.5869	4.2114	-1.7700	1.5106	33.0084	112.4670	40.9400	121	-85	241	100774	0.46 
112.371	-1.1377	0.0000	1.8818	2.1973	2.3193	-1.0376	1.4227	32.8986	111.9836	40.9500	120	-87	239	100774	0.46 
112.434	-1.2168	0.0054	1.8267	5.0659	14.2822	-0.7324	1.8127	33.7830	112.0166	40.9400	120	-88	241	100774	0.46 
112.465	-1.1968	0.0103	1.8228	7.5684	15.3809	-2.0142	2.3511	35.3265	111.9012	40.9400	124	-86	245	100774	0.46 
112.607	-1.1631	0.2192	1.7446	4.3945	27.0386	8.9111	3.2025	37.2931	112.0166	40.9600	129	-86	252	100774	0.46 
112.764	-1.3086	0.0889	1.9404	9.8877	28.3203	25.3296	5.3284	40.6549	114.6753	40.9600	134	-91	262	100774	0.46 
112.857	-1.1895	0.0850	1.7544	5.8594	35.9497	15.7471	7.9761	42.6324	117.5867	40.9500	138	-100	271	100774	0.46 
112.982	-1.2500	0.1313	2.2051	10.1318	17.1509	0.6104	9.8053	44.9011	119.4379	40.9500	144	-104	286	100775	0.46 
113.045	-1.2666	0.4082	2.0498	-4.1504	5.3101	-24.1699	8.1299	44.9835	116.5594	40.9300	149	-101	287	100776	0.46 
113.186	-1.2480	0.0269	1.0464	-21.4844	-5.7983	23.0103	7.2125	42.3468	117.3615	40.9000	152	-98	284	100776	0.46 
113.262	-2.5776	0.0581	3.2852	-17.7002	103.8208	12.3901	7.7673	48.2739	121.1133	40.9100	159	-108	291	100776	0.46 
113.394	-1.7256	-0.2485	2.7305	26.3672	-92.4072	-153.6255	-1.5106	46.7249	108.7042	40.9000	165	-98	303	100776	0.46 
113.458	-1.1553	0.2764	0.4326	35.7056	-44.1895	-15.1367	-4.4495	39.2102	100.6732	40.8700	150	-70	275	100776	0.46 
113.598	-1.3203	0.3770	1.1118	-12.6953	-4.2725	51.3306	-0.3790	38.6060	104.2163	40.8400	146	-65	260	100776	0.46 
113.668	-1.1196	0.0562	2.4697	8.3008	-30.5786	88.5010	4.6033	44.0881	114.0601	40.8500	158	-81	279	100777	0.46 
113.791	-1.1294	0.0381	1.2305	-26.2451	-131.4087	36.2549	8.6572	38.0786	121.7285	40.8200	161	-107	274	100777	0.46 
113.869	-0.8384	-0.1353	0.8662	-24.3530	13.3667	-18.6768	5.1526	34.4586	121.4648	40.8100	149	-115	243	100777	0.46 
114.026	-3.0527	-0.0688	4.0903	-18.8599	93.5059	-34.1187	4.4604	43.2147	120.5530	40.8000	158	-117	253	100777	0.46 
114.088	-1.5400	-0.1333	1.5151	19.4702	-113.0981	-81.2988	-1.3403	39.5233	109.6600	40.7900	163	-104	265	100778	0.46 
114.213	-1.0347	0.1704	0.4043	34.6680	-20.7520	30.8228	0.4504	35.4803	105.4028	40.7400	155	-81	228	100778	0.46 
114.291	-1.7793	0.5830	2.8799	-41.9922	238.3423	15.5029	3.2135	40.6055	110.1379	40.7600	157	-93	236	100778	0.46 
114.416	-1.8574	0.2207	3.3071	-31.7993	13.0615	110.1685	9.1626	43.0005	119.8004	40.7600	173	-108	259	100778	0.46 
114.494	-1.1045	-0.2847	-0.1084	-42.2363	-41.2598	10.3149	7.5476	32.8986	122.4481	40.7300	156	-127	239	100778	0.46 
114.629	-1.0117	-0.0957	1.2358	-16.2354	18.9209	-37.6587	2.1643	34.8157	118.8666	40.7400	156	-121	223	100778	0.46 
114.722	-0.9297	-0.0811	2.9712	-20.2637	-32.4707	-63.5376	0.0385	42.6764	115.2795	40.7100	171	-111	244	100778	0.46 
114.847	-1.1226	0.2598	0.7354	22.0337	-81.8481	-39.5508	-5.4547	35.6836	104.1119	40.6900	168	-82	237	100778	0.46 
114.926	-0.8145	-0.1421	1.0225	19.7144	14.2212	6.9580	-1.4667	36.0352	104.3921	40.6800	155	-67	215	100778	0.46 
115.051	-1.9443	0.2954	3.2983	19.1040	-60.2417	87.2192	2.4774	45.0330	110.5499	40.6800	165	-73	235	100779	0.46 
115.222	-1.0000	0.1650	1.6172	-22.3999	-146.0571	49.3774	8.9539	38.7927	121.7065	40.6900	170	-95	245	100779	0.45 
115.285	-0.9009	-0.0757	0.9482	-29.4189	27.2827	-29.3579	6.1963	35.2826	122.5635	40.6600	152	-105	216	100779	0.46 
115.426	-2.0356	-0.4355	3.8984	29.6021	199.2188	-8.8501	4.9658	41.1548	122.2504	40.6500	149	-99	221	100779	0.46 
115.504	-1.6895	-0.2041	2.6055	32.1655	-116.5161	-136.5967	-3.2080	40.8472	109.0668	40.6500	149	-81	244	100779	0.45 
115.627	-1.2827	0.1675	0.2217	38.0249	7.0801	1.1597	-4.3835	35.3210	102.3981	40.6300	119	-60	224	100780	0.45 
115.705	-1.1563	0.6489	1.3306	-20.7520	96.4966	20.0195	-1.8347	38.6554	103.3649	40.6100	109	-65	222	100780	0.45 
115.815	-1.8984	0.1846	2.9946	-35.5835	-5.8594	127.2583	4.9823	43.3081	113.8403	40.6200	124	-83	245	100780	0.45 
115.893	-1.3149	-0.3706	-0.2246	-31.4331	-40.1001	41.0767	6.4160	34.1895	121.2122	40.5700	113	-107	230	100779	0.45 
116.065	-0.8052	-0.0156	1.1094	-32.7759	12.6343	-3.4180	2.4335	36.7767	120.1025	40.5500	103	-112	224	100779	0.45 
116.143	-0.7749	-0.0728	2.7168	0.0000	-48.5229	-110.1074	0.4779	44.3243	117.1307	40.5700	118	-120	244	100779	0.45 
116.252	-0.6401	0.3262	0.4858	10.4980	-123.3521	-56.7017	-6.8280	35.0409	103.7988	40.5400	111	-96	237	100779	0.45 
116.330	-0.9683	-0.2212	1.2881	14.3433	14.7705	-11.0474	-4.3176	37.1777	102.3431	40.4900	106	-90	223	100779	0.45 
