14
StartTime: 2017-07-12 15:43:53.362
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
53.632	-1.1372	0.0283	1.8755	0.1831	1.1597	-1.0986	1.8622	30.7947	60.5951	45.6600	-67	51	270	100737	0.49 
53.632	-1.1431	0.0313	1.8760	-0.8545	1.6479	0.1831	1.8127	30.9155	60.6006	45.6500	-64	55	271	100737	0.49 
53.851	-1.1406	0.0239	1.8765	-0.6104	1.9531	1.4648	1.7633	31.0364	60.7214	45.6600	-66	50	267	100737	0.49 
53.851	-1.1563	0.0181	1.8755	-0.4272	0.6104	1.6479	1.7853	31.1792	60.9961	45.6700	-66	47	268	100737	0.49 
53.992	-1.1406	0.0220	1.8750	-0.7935	0.1221	0.1831	1.7413	31.1957	61.1389	45.6600	-65	47	269	100736	0.49 
54.054	-1.1357	0.0073	1.8726	-0.6714	0.5493	0.5493	1.6370	31.1957	61.2433	45.6600	-67	49	268	100736	0.49 
54.210	-1.1611	-0.0195	1.8687	-0.3662	0.7324	-2.4414	1.4117	31.2891	60.9357	45.6600	-66	52	270	100736	0.49 
54.289	-1.1694	-0.0605	1.8555	1.6479	-3.6011	-9.2773	0.9174	31.3660	59.8755	45.6700	-68	51	269	100736	0.49 
54.414	-1.1592	-0.0410	1.8560	4.8828	-3.8452	-1.4038	0.7196	31.0583	58.8263	45.6800	-71	50	267	100736	0.49 
54.494	-1.0771	0.1172	1.8721	0.4272	14.0381	24.4751	1.8512	31.3989	60.7050	45.6600	-72	51	265	100736	0.49 
54.619	-1.0371	0.0298	2.0439	10.6812	6.3477	15.3809	4.2352	32.7118	63.7097	45.6600	-61	51	265	100737	0.49 
54.712	-0.9775	0.1172	1.8013	12.3901	15.0146	12.3291	6.3391	32.7942	64.8578	45.6800	-55	50	261	100737	0.49 
54.869	-1.0498	0.1436	1.7983	5.4321	12.0850	-1.6479	7.3389	33.9093	65.7861	45.6800	-51	44	259	100737	0.49 
54.915	-1.0557	0.1460	1.8960	-2.1973	8.1787	3.6621	7.6410	34.8761	66.7310	45.6600	-46	46	258	100737	0.49 
55.080	-1.2939	0.1279	2.2349	-8.0566	4.6387	-19.1650	6.4929	35.1672	66.4563	45.6800	-38	45	260	100737	0.49 
55.108	-1.3218	-0.2065	1.5737	-19.4702	-20.9351	-25.9399	5.0262	35.0354	66.9891	45.6600	-36	47	263	100737	0.49 
55.224	-1.4204	0.0640	2.0405	-14.3433	-3.1738	-21.1792	1.5271	35.9088	63.9624	45.6500	-37	48	266	100737	0.49 
55.306	-1.1440	-0.0630	1.5898	-7.9956	-4.2114	-8.0566	-0.3021	34.6014	62.8912	45.6300	-39	51	266	100737	0.49 
55.442	-1.1592	0.0186	1.5923	-5.0659	2.6855	8.3008	-1.0162	34.7223	62.6385	45.6200	-44	54	267	100737	0.49 
55.510	-1.1484	-0.2173	1.9404	0.7324	0.8545	9.5825	-0.1318	35.3320	64.6106	45.6200	-35	50	265	100736	0.49 
55.703	-1.2544	-0.1460	2.2036	13.4277	13.1836	-14.7095	0.2966	34.9860	63.7427	45.6300	-31	53	263	100736	0.49 
55.828	-1.4839	0.4082	1.6802	18.4326	-8.0566	20.2637	1.7303	35.5188	63.6603	45.6300	-32	49	260	100736	0.49 
55.890	-1.3110	0.0103	2.0571	4.6387	-2.7466	28.1372	5.3723	35.7550	68.8293	45.6200	-27	47	255	100736	0.49 
56.125	-1.0649	0.1279	1.4839	2.8687	-4.6387	13.9160	6.4270	33.9038	70.4388	45.6100	-17	47	247	100735	0.49 
56.374	-1.1729	0.0146	1.6431	7.6294	16.1743	3.2349	7.8937	34.4916	72.4713	45.6000	-15	46	243	100735	0.49 
56.437	-1.0845	0.2705	1.9219	-5.6763	-8.4839	-6.2866	7.1136	35.1343	71.3507	45.6000	-17	44	238	100734	0.49 
56.548	-1.1768	0.2285	2.2061	-9.1553	24.7803	4.2725	6.0205	34.3817	71.7242	45.5900	-15	44	238	100734	0.49 
56.548	-1.3486	0.0352	1.7197	-14.5874	-19.7144	-20.9961	5.1196	34.5135	72.3724	45.5900	-11	44	241	100734	0.49 
56.595	-1.3169	-0.0610	1.9604	-15.9302	5.1270	-28.1372	1.3678	34.7552	68.9502	45.5700	-19	53	243	100734	0.49 
56.689	-1.0957	-0.0479	1.4756	-12.4512	-14.5264	-6.9580	-1.1646	33.0304	66.8793	45.5600	-25	59	243	100734	0.49 
56.720	-1.1475	-0.0151	1.6152	-6.2866	6.8359	5.1880	-2.0654	33.5852	66.4673	45.5600	-31	59	241	100733	0.49 
56.860	-1.1143	-0.1782	1.9219	0.7935	1.2817	15.1367	-1.1261	34.3707	67.9449	45.5900	-24	57	245	100733	0.49 
56.939	-1.2725	-0.1523	2.2383	10.9863	9.9487	-12.7563	-0.1593	33.7830	67.5549	45.5800	-17	56	245	100733	0.49 
