20
StartTime: 2017-07-12 15:27:58.684
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
22.793	-1.3286	0.0562	1.8320	0.0000	0.1831	0.7324	2.2522	36.0901	115.2026	39.6900	125	-102	250	100789	0.45 
22.918	-1.3213	0.0513	1.8271	0.0000	0.1831	0.7324	2.2687	36.0736	115.2246	39.7000	124	-98	249	100789	0.45 
22.980	-1.3149	0.0576	1.8242	-0.1221	-1.0376	0.9766	2.2632	36.0736	115.2026	39.7100	124	-99	248	100790	0.45 
23.145	-1.3228	0.0493	1.8311	-0.2441	-0.7935	1.0986	2.2687	36.0297	115.2411	39.7100	121	-99	251	100789	0.45 
23.213	-1.3262	0.0518	1.8315	0.1221	0.3662	0.4272	2.2906	36.0242	115.2411	39.7100	128	-99	250	100789	0.45 
23.361	-1.3159	0.0332	1.8330	-2.4414	4.6387	1.5869	2.2028	36.2604	115.1752	39.7200	126	-100	250	100789	0.45 
23.525	-1.3286	0.0591	1.8174	0.5493	5.8594	0.7324	2.1643	36.5460	115.1202	39.7400	127	-100	252	100789	0.45 
23.589	-1.2920	-0.0273	1.8091	0.6104	4.6997	-3.3569	2.2028	36.9690	115.1038	39.7500	127	-100	257	100789	0.45 
23.746	-1.3789	-0.0405	1.8750	7.0190	6.5918	-19.1040	1.3733	37.7325	113.3020	39.7400	126	-98	253	100789	0.45 
23.824	-1.2974	0.2559	1.6665	5.4321	13.7329	7.9956	1.7303	38.0017	112.3627	39.7600	127	-97	256	100789	0.45 
23.933	-1.2422	-0.0005	1.9556	2.8076	2.1362	20.5078	3.2355	38.9246	114.7302	39.7700	130	-98	259	100790	0.45 
24.011	-1.1768	0.1685	1.7432	11.6577	12.0239	28.3813	6.2457	39.4904	117.7954	39.7700	134	-105	264	100790	0.45 
