StartTime: 2017-07-12 15:53:07.203
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
180.886	-1.2275	-0.0693	1.8506	-0.2441	1.2817	4.0894	-1.7413	33.6072	155.0665	44.5000	4	-256	213	100780	0.45 
180.949	-1.2349	-0.0625	1.8486	0.0000	0.9155	0.9155	-1.5656	33.6951	155.2917	44.4900	5	-257	216	100780	0.45 
181.121	-1.2236	-0.0645	1.8491	-0.0610	-0.1221	-1.4038	-1.6205	33.7225	155.1270	44.5100	6	-257	217	100780	0.45 
181.152	-1.2300	-0.0664	1.8491	-0.2441	0.3052	-1.5869	-1.7633	33.7115	154.7974	44.5200	5	-256	216	100779	0.45 
181.308	-1.2354	-0.0591	1.8564	-0.1831	0.5493	-0.7935	-1.8732	33.7390	154.4897	44.5100	5	-257	216	100780	0.45 
181.355	-1.2354	-0.0601	1.8486	0.3052	0.3662	-1.0986	-1.9501	33.7994	154.2645	44.5100	6	-255	216	100780	0.45 
181.558	-1.2407	-0.0649	1.8521	-0.9766	1.1597	0.7935	-2.0215	33.8818	154.0063	44.5100	8	-255	216	100780	0.45 
181.669	-1.2378	-0.0615	1.8525	-0.3662	0.4272	1.1597	-2.0105	33.9313	153.9679	44.5200	5	-257	215	100780	0.45 
181.712	-1.2368	-0.0625	1.8472	-0.7324	1.1597	0.5493	-2.0105	34.0027	153.9679	44.5100	8	-255	214	100780	0.45 
181.869	-1.2437	-0.0620	1.8486	-1.4648	1.7700	0.7935	-2.0709	34.1235	153.9349	44.5300	8	-257	215	100780	0.45 
181.900	-1.2466	-0.0791	1.8569	-0.1221	1.7090	2.1362	-2.0764	34.2993	153.9899	44.5100	9	-257	216	100780	0.45 
182.103	-1.2510	-0.0430	1.8516	6.2866	1.7700	1.3428	-1.6864	34.4806	153.9349	44.5400	10	-252	221	100780	0.45 
182.134	-1.2495	0.0293	1.8491	3.9673	-3.3569	2.3193	-1.0052	34.3323	154.1107	44.5300	8	-258	215	100780	0.45 
182.275	-1.2192	0.0205	1.8364	-6.1035	-1.4038	7.0801	-0.6152	33.9642	154.8798	44.5300	6	-258	221	100780	0.45 
182.369	-1.2378	-0.0034	1.8608	-9.9487	-2.0142	6.2866	-0.9283	33.8763	155.8685	44.5400	4	-258	217	100780	0.45 
182.478	-1.2388	-0.0342	1.8525	-8.6060	-6.3477	1.9531	-1.5161	33.4808	156.3245	44.5400	3	-255	211	100779	0.45 
182.542	-1.2388	-0.0088	1.8564	-3.8452	-8.0566	-8.9722	-2.3236	32.9205	155.6598	44.5400	0	-257	213	100779	0.45 
182.694	-1.2305	-0.0078	1.8208	-3.1128	-11.7798	-13.6719	-3.1476	31.9592	154.3469	44.5400	0	-247	208	100779	0.45 
182.770	-1.2100	0.0449	1.8188	-9.2163	-11.3525	-22.0337	-4.5538	30.8221	152.2650	44.5300	4	-249	206	100779	0.46 
182.910	-1.1602	0.0420	1.8062	-19.2261	-13.7329	-26.3062	-6.8719	29.5148	150.0293	44.5300	2	-246	206	100779	0.45 
182.982	-1.1738	0.0923	1.7124	-28.4424	-16.2964	-22.7661	-9.9536	27.8613	147.6508	44.5200	7	-240	197	100779	0.45 
183.116	-1.1709	0.1938	1.5576	-48.1567	9.5825	0.1831	-13.4033	27.6086	146.6345	44.5300	5	-227	190	100779	0.45 
183.178	-1.0620	-0.0947	1.1426	-74.8291	53.8940	-5.3101	-18.4680	30.8221	147.2882	44.5100	4	-214	177	100779	0.45 
183.350	-1.0000	-0.3628	1.2295	-93.2617	82.7637	-69.1528	-30.3827	35.7715	138.3508	44.5000	22	-194	168	100780	0.45 
183.475	-0.9614	-0.8599	1.6196	-154.2969	-58.5327	-165.1001	-47.9333	28.4601	124.1565	44.4600	44	-153	165	100780	0.45 
183.538	-0.3545	-2.9087	1.3818	-291.0156	-111.6333	-61.2793	-70.1312	14.2987	123.6401	44.3800	20	-83	149	100781	0.45 
183.688	-0.5737	-1.2407	0.7974	-110.0464	-17.0898	-9.7656	-87.9840	8.8715	121.6626	44.3000	-8	-13	167	100783	0.45 
183.767	-0.6699	-0.6206	0.6191	-20.5688	-59.6924	75.3174	-92.7411	11.1786	120.1135	44.2700	-11	17	192	100784	0.45 
183.908	-0.8560	-0.6025	0.4897	-4.8218	-13.1226	61.0352	-89.5605	16.7322	117.8888	44.2300	-4	20	198	100785	0.45 
183.939	-0.9570	-1.2710	0.5576	34.7290	-44.1284	111.3281	-84.6002	23.6755	115.9332	44.2200	7	13	195	100785	0.45 
184.127	-1.3931	-0.9771	0.7617	30.2734	-29.1748	167.0532	-75.5145	36.0626	117.8613	44.2200	21	-8	181	100786	0.45 
