run 10
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1308.216	-1.5693	-0.1162	1.6924	-1.7700	0.4272	1.8921	-2.9938	42.9730	118.9600	40.6800	138	-191	330	100947	0.31 
1308.341	-1.5742	-0.1152	1.6934	-2.3193	-0.0610	2.9297	-2.9938	43.0225	119.1852	40.6900	138	-192	334	100947	0.31 
1308.450	-1.5737	-0.1211	1.6929	-1.8311	0.1221	3.1128	-2.9663	43.0115	119.4818	40.7100	139	-192	332	100947	0.31 
1308.560	-1.5728	-0.1196	1.6953	0.0610	1.3428	2.5024	-2.8345	43.0609	119.6851	40.7100	139	-192	330	100948	0.31 
1308.654	-1.5781	-0.1016	1.6919	-0.7935	1.4038	4.2114	-2.6202	43.1818	119.9213	40.7000	139	-191	331	100948	0.31 
1308.778	-1.5801	-0.1318	1.6934	-0.4883	0.7324	3.2959	-2.3236	43.2806	120.3937	40.7200	138	-193	333	100948	0.31 
1308.888	-1.5771	-0.0981	1.6870	1.7090	0.0000	-0.3052	-2.2137	43.3466	120.2948	40.7400	138	-191	334	100948	0.31 
1308.966	-1.5781	-0.0986	1.6841	-1.6479	-0.6714	2.5024	-2.2028	43.3191	120.2563	40.7300	136	-190	331	100948	0.31 
1309.091	-1.5767	-0.0918	1.6880	-0.5493	0.7324	3.7231	-2.1094	43.3740	120.4651	40.7300	137	-190	330	100948	0.31 
1309.200	-1.5903	-0.0566	1.6929	0.1831	4.6387	9.3994	-1.5820	43.7201	121.0858	40.7300	136	-191	329	100948	0.31 
1309.294	-1.5693	-0.0947	1.6924	-0.5493	5.2490	-6.6528	-1.6589	44.1321	121.1023	40.7500	133	-192	334	100948	0.31 
1309.404	-1.5654	-0.0845	1.6919	0.0000	4.9438	-10.9863	-2.6807	44.5221	119.5642	40.7500	139	-194	334	100948	0.31 
1309.575	-1.6113	-0.0713	1.6597	-4.2725	10.6812	-7.3853	-3.9716	45.1044	117.8833	40.7400	141	-191	338	100948	0.31 
1309.653	-1.5449	-0.1299	1.6514	-0.0610	6.1035	-1.4648	-4.2407	45.8514	117.6416	40.7500	142	-190	339	100948	0.31 
