walk15
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1237.330	-1.6636	-0.0371	1.6235	0.0000	0.7935	-0.9155	0.1263	46.1920	120.9814	40.1800	132	-207	352	100949	0.31 
1237.502	-1.6733	-0.0117	1.6221	2.6855	-1.9531	-2.0752	0.0000	46.2634	120.5914	40.1600	131	-206	353	100948	0.31 
1237.548	-1.7148	-0.0430	1.6401	4.7607	-6.3477	-4.2725	-0.0055	45.9723	120.0421	40.1700	131	-206	352	100948	0.31 
1237.689	-1.6914	-0.0015	1.6216	3.2349	-9.3994	-4.2725	-0.3735	44.7583	119.1852	40.1800	136	-203	355	100948	0.31 
1237.767	-1.5962	-0.0166	1.5864	2.3804	-1.8921	-4.4556	-0.4340	43.7091	118.8391	40.1500	133	-200	346	100948	0.31 
1237.908	-1.6519	-0.0620	1.6289	6.8359	1.2207	-7.5073	-0.4614	44.0332	118.1854	40.1600	137	-196	349	100949	0.31 
1237.986	-1.6416	-0.0254	1.6401	7.7515	3.4790	-10.4980	-0.6427	44.4012	116.8890	40.1800	137	-196	348	100948	0.31 
1238.081	-1.6436	0.0161	1.6416	0.6714	-0.4272	-2.1973	-0.8240	44.6759	116.1255	40.2000	138	-197	353	100949	0.31 
1238.206	-1.6528	0.0127	1.6460	-9.0942	0.8545	14.3433	-0.4889	44.6649	117.3120	40.1700	137	-197	353	100949	0.31 
1238.316	-1.6567	-0.0283	1.6440	-12.6343	-1.0376	21.4844	0.1978	44.5825	119.9652	40.1900	134	-198	355	100948	0.31 
1238.378	-1.6436	-0.0552	1.6436	-6.7139	-1.7090	7.0190	0.4889	44.2969	121.9373	40.2000	132	-201	346	100948	0.31 
1238.519	-1.6572	-0.0352	1.6431	-0.0610	2.5024	3.3569	0.5878	44.3134	122.4097	40.2100	131	-201	347	100948	0.31 
1238.613	-1.6357	-0.0171	1.6445	1.5869	-1.4648	-5.7983	0.4614	44.2969	122.0471	40.2000	129	-203	348	100948	0.31 
1238.722	-1.6509	-0.0444	1.6553	5.3101	1.2207	-5.0659	0.2417	44.4397	121.2506	40.2200	129	-202	350	100948	0.31 
1238.894	-1.6455	-0.0503	1.6489	6.4087	-2.1362	-8.6670	0.0769	44.4836	120.2014	40.2200	132	-197	347	100948	0.31 
