StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1371.928	-1.6021	-0.0098	1.6792	-0.3052	0.0610	0.9155	0.6757	43.5883	101.1676	40.4000	-72	-13	190	100943	0.32 
1372.053	-1.6040	-0.0078	1.6846	-0.3662	0.3052	0.5493	0.6372	43.6322	101.1786	40.3900	-73	-17	185	100943	0.32 
1372.132	-1.6011	-0.0073	1.6782	-0.4883	-0.1831	0.9155	0.6262	43.6267	101.3269	40.3900	-71	-15	191	100943	0.32 
1372.257	-1.6021	-0.0029	1.6870	-1.5259	-0.6104	1.8921	0.6097	43.6432	101.4148	40.3900	-73	-14	190	100943	0.32 
1372.335	-1.6040	-0.0142	1.6807	-1.2207	-0.1831	2.6245	0.6372	43.6157	101.5796	40.4000	-70	-13	190	100942	0.32 
1372.460	-1.6006	-0.0122	1.6694	-1.0986	0.4883	2.5635	0.7086	43.5828	101.7773	40.3900	-67	-15	189	100943	0.32 
1372.585	-1.6113	-0.0176	1.6777	-0.6714	1.3428	1.2817	0.7141	43.7146	101.8378	40.3800	-66	-14	191	100942	0.32 
1372.663	-1.6289	-0.0015	1.6714	-1.2817	0.0610	2.4414	0.6921	43.7915	101.7938	40.4100	-64	-12	189	100942	0.32 
1372.773	-1.6104	-0.0229	1.6680	-2.5635	1.7090	6.1035	0.9338	43.8959	102.4146	40.4100	-67	-14	192	100942	0.32 
1372.897	-1.6074	-0.0034	1.6685	-1.0986	0.6714	3.4790	1.0822	44.0387	102.7277	40.4200	-69	-16	193	100942	0.32 
1372.975	-1.6021	0.0020	1.6670	-1.8921	-0.4883	4.4556	1.2195	44.0222	103.0188	40.3900	-64	-13	191	100942	0.32 
1373.100	-1.6074	0.0000	1.6807	-1.3428	-1.3428	1.0376	1.2250	43.9014	103.0573	40.4200	-69	-13	192	100942	0.32 
1373.241	-1.6079	-0.0122	1.6699	-1.1597	0.4272	2.9297	1.2854	43.7421	103.2495	40.4300	-66	-15	191	100942	0.32 
1373.288	-1.6128	-0.0059	1.6719	0.7324	-1.5869	2.2583	1.3458	43.6597	103.1122	40.4100	-69	-12	193	100942	0.32 
1373.413	-1.6084	-0.0044	1.6885	-0.3662	-2.0752	2.3193	1.5326	43.4344	103.1232	40.4200	-68	-12	191	100942	0.32 
1373.523	-1.5947	-0.0078	1.6587	1.7700	-3.0518	1.8921	1.7798	43.1653	103.2275	40.4200	-67	-14	194	100942	0.32 
1373.679	-1.5967	0.0127	1.6714	0.3662	-2.9907	3.2959	2.0380	43.0115	103.3868	40.4200	-73	-15	192	100942	0.32 
1373.726	-1.6172	-0.0010	1.6572	-2.3193	-3.4790	7.8735	2.3236	42.7808	103.9966	40.4400	-73	-14	189	100942	0.32 
1373.897	-1.6299	-0.0078	1.6392	-4.0894	-1.5869	9.5215	2.6971	42.5720	104.8865	40.4400	-71	-11	191	100942	0.32 
1373.975	-1.6147	0.0166	1.5200	-9.8877	14.9536	13.4888	3.3344	43.0884	106.3092	40.4300	-71	-12	193	100942	0.32 
1374.100	-1.5430	-0.0361	1.5566	-24.2310	31.4941	-1.7700	2.3456	45.6757	107.1497	40.4400	-68	-9	192	100942	0.32 
1374.179	-1.6885	-0.0054	1.7246	-15.5640	10.4370	-12.3291	-0.5713	47.6147	104.5624	40.4400	-61	-5	197	100942	0.32 
1374.273	-1.6089	-0.0547	1.7236	-14.4043	-4.8828	-12.8174	-2.9993	46.9885	102.4420	40.4500	-66	-1	195	100942	0.32 
1374.367	-1.5400	-0.0596	1.6147	-6.1646	-38.7573	-2.0142	-3.8947	44.2694	100.9204	40.4400	-67	-1	196	100942	0.32 
1374.507	-1.6841	-0.1182	1.8833	8.5449	-65.5518	-5.4932	-3.6804	39.6112	100.0360	40.4500	-78	0	196	100942	0.32 
1374.617	-1.4468	0.1299	2.0347	10.0708	-90.4541	13.1836	-1.3678	30.2563	100.9039	40.4400	-98	-3	196	100942	0.32 
1374.698	-1.1094	-0.1260	1.6914	14.4653	-37.0483	13.7329	0.2747	25.8069	102.1344	40.4400	-117	-7	206	100943	0.32 
1374.807	-1.2646	-0.0264	1.9702	-2.6245	-40.4053	16.2354	1.3733	22.6868	103.3923	40.4400	-126	-8	210	100944	0.32 
1374.901	-1.1440	-0.0688	1.8486	1.7700	-28.8086	0.7324	1.1096	19.4678	105.5127	40.4300	-134	-9	214	100944	0.32 
