run 10
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
396.659	-1.2002	0.0146	1.8687	-0.1831	1.5869	0.0000	1.6644	32.6624	151.0950	40.7500	-1	-246	268	100954	0.31 
396.753	-1.2124	0.0396	1.8735	-0.1221	0.9155	-1.0376	1.5875	32.8052	150.9576	40.7400	0	-245	272	100954	0.31 
396.862	-1.2046	0.0337	1.8677	-0.2441	0.4272	-0.6104	1.4941	32.8601	150.8423	40.7500	0	-247	273	100954	0.31 
397.018	-1.1992	0.0264	1.8579	-0.3052	0.9155	0.0000	1.4172	32.9425	150.7379	40.7500	1	-247	271	100954	0.31 
397.097	-1.2104	0.0313	1.8569	-0.3662	1.4648	-0.3052	1.3458	33.0908	150.6226	40.7400	0	-248	274	100954	0.31 
397.191	-1.2114	0.0229	1.8657	-0.6104	1.4648	0.6104	1.2964	33.2172	150.5951	40.7400	2	-247	273	100955	0.31 
397.347	-1.2212	0.0298	1.8638	-1.2207	2.6245	0.1831	1.2085	33.3984	150.5896	40.7400	2	-250	273	100954	0.31 
397.409	-1.2134	0.0303	1.8525	-0.4883	5.8594	3.1128	1.1371	33.6731	150.6555	40.7400	4	-247	270	100955	0.31 
397.503	-1.2422	0.0322	1.8696	0.0000	7.1411	7.1411	1.5326	34.4092	151.1884	40.7500	3	-248	271	100955	0.31 
397.613	-1.2520	0.0254	1.8638	-2.6855	1.4648	4.8828	1.7523	34.7278	151.7816	40.7700	0	-249	274	100955	0.31 
397.878	-1.2456	0.0244	1.8628	-2.3193	0.1221	3.9063	1.6699	34.6454	152.0837	40.7800	3	-247	276	100955	0.31 
397.956	-1.2412	0.0190	1.8525	-1.4038	0.4272	3.7231	1.7303	34.5685	152.3914	40.7800	0	-248	271	100954	0.31 
398.019	-1.2388	0.0269	1.8511	-1.9531	0.5493	4.6997	1.8182	34.5575	152.7374	40.7600	-2	-246	270	100955	0.31 
398.065	-1.2422	0.0088	1.8599	-0.7935	0.4883	1.7090	1.8127	34.6234	152.9297	40.7900	-2	-246	270	100954	0.31 
398.190	-1.2402	0.0254	1.8628	-0.7935	-0.5493	1.7090	1.7358	34.5630	152.8198	40.7700	-5	-246	269	100954	0.31 
398.269	-1.2373	0.0205	1.8540	-1.5259	-0.1831	2.9297	1.6974	34.4806	152.8583	40.7900	-6	-246	270	100953	0.31 
398.363	-1.2417	0.0059	1.8604	-0.1831	0.1221	-0.6104	1.6150	34.4531	152.7704	40.8100	-3	-245	267	100953	0.31 
