
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
535.376	-1.2788	0.0645	1.8354	0.4272	0.9766	-1.4648	2.4719	34.7168	89.5551	40.3400	-77	9	208	100947	0.31 
535.470	-1.2979	0.0635	1.8398	0.0000	0.3052	0.7324	2.4829	34.8322	89.5166	40.3400	-76	8	208	100948	0.31 
535.579	-1.2847	0.0591	1.8345	0.0000	-0.3052	-0.1831	2.4554	34.8102	89.5386	40.3400	-77	8	207	100948	0.31 
535.673	-1.2969	0.0674	1.8398	0.5493	1.5259	-1.7700	2.3676	34.8596	89.4836	40.3400	-78	6	206	100948	0.31 
535.782	-1.2866	0.0698	1.8408	0.7324	0.4883	-1.2817	2.3071	34.9475	89.2310	40.3500	-75	9	210	100947	0.31 
535.891	-1.2944	0.0684	1.8428	0.3662	0.0000	-0.4272	2.2961	34.9915	89.1815	40.3500	-76	7	204	100948	0.31 
536.001	-1.2954	0.0732	1.8364	0.2441	-0.3052	0.1831	2.3016	34.9750	89.1705	40.3600	-80	5	206	100948	0.31 
536.126	-1.2959	0.0630	1.8364	0.0000	-0.1831	0.0610	2.2961	34.9585	89.1870	40.3400	-78	10	206	100948	0.31 
536.220	-1.2930	0.0664	1.8398	0.1221	0.3052	-0.3052	2.2797	34.9750	89.2310	40.3500	-77	6	210	100948	0.31 
536.313	-1.3003	0.0708	1.8442	-0.1221	-0.1831	-0.1221	2.2632	34.9915	89.1980	40.3600	-78	10	208	100948	0.31 
536.407	-1.2979	0.0737	1.8408	-0.1221	-0.7935	-0.4272	2.2137	34.9420	89.0332	40.3600	-80	9	209	100948	0.31 
536.517	-1.2900	0.0625	1.8345	-0.2441	-0.6104	-0.4883	2.1643	34.8926	88.9178	40.3500	-75	10	207	100948	0.31 
536.611	-1.2930	0.0679	1.8384	0.0000	-0.3662	-0.7935	2.1039	34.8926	88.7531	40.3400	-79	12	206	100948	0.31 
536.735	-1.2920	0.0645	1.8452	0.0000	-0.1831	-0.3052	2.0599	34.8706	88.5059	40.3600	-80	12	206	100948	0.31 
536.892	-1.2896	0.0620	1.8369	-0.2441	-0.6714	-0.2441	2.0380	34.8157	88.4070	40.3700	-80	9	209	100947	0.31 
536.938	-1.2920	0.0684	1.8389	-0.3052	-0.7935	0.1221	2.0105	34.7717	88.5059	40.3600	-79	6	207	100948	0.31 
537.048	-1.2827	0.0669	1.8384	-0.1221	-0.1831	-0.1221	1.9830	34.7278	88.6652	40.3600	-81	6	209	100948	0.31 
537.142	-1.2866	0.0679	1.8413	-0.1221	-0.6714	-0.7935	1.9446	34.7113	88.6267	40.3500	-80	8	207	100948	0.31 
537.251	-1.2822	0.0645	1.8389	-0.0610	-0.7324	-1.2817	1.8787	34.6893	88.5443	40.3500	-78	11	211	100948	0.31 
537.376	-1.2886	0.0732	1.8462	0.0000	-0.3052	-0.6714	1.8127	34.7223	88.3521	40.3400	-81	8	204	100947	0.31 
537.485	-1.2944	0.0625	1.8462	-0.3662	-1.0376	-0.7935	1.7578	34.6289	88.3411	40.3400	-81	9	209	100947	0.31 
537.595	-1.2847	0.0615	1.8389	-0.3662	-1.5869	-0.7324	1.6754	34.5026	88.1213	40.3200	-82	11	209	100948	0.31 
537.704	-1.2944	0.0610	1.8452	-0.4272	-1.2817	0.4883	1.6370	34.4312	88.0829	40.3200	-83	6	209	100948	0.31 
537.783	-1.2905	0.0454	1.8389	-0.6714	-1.2817	-0.0610	1.6205	34.3488	88.1433	40.3400	-80	10	211	100948	0.31 
537.939	-1.3408	0.0562	1.7676	4.2114	7.2632	-8.7891	1.4502	34.6234	87.4896	40.3300	-82	11	209	100948	0.31 
538.032	-1.2983	0.0835	1.6274	13.9771	16.8457	-11.5967	1.7194	36.1121	86.3525	40.3100	-78	7	208	100948	0.31 
538.142	-1.2935	0.1660	1.6040	13.1226	37.7808	4.2725	3.5211	39.0234	87.1655	40.3100	-79	5	203	100947	0.31 
538.220	-1.2671	0.1660	1.6162	5.2490	20.5688	6.6528	5.0867	42.1490	88.3685	40.3400	-70	2	202	100947	0.31 
538.314	-1.4453	0.2212	1.8770	7.8125	12.2070	10.5591	6.8610	44.5221	90.8350	40.3300	-62	1	202	100947	0.31 
538.392	-1.5054	0.0483	1.7622	13.1836	20.0195	-10.3149	8.4100	45.6097	92.6093	40.3100	-58	-1	198	100947	0.31 
538.548	-1.4824	0.1948	1.7607	3.5400	-0.2441	-7.5684	8.3771	46.3513	92.4445	40.3300	-54	-6	196	100948	0.31 
538.642	-1.5732	0.1382	1.7930	-3.1738	0.1221	-4.8218	8.1024	46.5161	93.0212	40.3300	-58	-5	194	100948	0.31 
538.736	-1.5923	0.2212	1.8765	-14.7705	-21.1182	3.6621	7.7124	45.5164	94.4495	40.3400	-56	-6	190	100948	0.31 
538.845	-1.5107	0.1992	1.8628	-12.6953	-27.2827	-2.8687	6.1194	43.0499	95.0537	40.3300	-60	-2	193	100949	0.31 
538.970	-1.4731	0.0728	2.1206	-13.1226	-43.2739	-14.2822	4.0265	39.4904	94.2957	40.3400	-68	1	196	100949	0.31 
539.032	-1.3696	0.0439	1.8213	-13.1836	-25.7568	-2.3804	1.6425	35.4034	92.9114	40.3200	-79	3	194	100949	0.31 
539.189	-1.2969	0.0532	1.8188	-7.3242	-23.1323	-5.7373	0.2417	32.7393	91.8402	40.3300	-90	5	204	100949	0.31 
539.282	-1.1011	0.0034	1.7749	-2.1973	-19.5923	-2.9907	-0.5933	30.4376	90.7471	40.3200	-100	7	204	100950	0.31 
539.361	-1.1660	0.0366	1.8462	0.6104	-13.1836	0.4272	-0.4504	29.7565	90.4669	40.3300	-105	7	205	100950	0.31 
539.486	-1.2471	0.0562	1.9023	1.1597	-7.3853	1.4648	-0.1538	29.1412	90.0714	40.3300	-108	5	206	100950	0.31 
539.611	-1.2100	0.0503	1.8613	1.7700	-2.1973	5.7373	0.1593	28.5260	90.0439	40.3300	-108	6	209	100950	0.31 
539.689	-1.1934	0.0522	1.8887	0.9766	-1.1597	3.1738	0.5383	28.5315	90.4559	40.3300	-112	4	209	100950	0.31 
539.814	-1.1953	0.0576	1.8691	1.4648	-3.2349	0.9766	0.8075	28.4656	90.1648	40.3400	-111	5	204	100949	0.31 
539.892	-1.1802	0.0620	1.8672	1.0376	-1.4038	-0.4883	0.9393	28.4601	90.3131	40.3300	-113	7	207	100950	0.31 
539.986	-1.1865	0.0605	1.8701	0.3052	-1.7090	1.0376	1.0382	28.5590	90.5548	40.3200	-112	5	208	100949	0.31 
540.095	-1.1816	0.0596	1.8726	-0.7935	-0.4272	1.4648	1.1041	28.6414	90.7855	40.3200	-112	5	207	100949	0.31 
540.204	-1.1826	0.0483	1.8750	-0.6104	-0.3052	0.9766	1.1151	28.8226	90.9833	40.3300	-110	7	207	100950	0.31 
540.345	-1.1802	0.0513	1.8682	-0.4883	-0.2441	0.0000	1.1151	28.9819	90.9119	40.3300	-110	4	206	100949	0.31 
540.423	-1.1660	0.0503	1.8638	-0.5493	0.0000	-1.2207	1.0547	29.1632	90.8789	40.3400	-111	7	207	100950	0.31 
540.533	-1.1768	0.0518	1.8643	-0.2441	1.0376	-0.7935	1.0492	29.4159	90.5823	40.3300	-112	6	210	100950	0.31 
540.611	-1.1851	0.0479	1.8735	0.0000	1.7700	0.1221	1.0657	29.7290	90.4559	40.3400	-108	6	209	100950	0.31 
540.783	-1.1885	0.0483	1.8667	-0.2441	0.8545	-0.6714	1.0767	29.9982	89.9066	40.3300	-109	7	206	100950	0.31 
540.876	-1.1895	0.0464	1.8711	-0.9155	0.4883	-0.6104	1.0712	30.2069	89.5276	40.3400	-110	8	208	100950	0.31 
540.986	-1.1836	0.0449	1.8687	-0.8545	1.2207	-0.4883	0.9833	30.3937	89.3683	40.3400	-109	5	206	100950	0.31 
541.064	-1.1914	0.0469	1.8662	-0.2441	2.1362	-0.3052	0.9338	30.6354	88.9783	40.3500	-109	9	206	100950	0.31 
541.189	-1.1968	0.0420	1.8662	0.4272	2.0142	-0.2441	0.9723	30.9485	88.2697	40.3600	-109	8	205	100950	0.31 
