walk 15 
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
270.354	-1.2451	0.1226	1.8232	5.1880	7.9346	18.2495	5.1251	33.0853	147.9749	40.7400	50	-240	284	100959	0.30 
270.432	-1.3164	0.0693	1.9385	2.9907	4.8218	3.6011	6.2567	34.3158	149.1284	40.7600	48	-243	288	100959	0.30 
270.542	-1.3315	0.0327	1.8496	-12.4512	-6.5308	-1.8311	5.1471	33.8434	148.3484	40.7600	50	-247	286	100959	0.30 
270.651	-1.2593	0.1289	1.7725	-10.3149	-5.2490	-13.0615	3.6035	33.5193	146.7059	40.7600	50	-244	285	100959	0.30 
270.745	-1.0322	-0.1948	1.6431	-9.8267	-22.7661	-6.8359	2.3126	32.5140	145.6293	40.7700	48	-239	279	100959	0.30 
270.885	-1.2222	0.0122	1.8813	-1.8311	-7.9956	-4.9438	1.3184	32.3108	143.5748	40.7700	50	-238	280	100959	0.30 
270.979	-1.2056	-0.0513	1.8350	-1.0376	0.6714	1.3428	0.7690	31.6351	142.8827	40.7800	51	-238	276	100959	0.30 
271.073	-1.2051	-0.0820	1.8647	3.7231	9.5215	-14.1602	0.2802	32.0746	141.9763	40.7700	57	-237	279	100959	0.30 
271.167	-1.1602	-0.0581	1.8628	5.9814	11.9629	-11.3525	0.0330	33.0194	140.6580	40.7800	56	-233	281	100959	0.30 
271.307	-1.1763	-0.0215	1.8882	7.5684	14.1602	-2.8076	0.2472	34.3817	139.8944	40.7700	64	-231	282	100959	0.30 
271.417	-1.3462	0.1909	1.7305	12.9395	14.4653	8.4229	1.6534	35.5133	140.5316	40.7500	67	-235	290	100959	0.30 
271.495	-1.3413	0.0220	1.9536	5.8594	10.6201	42.1753	4.5978	36.7712	144.7833	40.7600	62	-239	291	100959	0.30 
271.620	-1.1377	-0.1646	1.8018	16.4795	1.5259	0.2441	6.5204	36.2769	146.9257	40.7500	54	-247	296	100959	0.30 
271.698	-1.0947	0.1553	1.8394	15.4419	0.9155	-32.5317	5.9766	36.3373	143.1903	40.7500	60	-249	303	100959	0.30 
271.823	-1.3184	0.0410	1.9058	9.3994	12.3901	-39.3677	4.7791	37.2162	139.3726	40.7300	73	-243	307	100959	0.30 
271.932	-1.1499	-0.0249	1.9092	-9.3994	-13.9771	-31.0059	2.2137	36.4252	135.0439	40.7300	84	-235	311	100959	0.30 
272.089	-2.2910	0.4229	2.0239	3.9063	16.4795	27.8320	-1.1481	35.4858	131.2646	40.7500	88	-229	305	100959	0.30 
272.167	-1.3369	0.3062	1.8394	-26.9775	-7.3242	21.3013	-1.3019	33.6401	133.3081	40.7100	86	-226	295	100959	0.30 
272.276	-1.2329	-0.1050	1.7363	-17.9443	20.9351	16.1133	-1.9501	33.8379	137.3895	40.7200	78	-227	285	100959	0.30 
272.355	-1.1221	-0.1050	1.8926	-8.3008	1.7700	21.9727	-1.5051	35.1837	140.0262	40.7300	74	-231	283	100959	0.30 
272.495	-1.4336	0.6533	1.6611	4.0283	-14.8926	39.4897	0.0385	33.8104	141.3116	40.7200	70	-236	282	100959	0.30 
272.589	-1.3262	-0.1987	2.0015	-5.6763	-5.3711	36.9263	0.0879	33.7115	145.3711	40.7300	61	-238	280	100959	0.31 
272.682	-1.1123	-0.0063	1.4644	24.3530	-3.8452	-4.1504	1.0327	31.8933	144.9316	40.7300	55	-243	273	100958	0.31 
272.792	-1.2012	0.0063	1.7290	17.5171	13.1226	-20.1416	1.9666	33.5577	142.6575	40.7100	56	-239	281	100959	0.31 
272.917	-1.2104	0.3276	2.2163	13.6719	-13.4888	-24.5972	1.3458	33.7335	139.2078	40.7000	65	-240	287	100958	0.31 
272.996	-1.3027	-0.1099	1.8486	8.1177	-16.9067	8.9722	2.6257	31.9263	138.3508	40.7100	71	-238	289	100958	0.31 
273.120	-1.1313	0.1904	1.7192	-19.2261	-1.2207	-3.0518	1.7194	31.9098	137.2357	40.6900	71	-238	293	100959	0.30 
273.199	-1.1387	0.0273	1.7427	-5.9204	20.3857	13.9771	0.6152	32.6294	138.7189	40.6900	72	-238	284	100958	0.31 
273.323	-1.1494	-0.4668	2.0757	-6.8359	12.4512	16.2354	1.0876	32.8601	142.0917	40.6900	64	-240	283	100958	0.31 
273.433	-1.2217	0.1172	1.3921	-23.6206	-22.3389	-2.4414	-0.6152	31.8713	141.7181	40.6900	61	-242	278	100958	0.31 
273.527	-1.2500	-0.0830	1.7305	8.4229	-17.2729	8.2397	0.0989	32.8711	142.7399	40.6900	62	-243	280	100959	0.30 
273.636	-1.1519	0.1265	1.8086	23.4985	22.2778	-29.0527	1.1975	33.7280	140.7019	40.6700	65	-247	285	100959	0.30 
273.761	-1.1426	-0.0303	1.9346	6.8970	6.3477	-28.2593	0.6537	34.8981	137.6038	40.6700	75	-243	293	100960	0.30 
273.917	-1.8857	-0.0239	1.8486	9.5825	-19.7144	1.8921	1.3513	32.9865	137.4609	40.6700	83	-243	294	100960	0.30 
273.979	-1.2607	0.1333	2.0044	-5.5542	-11.9019	-0.9766	2.7795	32.5250	137.7686	40.6700	79	-245	296	100960	0.30 
274.073	-1.1465	-0.0132	1.4609	-23.9258	12.5122	25.6348	1.4172	32.2559	138.6145	40.6900	77	-243	294	100960	0.30 
274.183	-1.3213	-0.1440	2.1138	-16.3574	19.1650	46.0815	2.7466	35.3156	143.6902	40.6900	72	-248	293	100960	0.30 
274.277	-1.3979	0.0547	2.0552	2.5024	-10.5591	-24.7803	2.8400	34.4696	144.7778	40.6600	63	-255	293	100960	0.30 
274.417	-1.4189	-0.1470	2.0698	-6.7139	-5.1880	3.1128	0.8020	34.4916	143.2178	40.6800	67	-250	286	100959	0.30 
274.526	-1.1255	-0.1138	1.5098	29.1748	-2.7466	-48.8892	0.0879	33.5577	140.0262	40.6800	68	-255	285	100959	0.30 
274.636	-1.2036	0.2310	1.9966	23.9868	15.6250	-40.4663	-0.2966	35.2222	133.5004	40.6600	80	-247	296	100959	0.30 
274.729	-1.2065	0.1543	1.9595	0.8545	-23.3765	0.7935	-0.6427	34.1235	131.0999	40.6700	97	-239	303	100959	0.30 
274.824	-1.0547	-0.1313	1.6392	-6.7749	14.8926	-6.9580	0.8350	32.7502	132.4731	40.6900	94	-239	303	100959	0.30 
274.933	-1.1934	0.0269	1.5117	-21.7285	6.3477	15.8081	0.2417	34.0247	133.8135	40.6700	92	-244	301	100959	0.30 
275.027	-1.2246	-0.0972	1.9814	-15.6250	14.5264	44.6167	0.9613	35.9198	138.3838	40.6900	82	-251	298	100959	0.30 
275.151	-1.2866	-0.1216	2.1880	0.9155	-10.1929	-23.2544	0.5438	35.4968	139.5868	40.6700	77	-255	298	100959	0.30 
275.261	-1.3491	0.1084	1.8418	-4.5166	-5.7983	7.6904	-1.2195	34.8431	139.2242	40.6600	69	-255	288	100960	0.30 
275.355	-1.1177	-0.0610	1.7017	19.0430	-9.8267	-18.0664	-0.0385	34.2224	140.4492	40.6600	63	-258	287	100960	0.30 
275.464	-1.2300	-0.0015	1.9214	12.3291	21.7896	-4.0283	1.1096	34.9420	139.1528	40.6700	62	-260	291	100960	0.30 
275.589	-1.1831	0.3521	2.0498	6.3477	-14.4653	-13.4277	0.6537	34.5245	137.4335	40.6800	67	-256	296	100960	0.30 
275.668	-1.1294	-0.1206	1.7490	2.6855	-8.2397	-6.1035	2.0709	33.2117	137.7850	40.6700	65	-258	295	100960	0.30 
275.792	-1.1543	0.0234	1.5415	-18.8599	-8.9111	9.8267	1.3458	33.2556	137.7740	40.6600	64	-258	294	100959	0.30 
275.901	-1.2822	0.0288	1.9502	-9.5825	33.5693	33.4473	1.6974	35.2277	140.7843	40.6600	60	-259	286	100959	0.30 
276.011	-1.2920	-0.3164	2.0386	-0.0610	5.6763	-18.2495	1.7853	34.7498	143.0969	40.6400	47	-266	289	100959	0.30 
276.089	-1.5635	0.0249	2.0195	-22.9492	20.5688	-7.0801	-0.0439	34.6619	142.3279	40.6500	39	-260	280	100959	0.30 
276.214	-1.2261	-0.1099	1.6777	16.3574	-20.8130	-8.3008	0.1428	33.4149	142.7948	40.6600	34	-255	276	100959	0.30 
276.308	-1.1387	0.1826	1.7461	29.9072	30.8228	-25.0854	1.2799	33.8708	140.2185	40.6600	36	-253	276	100959	0.30 
276.448	-1.0972	0.2334	1.9600	0.3052	-7.6904	-13.6108	2.0435	34.5520	139.5374	40.6600	40	-254	285	100959	0.30 
276.558	-1.2969	0.2095	1.8774	13.9160	-27.8931	2.3193	2.6367	33.8873	138.9880	40.6500	39	-250	282	100958	0.31 
276.667	-1.2461	0.0825	1.7334	-17.0288	-4.9438	6.5308	1.9171	33.4314	138.7848	40.6600	39	-247	285	100959	0.30 
276.764	-1.2227	0.0771	1.7739	-7.2632	30.4565	31.3721	1.3184	34.5905	140.7239	40.6300	37	-245	282	100958	0.31 
276.858	-1.1128	-0.4409	1.9014	-5.7983	-2.5024	-0.4272	2.0599	35.0684	144.2889	40.6300	32	-242	281	100958	0.31 
276.970	-1.5000	0.2607	1.6558	-27.5879	7.0801	-14.5874	0.8240	34.8541	142.6520	40.6300	30	-239	279	100958	0.31 
277.064	-1.2412	-0.1533	1.7856	2.9907	-14.4653	8.0566	0.4834	34.7827	143.8715	40.6200	30	-235	278	100959	0.31 
277.220	-1.0806	0.0195	1.5991	16.9067	5.7983	-20.8740	1.0547	34.1125	142.2290	40.6200	29	-237	277	100959	0.31 
277.283	-1.1948	0.1470	2.1318	3.7842	-5.7373	-19.1650	1.3019	35.1343	140.2240	40.5900	35	-235	280	100959	0.30 
277.407	-1.4136	0.2246	1.6426	17.5171	-52.9785	12.1460	1.3678	33.7994	139.4110	40.5600	41	-232	284	100958	0.31 
277.486	-1.2856	0.2393	1.8145	-11.8408	-14.4653	11.3525	1.3239	33.8324	139.5319	40.5200	38	-230	284	100959	0.30 
277.626	-1.2749	-0.0034	1.9409	-8.7280	36.8042	46.2036	1.3733	34.6838	142.5092	40.5100	39	-232	279	100959	0.30 
277.736	-1.1167	-0.2896	1.9229	-16.2964	-21.1182	41.5039	2.4774	34.7552	147.5244	40.5200	31	-233	280	100959	0.30 
277.829	-1.5415	0.4380	1.5894	-19.6533	-29.0527	-3.7842	1.1536	33.5852	147.1014	40.5000	27	-235	275	100958	0.31 
277.939	-1.2754	-0.1919	1.8413	4.5166	-9.7656	17.3340	0.8734	33.8269	148.8812	40.4800	23	-231	268	100958	0.31 
278.018	-1.1069	0.0146	1.5889	14.5874	-5.1270	-15.1978	1.9171	32.7118	147.8375	40.4400	21	-234	270	100959	0.30 
278.142	-1.1885	0.0225	1.8770	2.6245	11.4746	-24.1699	1.5051	33.8873	144.9426	40.4200	27	-237	274	100959	0.30 
278.267	-1.3223	-0.1372	1.6909	-3.5400	-14.0381	3.9063	0.7690	32.6459	143.2727	40.4100	35	-233	274	100960	0.30 
278.361	-1.5464	0.2646	1.8276	-11.2915	-18.4326	30.7007	4.6802	32.2943	147.1509	40.3800	32	-237	281	100960	0.30 
278.439	-1.3691	0.0913	1.4058	-44.9829	38.5132	156.2500	7.3718	31.9812	157.2583	40.3900	13	-240	272	100959	0.30 
278.564	-1.3794	0.2114	1.8228	-35.0952	0.6104	131.9580	12.0135	33.1073	173.1720	40.3800	-18	-244	264	100960	0.30 
278.689	-1.6470	-0.2314	2.0146	-30.5176	44.9219	120.6055	17.5232	30.7727	-170.2936	40.3600	-57	-243	255	100959	0.30 
278.768	-1.1396	0.5186	1.6113	-30.7617	28.2593	77.8809	20.2863	30.9430	-162.4274	40.3700	-84	-235	248	100959	0.30 
278.908	-1.3125	-0.4170	1.8711	-26.1230	13.3667	110.7788	24.1370	30.6683	-147.7661	40.3600	-110	-218	238	100959	0.30 
279.017	-1.3599	0.2856	1.7837	-22.5220	16.1743	95.5811	26.2573	29.9872	-141.1414	40.3500	-127	-206	229	100959	0.30 
279.079	-1.5034	0.2676	1.7393	-23.5596	27.4658	93.8110	27.5153	28.3337	-133.3411	40.3200	-137	-188	222	100959	0.30 
