walk 15
StartTime: 2017-07-12 12:08:11.416
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
320.636	-1.2388	0.0288	1.8535	-4.2725	-1.0376	4.4556	4.9054	25.1147	141.1688	40.3900	73	-217	291	100957	0.31 
320.814	-1.2334	-0.0151	1.8618	-1.7700	1.4648	3.0518	4.5374	25.4938	141.4380	40.3900	71	-219	289	100957	0.31 
320.877	-1.2241	0.0127	1.8730	3.8452	1.1597	-7.6294	4.2133	26.1749	140.6415	40.4100	73	-219	286	100957	0.31 
321.018	-1.2412	0.0308	1.8589	2.8076	0.9766	-7.3242	3.9990	26.7133	139.4989	40.4100	77	-216	290	100957	0.31 
321.080	-1.2476	0.0298	1.8657	1.5259	2.0752	0.0000	3.8892	27.2626	138.9606	40.4100	75	-215	292	100957	0.31 
321.236	-1.2388	0.0225	1.8462	0.6104	0.9155	6.2256	4.0100	27.7350	139.0979	40.4100	81	-216	293	100957	0.31 
321.283	-1.2349	0.0088	1.8555	1.2207	0.4883	9.2163	4.3176	28.0865	139.6747	40.4100	79	-216	292	100958	0.31 
321.381	-1.2476	0.0249	1.8667	0.9155	1.8311	7.6904	4.7076	28.4216	140.3998	40.4200	76	-219	291	100958	0.31 
321.459	-1.2637	0.0303	1.8521	-1.5869	0.4883	10.5591	5.0482	28.7238	141.4215	40.4300	70	-225	295	100958	0.31 
321.615	-1.2588	0.0288	1.8633	-0.5493	-1.2207	17.3950	5.4657	29.0918	142.5970	40.4200	71	-222	295	100958	0.31 
321.693	-1.2485	0.0146	1.8340	0.1221	0.3662	6.7139	5.8173	29.4214	143.3990	40.4400	66	-224	292	100959	0.30 
321.803	-1.2637	0.0234	1.8540	1.8921	1.5869	0.7324	5.9766	29.9213	143.4210	40.4200	64	-226	293	100959	0.31 
321.896	-1.2515	0.0522	1.8145	2.8687	2.2583	3.6621	6.1578	30.3827	143.4155	40.4400	66	-229	293	100959	0.30 
322.037	-1.2725	0.0332	1.8774	0.8545	3.7842	5.4932	6.4764	31.0529	143.8000	40.4200	68	-231	295	100959	0.31 
322.131	-1.2231	0.1377	1.8369	1.2207	7.4463	14.2212	6.8884	31.4923	144.1901	40.4300	64	-233	298	100959	0.30 
322.240	-1.2061	-0.0923	1.9248	6.7749	-2.6245	-1.2207	7.5641	31.9208	145.5304	40.4300	64	-235	298	100959	0.30 
322.319	-1.0732	0.0239	1.8081	5.7373	-3.4180	-16.6626	7.1686	31.5363	143.8330	40.4300	66	-238	297	100959	0.30 
322.443	-1.1616	-0.0166	1.8931	2.7466	2.3804	-16.1743	6.5479	31.9208	142.0917	40.4300	69	-234	301	100959	0.30 
322.522	-1.0537	0.2095	1.9473	10.1929	-0.0610	-31.2500	5.1306	32.2998	138.2190	40.4000	74	-232	303	100959	0.30 
322.646	-0.9707	0.0483	1.9609	-2.5635	-14.7095	-37.4756	3.6859	31.7010	134.7968	40.3900	82	-226	306	100959	0.30 
322.756	-1.5630	0.0615	1.7178	5.4321	-9.2163	-4.0283	2.2961	31.3660	133.0280	40.4000	92	-218	304	100960	0.30 
322.850	-1.3003	0.2925	1.8706	-21.3623	-1.3428	25.8179	1.7303	32.0911	132.3468	40.3900	95	-215	302	100960	0.30 
322.963	-1.2627	0.1279	1.8247	-21.1792	22.4609	47.1191	1.0492	33.4039	135.6042	40.3900	93	-216	299	100960	0.30 
323.087	-1.1646	0.0513	1.8491	-12.4512	22.0337	39.0625	1.7633	35.1563	140.4382	40.3700	85	-221	298	100960	0.30 
323.212	-1.2861	-0.4614	2.2002	-3.9063	-2.1973	15.3198	3.0817	35.0409	144.6735	40.3900	77	-230	298	100960	0.30 
323.306	-1.5000	0.1626	1.4072	-30.5786	-23.9868	17.4561	2.6642	33.0194	144.5416	40.3700	69	-233	294	100960	0.30 
323.400	-1.3481	-0.1211	1.8032	5.6152	-13.8550	19.2871	2.6752	33.6896	146.1401	40.3700	67	-234	292	100960	0.30 
323.509	-1.1885	0.0552	1.7085	23.9258	10.8032	-14.4653	3.7244	33.4149	144.7339	40.3500	61	-238	289	100960	0.30 
323.619	-1.1855	0.0098	1.8853	7.3853	-0.5493	-11.3525	4.6088	34.5300	142.7069	40.3400	70	-238	289	100960	0.30 
323.697	-1.1479	0.1504	2.0664	-8.1177	-39.3677	-3.9063	3.6914	33.4259	140.3998	40.3600	79	-232	297	100959	0.30 
323.853	-1.3320	0.1582	1.8569	13.6108	-2.9297	6.2866	3.6035	32.0966	138.7573	40.3600	76	-231	292	100959	0.30 
323.932	-1.2329	0.2207	1.6563	-25.6348	-13.7939	19.3481	2.6697	31.6077	138.7793	40.3700	77	-229	290	100959	0.30 
324.041	-1.1592	0.0742	1.8125	-12.6343	19.1650	29.6021	2.4115	32.5085	142.0917	40.3700	74	-232	283	100959	0.30 
324.150	-1.1113	-0.2612	1.9370	-15.0146	-3.7231	48.2788	3.5651	33.1018	146.9421	40.3600	67	-236	278	100959	0.30 
324.259	-1.4907	0.4229	2.0581	-4.5166	6.2866	-16.1133	2.1368	33.4534	145.6403	40.3700	62	-239	281	100960	0.30 
324.338	-1.4434	-0.0459	2.1812	-3.2349	6.4087	14.7705	0.8020	33.7335	146.6400	40.3800	59	-236	278	100959	0.30 
324.463	-1.1729	-0.1226	1.4512	30.3955	-3.9063	-23.2544	1.7798	32.7777	145.3601	40.3600	57	-237	275	100960	0.30 
324.573	-1.1899	0.2280	1.8511	27.2827	17.0288	-27.7710	2.6422	35.1563	140.6250	40.3700	69	-238	283	100960	0.30 
324.666	-1.1260	-0.0039	1.9873	12.3901	-2.8687	-40.1001	2.1643	36.0626	137.5269	40.3600	82	-234	297	100960	0.30 
324.776	-1.7803	-0.0830	1.9658	5.7373	0.3052	-10.9253	3.1586	34.8047	137.5818	40.3800	91	-237	300	100961	0.30 
324.900	-1.4717	0.0127	1.9863	-0.4883	-11.7188	-18.0054	4.6747	33.6896	137.6477	40.3700	84	-240	298	100961	0.30 
325.025	-1.2041	0.1719	1.3989	-23.3154	9.4604	29.9072	3.2794	33.1897	137.9498	40.3800	88	-240	293	100961	0.30 
325.088	-1.1309	-0.2461	1.7578	-15.8081	2.6855	18.6768	3.8013	34.5795	143.0255	40.3600	79	-243	293	100961	0.30 
325.197	-1.2617	-0.4307	2.1060	-15.4419	5.8594	30.6396	4.6527	34.7333	146.1292	40.3600	72	-245	286	100961	0.30 
325.323	-1.8110	0.3882	1.7114	-23.1934	-14.2212	6.5918	2.6147	34.5135	144.2725	40.3700	67	-248	287	100961	0.30 
325.447	-1.3281	-0.0532	1.7295	7.4463	-21.6675	13.3057	1.3678	34.2499	144.0637	40.3600	69	-246	286	100960	0.30 
325.556	-1.1235	0.0576	1.5327	24.7803	-7.6904	-25.0244	2.0160	33.0084	141.8994	40.3500	69	-248	285	100960	0.30 
325.650	-1.1665	0.0210	1.7920	16.2354	3.8452	-19.5313	2.5049	34.1016	139.0485	40.3300	76	-244	289	100960	0.30 
325.760	-1.3340	0.6626	2.2983	9.6436	-6.2866	7.7515	1.6425	34.3048	135.8185	40.3200	87	-242	297	100960	0.30 
325.869	-1.4258	0.1895	1.5933	15.7471	-46.8750	1.5869	2.9059	32.5305	137.4884	40.3200	87	-243	294	100960	0.30 
325.978	-1.2314	0.2861	1.7324	-24.8413	-6.2866	9.8877	2.3566	32.3767	137.4774	40.3000	86	-245	294	100960	0.30 
326.072	-1.1509	-0.0454	1.6553	-15.0146	13.9160	33.4473	1.2140	32.4811	140.1306	40.3100	79	-246	289	100960	0.30 
326.181	-1.1387	-0.0215	1.8823	-2.0752	-1.8921	28.3813	2.1094	33.6896	143.1793	40.3000	71	-251	286	100960	0.30 
326.291	-1.2871	0.2021	2.0083	0.3052	-6.4697	-17.5171	1.4172	33.6786	143.0969	40.3200	68	-255	284	100960	0.30 
326.400	-1.4004	0.0894	2.1118	1.7090	7.5073	20.5688	0.3131	34.3927	142.8717	40.3100	69	-254	285	100960	0.30 
326.494	-1.1895	0.0835	1.7803	14.3433	-1.5869	12.1460	2.4390	33.7775	144.7668	40.2900	65	-257	285	100960	0.30 
326.604	-1.1416	-0.0107	1.7129	15.6250	28.1982	-0.4272	3.9221	34.8486	145.1678	40.2900	61	-266	285	100960	0.30 
326.713	-1.1870	0.1250	2.0239	9.8267	4.2725	-37.8418	3.9111	36.8646	143.0420	40.3000	67	-265	297	100960	0.30 
326.822	-1.8037	-0.2363	1.8716	0.1221	-0.6104	-30.0293	3.4387	35.4089	142.2235	40.2900	71	-264	299	100960	0.30 
326.947	-1.4629	-0.0376	2.0737	-4.0283	5.0659	-7.2021	4.0100	34.8486	140.5481	40.3000	68	-264	301	100960	0.30 
327.072	-1.1606	0.0039	1.5083	-15.0146	3.2959	1.9531	2.2906	34.4861	139.9384	40.3000	68	-261	295	100960	0.30 
327.135	-1.3345	-0.0234	2.0308	-15.8691	22.6440	49.4995	3.0707	36.4362	143.3936	40.2900	65	-265	291	100960	0.30 
327.307	-1.3330	-0.4976	2.2207	-2.1362	12.3291	-13.3057	3.1311	35.5078	145.8929	40.2700	52	-269	295	100960	0.30 
327.400	-1.2612	0.1387	1.4214	-20.9351	-21.2402	8.9722	0.8679	34.2444	143.6023	40.2800	53	-269	285	100960	0.30 
327.463	-1.3218	0.0811	1.7183	7.9346	-16.4795	-6.5918	1.2415	34.1785	144.0033	40.2600	49	-266	281	100959	0.30 
