StartTime: 2017-07-21 14:09:41.361
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
7.048	2015-01-01 00:02:25.680	-0.0249	0.0459	1.0249	0.1221	0.0000	-1.0986	2.7081	1.1041	38.7158	45.6300	417	462	-259	100837	0.41 
7.095	2015-01-01 00:02:25.720	-0.0190	0.0493	1.0142	0.1221	-0.3662	-0.5493	2.7136	1.0986	38.7378	45.6800	414	460	-262	100837	0.41 
7.141	2015-01-01 00:02:25.760	-0.0234	0.0498	1.0205	0.1221	0.3662	-0.9155	2.7191	1.0931	38.7598	45.6800	413	463	-262	100837	0.41 
7.173	2015-01-01 00:02:25.800	-0.0264	0.0503	1.0234	-0.0610	-2.0142	-0.1831	2.7191	1.0657	38.7708	45.6800	411	465	-262	100837	0.41 
7.205	2015-01-01 00:02:25.840	-0.0215	0.0444	1.0122	0.0000	-0.5493	-0.1831	2.7191	1.0272	38.7927	45.4800	411	464	-261	100837	0.41 
7.266	2015-01-01 00:02:25.880	-0.0273	0.0483	1.0278	0.1221	-0.5493	-0.3662	2.7191	1.0052	38.8257	45.7700	415	464	-261	100837	0.41 
7.282	2015-01-01 00:02:25.920	-0.0107	0.0444	1.0112	0.3052	2.0142	-0.7324	2.7191	1.0162	38.8586	45.6800	416	463	-261	100837	0.41 
7.376	2015-01-01 00:02:25.960	-0.0269	0.0474	1.0249	-0.4883	-2.2583	-0.8545	2.7136	1.0492	38.8641	45.7700	417	464	-261	100837	0.41 
7.376	2015-01-01 00:02:26.000	-0.0308	0.0474	1.0034	-0.4272	1.5259	-1.7090	2.6971	1.0382	38.8422	45.8200	422	465	-259	100837	0.41 
7.439	2015-01-01 00:02:26.040	-0.0317	0.0469	1.0259	-0.2441	-1.1597	-1.3428	2.6862	1.1041	38.8367	45.6800	421	465	-258	100837	0.41 
