StartTime: 2017-07-21 14:04:47.599
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
29.072	2015-01-01 00:09:5.560	-0.0889	0.0332	1.0176	-1.6479	-3.5400	-19.3481	-1.0657	-0.5933	21.6925	44.9600	455	466	-230	100845	0.40 
29.119	2015-01-01 00:09:5.600	-0.0894	0.0303	1.0200	-1.3428	-3.1738	-19.1650	-1.0657	-0.5988	21.4233	44.9600	454	466	-231	100845	0.40 
29.166	2015-01-01 00:09:5.640	-0.0845	0.0269	1.0161	-1.1597	-1.7700	-19.4702	-1.0712	-0.5713	21.1652	44.9600	454	463	-232	100845	0.40 
29.228	2015-01-01 00:09:5.680	-0.0889	0.0239	1.0151	-1.4648	-2.8076	-20.0195	-1.0822	-0.5328	20.9015	45.0000	454	465	-230	100844	0.40 
29.244	2015-01-01 00:09:5.720	-0.0840	0.0200	1.0000	-1.7700	-0.3052	-21.4233	-1.1041	-0.4669	20.5994	45.1000	454	466	-230	100845	0.40 
29.291	2015-01-01 00:09:5.760	-0.0928	-0.0020	1.0210	-0.3662	2.6245	-23.8037	-1.1371	-0.2856	20.2148	45.1500	453	465	-230	100845	0.40 
29.338	2015-01-01 00:09:5.800	-0.0688	0.0332	1.0215	0.6714	0.9155	-23.1323	-1.0876	-0.1099	19.8083	45.1000	454	465	-231	100845	0.40 
29.369	2015-01-01 00:09:5.840	-0.0234	-0.0137	1.0215	-0.4272	1.2817	-24.4751	-1.0492	-0.0220	19.4403	45.1000	451	465	-230	100845	0.40 
29.431	2015-01-01 00:09:5.880	-0.0151	-0.0239	1.0205	-1.4038	0.3662	-28.7476	-1.1151	0.0055	18.9569	45.1000	449	465	-227	100844	0.40 
29.447	2015-01-01 00:09:5.920	-0.0039	-0.0112	0.9912	-0.3052	0.2441	-27.5269	-1.1316	0.0000	18.4406	44.9100	450	463	-230	100845	0.40 
29.525	2015-01-01 00:09:5.960	0.0117	-0.0029	0.9888	0.4883	5.9814	-27.5879	-1.1096	0.0989	17.9736	45.0000	448	463	-231	100845	0.40 
29.525	2015-01-01 00:09:6.000	-0.0225	0.0186	1.0156	0.0610	10.9253	-28.3813	-1.0547	0.4944	17.4463	44.9600	450	463	-227	100845	0.40 
29.572	2015-01-01 00:09:6.040	0.0010	-0.0107	0.9878	0.9766	16.9678	-27.9541	-1.0272	1.0052	16.9739	45.1000	453	463	-224	100845	0.40 
29.650	2015-01-01 00:09:6.080	-0.0308	-0.0181	1.0020	4.4556	21.6064	-28.2593	-0.9393	1.7633	16.4960	45.2400	448	465	-226	100845	0.40 
29.650	2015-01-01 00:09:6.120	-0.0264	0.0039	0.9434	5.6152	25.1465	-27.3438	-0.7635	2.6312	16.0400	45.1500	446	465	-225	100845	0.40 
29.697	2015-01-01 00:09:6.160	0.0000	0.0166	1.0112	9.3994	31.1890	-29.9683	-0.4779	3.7408	15.5072	45.1500	450	462	-226	100845	0.40 
29.728	2015-01-01 00:09:6.200	-0.0869	0.0903	0.8921	13.4888	42.1753	-22.2778	0.0000	5.1526	15.1007	45.0000	452	462	-230	100845	0.40 
29.775	2015-01-01 00:09:6.240	-0.2158	0.2222	0.8716	9.2163	41.8701	4.1504	0.6647	7.0862	15.3204	45.0000	456	460	-230	100845	0.40 
29.838	2015-01-01 00:09:6.280	-0.2314	0.2915	0.9507	4.8828	35.7056	26.8555	1.4008	8.8770	16.6663	44.9600	464	460	-230	100845	0.40 
29.869	2015-01-01 00:09:6.320	-0.1226	0.0913	1.1182	-5.4932	14.8926	15.1978	1.6809	9.7229	18.1879	45.2900	471	459	-230	100845	0.40 
29.900	2015-01-01 00:09:6.360	0.0112	-0.0298	1.1382	11.0474	46.9360	1.8311	1.8073	10.6952	19.1272	45.1500	477	459	-228	100845	0.40 
29.932	2015-01-01 00:09:6.400	-0.0591	0.0981	1.4766	16.5405	38.9404	9.0942	2.5378	12.2662	20.0885	45.0000	484	456	-229	100845	0.40 
29.979	2015-01-01 00:09:6.440	-0.0635	0.2476	1.3022	18.0054	34.2407	16.1133	3.5321	13.4143	21.1926	44.9100	497	454	-228	100845	0.40 
30.042	2015-01-01 00:09:6.480	-0.1694	0.1650	1.2061	16.6016	33.7524	15.5029	4.6472	14.5129	22.6978	45.1000	503	451	-227	100846	0.40 
30.072	2015-01-01 00:09:6.520	-0.2881	0.1763	1.1646	7.0190	31.2500	-19.7754	5.2240	15.7599	23.1757	45.1500	509	447	-225	100845	0.40 
30.103	2015-01-01 00:09:6.560	-0.2344	0.2852	0.9678	-21.6064	-18.9819	-21.9116	4.8340	16.1719	22.6978	45.0000	516	442	-226	100845	0.40 
30.135	2015-01-01 00:09:6.600	0.0806	0.1401	0.1343	-31.4331	-47.2412	-9.3384	4.1199	14.2987	22.6318	45.2900	521	443	-223	100846	0.40 
30.213	2015-01-01 00:09:6.640	-0.3438	-0.1416	0.0562	-24.2920	-41.5039	-26.1841	3.4222	13.0298	21.1102	44.9600	518	444	-224	100846	0.40 
30.244	2015-01-01 00:09:6.680	-0.7266	0.2246	1.1660	-10.9863	10.4370	8.4229	2.9114	13.3704	20.5225	45.1000	520	445	-223	100846	0.40 
30.275	2015-01-01 00:09:6.720	-0.3223	-0.1616	2.0269	-11.2915	13.1226	-9.5825	2.6038	14.1449	21.3629	44.8100	520	447	-220	100846	0.40 
30.307	2015-01-01 00:09:6.760	-0.2720	-0.2231	2.0703	-24.5361	-5.2490	-66.7725	1.2909	14.1284	20.5829	44.9600	516	446	-216	100846	0.40 
30.353	2015-01-01 00:09:6.800	-0.2891	-0.1167	1.7256	-32.3486	-22.3389	-115.0513	-1.0382	13.3539	17.1167	45.0000	513	448	-214	100846	0.40 
30.385	2015-01-01 00:09:6.840	-0.2573	-0.1245	0.9858	-22.8882	-40.6494	-96.9238	-3.0762	11.8158	13.5077	44.9100	512	452	-215	100846	0.40 
30.447	2015-01-01 00:09:6.880	-0.0972	0.0527	0.2617	6.2866	-29.0527	-70.0073	-4.0704	10.3326	10.9534	45.1000	505	455	-216	100846	0.40 
30.494	2015-01-01 00:09:6.920	-0.1865	0.3638	-0.2197	20.7520	-37.6587	-1.5869	-2.1698	10.3271	10.1843	45.1000	488	460	-218	100847	0.40 
30.510	2015-01-01 00:09:6.960	-0.0381	-0.0308	-0.1548	0.6104	-25.7568	5.1880	-0.2307	10.9094	11.1072	44.9100	477	461	-221	100846	0.40 
30.541	2015-01-01 00:09:7.000	-0.3164	0.3765	0.0205	-0.1831	-15.0146	27.9541	1.3074	12.1729	11.5961	44.8100	477	460	-222	100846	0.40 
30.588	2015-01-01 00:09:7.040	-0.4873	-0.3555	1.8472	-33.0811	110.1685	-62.2559	-0.1154	14.1339	11.3654	44.7600	478	460	-223	100846	0.40 
30.651	2015-01-01 00:09:7.080	-0.2656	0.9917	2.2554	9.5825	-8.1787	52.2461	0.1758	15.6720	11.7828	45.0000	481	464	-222	100846	0.40 
30.682	2015-01-01 00:09:7.120	-0.1328	0.0698	1.9097	-7.5684	1.2207	84.5337	1.0767	15.2106	15.8917	44.9600	482	461	-219	100846	0.40 
30.729	2015-01-01 00:09:7.160	-0.3691	-0.1191	1.8638	30.2734	2.5024	69.0918	2.4774	15.2490	19.5172	44.9600	495	456	-219	100846	0.40 
30.760	2015-01-01 00:09:7.200	-0.2432	0.1548	1.2949	11.7798	-40.2222	47.3022	3.9441	14.0625	22.6373	44.7200	503	454	-217	100846	0.40 
30.822	2015-01-01 00:09:7.240	0.2407	0.0068	0.1460	-8.1787	-56.0913	10.4370	4.5209	11.4203	23.9832	44.8100	510	444	-219	100846	0.40 
30.853	2015-01-01 00:09:7.280	-0.3076	-0.3140	-0.1040	-35.9497	-35.4004	-32.5317	2.5598	8.4540	23.8678	44.9100	511	441	-223	100846	0.40 
30.885	2015-01-01 00:09:7.320	-0.0049	0.0942	-0.0713	-16.2964	-64.2700	-46.3257	2.3511	7.8497	20.6213	44.9100	508	441	-228	100846	0.40 
30.916	2015-01-01 00:09:7.360	-0.3228	-0.1934	-0.2002	-13.7939	-13.5498	-64.2090	2.8125	7.5092	19.0393	44.7200	498	444	-232	100846	0.40 
30.963	2015-01-01 00:09:7.400	-0.6924	0.1611	1.9995	40.8936	62.6831	15.8081	3.5266	10.1404	18.3746	44.9100	495	446	-235	100845	0.40 
30.994	2015-01-01 00:09:7.440	-0.1289	-0.5479	1.7266	-10.0708	-7.4463	-31.3110	3.9880	10.9479	18.8690	44.9100	496	445	-233	100846	0.40 
31.057	2015-01-01 00:09:7.480	-0.0474	-0.2295	1.9790	-29.2358	14.2212	-124.9390	2.1478	10.6842	16.0675	44.9100	496	446	-232	100846	0.40 
31.088	2015-01-01 00:09:7.520	-0.4849	0.1201	1.8950	-27.8931	-4.6997	-99.8535	-0.0549	11.2939	12.0300	44.7200	491	450	-229	100846	0.40 
31.135	2015-01-01 00:09:7.560	-0.1108	0.0576	1.1118	-20.5078	-39.7339	-53.9551	-1.4886	10.0250	9.8108	44.9600	489	451	-225	100846	0.40 
31.166	2015-01-01 00:09:7.600	-0.0137	-0.1343	0.1377	18.2495	-34.3628	-44.8608	-2.1259	8.0750	8.8495	44.9100	476	457	-223	100846	0.40 
31.244	2015-01-01 00:09:7.640	-0.1943	0.3853	-0.1821	26.2451	-14.7705	16.1133	-0.0275	8.6517	9.0637	44.8100	466	457	-226	100846	0.40 
31.260	2015-01-01 00:09:7.680	-0.0356	-0.1045	-0.0840	4.6997	-25.6348	-7.0190	1.4612	8.7946	9.7614	44.8100	461	459	-230	100845	0.40 
31.291	2015-01-01 00:09:7.720	-0.2339	0.5317	0.0669	9.2773	-10.8032	37.9639	1.7853	7.3718	10.8984	44.7200	458	459	-231	100845	0.40 
31.338	2015-01-01 00:09:7.760	-0.5015	-0.3457	2.0313	-28.1372	150.6958	-90.5151	0.4889	9.7229	10.6787	44.7600	461	458	-229	100845	0.40 
31.385	2015-01-01 00:09:7.800	-0.3232	0.8208	1.9741	20.0806	-27.2827	19.4702	0.6317	11.6455	9.4922	44.8100	465	458	-227	100845	0.40 
31.463	2015-01-01 00:09:7.840	0.1191	0.2495	1.8682	-6.4087	33.3252	59.2041	1.4612	11.5686	12.3267	44.8100	468	454	-226	100845	0.40 
31.525	2015-01-01 00:09:7.880	-0.4229	-0.0234	2.0830	27.5879	-17.2729	50.9644	2.6038	12.1069	15.3149	44.7200	469	452	-226	100845	0.40 
31.541	2015-01-01 00:09:7.920	-0.0371	-0.0479	0.9092	7.1411	-50.0488	40.8936	3.6200	10.1019	17.8363	44.8100	483	449	-225	100845	0.40 
31.541	2015-01-01 00:09:7.960	0.0117	0.0288	0.1079	-30.3955	-44.6167	2.1362	3.2629	8.4760	19.1272	44.8100	489	444	-230	100845	0.40 
31.588	2015-01-01 00:09:8.000	-0.1821	-0.1377	-0.3213	-43.8843	-33.6304	-38.9404	1.9556	7.5531	18.0890	44.7600	490	443	-230	100845	0.40 
31.666	2015-01-01 00:09:8.040	-0.0688	0.0938	0.0947	-19.4702	-14.2212	-31.9824	1.3788	8.0310	15.9027	44.7600	490	443	-228	100845	0.40 
31.697	2015-01-01 00:09:8.080	-0.2837	-0.3560	-0.1670	-17.5171	-1.7090	-48.8892	0.6152	6.4819	15.2490	44.8100	484	445	-228	100845	0.40 
31.713	2015-01-01 00:09:8.120	-0.7314	0.1230	2.8457	48.2788	49.3774	23.1323	1.2744	9.3219	14.4415	44.7200	481	446	-228	100844	0.40 
31.760	2015-01-01 00:09:8.160	-0.1323	-0.6650	1.7349	-11.2305	-7.6904	-40.2832	1.7303	9.6899	14.8700	44.9600	486	447	-228	100845	0.40 
31.791	2015-01-01 00:09:8.200	0.0801	-0.1226	1.7368	-14.5264	31.0669	-110.9619	0.3186	9.2120	12.2772	44.9600	488	447	-225	100845	0.40 
31.870	2015-01-01 00:09:8.240	-0.5747	0.1123	2.1563	-20.6299	-8.4229	-78.4302	-1.0437	10.1294	9.1241	44.5700	484	449	-224	100844	0.40 
31.885	2015-01-01 00:09:8.280	-0.0342	0.0098	0.7466	-23.0103	-45.4712	-46.2036	-2.2302	8.3167	7.7124	44.9600	477	453	-222	100844	0.40 
31.916	2015-01-01 00:09:8.320	-0.1685	0.1611	-0.2744	7.7515	-50.7202	-18.3105	-2.1533	7.2565	6.8994	44.8100	469	457	-220	100845	0.40 
31.947	2015-01-01 00:09:8.360	-0.1431	0.2417	-0.1348	21.3013	-27.4658	1.0986	0.1923	7.7948	7.5146	44.6200	465	459	-221	100845	0.40 
31.994	2015-01-01 00:09:8.400	-0.0947	-0.2192	0.0195	10.1318	-25.8179	-10.7422	0.3845	6.8280	8.2782	44.9100	462	456	-221	100845	0.40 
32.073	2015-01-01 00:09:8.440	-0.2729	0.5264	0.4497	-2.7466	4.0894	29.7241	1.5875	6.8994	9.2230	44.7600	460	456	-223	100845	0.40 
32.073	2015-01-01 00:09:8.480	-0.9600	-0.1680	3.9194	-20.7520	108.5815	-68.8477	-0.3406	10.7117	8.1958	44.6200	459	454	-223	100845	0.40 
32.119	2015-01-01 00:09:8.520	0.2124	0.9912	1.5137	0.1831	-40.8936	57.3730	0.4944	9.3933	9.0198	44.7600	463	453	-222	100845	0.40 
32.151	2015-01-01 00:09:8.560	-0.0376	-0.3252	1.9512	25.9399	16.9067	65.3076	1.5326	8.8605	12.6508	44.6200	465	452	-221	100845	0.40 
32.197	2015-01-01 00:09:8.600	-0.1035	-0.1548	1.6733	31.5552	-34.1187	39.0015	3.0927	8.4375	15.6116	44.7600	471	450	-221	100845	0.40 
32.244	2015-01-01 00:09:8.640	0.0371	0.2827	0.6162	8.9111	-56.8237	22.3389	4.1638	6.1688	17.1881	44.6200	474	445	-223	100845	0.40 
32.276	2015-01-01 00:09:8.680	0.1479	-0.1313	-0.4321	-20.9961	-36.4380	-2.9907	3.7793	2.7411	17.5946	44.9600	477	444	-223	100845	0.40 
32.322	2015-01-01 00:09:8.720	-0.2813	-0.2329	-0.0068	-28.2593	-33.9966	-48.1567	2.6862	1.9830	15.5731	44.9100	474	440	-224	100845	0.40 
32.369	2015-01-01 00:09:8.760	-0.0732	0.2075	-0.0269	-9.2773	-22.5830	-25.2075	3.2135	2.4335	13.9087	44.7200	468	438	-228	100845	0.40 
32.401	2015-01-01 00:09:8.800	-0.3286	-0.3794	0.0005	-8.3618	53.9551	-67.5049	3.1091	3.0157	12.5903	44.7200	464	438	-226	100845	0.40 
32.463	2015-01-01 00:09:8.840	-0.9429	0.6738	3.8867	76.4160	64.7583	50.2319	4.6747	7.1191	13.7769	45.0000	462	435	-225	100845	0.40 
32.494	2015-01-01 00:09:8.880	0.5078	-0.9146	1.2681	-28.8696	-23.1934	-74.7681	3.9551	5.2625	13.8593	44.6200	467	431	-225	100845	0.40 
32.526	2015-01-01 00:09:8.920	0.0957	-0.0732	1.8555	-13.1226	60.4248	-117.1265	2.5378	5.6909	10.3601	44.7200	468	431	-223	100845	0.40 
32.573	2015-01-01 00:09:8.960	-0.4893	0.1626	1.8740	-38.9404	-30.0903	-73.6084	1.0052	6.6907	7.3718	44.7600	465	435	-221	100845	0.40 
32.604	2015-01-01 00:09:9.000	0.0225	-0.1514	0.7183	-15.0146	-49.9878	-52.4292	-0.5658	4.6252	6.0095	44.7200	462	437	-215	100845	0.40 
32.682	2015-01-01 00:09:9.040	-0.0186	0.1162	-0.3530	17.0288	-31.6162	-11.4746	-0.2197	3.5651	5.3174	44.7200	456	438	-215	100846	0.40 
32.713	2015-01-01 00:09:9.080	-0.2813	0.3872	0.0142	15.0757	-13.0615	11.6577	2.1039	5.0482	6.1304	44.9100	450	439	-217	100845	0.40 
32.729	2015-01-01 00:09:9.120	-0.0264	-0.1890	-0.0176	8.3618	-16.3574	-8.4229	2.4609	4.0814	6.9104	44.5700	451	440	-216	100845	0.40 
32.776	2015-01-01 00:09:9.160	-0.2349	0.5737	0.5010	-1.4038	3.1128	33.3862	3.3234	3.7573	8.3276	44.7200	455	440	-211	100845	0.40 
32.807	2015-01-01 00:09:9.200	-0.7622	-0.2349	3.5503	-12.3291	157.1045	-80.9937	1.7303	7.7399	7.2620	44.4800	453	438	-211	100845	0.40 
32.869	2015-01-01 00:09:9.240	0.3569	0.9155	1.5479	-1.4648	-42.2974	40.2222	2.5378	7.6794	7.4377	44.6200	458	437	-214	100844	0.40 
32.885	2015-01-01 00:09:9.280	0.0879	-0.3472	1.8765	17.3340	50.8423	50.0488	3.2410	7.6245	10.4810	44.7200	459	436	-215	100845	0.40 
32.932	2015-01-01 00:09:9.320	-0.2793	0.0137	1.9409	19.6533	-21.4844	24.7192	4.2078	8.2123	12.5903	44.7200	461	433	-216	100845	0.40 
32.963	2015-01-01 00:09:9.360	-0.0244	0.2402	0.8472	-7.7515	-67.6270	13.9771	4.6143	6.0590	13.8757	44.7200	464	431	-218	100845	0.40 
33.026	2015-01-01 00:09:9.400	0.1973	-0.1001	-0.2451	-34.2407	-58.2886	-17.4561	3.7024	2.0435	14.0021	44.7200	474	428	-220	100844	0.40 
33.088	2015-01-01 00:09:9.440	-0.2524	-0.2275	-0.2871	-28.6255	-48.7061	-60.7300	1.9226	-0.8130	12.2278	44.7200	473	430	-220	100844	0.40 
33.119	2015-01-01 00:09:9.480	-0.1733	0.1938	-0.0449	-14.1602	-19.4702	-39.3677	2.3511	0.0330	9.7504	44.6200	465	430	-213	100844	0.40 
33.151	2015-01-01 00:09:9.520	-0.4795	-0.5210	0.0239	-17.3340	32.4707	-79.1626	2.8564	2.0215	7.0752	44.5700	461	432	-211	100844	0.40 
33.182	2015-01-01 00:09:9.560	-0.9551	0.4390	3.8169	71.8994	85.6323	21.4844	3.9441	5.8557	7.2675	44.6200	456	434	-209	100844	0.40 
33.229	2015-01-01 00:09:9.600	0.4683	-0.4492	1.2402	-16.7236	-27.8931	-32.2266	4.0485	3.7903	7.8168	44.7600	459	433	-211	100844	0.40 
33.292	2015-01-01 00:09:9.640	0.0098	0.2617	1.5205	-9.8267	18.1885	-59.0820	3.4607	3.3179	6.5808	44.4800	456	431	-211	100844	0.40 
33.323	2015-01-01 00:09:9.680	-0.2939	0.0625	1.4419	-29.1138	-29.2969	-10.6812	2.4994	3.5486	6.0809	44.6200	453	431	-209	100844	0.40 
33.354	2015-01-01 00:09:9.720	0.0366	-0.2104	0.8413	-15.9302	-42.1143	-11.7798	1.4227	1.9171	6.6907	44.7200	455	435	-208	100844	0.40 
33.385	2015-01-01 00:09:9.760	0.1431	-0.2070	0.2393	-8.4229	-31.0059	-27.4048	0.3955	-0.0659	6.9269	44.7200	454	436	-208	100844	0.40 
33.432	2015-01-01 00:09:9.800	0.1841	0.0386	-0.0137	15.1367	-36.1938	-2.3804	0.5933	-3.1696	6.9653	44.4800	446	435	-208	100844	0.40 
33.479	2015-01-01 00:09:9.840	-0.1758	0.1104	0.2290	19.4092	-44.3726	8.7280	2.1588	-4.3890	7.7124	44.7200	443	433	-210	100844	0.40 
33.510	2015-01-01 00:09:9.880	-0.2344	1.1553	0.5693	22.2778	-35.8887	91.6138	3.3508	-5.1031	9.7339	44.7200	443	431	-211	100844	0.40 
33.541	2015-01-01 00:09:9.920	-1.5752	-0.3916	3.4619	-59.2041	169.3115	-82.7026	1.7358	-2.8619	10.6293	44.6200	447	432	-212	100844	0.40 
33.588	2015-01-01 00:09:9.960	0.0034	0.8745	1.1968	-1.1597	-48.6450	-18.4326	0.9558	-3.2025	8.2892	44.7200	455	429	-207	100843	0.40 
33.635	2015-01-01 00:09:10.000	-0.0479	0.1309	1.5513	-9.4604	61.8896	47.3022	1.2744	-2.2137	10.1733	44.7200	457	430	-205	100843	0.40 
33.698	2015-01-01 00:09:10.040	-0.4761	-0.5361	1.6631	3.6011	6.9580	-1.3428	0.8130	-0.8130	12.0575	44.7200	461	430	-204	100843	0.40 
33.729	2015-01-01 00:09:10.080	-0.1660	-0.1768	0.9653	9.0942	7.9346	-66.8945	0.6317	-0.3900	11.2775	44.4800	461	430	-203	100843	0.40 
33.760	2015-01-01 00:09:10.120	-0.1318	0.1260	0.8062	7.8125	-8.4839	-76.9043	0.9943	-0.0769	9.0527	44.6200	462	430	-205	100843	0.40 
33.807	2015-01-01 00:09:10.160	-0.0361	0.1890	0.5933	11.1084	-17.5781	-64.5142	1.6040	-0.4395	6.9708	44.7200	459	432	-205	100843	0.40 
33.838	2015-01-01 00:09:10.200	-0.0039	0.0557	0.5342	10.0708	-15.1978	-62.2559	2.2852	-0.9833	5.4437	44.6200	452	433	-207	100843	0.40 
33.901	2015-01-01 00:09:10.240	-0.1182	-0.0967	0.8618	6.7749	5.1880	-86.3037	2.4994	-0.9668	3.4387	44.7200	448	433	-209	100843	0.40 
33.932	2015-01-01 00:09:10.280	-0.2432	0.1030	1.3198	10.3149	-14.1602	-82.1533	2.7356	-0.6317	0.8569	44.4800	445	434	-206	100843	0.40 
33.963	2015-01-01 00:09:10.320	-0.0972	0.2119	0.8579	5.8594	-3.1738	-62.8662	3.2245	-0.7635	-1.0162	44.6200	438	435	-210	100843	0.40 
33.994	2015-01-01 00:09:10.360	-0.1768	-0.1011	1.0210	-4.9438	9.8267	-56.3965	3.1366	-0.1428	-2.3126	44.5700	434	438	-212	100842	0.40 
34.041	2015-01-01 00:09:10.400	-0.1162	-0.0479	1.0640	-3.1738	6.5308	-35.1563	2.6917	0.4340	-3.0487	44.2900	432	440	-213	100842	0.40 
34.119	2015-01-01 00:09:10.440	0.0791	0.0669	0.8716	-9.2163	6.2866	-24.7803	2.4829	0.6427	-2.9828	44.7200	427	441	-212	100842	0.40 
34.119	2015-01-01 00:09:10.480	0.0103	-0.1118	1.0566	-11.2915	2.1362	-34.9121	1.9885	0.8295	-3.0872	44.6200	424	441	-212	100842	0.40 
34.166	2015-01-01 00:09:10.520	0.0098	-0.1030	1.0063	-9.6436	-5.3711	-34.4849	1.3623	0.5713	-3.3563	44.6200	424	440	-214	100842	0.40 
34.198	2015-01-01 00:09:10.560	-0.0874	0.1128	1.0288	-6.0425	9.8877	-23.0713	1.0272	0.7800	-3.4442	44.6200	420	439	-214	100842	0.40 
34.244	2015-01-01 00:09:10.600	-0.1968	0.1792	1.1099	-2.8076	3.2349	9.5825	0.9943	1.3623	-2.6752	44.5700	416	439	-215	100842	0.40 
34.307	2015-01-01 00:09:10.640	-0.0625	-0.0303	0.9653	-2.0752	-1.3428	27.4048	0.9174	1.4172	-0.7635	44.6200	418	439	-214	100842	0.40 
34.385	2015-01-01 00:09:10.680	0.0332	-0.1187	0.9785	0.6714	1.3428	17.4561	0.7910	1.3623	1.2360	44.9100	429	436	-217	100842	0.40 
