StartTime: 2017-07-21 14:57:18.641
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
485.780	2015-01-01 00:18:1.480	0.0083	0.1348	1.0181	-0.7324	3.7231	-1.5869	6.1963	3.2904	52.6685	45.2400	553	329	-205	100798	0.44 
485.780	2015-01-01 00:18:1.520	0.0068	0.1445	1.0239	0.1221	2.9907	0.4883	6.2347	3.3234	52.7783	45.1500	552	327	-206	100798	0.44 
485.826	2015-01-01 00:18:1.560	-0.0029	0.1216	1.0161	-0.6714	2.9907	-0.3662	6.2512	3.3508	52.9156	45.1000	551	328	-206	100798	0.44 
485.873	2015-01-01 00:18:1.600	-0.0020	0.1265	1.0010	0.0000	2.4414	0.3052	6.2732	3.3783	53.0255	45.2400	552	327	-208	100798	0.44 
485.904	2015-01-01 00:18:1.640	-0.0171	0.1045	1.0405	-2.0752	1.0986	-4.9438	6.2238	3.4442	53.0200	45.2900	553	326	-206	100798	0.44 
485.983	2015-01-01 00:18:1.680	-0.0547	0.1270	1.0249	-3.4790	-0.3052	-5.6763	6.1194	3.4113	52.9486	45.2400	555	326	-207	100798	0.44 
485.998	2015-01-01 00:18:1.720	-0.1108	0.1934	1.0527	-3.1738	-3.6621	-5.1880	6.0150	3.3728	52.7893	45.2400	554	325	-207	100798	0.44 
486.029	2015-01-01 00:18:1.760	-0.1011	0.1772	1.0322	1.2817	-10.4370	6.4087	6.1029	3.1970	52.8937	45.1500	553	327	-206	100798	0.44 
486.076	2015-01-01 00:18:1.800	-0.0034	0.1772	0.9136	3.6011	-3.3569	10.6201	6.3281	2.7740	53.3057	45.2400	550	329	-207	100798	0.44 
486.107	2015-01-01 00:18:1.840	-0.0190	0.1895	0.9253	4.0894	17.2729	16.7847	6.6962	2.9718	53.9978	45.2400	548	329	-208	100798	0.44 
486.154	2015-01-01 00:18:1.880	-0.1206	0.1436	0.9468	6.2866	35.8887	16.7236	6.9983	4.0540	54.8602	45.2900	547	328	-206	100798	0.44 
486.185	2015-01-01 00:18:1.920	-0.1572	0.1582	0.9292	8.7280	45.7764	17.3950	7.4268	5.7184	55.7446	45.2400	545	329	-202	100797	0.44 
486.232	2015-01-01 00:18:1.960	-0.1523	0.1235	0.7817	10.3760	69.5801	9.8267	7.9541	7.9321	56.6071	45.2400	555	323	-202	100798	0.44 
486.279	2015-01-01 00:18:2.000	-0.1748	0.1421	0.9194	17.1509	84.0454	1.8311	8.6407	11.1786	57.2607	45.4400	563	317	-197	100798	0.44 
486.310	2015-01-01 00:18:2.040	-0.1587	0.0825	0.8706	14.6484	60.6079	-0.1831	9.3329	13.8208	57.7496	45.2900	569	314	-189	100798	0.44 
486.388	2015-01-01 00:18:2.080	-0.2305	0.1626	0.9185	21.7285	86.9141	-10.2539	10.0690	16.7706	57.9584	45.1500	578	314	-185	100798	0.44 
486.420	2015-01-01 00:18:2.120	-0.0112	0.5044	0.5957	22.5220	72.9980	35.4004	11.5466	19.3799	59.0295	45.2400	582	316	-184	100798	0.44 
486.451	2015-01-01 00:18:2.160	-0.1782	0.2637	0.9199	41.3818	86.8530	80.8716	14.7821	21.7090	62.8033	45.4400	591	310	-167	100798	0.44 
486.482	2015-01-01 00:18:2.200	-0.1553	-0.2266	0.7300	22.2778	88.3179	-6.3477	16.4355	24.1644	65.1984	45.1500	593	306	-157	100798	0.44 
486.529	2015-01-01 00:18:2.240	-0.2124	0.2539	0.9478	17.4561	67.8101	-32.0435	16.6992	27.5757	64.9622	45.2900	597	300	-148	100798	0.44 
486.560	2015-01-01 00:18:2.280	-0.0234	0.2437	0.3862	0.0000	42.1143	-51.2085	16.5344	29.3445	63.6493	45.2400	601	295	-137	100798	0.44 
486.607	2015-01-01 00:18:2.320	-0.2715	0.3735	0.6875	28.8086	55.7251	23.7427	17.7209	31.1682	63.7427	45.2900	601	293	-133	100798	0.44 
486.655	2015-01-01 00:18:2.360	-0.3037	0.0044	0.7173	-18.5547	11.9629	-28.0151	18.0670	32.0306	64.2480	45.1000	611	295	-117	100798	0.44 
486.686	2015-01-01 00:18:2.400	-0.4453	0.3213	1.0986	-9.5215	-28.9307	-24.8413	16.2817	31.8933	62.5232	45.2400	614	298	-110	100798	0.44 
486.763	2015-01-01 00:18:2.440	-0.5283	0.3125	0.9785	-8.0566	-22.2168	-6.2256	15.5951	30.6683	61.6278	45.2900	613	300	-108	100798	0.44 
486.811	2015-01-01 00:18:2.480	-0.6357	0.2422	1.1401	-5.0659	-43.7012	-2.1973	15.1501	29.5697	61.1389	45.1000	610	300	-113	100799	0.44 
486.811	2015-01-01 00:18:2.520	-0.6289	0.3540	1.1470	-1.6479	-27.5879	-1.7090	14.7711	28.1909	60.5182	45.4800	607	298	-116	100799	0.44 
486.873	2015-01-01 00:18:2.560	-0.5479	0.3564	1.0479	-16.7236	-19.5923	-17.5781	14.2108	27.3724	59.8315	45.4400	604	304	-119	100799	0.44 
486.920	2015-01-01 00:18:2.600	-0.5615	0.2031	1.0107	-12.2070	0.0000	-23.8647	13.1396	27.4493	58.7164	45.2400	600	306	-122	100799	0.44 
486.967	2015-01-01 00:18:2.640	-0.3540	0.2412	0.9380	-9.2163	-24.5972	-14.8926	12.1454	27.0593	57.6563	45.1500	602	310	-124	100799	0.44 
487.013	2015-01-01 00:18:2.680	-0.2065	0.2456	1.0898	-0.3662	-44.3115	1.2207	11.8323	25.2850	57.1124	45.2400	601	313	-124	100800	0.44 
487.030	2015-01-01 00:18:2.720	-0.6997	0.2861	1.5356	-5.4321	-16.2354	16.2354	11.9147	23.8293	57.5739	45.3400	601	314	-125	100800	0.44 
487.092	2015-01-01 00:18:2.760	-0.4438	0.2300	1.4507	-26.0010	-60.4248	0.3052	11.0852	22.0715	57.3651	45.2900	600	312	-131	100800	0.44 
487.123	2015-01-01 00:18:2.800	-0.2241	0.2104	1.0259	-22.3389	-47.2412	-5.9204	9.8163	19.7864	56.8323	45.1500	596	311	-140	100800	0.44 
487.170	2015-01-01 00:18:2.840	-0.1050	0.1763	0.8711	-6.0425	-25.4517	-3.7231	9.2505	18.2318	56.5027	45.2400	592	314	-146	100800	0.44 
487.201	2015-01-01 00:18:2.880	-0.0923	0.1396	0.9199	0.3662	-22.1558	-4.0283	9.1077	17.1552	56.2610	45.1500	589	313	-149	100800	0.44 
487.232	2015-01-01 00:18:2.920	-0.0645	0.1597	0.8589	-3.1738	-29.6631	6.2256	9.0253	15.5731	56.2720	45.3400	588	314	-153	100800	0.44 
487.279	2015-01-01 00:18:2.960	-0.3340	0.1553	1.0610	1.9531	-13.7939	4.8218	9.0088	14.8810	56.4038	45.3400	583	315	-156	100801	0.44 
487.310	2015-01-01 00:18:3.000	-0.2114	0.1519	1.0190	-2.8687	-30.7617	2.3804	8.9923	13.8538	56.4258	45.3400	580	316	-158	100801	0.44 
487.373	2015-01-01 00:18:3.040	-0.1294	0.1563	1.0278	-3.7231	-26.2451	1.9531	8.8055	12.6398	56.3544	45.2400	576	314	-164	100801	0.44 
487.404	2015-01-01 00:18:3.080	-0.0928	0.1699	1.0122	-1.7700	-12.6343	2.7466	8.7341	11.7554	56.4093	45.2900	578	318	-166	100801	0.44 
487.451	2015-01-01 00:18:3.120	-0.0703	0.1567	1.0464	-0.5493	-14.6484	0.6104	8.6957	11.0742	56.4368	45.1000	578	319	-168	100802	0.44 
487.498	2015-01-01 00:18:3.160	-0.0894	0.1992	1.0186	1.8311	-8.2397	-3.6011	8.7067	10.5853	56.2994	45.2400	573	315	-172	100802	0.44 
487.529	2015-01-01 00:18:3.200	-0.0854	0.1929	0.9702	4.3945	-7.8735	-2.1362	8.8550	10.1019	56.1841	45.1000	572	313	-176	100802	0.44 
487.607	2015-01-01 00:18:3.240	-0.0840	0.1968	0.9648	5.3711	-0.1221	-4.0283	9.0912	9.8767	56.0907	45.1500	570	314	-178	100802	0.44 
487.654	2015-01-01 00:18:3.280	-0.1011	0.2119	1.0073	3.0518	1.0986	-6.1646	9.3054	9.8438	55.9369	45.1500	565	313	-176	100803	0.44 
487.685	2015-01-01 00:18:3.320	-0.1035	0.2119	1.0059	1.5869	-1.5869	-4.0283	9.4263	9.7394	55.7831	45.2900	564	312	-175	100803	0.44 
487.701	2015-01-01 00:18:3.360	-0.0972	0.1968	0.9912	0.9155	-0.6104	-4.9438	9.4812	9.6185	55.6567	45.2400	567	314	-178	100803	0.44 
487.732	2015-01-01 00:18:3.400	-0.0889	0.2085	0.9951	0.9766	-1.8921	-2.3804	9.5636	9.4977	55.5798	45.2400	567	315	-181	100803	0.44 
487.827	2015-01-01 00:18:3.440	-0.0874	0.2134	0.9634	-0.1221	2.3193	-3.4790	9.6295	9.3878	55.5359	45.4400	565	313	-182	100803	0.44 
487.827	2015-01-01 00:18:3.480	-0.1006	0.2070	0.9707	0.2441	6.7749	-3.1738	9.6790	9.5197	55.4919	45.2900	559	312	-180	100803	0.44 
487.857	2015-01-01 00:18:3.520	-0.1392	0.2183	0.9448	4.5776	18.3105	-7.7515	9.7998	9.9426	55.4370	45.2900	560	310	-180	100803	0.43 
487.904	2015-01-01 00:18:3.560	-0.1128	0.2231	0.9951	4.2114	22.1558	-12.5122	10.0031	10.8051	55.1459	45.1000	565	310	-177	100803	0.43 
487.935	2015-01-01 00:18:3.600	-0.1064	0.2314	1.0161	2.1362	9.9487	-3.1128	10.1733	11.3983	55.0635	45.2900	569	311	-174	100804	0.43 
488.014	2015-01-01 00:18:3.640	-0.0713	0.1772	0.9380	-0.5493	9.2163	0.6104	10.2228	11.5302	55.1898	45.2900	570	311	-171	100804	0.43 
488.029	2015-01-01 00:18:3.680	-0.1201	0.1777	0.9712	-0.5493	18.4937	-0.6104	10.2502	11.9751	55.4041	45.2900	568	311	-170	100804	0.43 
488.077	2015-01-01 00:18:3.720	-0.1118	0.1875	1.0005	-2.3804	24.1089	-4.5166	10.1898	12.7112	55.5194	45.2900	569	312	-171	100804	0.43 
488.139	2015-01-01 00:18:3.760	-0.1094	0.1978	0.9629	-2.7466	27.4048	-7.3853	10.1019	13.6230	55.5304	45.2900	570	310	-173	100804	0.43 
488.185	2015-01-01 00:18:3.800	-0.1426	0.2012	0.9873	-1.2207	37.4756	-8.2397	10.0305	14.7986	55.5084	45.4400	574	312	-171	100804	0.43 
488.217	2015-01-01 00:18:3.840	-0.1709	0.2100	1.0146	-2.2583	28.5645	-9.2773	9.9756	16.0016	55.4755	45.2900	577	309	-166	100805	0.43 
488.248	2015-01-01 00:18:3.880	-0.2207	0.2056	1.0161	-1.5869	23.9258	-6.5918	9.8987	16.9519	55.3986	45.4800	577	309	-161	100805	0.43 
488.280	2015-01-01 00:18:3.920	-0.2319	0.1655	0.9492	-3.6621	11.9629	-8.2397	9.7559	17.5067	55.2942	45.2900	583	312	-158	100804	0.43 
