StartTime: 2017-07-21 14:21:21.711
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
59.946	2015-01-01 00:02:16.240	-0.0483	0.0444	1.0244	0.2441	1.2207	-1.7090	2.4829	2.2797	43.7695	48.9800	463	428	-235	100842	0.40 
59.993	2015-01-01 00:02:16.280	-0.0469	0.0410	1.0200	-0.1831	1.0376	-1.7090	2.4829	2.3346	43.7531	48.7900	462	427	-237	100841	0.40 
60.024	2015-01-01 00:02:16.320	-0.0532	0.0400	1.0146	-0.3662	0.3052	-2.1973	2.4719	2.3785	43.7256	48.8400	461	430	-240	100841	0.40 
60.102	2015-01-01 00:02:16.360	-0.0454	0.0371	1.0215	0.0000	0.6104	-3.3569	2.4554	2.4060	43.6597	48.8400	461	431	-241	100841	0.40 
60.102	2015-01-01 00:02:16.400	-0.0425	0.0322	1.0176	-0.7935	0.0610	-4.5776	2.4225	2.4225	43.5333	48.7900	462	431	-238	100841	0.40 
60.149	2015-01-01 00:02:16.440	-0.0508	0.0371	1.0269	-0.1831	-0.4272	-2.9297	2.3785	2.4225	43.4399	48.9800	464	430	-236	100841	0.40 
60.196	2015-01-01 00:02:16.480	-0.0269	0.0371	1.0073	0.2441	0.2441	-0.5493	2.3785	2.3840	43.4619	49.1300	467	430	-235	100841	0.40 
60.243	2015-01-01 00:02:16.520	-0.0269	0.0254	1.0103	0.2441	-1.3428	0.0610	2.3676	2.3511	43.5333	49.0300	468	430	-234	100841	0.40 
60.305	2015-01-01 00:02:16.560	-0.0610	0.0317	1.0186	0.5493	1.1597	-0.9155	2.3621	2.3895	43.5718	48.9800	466	428	-233	100841	0.40 
60.321	2015-01-01 00:02:16.600	-0.0356	0.0352	1.0054	0.6714	-0.1221	0.5493	2.3785	2.3950	43.6157	49.0300	462	427	-236	100841	0.40 
60.368	2015-01-01 00:02:16.640	-0.0610	0.0420	1.0376	2.2583	1.2817	5.5542	2.4390	2.4225	43.8080	48.9300	462	424	-236	100841	0.40 
60.414	2015-01-01 00:02:16.680	-0.0464	0.0547	1.0298	3.2349	0.8545	12.0850	2.5818	2.4609	44.2200	48.9800	461	421	-235	100841	0.40 
60.446	2015-01-01 00:02:16.720	-0.0352	0.0073	1.0190	3.4790	-3.0518	17.1509	2.7026	2.3676	44.8792	48.9800	461	419	-235	100841	0.40 
60.508	2015-01-01 00:02:16.760	-0.0454	-0.0259	1.0254	3.0518	-3.6011	16.9678	2.7795	2.2028	45.6042	49.0300	462	425	-234	100841	0.40 
60.524	2015-01-01 00:02:16.800	-0.0508	-0.0522	1.0298	4.2725	-6.7749	15.8691	2.8290	1.9720	46.2689	49.0300	465	425	-237	100841	0.40 
60.571	2015-01-01 00:02:16.840	-0.0664	-0.0527	1.0293	4.6387	-7.2632	13.6108	2.8894	1.6864	46.8622	48.8400	469	422	-238	100841	0.40 
60.618	2015-01-01 00:02:16.880	-0.0664	-0.0464	1.0361	4.9438	-7.8125	13.3057	2.9773	1.4172	47.4060	48.8400	468	423	-238	100841	0.40 
60.649	2015-01-01 00:02:16.920	-0.0610	-0.0459	0.9829	5.9814	-3.9063	9.5825	3.0597	1.1865	47.8400	48.9300	466	422	-239	100841	0.40 
60.712	2015-01-01 00:02:16.960	-0.0718	0.0132	1.0229	6.9580	-1.1597	10.5591	3.2410	1.1536	48.2025	48.8400	464	418	-238	100841	0.40 
60.727	2015-01-01 00:02:17.000	-0.0630	0.0059	1.0552	15.1367	0.2441	10.7422	3.6310	1.2195	48.5925	49.1300	462	417	-236	100841	0.40 
60.774	2015-01-01 00:02:17.040	-0.0288	0.1143	0.9521	17.7002	7.8735	12.9395	4.3176	1.3348	49.0155	48.9300	461	417	-235	100841	0.40 
60.805	2015-01-01 00:02:17.080	-0.0186	0.2393	0.9990	16.8457	7.0190	14.2822	5.1746	1.6534	49.5099	48.8400	469	415	-240	100841	0.40 
60.852	2015-01-01 00:02:17.120	0.0400	0.3662	0.9785	13.4277	12.2070	13.3667	6.0645	1.8512	49.9658	48.8400	473	414	-240	100841	0.40 
60.915	2015-01-01 00:02:17.160	0.0918	0.2993	1.0830	14.0381	13.0005	25.5737	6.9159	2.1588	50.7953	48.7900	476	412	-242	100841	0.40 
60.946	2015-01-01 00:02:17.200	0.0767	0.1113	1.0532	20.3247	2.0752	16.0522	7.6849	2.1259	51.5588	49.0300	477	411	-243	100841	0.40 
61.009	2015-01-01 00:02:17.240	0.0645	0.1587	0.9824	25.4517	6.2866	12.1460	8.6078	2.0215	52.0477	48.7900	482	409	-245	100841	0.40 
61.040	2015-01-01 00:02:17.280	0.0352	0.1699	0.9854	25.6958	0.0000	-2.9297	9.6405	2.0050	52.1136	49.1700	484	407	-247	100841	0.40 
61.086	2015-01-01 00:02:17.320	0.1011	0.1665	0.8770	18.4326	-2.1973	-11.7188	10.5798	1.8457	51.7181	48.9300	486	407	-253	100841	0.40 
61.118	2015-01-01 00:02:17.360	0.0093	0.3965	0.9810	16.4185	19.7754	0.0610	11.4148	2.3291	51.4874	48.8400	487	407	-256	100842	0.40 
61.150	2015-01-01 00:02:17.400	0.1372	0.3706	0.8687	11.3525	45.2271	16.1743	12.1289	2.9608	51.8994	48.9800	489	404	-252	100842	0.40 
