StartTime: 2017-07-21 14:03:38.842
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
40.363	2015-01-01 00:08:9.560	-0.0225	0.0049	1.0342	-2.1362	-4.2114	-16.1743	-0.7690	-4.9274	14.7656	46.5400	446	469	-213	100847	0.40 
40.379	2015-01-01 00:08:9.600	-0.0024	0.0034	1.0210	-2.5024	-6.1035	-16.7236	-0.8185	-5.0262	14.7876	46.3000	443	469	-213	100847	0.40 
40.442	2015-01-01 00:08:9.640	0.0024	0.0083	1.0137	-2.1973	-5.4321	-16.6016	-0.8569	-5.1416	14.8041	46.0100	441	469	-213	100847	0.40 
40.488	2015-01-01 00:08:9.680	-0.0122	0.0107	1.0342	-2.2583	-3.9063	-17.8223	-0.8899	-5.1636	14.7931	46.3900	442	468	-215	100847	0.40 
40.535	2015-01-01 00:08:9.720	0.0200	-0.0073	0.9980	-2.8076	-3.6011	-19.2261	-0.9338	-5.2625	14.7491	46.2000	444	467	-216	100846	0.40 
40.567	2015-01-01 00:08:9.760	-0.0039	-0.0142	1.0137	-2.4414	-2.5024	-21.3623	-0.9833	-5.2625	14.6118	46.3500	443	469	-218	100847	0.40 
40.598	2015-01-01 00:08:9.800	-0.0034	0.0073	1.0195	-2.1362	-2.4414	-20.7520	-1.0107	-5.2295	14.4415	46.4900	443	470	-219	100846	0.40 
40.645	2015-01-01 00:08:9.840	-0.0059	-0.0073	1.0239	-1.7090	-4.9438	-21.0571	-1.0162	-5.2515	14.3152	46.2000	446	467	-219	100847	0.40 
40.676	2015-01-01 00:08:9.880	0.0205	-0.0278	1.0205	-1.7700	-0.2441	-23.6816	-1.0327	-5.2679	14.1064	46.3900	447	464	-220	100846	0.40 
40.738	2015-01-01 00:08:9.920	0.0029	-0.0244	1.0293	-2.2583	-0.4272	-25.0244	-1.0657	-5.1801	13.8593	46.0600	443	469	-216	100846	0.40 
40.770	2015-01-01 00:08:9.960	0.0200	-0.0166	1.0161	-1.8921	0.6104	-25.1465	-1.0876	-5.1031	13.5626	46.3900	441	472	-216	100847	0.40 
40.848	2015-01-01 00:08:10.000	0.0210	-0.0352	1.0132	-1.9531	1.8921	-23.5596	-1.1096	-4.9823	13.2990	46.4900	439	472	-213	100846	0.40 
40.848	2015-01-01 00:08:10.040	0.0059	-0.0029	1.0122	-0.2441	2.8687	-19.1040	-1.1041	-4.7900	13.1726	46.2000	441	470	-212	100846	0.40 
40.879	2015-01-01 00:08:10.080	-0.0034	-0.0098	1.0249	-0.0610	3.2349	-15.5029	-1.0657	-4.5593	13.2275	46.0600	440	468	-214	100847	0.40 
40.942	2015-01-01 00:08:10.120	0.0000	0.0010	1.0220	0.8545	3.9673	-14.4653	-1.0107	-4.3231	13.3374	46.2000	441	466	-215	100847	0.40 
40.973	2015-01-01 00:08:10.160	-0.0161	-0.0103	1.0459	-0.3052	0.5493	-10.8643	-0.9668	-4.1144	13.5736	46.3500	443	467	-215	100847	0.40 
