3 5 3
StartTime: 2017-08-15 14:07:20.448
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
953.098	-0.0293	-0.0288	0.9971	1.0376	0.6104	2.7466	-0.5548	1.9666	83.8037	50.0800 
953.098	-0.0352	-0.0283	1.0059	0.8545	0.7324	2.5635	-0.5493	1.9720	83.8202	50.0400 
953.129	-0.0396	-0.0317	1.0098	0.7935	1.0986	2.5635	-0.5493	1.9830	83.8367	49.9900 
953.129	-0.0356	-0.0356	1.0151	0.7324	1.2817	2.3193	-0.5493	1.9995	83.8531	49.8900 
953.129	-0.0415	-0.0347	0.9976	0.9766	0.9155	1.9531	-0.5493	2.0105	83.8641	49.8900 
953.145	-0.0381	-0.0352	1.0010	0.5493	1.3428	2.0752	-0.5493	2.0215	83.8806	50.0400 
953.145	-0.0415	-0.0293	1.0103	0.5493	1.5259	1.7090	-0.5493	2.0380	83.8916	50.1800 
953.160	-0.0361	-0.0308	1.0127	0.4272	1.6479	1.7700	-0.5493	2.0544	83.9026	50.0400 
953.176	-0.0420	-0.0269	1.0127	1.0376	1.8311	2.0142	-0.5438	2.0764	83.9081	50.0400 
953.192	-0.0308	-0.0234	1.0117	0.6714	1.7700	2.4414	-0.5383	2.0874	83.9246	50.1800 
953.192	-0.0269	-0.0181	1.0044	0.9766	1.0376	1.9531	-0.5328	2.0984	83.9301	50.0400 
953.192	-0.0352	-0.0249	0.9888	1.0986	1.2817	2.4414	-0.5273	2.1094	83.9465	50.0400 
953.238	-0.0308	-0.0327	0.9888	1.0986	2.6245	2.6245	-0.5219	2.1313	83.9630	50.0800 
953.238	-0.0298	-0.0371	0.9951	0.4883	3.5400	2.6245	-0.5219	2.1588	83.9795	49.9900 
953.238	-0.0283	-0.0420	1.0146	0.4272	3.9673	1.5259	-0.5273	2.1973	83.9960	49.9900 
953.270	-0.0298	-0.0391	1.0156	0.7935	3.4790	0.5493	-0.5328	2.2247	83.9960	49.8900 
953.270	-0.0313	-0.0366	1.0015	0.4272	3.6621	-0.0610	-0.5383	2.2577	83.9960	50.0400 
953.270	-0.0391	-0.0376	1.0112	0.7324	4.3945	-0.3052	-0.5438	2.3016	83.9850	49.8900 
953.285	-0.0464	-0.0474	1.0107	0.8545	4.7607	-0.7324	-0.5493	2.3511	83.9740	50.1800 
953.285	-0.0488	-0.0527	1.0264	0.9155	4.2725	-1.2207	-0.5548	2.3950	83.9575	50.0400 
