
StartTime: 2017-08-15 14:07:20.448
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
790.420	0.1309	-0.0103	0.9854	0.4272	-0.2441	0.9766	1.2744	-7.6959	81.5515	53.5800 
790.420	0.1509	0.0054	1.0000	0.1831	0.4272	0.7935	1.2689	-7.6959	81.5460	53.5300 
790.436	0.1694	0.0049	1.0127	0.7324	-0.7935	-0.4272	1.2689	-7.7124	81.5350	53.3900 
790.436	0.1440	0.0015	0.9971	1.1597	-1.2817	-0.1221	1.2799	-7.7289	81.5240	53.4400 
790.467	0.1099	-0.0137	0.9990	1.5869	-1.8921	0.3662	1.2799	-7.7344	81.5240	53.5300 
790.467	0.0977	-0.0190	0.9824	1.5869	-1.2817	0.5493	1.2799	-7.7399	81.5240	53.5300 
790.498	0.1099	-0.0122	0.9692	1.4648	1.6479	0.3052	1.2854	-7.7234	81.5240	53.5300 
790.498	0.1406	-0.0005	0.9805	1.6479	4.4556	0.3662	1.2909	-7.6849	81.5186	53.5800 
790.498	0.1470	0.0098	1.0117	1.5869	4.3335	0.4883	1.3019	-7.6410	81.5186	53.5800 
790.530	0.1484	0.0049	1.0239	1.8311	2.3804	0.5493	1.3129	-7.6190	81.5131	53.3400 
790.530	0.1445	-0.0005	1.0288	2.1362	0.1221	0.1221	1.3239	-7.6135	81.5076	53.4400 
790.530	0.1396	-0.0063	1.0171	2.6245	-1.1597	-0.0610	1.3403	-7.6245	81.5021	53.3400 
790.530	0.1328	-0.0059	1.0132	2.3804	-0.9766	-0.3662	1.3568	-7.6355	81.4911	53.1500 
790.530	0.1289	-0.0049	1.0151	2.6855	-1.2207	-0.6104	1.3733	-7.6410	81.4801	53.5300 
790.545	0.1289	-0.0044	1.0122	2.6855	-1.2817	-0.6714	1.3953	-7.6520	81.4691	53.5300 
790.592	0.1255	0.0015	1.0039	2.5635	-1.4038	-0.6104	1.4117	-7.6630	81.4526	53.8700 
790.592	0.1265	0.0020	0.9937	2.4414	-1.2817	-0.4883	1.4282	-7.6740	81.4417	53.3900 
790.592	0.1289	-0.0020	0.9932	2.3193	-0.6104	-0.7935	1.4447	-7.6794	81.4307	53.3900 
