StartTime: 2017-08-15 14:07:20.448
40
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
256.349	0.0610	-0.0742	1.0127	0.9766	-2.1362	-2.1362	-3.4332	-2.3126	79.1840	50.0400 
256.364	0.0420	-0.0796	1.0020	1.2817	-2.1362	-0.3052	-3.4277	-2.3346	79.1675	49.8400 
256.364	0.0278	-0.0791	0.9941	0.7324	-0.9155	0.0000	-3.4222	-2.3401	79.1620	49.8900 
256.411	0.0381	-0.0762	1.0015	0.7935	1.4648	1.3428	-3.4222	-2.3291	79.1620	49.8900 
256.427	0.0591	-0.0781	1.0171	0.2441	2.3193	2.7466	-3.4222	-2.3126	79.1785	49.8400 
256.427	0.0723	-0.0854	1.0254	0.7324	2.0752	2.8076	-3.4277	-2.2961	79.2004	49.8900 
256.427	0.0742	-0.0825	1.0444	0.9155	-0.3052	1.4648	-3.4222	-2.3016	79.2114	49.8900 
256.427	0.0649	-0.0820	1.0269	0.7324	-2.0752	1.4038	-3.4222	-2.3291	79.2169	49.8900 
256.458	0.0562	-0.0815	1.0249	0.9155	-2.3193	1.4038	-3.4222	-2.3566	79.2224	49.8400 
256.458	0.0522	-0.0879	1.0107	0.8545	-2.3804	0.6714	-3.4222	-2.3840	79.2279	49.8900 
256.458	0.0483	-0.0908	1.0039	1.1597	-1.3428	0.1831	-3.4222	-2.4005	79.2279	49.8900 
256.458	0.0474	-0.0850	0.9985	1.1597	-0.5493	0.0000	-3.4222	-2.4115	79.2224	50.0400 
256.489	0.0474	-0.0869	1.0015	1.2207	0.0000	0.1831	-3.4167	-2.4115	79.2224	49.9900 
256.489	0.0488	-0.0850	1.0049	0.9766	0.1831	0.4272	-3.4167	-2.4115	79.2224	49.7500 
256.489	0.0459	-0.0879	1.0112	0.8545	0.1831	0.4883	-3.4167	-2.4115	79.2224	50.0800 
256.520	0.0488	-0.0830	1.0088	0.9766	0.4272	0.5493	-3.4167	-2.4115	79.2224	49.8900 
256.520	0.0444	-0.0840	1.0103	1.2817	0.6104	0.4272	-3.4167	-2.4060	79.2169	49.8400 
256.520	0.0483	-0.0830	1.0088	1.1597	0.6714	-0.1221	-3.4113	-2.4005	79.2114	50.0400 
256.552	0.0684	-0.0869	1.0068	0.8545	1.2817	0.3052	-3.4113	-2.4005	79.2114	49.8900 
256.552	0.0615	-0.0859	1.0122	1.0376	0.4883	0.7935	-3.4113	-2.4005	79.2114	49.9900 
256.552	0.0444	-0.0830	1.0015	0.8545	-0.2441	1.2207	-3.4058	-2.4005	79.2114	50.0400 
256.567	0.0371	-0.0820	0.9873	0.4883	1.2817	0.5493	-3.4058	-2.3895	79.2114	50.0800 
256.583	0.0493	-0.0752	0.9849	0.6104	3.7231	0.9155	-3.4058	-2.3621	79.2114	49.8900 
