StartTime: 2017-08-15 14:07:20.448
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
447.427	-0.1099	-0.0508	1.0117	1.7700	3.0518	2.8687	-1.7798	5.9656	81.7383	50.8000 
447.427	-0.1245	-0.0464	1.0010	2.1973	2.9907	3.3569	-1.7578	5.9985	81.7548	50.7600 
447.427	-0.1265	-0.0508	1.0117	1.9531	2.8076	4.0283	-1.7413	6.0370	81.7767	50.9000 
447.474	-0.1240	-0.0449	1.0146	1.9531	2.6245	4.6997	-1.7249	6.0699	81.8042	50.8000 
447.474	-0.1177	-0.0479	1.0112	1.8921	2.4414	5.4932	-1.7029	6.1029	81.8372	50.8000 
447.505	-0.1118	-0.0469	1.0122	1.8921	2.4414	5.6763	-1.6864	6.1304	81.8756	50.7100 
447.505	-0.1104	-0.0347	1.0181	2.0142	2.5024	6.2256	-1.6589	6.1578	81.9196	50.9500 
447.505	-0.1050	-0.0239	1.0073	2.3804	2.8687	6.5308	-1.6260	6.1853	81.9580	51.0400 
447.521	-0.1089	-0.0205	1.0049	1.8921	3.9673	6.4697	-1.5985	6.2238	81.9965	50.8000 
447.521	-0.1079	-0.0127	1.0107	1.4648	4.6997	6.8359	-1.5710	6.2732	82.0294	50.7100 
447.521	-0.1030	-0.0200	1.0215	1.2207	5.1270	7.0801	-1.5436	6.3226	82.0734	50.7600 
447.536	-0.1030	-0.0190	1.0273	0.6714	3.8452	8.1787	-1.5216	6.3611	82.1228	50.8000 
447.536	-0.1016	-0.0308	1.0254	0.0000	2.4414	8.6670	-1.5161	6.3885	82.1777	50.8000 
447.536	-0.0977	-0.0444	1.0176	-0.3662	1.5869	8.7891	-1.5106	6.3995	82.2437	50.8000 
447.552	-0.0889	-0.0591	1.0020	-0.4883	1.5259	7.7515	-1.5161	6.4105	82.3096	51.0400 
447.599	-0.0889	-0.0752	0.9980	-0.2441	1.8311	6.4087	-1.5326	6.4215	82.3645	50.7600 
447.599	-0.0845	-0.0815	0.9951	-0.3052	2.3804	4.7607	-1.5436	6.4380	82.4084	50.7600 
447.599	-0.0786	-0.0845	0.9995	0.4272	2.6245	3.4180	-1.5601	6.4490	82.4359	50.7100 
447.599	-0.0840	-0.0820	1.0000	0.7935	2.8076	2.2583	-1.5710	6.4655	82.4579	50.9000 
447.630	-0.0923	-0.0771	1.0000	0.5493	2.8687	1.3428	-1.5820	6.4874	82.4634	50.7600 
447.630	-0.0967	-0.0669	1.0059	0.6104	3.1128	1.2207	-1.5875	6.5149	82.4579	50.7600 
447.630	-0.1001	-0.0571	1.0132	0.7935	3.3569	0.8545	-1.5875	6.5424	82.4524	50.7100 
447.646	-0.1055	-0.0513	1.0225	1.0376	3.1128	0.9155	-1.5875	6.5698	82.4359	50.7600 
447.646	-0.1074	-0.0483	1.0259	1.2817	2.7466	0.9155	-1.5765	6.5973	82.4194	50.7600 
447.646	-0.1099	-0.0308	1.0132	1.5869	2.2583	0.8545	-1.5656	6.6193	82.4030	51.0400 
447.661	-0.1108	-0.0376	1.0107	1.5869	2.5635	0.9766	-1.5546	6.6412	82.3810	51.0400 
447.677	-0.1011	-0.0518	1.0195	1.8311	2.9297	0.0000	-1.5436	6.6687	82.3645	51.0400 
447.693	-0.1055	-0.0444	1.0190	2.5024	2.1973	-0.4272	-1.5271	6.6852	82.3370	50.9000 
447.693	-0.1021	-0.0352	1.0195	2.3804	2.2583	0.0000	-1.5051	6.7017	82.3096	50.8000 
447.708	-0.0996	-0.0596	1.0132	2.9907	3.0518	0.1221	-1.4832	6.7236	82.2876	50.8000 
447.724	-0.0889	-0.0762	1.0283	2.5635	3.3569	-0.7324	-1.4722	6.7456	82.2711	50.9000 
447.739	-0.0933	-0.0625	1.0264	2.5024	2.5024	-0.8545	-1.4612	6.7676	82.2491	50.9500 
447.739	-0.0957	-0.0586	1.0176	1.9531	1.5869	-0.4883	-1.4557	6.7731	82.2272	50.7600 
447.739	-0.0928	-0.0654	1.0161	2.2583	1.3428	-1.0376	-1.4447	6.7786	82.2052	50.9000 
447.755	-0.0942	-0.0698	1.0103	2.3193	1.4648	-1.7700	-1.4392	6.7841	82.1777	50.9000 
447.755	-0.0815	-0.0664	0.9966	1.7090	1.3428	-2.4414	-1.4337	6.7841	82.1448	51.0400 
447.771	-0.0737	-0.0791	0.9917	1.8311	0.9155	-4.3945	-1.4392	6.7786	82.1008	50.9000 
447.802	-0.0811	-0.0610	0.9893	1.3428	1.3428	-5.8594	-1.4447	6.7731	82.0404	50.9500 
447.802	-0.0806	-0.0566	0.9839	1.8311	2.6855	-6.5918	-1.4447	6.7841	81.9635	50.8000 
447.880	-0.0869	-0.0557	0.9858	1.5259	4.7607	-7.3242	-1.4502	6.8115	81.8811	50.8000 
447.880	-0.0864	-0.0371	1.0024	1.2817	6.2866	-7.3242	-1.4502	6.8610	81.7877	51.0400 
447.880	-0.0771	-0.0249	1.0190	0.9766	6.4697	-5.6763	-1.4502	6.9104	81.7053	50.8000 
447.880	-0.0752	-0.0083	1.0269	0.8545	6.1035	-3.7231	-1.4392	6.9543	81.6394	50.9500 
447.911	-0.0820	0.0063	1.0293	1.0986	5.1880	-1.3428	-1.4227	6.9928	81.5900	50.9500 
447.911	-0.0850	-0.0054	1.0210	1.2817	4.5166	0.7935	-1.4008	7.0258	81.5625	50.8000 
447.911	-0.0942	-0.0200	1.0049	0.9766	3.7842	1.2207	-1.3843	7.0532	81.5515	51.0400 
447.911	-0.0923	-0.0381	0.9722	1.0376	5.4321	0.1221	-1.3788	7.0917	81.5405	50.9500 
447.911	-0.0820	-0.0415	0.9551	0.7935	8.7280	-1.5259	-1.3788	7.1576	81.5186	50.8000 
447.911	-0.0718	-0.0488	0.9668	0.9155	12.6953	-3.1738	-1.3843	7.2565	81.4746	50.8000 
447.927	-0.0591	-0.0415	0.9868	0.8545	14.8926	-4.2725	-1.3898	7.3773	81.4197	50.7600 
447.927	-0.0674	-0.0474	1.0020	1.1597	15.1367	-3.3569	-1.3898	7.5037	81.3702	50.8000 
447.927	-0.0898	-0.0498	1.0088	1.9531	13.7329	-1.4648	-1.3843	7.6300	81.3373	51.1400 
447.958	-0.1104	-0.0522	1.0142	2.7466	11.5967	-0.0610	-1.3678	7.7399	81.3208	50.9000 
447.958	-0.1079	-0.0508	0.9985	3.5400	9.7046	0.0000	-1.3458	7.8333	81.3098	50.9500 
447.958	-0.0918	-0.0469	0.9966	3.9063	8.8501	-0.4272	-1.3184	7.9047	81.2988	50.9500 
448.005	-0.0874	-0.0439	0.9912	4.3945	8.9722	-0.7324	-1.2799	7.9761	81.2823	50.9500 
448.005	-0.0884	-0.0459	0.9907	5.0049	9.2163	-1.5869	-1.2415	8.0530	81.2549	51.0400 
448.021	-0.1069	-0.0420	1.0005	4.9438	9.0942	-3.6011	-1.2030	8.1299	81.2164	51.0400 
448.037	-0.1182	-0.0332	1.0142	5.5542	6.5918	-5.3101	-1.1646	8.1903	81.1505	51.0400 
448.037	-0.1240	-0.0327	0.9937	5.4932	3.9063	-6.4087	-1.1206	8.2288	81.0681	50.6100 
448.037	-0.1304	-0.0313	0.9688	5.8594	2.0752	-6.8970	-1.0822	8.2452	80.9857	50.8000 
448.037	-0.1289	-0.0356	0.9512	6.2256	2.0142	-7.5073	-1.0327	8.2617	80.8978	51.0400 
448.037	-0.1221	-0.0386	0.9443	7.3853	3.3569	-7.6294	-0.9833	8.2837	80.8099	50.9500 
448.037	-0.1104	-0.0454	0.9639	7.3853	4.3335	-6.5918	-0.9283	8.3167	80.7330	50.9500 
448.084	-0.1035	-0.0615	1.0000	6.7139	4.3335	-5.5542	-0.8844	8.3441	80.6726	50.8000 
448.084	-0.1060	-0.0742	1.0352	5.9814	2.8076	-4.6997	-0.8459	8.3606	80.6232	51.1400 
448.084	-0.1157	-0.0879	1.0645	4.7607	0.3052	-4.9438	-0.8295	8.3551	80.5847	51.0400 
448.115	-0.1143	-0.0942	1.0835	3.5400	-1.8311	-6.4087	-0.8240	8.3276	80.5298	50.9500 
448.115	-0.1138	-0.1011	1.0698	2.6855	-2.2583	-8.9111	-0.8295	8.2892	80.4584	51.0400 
448.115	-0.1001	-0.1045	1.0801	2.2583	-2.8076	-11.7188	-0.8514	8.2452	80.3595	50.9500 
448.115	-0.0723	-0.1118	1.0737	1.4038	-3.4790	-14.0381	-0.8844	8.1848	80.2441	51.0400 
448.146	-0.0522	-0.0991	1.0664	1.7090	-5.3101	-14.9536	-0.9119	8.1024	80.1068	51.0400 
448.146	-0.0327	-0.0874	1.0332	2.3193	-5.8594	-14.7095	-0.9338	8.0035	79.9750	51.1400 
448.146	-0.0171	-0.0767	1.0020	2.8076	-5.0659	-14.0991	-0.9503	7.9047	79.8431	50.9500 
448.161	-0.0039	-0.0566	0.9868	2.7466	-2.6245	-12.5122	-0.9558	7.8278	79.7278	51.0400 
448.208	0.0010	-0.0298	0.9771	2.3193	0.9155	-9.8267	-0.9503	7.7783	79.6234	51.0400 
448.224	-0.0044	-0.0127	0.9814	0.9155	5.4321	-6.5918	-0.9503	7.7783	79.5410	50.9000 
448.224	0.0039	-0.0029	1.0288	-0.1221	8.1787	-3.1738	-0.9558	7.8058	79.4916	51.0900 
448.255	-0.0034	-0.0112	1.0703	-1.4648	8.3008	-0.3662	-0.9668	7.8387	79.4751	51.1400 
448.255	-0.0264	-0.0190	1.0747	-2.7466	5.9204	1.6479	-0.9888	7.8662	79.4806	51.1400 
448.255	-0.0356	-0.0420	1.0708	-3.6621	3.3569	2.5024	-1.0217	7.8717	79.5026	50.9500 
448.255	-0.0469	-0.0620	1.0410	-3.6621	0.5493	2.5635	-1.0657	7.8497	79.5355	51.2800 
448.255	-0.0430	-0.0776	0.9971	-3.2349	-0.3052	1.7090	-1.1151	7.8168	79.5630	51.0400 
448.271	-0.0410	-0.0879	0.9653	-3.1128	1.0376	1.0376	-1.1700	7.7893	79.5905	51.2300 
448.271	-0.0347	-0.0972	0.9551	-3.2959	2.3193	0.7324	-1.2250	7.7783	79.6179	51.1400 
448.286	-0.0386	-0.1021	0.9580	-3.3569	3.2959	0.8545	-1.2854	7.7728	79.6454	51.0400 
448.286	-0.0303	-0.1084	0.9800	-3.6011	3.2959	0.7935	-1.3513	7.7728	79.6783	51.1400 
448.302	-0.0166	-0.1108	1.0010	-3.8452	1.7090	0.9155	-1.4172	7.7563	79.7113	50.8000 
448.302	-0.0034	-0.1099	1.0156	-3.8452	-0.6714	0.7324	-1.4832	7.7069	79.7443	51.0400 
448.318	0.0020	-0.1123	1.0215	-3.9063	-2.9907	0.7935	-1.5436	7.6355	79.7772	51.0400 
448.318	0.0078	-0.1211	1.0034	-4.3335	-4.6997	0.7324	-1.6150	7.5476	79.8102	51.0400 
448.349	0.0098	-0.1279	0.9971	-3.7231	-4.3945	0.3052	-1.6809	7.4542	79.8431	51.1400 
448.349	0.0171	-0.1304	0.9902	-2.9297	-4.2725	-0.3662	-1.7468	7.3553	79.8706	50.9500 
448.365	0.0234	-0.1221	0.9751	-2.3804	-3.6011	-0.5493	-1.8018	7.2675	79.8981	50.9500 
448.365	0.0229	-0.1172	0.9731	-1.9531	-2.3804	0.3052	-1.8457	7.1906	79.9200	51.0400 
448.380	0.0254	-0.1069	0.9722	-1.1597	-1.2207	1.8921	-1.8842	7.1191	79.9585	51.2300 
448.380	0.0049	-0.1045	0.9746	-1.0986	0.4272	2.8076	-1.9171	7.0752	80.0079	51.2300 
448.380	-0.0098	-0.1064	0.9902	-1.0376	1.5869	3.7231	-1.9446	7.0477	80.0629	51.0900 
448.411	-0.0229	-0.1084	0.9883	-1.0376	1.7700	4.2725	-1.9775	7.0313	80.1233	51.1400 
448.443	-0.0234	-0.1064	1.0000	-0.9766	2.1973	4.2725	-2.0050	7.0148	80.1837	51.0900 
448.443	-0.0112	-0.0972	1.0029	-0.9155	3.1738	4.0894	-2.0325	7.0093	80.2386	51.1400 
448.443	0.0034	-0.0864	1.0327	-1.0986	2.3193	4.9438	-2.0544	6.9928	80.2991	51.0900 
448.443	0.0098	-0.0786	1.0493	-1.0376	0.6714	5.7373	-2.0709	6.9598	80.3650	50.9500 
448.474	0.0049	-0.0688	1.0659	-0.9766	-1.9531	7.8125	-2.0819	6.9104	80.4419	51.2300 
448.474	-0.0024	-0.0713	1.0552	-0.9155	-5.7983	10.3760	-2.0874	6.8225	80.5463	51.0900 
448.474	0.0010	-0.0786	1.0430	-0.8545	-8.7280	13.2446	-2.0929	6.7072	80.6836	51.0900 
448.474	0.0093	-0.0938	1.0430	-1.1597	-9.1553	15.2588	-2.1039	6.5753	80.8429	51.1400 
