StartTime: 2017-08-15 14:07:20.448
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
343.709	-0.0840	-0.0801	1.0220	2.7466	0.7935	-0.5493	-2.1423	4.1199	14.4196	49.8900 
343.725	-0.0776	-0.0718	1.0195	2.8687	0.9766	-0.8545	-2.1259	4.1309	14.3866	49.8900 
343.756	-0.0630	-0.0796	1.0249	3.1128	1.2817	-1.4648	-2.1094	4.1418	14.3536	49.7500 
343.756	-0.0586	-0.0820	1.0332	3.1738	0.5493	-2.6245	-2.0984	4.1418	14.3152	49.6500 
343.756	-0.0640	-0.0723	1.0327	3.4180	-0.7324	-3.7842	-2.0819	4.1309	14.2657	49.6500 
343.772	-0.0693	-0.0742	1.0308	3.2959	-2.0142	-4.1504	-2.0654	4.1144	14.2108	49.9900 
343.772	-0.0830	-0.0737	1.0303	3.7231	-3.1738	-3.8452	-2.0435	4.0869	14.1504	49.8400 
343.772	-0.0840	-0.0776	1.0210	3.4790	-3.1128	-3.8452	-2.0270	4.0540	14.0900	49.5600 
343.788	-0.0879	-0.0732	1.0122	3.4180	-2.8687	-4.4556	-2.0105	4.0320	14.0240	49.5600 
343.819	-0.0864	-0.0679	1.0142	3.1738	-2.2583	-4.8218	-1.9885	4.0100	13.9581	49.9900 
343.819	-0.0864	-0.0601	1.0186	3.1128	-2.2583	-4.6997	-1.9720	3.9935	13.8867	49.8900 
343.819	-0.0830	-0.0596	1.0044	3.1128	-2.3193	-4.3335	-1.9556	3.9716	13.8153	49.8900 
343.866	-0.0742	-0.0625	1.0088	2.9907	-2.3804	-3.9063	-1.9336	3.9496	13.7604	49.9900 
343.866	-0.0713	-0.0669	1.0024	2.8076	-2.9297	-3.9063	-1.9171	3.9221	13.7000	49.7000 
343.866	-0.0723	-0.0713	1.0000	2.9907	-3.1738	-4.3335	-1.9061	3.8892	13.6395	49.8900 
343.897	-0.0723	-0.0669	1.0034	2.6855	-3.4790	-5.1880	-1.8896	3.8562	13.5736	49.6500 
343.897	-0.0718	-0.0688	1.0010	2.6855	-3.1128	-4.7607	-1.8842	3.8232	13.5077	49.8900 
343.897	-0.0693	-0.0728	1.0049	2.3804	-2.8076	-4.6997	-1.8787	3.7958	13.4418	49.7000 
343.897	-0.0732	-0.0703	1.0029	1.6479	-2.9907	-4.8218	-1.8732	3.7683	13.3759	49.7500 
343.928	-0.0693	-0.0640	0.9985	1.2207	-2.5024	-5.1270	-1.8732	3.7463	13.3099	49.8400 
343.928	-0.0679	-0.0552	0.9985	1.0986	-1.7700	-5.0049	-1.8732	3.7244	13.2440	49.7500 
343.928	-0.0596	-0.0459	0.9976	0.9766	-0.6104	-4.2725	-1.8732	3.7134	13.1891	49.8900 
343.928	-0.0522	-0.0537	1.0083	1.3428	0.0610	-3.6011	-1.8677	3.7079	13.1451	49.5600 
343.975	-0.0522	-0.0693	1.0210	0.8545	-0.2441	-4.2114	-1.8732	3.7024	13.1012	50.0400 
343.975	-0.0537	-0.0703	1.0249	0.6714	-1.8921	-3.7231	-1.8842	3.6804	13.0573	49.8400 
343.975	-0.0659	-0.0703	1.0063	0.1221	-3.4180	-3.1738	-1.8951	3.6475	13.0133	49.7500 
343.975	-0.0796	-0.0645	0.9863	0.3052	-3.0518	-3.4180	-1.9006	3.6145	12.9584	49.8900 
343.991	-0.0845	-0.0518	0.9683	-0.1831	-0.9766	-4.7607	-1.9116	3.6035	12.8925	49.8900 
343.991	-0.0811	-0.0410	0.9575	-0.4272	2.0752	-5.4321	-1.9226	3.6255	12.8101	49.5600 
344.006	-0.0771	-0.0322	0.9531	-0.3052	5.4321	-4.9438	-1.9281	3.6749	12.7332	49.8900 
344.022	-0.0601	-0.0278	0.9746	-0.5493	7.8735	-4.6387	-1.9336	3.7463	12.6727	49.7000 
344.022	-0.0337	-0.0508	0.9917	0.1221	9.1553	-4.0894	-1.9446	3.8232	12.6178	49.8400 
344.038	-0.0249	-0.0674	1.0122	-0.0610	10.3149	-3.7231	-1.9611	3.9111	12.5793	49.7500 
344.038	-0.0215	-0.0864	1.0220	0.3052	9.3994	-4.1504	-1.9775	3.9880	12.5409	49.8900 
344.069	-0.0361	-0.0874	1.0093	0.5493	9.3994	-5.9204	-1.9940	4.0649	12.4860	49.7500 
344.069	-0.0386	-0.0601	1.0068	1.0376	11.0474	-8.3008	-2.0050	4.1583	12.4036	49.8400 
344.100	-0.0313	-0.0234	1.0186	2.1362	14.1602	-8.3618	-1.9885	4.2737	12.3102	49.8900 
344.100	-0.0220	-0.0005	1.0537	3.2349	16.7236	-7.4463	-1.9556	4.4165	12.2278	49.8400 
344.116	-0.0151	0.0098	1.0898	4.5166	15.4419	-5.7983	-1.9006	4.5538	12.1619	49.7500 
344.116	-0.0239	0.0117	1.1128	5.0659	10.8032	-5.0659	-1.8457	4.6472	12.1069	49.7500 
344.116	-0.0356	-0.0010	1.0972	5.0659	4.6387	-4.2725	-1.7853	4.6912	12.0630	49.5600 
344.147	-0.0508	-0.0200	1.0703	5.1880	-0.5493	-3.8452	-1.7303	4.6802	12.0190	49.7000 
344.147	-0.0615	-0.0513	1.0376	4.7607	-3.5400	-3.8452	-1.6919	4.6417	11.9696	49.7000 
344.147	-0.0649	-0.0791	0.9888	4.2114	-4.5166	-4.5166	-1.6644	4.5923	11.9202	49.8400 
344.163	-0.0620	-0.1011	0.9653	3.4180	-4.5166	-5.8594	-1.6589	4.5428	11.8597	49.5600 
344.178	-0.0571	-0.1084	0.9390	1.8921	-2.9297	-6.8359	-1.6699	4.4989	11.7883	49.7500 
344.178	-0.0620	-0.1177	0.9282	0.1221	-1.5259	-7.5073	-1.7029	4.4714	11.7114	49.7000 
344.178	-0.0688	-0.1299	0.9316	-2.3193	0.3662	-9.0942	-1.7633	4.4659	11.6180	49.8900 
344.194	-0.0791	-0.1323	0.9507	-4.5166	2.1973	-12.0850	-1.8512	4.4769	11.4972	49.8400 
344.209	-0.0820	-0.1123	0.9805	-7.3853	3.5400	-14.8315	-1.9556	4.5099	11.3434	49.8900 
344.209	-0.0801	-0.1113	0.9995	-9.8877	3.6011	-15.1978	-2.0874	4.5374	11.1786	49.3700 
344.225	-0.0854	-0.0723	1.0396	-11.1084	4.1504	-17.1509	-2.2247	4.5758	10.9973	49.8900 
344.241	-0.0938	-0.0352	1.0752	-11.4746	2.6855	-16.5405	-2.3511	4.6033	10.8105	49.7500 
344.272	-0.0918	-0.0190	1.0962	-10.1929	-0.9155	-13.7329	-2.4609	4.5923	10.6458	49.6500 
344.272	-0.0776	-0.0215	1.1001	-8.4839	-3.2959	-10.5591	-2.5488	4.5648	10.5194	49.8400 
344.272	-0.0679	-0.0327	1.0791	-6.8970	-6.1035	-8.7280	-2.6257	4.4989	10.4260	49.8400 
344.303	-0.0547	-0.0493	1.0630	-5.2490	-7.0190	-7.9346	-2.6862	4.4220	10.3491	49.7500 
344.303	-0.0610	-0.0532	1.0425	-3.5400	-7.8125	-8.3008	-2.7301	4.3341	10.2667	49.8900 
344.303	-0.0757	-0.0420	1.0229	-2.2583	-7.1411	-8.4229	-2.7631	4.2517	10.1843	49.7500 
344.319	-0.0762	-0.0376	1.0098	-1.3428	-5.7373	-6.8359	-2.7795	4.1858	10.1019	49.6500 
344.319	-0.0874	-0.0430	1.0151	-0.2441	-4.6997	-5.0659	-2.7850	4.1418	10.0360	49.7000 
344.319	-0.0933	-0.0420	1.0088	0.2441	-4.3335	-3.4790	-2.7795	4.1034	9.9866	49.5600 
344.350	-0.0894	-0.0410	1.0171	0.4272	-5.0049	-2.6245	-2.7795	4.0594	9.9481	49.7000 
344.366	-0.0869	-0.0381	1.0200	0.3052	-6.0425	-1.0376	-2.7740	4.0045	9.9261	49.8400 
344.366	-0.0762	-0.0474	1.0078	0.1831	-6.4087	1.0376	-2.7686	3.9441	9.9316	49.9900 
344.366	-0.0796	-0.0479	1.0171	0.1221	-6.6528	1.7700	-2.7631	3.8837	9.9426	49.8400 
344.366	-0.0737	-0.0547	1.0068	0.3052	-8.3618	3.4180	-2.7576	3.8068	9.9701	49.8900 
344.366	-0.0713	-0.0732	0.9956	0.6104	-9.2773	5.1270	-2.7576	3.7244	10.0195	49.7000 
