StartTime: 2017-08-15 14:07:20.448
39
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
114.532	0.0347	-0.0576	1.0220	2.0142	4.2725	-5.6763	1.2854	-1.2250	17.2650	48.4500 
114.532	0.0298	-0.0381	1.0391	3.0518	3.2349	-5.1880	1.2909	-1.1920	17.2101	48.4500 
114.532	0.0229	-0.0283	1.0391	3.4790	2.0142	-4.6997	1.3074	-1.1700	17.1552	48.4500 
114.548	0.0151	-0.0234	1.0259	3.6011	0.4883	-4.3335	1.3293	-1.1591	17.1057	48.4500 
114.563	0.0063	-0.0220	1.0171	4.3335	0.2441	-4.8828	1.3513	-1.1536	17.0508	48.4500 
114.563	0.0049	-0.0210	1.0093	4.3335	0.3662	-5.3711	1.3843	-1.1426	16.9849	48.5000 
114.563	0.0083	-0.0156	1.0146	4.5776	0.3662	-6.4087	1.4172	-1.1316	16.9135	48.4500 
114.610	0.0210	0.0049	1.0244	4.6997	0.3052	-6.2256	1.4557	-1.1261	16.8420	48.4500 
114.626	0.0313	0.0190	1.0313	4.6387	-0.1831	-5.3711	1.4996	-1.1316	16.7816	48.3100 
114.626	0.0293	0.0396	1.0229	4.5166	-1.2817	-3.4180	1.5491	-1.1426	16.7377	48.6000 
114.626	0.0283	0.0537	1.0146	4.3945	-2.4414	-1.6479	1.6040	-1.1646	16.7047	48.5000 
114.642	0.0249	0.0615	1.0063	4.2725	-3.2959	-0.2441	1.6534	-1.1975	16.6882	48.2600 
114.642	0.0220	0.0630	1.0015	4.3945	-4.6387	0.5493	1.7084	-1.2415	16.6827	48.6500 
114.642	0.0308	0.0654	0.9966	4.5166	-5.9204	0.5493	1.7688	-1.3019	16.6718	48.5000 
114.657	0.0513	0.0669	1.0063	4.8218	-6.8359	1.1597	1.8292	-1.3733	16.6772	48.5000 
114.657	0.0542	0.0703	1.0083	5.1880	-6.6528	3.1738	1.8896	-1.4502	16.6992	48.5000 
114.673	0.0620	0.0664	1.0137	5.4932	-6.0425	4.8828	1.9501	-1.5271	16.7377	48.6500 
114.673	0.0728	0.0771	1.0259	6.3477	-5.8594	5.7983	2.0270	-1.5985	16.7926	48.5000 
114.735	0.0752	0.0977	1.0391	8.1177	-5.9204	5.9204	2.1149	-1.6754	16.8475	48.4500 
114.798	0.0850	0.1348	1.0400	8.6060	-5.1880	6.7749	2.2302	-1.7523	16.9080	48.2600 
114.798	0.0840	0.1494	1.0693	10.0098	-6.1035	8.1177	2.3566	-1.8292	16.9794	48.5000 
114.798	0.0869	0.1660	1.0718	10.6201	-7.2632	10.1929	2.4939	-1.9171	17.0673	48.4500 
114.829	0.0913	0.1855	1.0513	11.9019	-8.7891	12.2070	2.6532	-2.0270	17.1716	48.5000 
114.829	0.1055	0.1777	1.0391	12.4512	-8.5449	14.8926	2.8125	-2.1368	17.3035	48.4100 
114.829	0.1299	0.1758	1.0073	12.2070	-6.2866	15.9302	2.9718	-2.2467	17.4573	48.5000 
114.829	0.1309	0.1714	0.9834	12.4512	-3.7842	17.9443	3.1256	-2.3291	17.6331	48.6000 
114.829	0.1465	0.1631	0.9678	11.7798	-0.3662	21.3013	3.2794	-2.3895	17.8418	48.5000 
114.829	0.1563	0.1494	0.9736	11.1084	3.6621	23.8037	3.4167	-2.4115	18.0835	48.6500 
114.829	0.1563	0.1421	0.9736	10.4980	7.2632	24.9634	3.5431	-2.4060	18.3417	48.6500 
114.829	0.1489	0.1157	0.9956	9.9487	10.3149	25.3906	3.6530	-2.3566	18.6108	48.6000 
114.829	0.1431	0.0439	1.0474	8.5449	12.8174	25.0854	3.7354	-2.2852	18.8800	48.5000 
114.829	0.1152	-0.0596	1.1382	9.0942	7.9956	20.1416	3.7793	-2.2302	19.1162	48.5000 
114.845	0.1416	-0.0586	1.0645	10.0098	2.7466	16.7236	3.8342	-2.2302	19.2920	48.3100 
114.860	0.1113	-0.0708	1.0801	10.4370	4.2725	10.7422	3.8782	-2.2083	19.4513	48.4100 
114.860	0.0864	0.1045	1.0381	12.8174	-0.8545	15.0757	4.0045	-2.2302	19.5721	48.5000 
114.923	0.0850	0.1460	0.9580	14.4043	-1.7700	18.0664	4.1638	-2.2797	19.7205	48.5000 
114.923	0.0840	0.0869	0.9590	11.1694	6.2866	22.3389	4.2847	-2.2632	19.9237	48.6000 
114.923	0.0522	-0.0659	0.9546	12.3291	8.9111	10.4370	4.3341	-2.1973	20.0885	48.6000 
114.923	0.0317	0.1035	1.0122	13.6108	3.9673	3.9673	4.4659	-2.1533	20.0995	48.5000 
114.954	0.0537	0.1338	0.9814	13.8550	2.1362	2.8076	4.6198	-2.1368	20.0995	48.5000 
115.001	0.0845	0.1738	0.9653	13.7939	3.6621	4.8828	4.7845	-2.1259	20.1160	48.5000 
115.001	0.1025	0.1528	0.9707	13.6719	5.2490	6.4087	4.9493	-2.1094	20.1599	48.5000 
115.001	0.1128	0.1323	0.9746	13.3057	7.0190	8.3618	5.0977	-2.0764	20.2258	48.6000 
115.017	0.1089	0.1055	0.9810	13.2446	9.1553	10.8643	5.2350	-2.0270	20.3247	48.4100 
115.032	0.0864	0.0923	1.0078	12.7563	10.8032	10.3760	5.3558	-1.9501	20.4236	48.4500 
115.032	0.0645	0.0947	1.0215	12.3291	10.4370	8.7280	5.4767	-1.8622	20.5005	48.4500 
115.032	0.0576	0.0942	1.0142	11.4136	9.8267	6.2866	5.5920	-1.7798	20.5499	48.6000 
115.032	0.0669	0.0981	1.0088	10.7422	9.2163	4.4556	5.6964	-1.7029	20.5829	48.7900 
115.032	0.0796	0.0908	0.9995	9.7046	9.3384	3.6621	5.7898	-1.6315	20.6104	48.4500 
115.032	0.0918	0.0815	0.9932	8.5449	9.8267	2.5635	5.8667	-1.5601	20.6323	48.3100 
115.032	0.1064	0.0830	0.9824	7.2632	10.2539	1.2817	5.9381	-1.4832	20.6488	48.4500 
115.032	0.1226	0.0835	0.9722	5.9814	11.2915	0.6714	5.9930	-1.4117	20.6653	48.5000 
115.032	0.1211	0.0771	0.9580	4.6997	12.6953	-0.2441	6.0370	-1.3239	20.6763	48.6000 
115.063	0.1167	0.0703	0.9609	3.6621	14.9536	-0.6104	6.0645	-1.2140	20.6873	48.5000 
115.079	0.1060	0.0586	0.9536	2.3804	16.0522	-1.1597	6.0754	-1.0876	20.6927	48.5000 
115.126	0.0952	0.0596	0.9565	1.2207	17.3950	-1.8921	6.0754	-0.9448	20.6873	48.5000 
115.126	0.0962	0.0571	0.9468	-0.1221	18.0054	-3.7231	6.0590	-0.7910	20.6708	48.5000 
115.126	0.1040	0.0518	0.9395	-2.1362	18.5547	-5.9814	6.0205	-0.6372	20.6323	48.6500 
115.126	0.1035	0.0601	0.9155	-3.4790	18.9209	-8.4839	5.9766	-0.4779	20.5774	48.6000 
115.126	0.1021	0.0747	0.9097	-5.1270	21.0571	-9.1553	5.9161	-0.3021	20.5115	48.5000 
115.126	0.0996	0.0913	0.9097	-5.8594	24.4751	-8.1787	5.8612	-0.0934	20.4456	48.4100 
115.126	0.0942	0.1040	0.9321	-6.3477	27.5879	-7.4463	5.8008	0.1428	20.3906	48.6000 
115.157	0.0830	0.1172	0.9600	-6.9580	28.0762	-7.4463	5.7404	0.3955	20.3357	48.5000 
115.157	0.0923	0.1240	0.9775	-7.9956	28.2593	-7.3853	5.6689	0.6482	20.2808	48.5000 
115.157	0.1025	0.1094	0.9888	-8.4839	27.6489	-8.0566	5.5920	0.8954	20.2203	48.5000 
115.173	0.1167	0.0737	1.0010	-9.1553	26.7334	-9.0332	5.4987	1.1261	20.1599	48.5000 
115.189	0.1362	0.0278	0.9995	-9.5215	26.1841	-10.4370	5.3888	1.3403	20.0995	48.7900 
115.204	0.1499	-0.0122	0.9990	-9.2773	26.7944	-12.2681	5.2625	1.5601	20.0281	48.5000 
115.204	0.1563	-0.0396	1.0078	-8.6670	27.0386	-14.0991	5.1306	1.7743	19.9512	48.4500 
115.204	0.1631	-0.0386	1.0391	-8.6060	26.9165	-16.6016	4.9988	1.9885	19.8468	48.2600 
115.204	0.1738	-0.0269	1.0703	-8.1177	25.9399	-19.1040	4.8779	2.1973	19.7205	48.6900 
115.204	0.1934	-0.0034	1.0918	-7.9956	24.2310	-20.6909	4.7626	2.3840	19.5721	48.4500 
115.220	0.2056	0.0073	1.1128	-7.8735	22.4609	-22.2778	4.6527	2.5488	19.4073	48.5000 
115.235	0.2104	0.0244	1.1362	-7.0801	20.3857	-23.4985	4.5483	2.6971	19.2261	48.5000 
115.251	0.2031	0.0400	1.1563	-6.2256	18.6157	-23.6816	4.4604	2.8290	19.0448	48.4500 
115.251	0.1665	0.0488	1.1753	-4.3335	18.0054	-22.9492	4.3890	2.9553	18.8525	48.6000 
115.267	0.1025	0.0747	1.2061	-1.5869	20.4468	-20.2026	4.3506	3.1146	18.6713	48.6500 
115.313	0.0259	0.1235	1.2734	4.2114	27.0996	-13.7329	4.3726	3.3453	18.5339	48.6500 
115.329	-0.0273	0.1479	1.4033	11.6577	31.4331	-7.3853	4.4714	3.6365	18.4515	48.4500 
115.329	-0.0688	0.1968	1.5225	18.6157	28.4424	-2.9907	4.6527	3.9276	18.4021	48.6000 
115.361	-0.1406	0.2739	1.5737	21.7285	15.9912	4.3335	4.8944	4.1199	18.3966	48.4500 
115.361	-0.2065	0.3140	1.4741	19.9585	-2.9907	11.9629	5.1526	4.1473	18.4460	48.5000 
115.361	-0.2324	0.3374	1.2954	15.3809	-17.0898	17.0898	5.3833	4.0155	18.5175	48.6000 
115.361	-0.1943	0.2896	1.1440	8.1177	-23.0103	19.7144	5.5536	3.8068	18.6163	48.6500 
115.361	-0.1221	0.1885	1.0371	0.9155	-23.4985	15.1367	5.6250	3.5760	18.7042	48.5000 
115.361	-0.0640	0.0884	0.9688	-6.8970	-19.5313	6.4697	5.5865	3.3673	18.7262	48.4500 
115.361	-0.0581	-0.0117	0.9292	-14.0381	-14.6484	-2.1362	5.4327	3.2135	18.6768	48.4500 
115.423	-0.0967	-0.1079	0.8589	-18.7988	-11.2305	-8.1177	5.1855	3.1201	18.5614	48.6500 
115.423	-0.1606	-0.1851	0.7974	-19.7754	-7.8125	-16.3574	4.8834	3.0927	18.3417	48.4500 
115.439	-0.2158	-0.2134	0.7441	-17.6392	-2.8076	-26.1230	4.5813	3.1586	17.9846	48.5000 
115.439	-0.2651	-0.1846	0.7578	-13.1226	5.1880	-35.9497	4.3341	3.3289	17.4847	48.5000 
115.439	-0.2700	-0.0869	0.8706	-9.8267	13.6719	-40.9546	4.1528	3.5760	16.9574	48.6000 
115.454	-0.2515	0.0166	1.0444	-8.1787	13.6108	-39.7339	4.0265	3.8123	16.4740	48.6000 
115.454	-0.2173	0.1143	1.1777	-7.6294	4.6997	-32.8979	3.9386	3.9496	16.0620	48.4500 
115.470	-0.1836	0.1875	1.2236	-8.4839	-8.7280	-21.9116	3.8617	3.9441	15.7599	48.4500 
115.470	-0.1455	0.2412	1.1646	-10.1929	-19.9585	-9.0332	3.8013	3.7958	15.5841	48.5000 
115.470	-0.1226	0.2100	1.0674	-12.3901	-25.4517	2.3804	3.7299	3.5651	15.5292	48.5000 
115.517	-0.1201	0.1714	0.9702	-15.5029	-24.5972	7.5073	3.6255	3.3289	15.5347	48.6000 
115.517	-0.1382	0.1211	0.9199	-18.0664	-19.7754	8.9722	3.4827	3.1421	15.5621	48.2600 
115.517	-0.1465	0.0806	0.9048	-20.7520	-12.3291	8.7280	3.3069	3.0322	15.5896	48.5000 
115.548	-0.1372	0.0532	0.9263	-22.7661	-6.7749	8.3008	3.0927	2.9773	15.6171	48.4100 
115.564	-0.1182	0.0313	0.9766	-24.2310	-5.4321	9.4604	2.8564	2.9443	15.6610	48.6500 
115.564	-0.1060	0.0107	1.0117	-24.9023	-6.4697	11.9019	2.5983	2.8949	15.7379	48.3100 
115.579	-0.0981	0.0059	1.0220	-26.1841	-7.6294	13.5498	2.3346	2.8345	15.8368	48.6500 
115.579	-0.1030	-0.0166	1.0186	-26.9165	-9.0332	14.0991	2.0599	2.7631	15.9412	48.2600 
115.579	-0.1021	-0.0220	0.9917	-27.4658	-10.3149	13.0615	1.7743	2.6752	16.0345	48.6900 
115.579	-0.0957	-0.0347	0.9497	-27.0386	-10.1929	11.4746	1.4832	2.5928	16.1169	48.3100 
115.579	-0.0820	-0.0469	0.9121	-26.4893	-9.0942	10.7422	1.1975	2.5159	16.1884	48.4100 
115.579	-0.0698	-0.0791	0.8896	-24.5361	-7.9346	9.3384	0.9229	2.4445	16.2598	48.5000 
115.626	-0.0552	-0.1118	0.8696	-22.7051	-5.3711	6.3477	0.6537	2.3895	16.3147	48.5000 
115.626	-0.0386	-0.1353	0.8579	-20.6299	-2.6855	2.4414	0.3845	2.3621	16.3422	48.3100 
115.626	-0.0210	-0.1460	0.8589	-18.6768	-1.0376	-0.1831	0.1373	2.3401	16.3531	48.4500 
115.626	-0.0054	-0.1357	0.8687	-16.7847	1.0986	-2.6855	-0.0879	2.3346	16.3477	48.6500 
115.673	0.0039	-0.1221	0.8745	-14.4043	3.6011	-3.6011	-0.2856	2.3511	16.3312	48.6500 
115.689	0.0059	-0.1069	0.8955	-12.9395	4.6997	-4.2725	-0.4614	2.3785	16.3092	48.6000 
115.689	0.0122	-0.1050	0.9355	-10.8032	5.2490	-5.5542	-0.6152	2.4115	16.2708	48.6000 
115.689	0.0215	-0.0938	0.9658	-9.2163	4.7607	-6.4087	-0.7416	2.4390	16.2268	48.5000 
