StartTime: 2017-08-15 14:07:20.448
4-4-3
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
662.186	0.3975	-0.0073	0.9346	0.8545	-0.3052	1.2817	0.2527	-23.4888	28.9490	51.1400 
662.186	0.3984	0.0039	0.9199	0.9766	-0.8545	0.9766	0.2582	-23.4998	28.9545	51.1400 
662.217	0.4141	0.0103	0.9087	0.3662	-0.5493	-0.0610	0.2637	-23.5107	28.9490	51.0900 
662.217	0.4136	0.0112	0.9165	0.4883	0.6104	0.9155	0.2692	-23.5107	28.9545	50.9500 
662.217	0.4150	0.0068	0.9331	0.6104	0.7935	0.4883	0.2747	-23.5052	28.9545	51.2300 
662.248	0.4126	0.0020	0.9365	0.6714	0.4272	1.2817	0.2747	-23.5052	28.9600	51.1400 
662.248	0.3936	-0.0107	0.9380	0.8545	0.1831	1.9531	0.2692	-23.4998	28.9709	51.0900 
662.248	0.3872	-0.0112	0.9341	0.9155	-0.0610	1.7700	0.2637	-23.4943	28.9819	51.0900 
662.263	0.3877	-0.0195	0.9321	1.1597	-1.2817	0.7935	0.2637	-23.4998	28.9874	51.0900 
662.279	0.3970	-0.0103	0.9224	1.4648	-1.7700	0.3052	0.2747	-23.5107	28.9819	51.0400 
662.279	0.4155	-0.0078	0.9141	1.2817	-1.2207	0.0000	0.2802	-23.5327	28.9819	51.2300 
662.294	0.4238	-0.0049	0.9180	1.2817	-0.6714	-0.1221	0.2911	-23.5437	28.9764	51.0400 
662.294	0.4263	0.0010	0.9248	1.0376	-0.7324	-0.3052	0.3021	-23.5602	28.9709	51.1400 
662.294	0.4253	-0.0015	0.9150	0.7935	-0.4883	0.1221	0.3076	-23.5712	28.9709	50.9500 
662.357	0.4092	0.0044	0.9141	0.4883	0.0610	0.7935	0.3076	-23.5767	28.9709	51.1400 
662.357	0.4019	0.0000	0.9229	0.6714	0.7324	1.1597	0.3076	-23.5712	28.9709	51.1400 
