StartTime: 2017-08-15 14:07:20.448
5-14-4-14-3
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
512.349	-0.1274	-0.0112	1.0752	-8.6060	-10.6201	-5.9204	-0.4230	7.9761	18.7482	50.8000 
512.381	-0.1099	-0.0083	1.0527	-9.0942	-11.9629	-5.0659	-0.5164	7.8552	18.6768	50.7100 
512.381	-0.0928	0.0015	1.0264	-7.7515	-11.4136	-2.5024	-0.5988	7.7234	18.6328	50.7600 
512.381	-0.0762	-0.0151	1.0117	-6.9580	-8.8501	0.4883	-0.6702	7.6080	18.6273	50.5600 
512.381	-0.0781	-0.0254	1.0205	-5.4932	-6.6528	1.9531	-0.7306	7.5201	18.6328	50.7600 
512.381	-0.0991	-0.0522	1.0176	-3.6621	-6.9580	1.4038	-0.7855	7.4377	18.6383	50.5600 
512.396	-0.1138	-0.0278	1.0093	-3.0518	-6.9580	2.4414	-0.8185	7.3663	18.6438	50.7100 
512.443	-0.1382	-0.0225	1.0024	-4.2114	-8.3618	4.0283	-0.8569	7.2839	18.6493	50.7100 
512.443	-0.1616	0.0020	0.9785	-5.7983	-8.1177	3.9063	-0.9009	7.2125	18.6438	50.6100 
512.443	-0.1572	-0.0347	0.9961	-5.0659	-4.6387	4.2114	-0.9503	7.1741	18.6438	50.7100 
512.459	-0.1333	-0.0493	1.0303	-2.4414	-1.4038	4.4556	-0.9888	7.1576	18.6438	50.8000 
512.459	-0.1025	-0.0820	1.0752	-0.0610	-1.7090	2.0752	-1.0107	7.1411	18.6493	50.7100 
512.459	-0.0830	-0.0571	1.0669	0.8545	-4.3945	0.4883	-1.0217	7.0862	18.6438	50.7600 
512.459	-0.0859	-0.0327	1.0381	0.4272	-5.7983	2.0142	-1.0217	7.0203	18.6383	50.7600 
512.474	-0.0933	-0.0542	1.0044	0.1221	-5.4321	4.9438	-1.0272	6.9489	18.6658	51.0400 
512.474	-0.0962	-0.0659	0.9849	0.7935	-3.4180	5.2490	-1.0327	6.9049	18.6987	50.7100 
512.506	-0.0938	-0.0562	0.9800	0.3052	-1.5259	4.7607	-1.0382	6.8774	18.7262	50.7100 
512.506	-0.0938	-0.0371	0.9849	0.7935	0.6714	4.2725	-1.0327	6.8719	18.7537	50.8000 
512.506	-0.1069	-0.0342	0.9824	-0.0610	2.5024	4.8218	-1.0327	6.8939	18.7756	50.5600 
512.600	-0.1177	-0.0322	0.9971	-0.2441	3.5400	3.9063	-1.0382	6.9214	18.7866	50.8000 
512.600	-0.1304	-0.0181	1.0117	0.0000	2.4414	4.3335	-1.0327	6.9543	18.7921	50.8000 
512.600	-0.1396	-0.0142	1.0293	-0.1831	1.4648	5.0049	-1.0272	6.9763	18.7976	50.5600 
512.646	-0.1431	-0.0469	1.0210	-0.3052	-0.9155	5.0659	-1.0327	6.9818	18.8086	50.5200 
512.646	-0.1343	-0.0435	1.0225	0.2441	-1.5869	3.9673	-1.0327	6.9708	18.8086	50.6100 
512.646	-0.1304	-0.0425	1.0293	0.4272	-2.5024	4.6387	-1.0272	6.9489	18.8086	50.8000 
512.646	-0.1211	-0.0371	1.0190	0.2441	-3.1128	6.5308	-1.0272	6.9214	18.8306	50.7600 
512.646	-0.1206	-0.0464	1.0020	-0.0610	-2.9297	6.4697	-1.0272	6.8939	18.8525	50.7100 
