StartTime: 2017-07-31 14:45:39.542
55 steps walking 14 stairs (up and down)
Time(s)	TMin ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
68.517	1 38.780	-0.2734	0.0361	1.1626	5.5542	3.8452	-56.0913	0.9943	13.1836	57.7936	43.7600	572	283	-154	99955	1.15 
68.517	1 38.800	-0.2168	0.0439	1.2871	7.6294	-6.5308	-59.5093	0.8789	13.1451	56.6565	43.3300	571	284	-156	99955	1.15 
68.533	1 38.820	-0.1426	0.0654	1.3667	9.2163	-24.7192	-60.3638	0.7855	12.7606	55.4755	43.5700	571	285	-158	99955	1.15 
68.549	1 38.840	-0.0396	0.0347	1.3213	9.5215	-33.8135	-59.2651	0.7471	12.0300	54.3604	43.6600	571	285	-159	99954	1.15 
68.580	1 38.860	-0.1353	0.0591	1.3340	11.5967	-17.6392	-60.7300	0.7141	11.4423	53.2233	43.5700	571	288	-159	99954	1.15 
68.580	1 38.880	-0.4121	0.2246	1.3882	15.9302	-11.3525	-51.8799	0.8514	11.2335	52.1686	43.4200	571	292	-160	99954	1.15 
68.611	1 38.900	-0.4468	0.2676	1.1274	12.2681	-23.6816	-37.7808	1.0931	10.9863	51.3281	43.6600	572	295	-160	99954	1.15 
68.627	1 38.920	-0.3940	0.1509	0.8560	8.3008	-13.7329	-24.7192	1.2799	10.7666	50.7843	43.7100	572	297	-160	99954	1.15 
68.642	1 38.940	-0.4482	-0.0317	0.7764	10.3760	-0.5493	-22.0337	1.3898	10.9039	50.3778	43.5700	570	299	-161	99954	1.15 
68.689	1 38.960	-0.3809	-0.1763	0.7407	12.3291	9.8877	-21.4844	1.3898	11.2335	50.0208	43.4200	571	301	-163	99954	1.15 
68.721	1 38.980	-0.3467	-0.1523	0.7983	11.2915	21.7896	-16.4185	1.3733	11.7279	49.7736	43.7100	574	302	-163	99954	1.15 
68.721	1 39.000	-0.3701	0.0024	0.9307	7.7515	25.0854	-6.1646	1.4447	12.3596	49.6747	43.6600	575	302	-161	99954	1.15 
68.736	1 39.020	-0.3296	0.1079	0.9497	-1.9531	17.6392	6.7749	1.5381	12.8540	49.8285	43.6600	573	302	-160	99953	1.15 
68.736	1 39.040	-0.2729	0.1592	0.9229	-12.3901	18.3716	12.1460	1.4941	13.2440	50.1416	43.6600	574	303	-160	99954	1.15 
68.767	1 39.060	-0.2954	0.1982	0.9873	-15.8081	9.2773	17.2119	1.3403	13.6121	50.5261	43.7100	575	304	-160	99954	1.15 
68.799	1 39.080	-0.2129	0.1523	0.9150	-14.8926	7.1411	18.0054	1.2524	13.7549	51.0095	43.6600	577	305	-160	99954	1.15 
68.830	1 39.100	-0.1821	0.0913	0.8853	-14.5874	3.4180	18.4937	1.1206	13.8263	51.4819	43.7100	578	302	-157	99954	1.15 
68.846	1 39.120	-0.1631	-0.0063	0.8555	-13.0615	-0.5493	23.4985	0.9613	13.7933	52.0258	43.5200	579	299	-155	99953	1.15 
68.846	1 39.140	-0.1587	-0.0610	0.8887	-13.7939	0.9766	29.0527	0.7965	13.7219	52.7014	43.5200	579	297	-154	99953	1.15 
68.892	1 39.160	-0.2007	-0.0771	0.9282	-12.7563	-2.5024	34.3018	0.6262	13.6725	53.4650	43.6600	581	296	-155	99953	1.15 
68.908	1 39.180	-0.1499	-0.1006	0.8721	-9.3994	1.9531	33.3862	0.4889	13.5846	54.2505	43.5200	583	295	-155	99953	1.15 
68.924	1 39.200	-0.1313	-0.0972	0.8633	-5.9814	3.6011	33.4473	0.4395	13.5736	55.0470	43.5700	583	295	-154	99954	1.15 
68.924	1 39.220	-0.1113	-0.1001	0.8853	-2.7466	5.1880	30.8228	0.4340	13.5901	55.8051	43.5700	584	295	-154	99954	1.15 
68.955	1 39.240	-0.0820	-0.1104	0.9209	0.1831	5.6152	27.5269	0.4724	13.5956	56.4862	43.5700	585	294	-154	99954	1.15 
68.986	1 39.260	-0.0508	-0.1094	0.9263	2.9907	4.2725	23.1323	0.5493	13.5571	57.0795	43.6600	590	294	-153	99953	1.15 
69.002	1 39.280	-0.1084	-0.0781	1.0522	5.2490	5.1880	18.7988	0.6757	13.5571	57.5739	43.4200	591	293	-149	99953	1.15 
69.033	1 39.300	-0.1079	-0.0195	1.0918	8.7280	1.7090	15.6860	0.8679	13.4967	57.9858	43.5200	592	292	-149	99954	1.15 
69.033	1 39.320	-0.1680	0.0293	1.1914	9.2163	-0.7324	15.0757	1.1316	13.4198	58.3539	43.5200	591	291	-151	99954	1.15 
69.064	1 39.340	-0.1860	0.0220	1.2642	6.1035	-7.9346	10.4370	1.3458	13.2605	58.6615	43.6600	592	289	-149	99953	1.15 
69.096	1 39.360	-0.1484	0.0332	1.2803	1.8311	-12.6343	4.5776	1.4392	12.9803	58.8263	43.5200	596	292	-152	99953	1.15 
69.127	1 39.380	-0.0845	0.0898	1.2969	0.3052	-17.5171	8.7891	1.4941	12.5739	58.9966	43.4200	598	293	-154	99953	1.15 
69.142	1 39.400	0.0186	0.2021	1.2256	-0.4883	-24.4141	23.1323	1.6370	11.9641	59.3866	43.5700	596	294	-154	99953	1.15 
