StartTime: 2017-07-31 14:59:50.834
40+14+14+10
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
39.770	2015-01-01 00:04:24.260	0.0117	0.0225	1.0273	1.8311	0.9766	0.4272	3.5101	-0.9998	59.2987	46.1500	699	374	-432	99938	1.16 
39.801	2015-01-01 00:04:24.280	0.0171	0.0122	1.0239	2.2583	0.7935	0.3662	3.5156	-0.9833	59.3372	46.0100	699	374	-432	99938	1.16 
39.832	2015-01-01 00:04:24.300	0.0220	0.0205	1.0244	2.0142	0.9155	-0.3662	3.5266	-0.9723	59.3646	45.8200	700	373	-431	99937	1.16 
39.910	2015-01-01 00:04:24.320	0.0210	0.0156	1.0327	1.4648	1.8311	-1.4648	3.5266	-0.9503	59.3811	45.8200	699	372	-432	99937	1.16 
39.910	2015-01-01 00:04:24.340	0.0132	0.0186	1.0381	0.7324	0.4272	-1.4038	3.5211	-0.9229	59.3811	45.8200	701	373	-434	99937	1.16 
39.910	2015-01-01 00:04:24.360	0.0103	0.0376	1.0264	0.6714	-1.1597	-0.4883	3.5101	-0.9338	59.3866	46.0100	701	374	-432	99937	1.16 
39.957	2015-01-01 00:04:24.380	0.0151	0.0493	1.0234	0.0610	-0.8545	0.1221	3.4991	-0.9503	59.4031	45.8200	699	372	-434	99937	1.16 
39.957	2015-01-01 00:04:24.400	0.0156	0.0264	1.0215	-0.4883	-0.3662	-0.3662	3.4772	-0.9558	59.4196	45.8200	697	370	-435	99937	1.16 
39.973	2015-01-01 00:04:24.420	0.0176	0.0171	1.0225	-0.5493	0.0610	-1.0376	3.4387	-0.9613	59.4305	45.9600	696	370	-435	99937	1.16 
39.989	2015-01-01 00:04:24.440	0.0176	0.0142	1.0356	0.1221	-0.2441	-1.4038	3.4003	-0.9613	59.4360	45.7700	698	371	-436	99937	1.16 
40.004	2015-01-01 00:04:24.460	0.0244	0.0034	1.0215	0.4272	-1.4648	-0.4883	3.3728	-0.9833	59.4525	45.7700	699	371	-437	99937	1.16 
40.035	2015-01-01 00:04:24.480	0.0278	0.0083	1.0249	0.5493	-1.8921	-0.7935	3.3453	-1.0272	59.4745	46.0100	699	371	-438	99937	1.16 
40.051	2015-01-01 00:04:24.500	0.0273	0.0103	1.0151	0.5493	-0.7324	-1.1597	3.3234	-1.0602	59.4855	46.1500	699	371	-439	99937	1.16 
40.129	2015-01-01 00:04:24.520	0.0244	0.0205	1.0410	0.0000	-0.7935	-0.9766	3.3014	-1.0712	59.4910	45.8200	700	372	-438	99936	1.16 
40.161	2015-01-01 00:04:24.540	0.0303	0.0088	1.0410	-0.4883	-2.3193	-1.4648	3.2684	-1.1096	59.4965	45.9600	701	374	-438	99936	1.16 
40.176	2015-01-01 00:04:24.560	0.0332	-0.0190	1.0366	-0.0610	-4.2114	-2.3804	3.2190	-1.1865	59.4855	45.8200	699	375	-436	99937	1.16 
40.176	2015-01-01 00:04:24.580	0.0518	-0.0249	1.0024	0.1831	-2.1973	-4.3335	3.1641	-1.2744	59.4525	46.0100	697	375	-435	99937	1.16 
40.176	2015-01-01 00:04:24.600	0.0688	-0.0132	1.0234	0.9155	1.8311	-5.5542	3.1256	-1.2909	59.3866	45.7700	696	376	-435	99937	1.16 
40.207	2015-01-01 00:04:24.620	0.0493	-0.0078	1.0425	0.6104	-1.5259	-4.1504	3.1036	-1.3129	59.3317	45.8200	696	377	-434	99937	1.16 
40.207	2015-01-01 00:04:24.640	0.0508	-0.0059	1.0166	0.2441	-1.6479	-4.1504	3.0762	-1.3678	59.2822	46.0100	695	377	-434	99937	1.16 
40.207	2015-01-01 00:04:24.660	0.0479	-0.0020	1.0078	0.1221	0.3052	-5.0049	3.0432	-1.3898	59.2273	45.8700	695	377	-435	99937	1.16 
40.239	2015-01-01 00:04:24.680	0.0313	-0.0122	1.0156	0.7935	-0.2441	-5.3101	3.0103	-1.3843	59.1559	45.9600	696	377	-435	99937	1.16 
40.254	2015-01-01 00:04:24.700	0.0234	-0.0269	1.0039	1.5259	-1.0986	-6.1035	2.9883	-1.4008	59.0845	45.9600	695	377	-435	99936	1.16 
40.270	2015-01-01 00:04:24.720	0.0508	-0.0366	1.0020	1.4038	3.1738	-8.7891	2.9608	-1.3788	58.9801	46.0100	696	378	-434	99936	1.16 
40.364	2015-01-01 00:04:24.740	0.0698	-0.0430	1.0073	1.2207	6.7749	-10.4980	2.9333	-1.2854	58.8373	45.8700	695	375	-435	99936	1.16 
40.364	2015-01-01 00:04:24.760	0.0532	-0.0376	1.0220	1.2207	7.2021	-10.6201	2.8949	-1.1536	58.6890	45.8700	695	373	-436	99936	1.16 
40.364	2015-01-01 00:04:24.780	0.0376	-0.0278	1.0259	2.4414	7.2632	-9.4604	2.8784	-1.0162	58.5571	45.7700	695	371	-436	99936	1.16 
40.364	2015-01-01 00:04:24.800	0.0474	-0.0083	1.0146	2.0752	7.4463	-8.7280	2.8839	-0.8789	58.4363	45.7700	695	374	-438	99936	1.16 
40.379	2015-01-01 00:04:24.820	0.0884	0.0020	0.9980	2.2583	10.9253	-7.9956	2.8784	-0.7361	58.3319	46.0600	696	376	-439	99936	1.16 
40.410	2015-01-01 00:04:24.840	0.0625	-0.0273	1.0210	2.9297	10.5591	-7.9956	2.8949	-0.5383	58.2385	45.9600	696	378	-439	99936	1.16 
40.426	2015-01-01 00:04:24.860	0.0566	-0.0332	1.0234	4.4556	12.5732	-8.3618	2.9169	-0.3241	58.1506	45.8200	696	379	-439	99936	1.16 
40.442	2015-01-01 00:04:24.880	0.0586	-0.0386	0.9980	2.8687	12.5732	-8.1787	2.9279	-0.1154	58.0518	45.8700	695	381	-438	99936	1.16 
40.442	2015-01-01 00:04:24.900	0.0479	-0.0347	1.0127	3.7842	14.3433	-7.2021	2.9388	0.1208	57.9694	46.0100	695	383	-436	99936	1.16 
40.520	2015-01-01 00:04:24.920	0.0493	-0.0400	1.0215	5.1270	15.4419	-8.2397	2.9773	0.3955	57.8870	45.8200	698	386	-434	99936	1.16 
40.551	2015-01-01 00:04:24.940	0.0483	-0.0190	0.9746	4.6997	17.1509	-11.2305	3.0212	0.6921	57.7606	46.0100	700	389	-434	99936	1.16 
40.551	2015-01-01 00:04:24.960	0.0356	-0.0029	0.9321	2.8076	21.9116	-14.4653	3.0432	1.0547	57.5574	45.8200	701	391	-434	99936	1.16 
40.551	2015-01-01 00:04:24.980	0.0127	0.0273	0.9697	2.9907	27.0996	-11.2915	3.0762	1.5491	57.3651	45.8200	702	391	-434	99936	1.16 
40.567	2015-01-01 00:04:25.000	-0.0020	0.0283	0.9795	1.7700	28.3813	-4.0894	3.1036	2.0874	57.2937	45.7700	705	391	-431	99936	1.16 
40.567	2015-01-01 00:04:25.020	-0.0088	0.0342	0.9448	1.0986	31.4941	1.0986	3.1091	2.6587	57.3431	45.8700	707	391	-429	99936	1.16 
40.614	2015-01-01 00:04:25.040	-0.0225	0.0615	0.9395	1.8921	34.3018	4.2725	3.1366	3.2904	57.4695	46.1500	709	391	-428	99936	1.16 
40.614	2015-01-01 00:04:25.060	-0.0571	0.1191	0.9678	1.2817	32.3486	5.6763	3.2135	3.9551	57.6178	46.0100	711	390	-424	99936	1.16 
40.660	2015-01-01 00:04:25.080	-0.0601	0.1123	1.0645	0.0000	28.1982	4.6997	3.2739	4.5374	57.7551	45.7700	712	389	-420	99936	1.16 
40.660	2015-01-01 00:04:25.100	-0.0786	0.0571	1.1948	-0.9766	16.4185	3.2959	3.2684	4.9438	57.8705	45.8200	715	387	-418	99936	1.16 
