34+14+14+11
StartTime: 2017-07-31 15:03:29.279
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
122.058	2015-01-01 00:09:8.380	0.1030	0.1079	1.0093	1.2817	0.6104	3.7842	8.3661	-6.9269	76.7889	45.6800	640	364	-431	99945	1.15 
122.058	2015-01-01 00:09:8.400	0.1050	0.1079	1.0166	1.7700	0.9155	4.5166	8.3606	-6.9049	76.6626	45.6300	639	364	-430	99945	1.15 
122.090	2015-01-01 00:09:8.420	0.1069	0.0991	1.0161	1.6479	0.9155	3.7842	8.3551	-6.8884	76.5363	45.4800	638	365	-429	99945	1.15 
122.121	2015-01-01 00:09:8.440	0.1055	0.0957	1.0098	1.5869	1.2817	2.3193	8.3496	-6.8555	76.3879	45.6300	637	363	-429	99945	1.15 
122.121	2015-01-01 00:09:8.460	0.1177	0.0908	1.0176	1.5869	1.8311	1.5869	8.3441	-6.8115	76.2286	45.6800	638	362	-428	99945	1.15 
122.152	2015-01-01 00:09:8.480	0.1064	0.1021	1.0200	1.5259	0.8545	2.6245	8.3331	-6.7786	76.0748	45.6300	639	361	-426	99945	1.15 
122.152	2015-01-01 00:09:8.500	0.1162	0.1055	1.0112	1.4038	1.8921	2.6855	8.3331	-6.7511	75.9320	45.4800	641	360	-424	99945	1.15 
122.183	2015-01-01 00:09:8.520	0.1079	0.0942	1.0005	0.9155	2.6245	1.2817	8.3167	-6.6962	75.7782	45.8200	640	359	-423	99945	1.15 
122.246	2015-01-01 00:09:8.540	0.1016	0.0806	1.0083	0.9766	2.6245	0.0000	8.2892	-6.6357	75.6024	45.6800	638	358	-422	99945	1.15 
122.277	2015-01-01 00:09:8.560	0.0938	0.0835	1.0195	1.0986	1.5869	0.4883	8.2727	-6.5698	75.4266	45.7700	640	361	-425	99945	1.16 
122.277	2015-01-01 00:09:8.580	0.1021	0.0903	1.0083	0.5493	1.7090	0.0000	8.2507	-6.5204	75.2399	45.5300	642	363	-426	99945	1.16 
122.277	2015-01-01 00:09:8.600	0.1108	0.0903	1.0127	-0.3052	2.0752	-1.0376	8.2178	-6.4709	75.0476	45.7700	643	364	-427	99945	1.15 
122.293	2015-01-01 00:09:8.620	0.1157	0.0796	1.0063	-0.5493	3.1128	-1.8311	8.1683	-6.4105	74.8389	45.6300	642	364	-426	99945	1.15 
122.340	2015-01-01 00:09:8.640	0.1147	0.0801	1.0083	-0.6104	4.8828	-1.5259	8.1189	-6.3171	74.6356	45.6800	641	363	-425	99945	1.16 
122.340	2015-01-01 00:09:8.660	0.1011	0.0767	1.0234	-1.7700	5.3711	-1.5869	8.0530	-6.1963	74.4379	45.7700	641	363	-426	99945	1.16 
122.340	2015-01-01 00:09:8.680	0.1030	0.0542	1.0112	-2.8076	5.8594	-3.1738	7.9541	-6.0699	74.2401	45.8700	641	362	-427	99944	1.16 
122.371	2015-01-01 00:09:8.700	0.1035	0.0469	1.0088	-2.3804	6.2256	-5.1880	7.8497	-5.9326	73.9984	45.6800	641	362	-426	99945	1.15 
122.433	2015-01-01 00:09:8.720	0.1147	0.0537	1.0166	-1.9531	6.1646	-4.1504	7.7563	-5.7953	73.7677	45.5300	641	362	-424	99945	1.15 
122.465	2015-01-01 00:09:8.740	0.1089	0.0361	1.0391	-1.1597	4.0894	-4.8218	7.6740	-5.6854	73.5370	45.4800	643	365	-422	99945	1.15 
122.465	2015-01-01 00:09:8.760	0.1172	0.0317	1.0332	-0.5493	2.0142	-5.3711	7.5916	-5.6140	73.2843	45.6800	643	367	-420	99945	1.15 
122.465	2015-01-01 00:09:8.780	0.1284	0.0625	1.0190	-0.0610	0.6104	-3.9063	7.5366	-5.5920	73.0481	45.6800	644	368	-419	99944	1.16 
122.480	2015-01-01 00:09:8.800	0.1318	0.0762	1.0010	0.4883	-0.7935	-3.4180	7.5092	-5.6030	72.8229	45.4800	644	365	-419	99944	1.16 
122.496	2015-01-01 00:09:8.820	0.1382	0.0708	0.9990	0.7324	-0.2441	-3.2959	7.4872	-5.6305	72.6031	45.6800	644	365	-418	99944	1.16 
122.496	2015-01-01 00:09:8.840	0.1479	0.0703	1.0073	0.9766	0.8545	-3.1128	7.4652	-5.6360	72.3999	45.6800	644	365	-420	99944	1.16 
122.543	2015-01-01 00:09:8.860	0.1484	0.0527	1.0112	0.9155	2.3804	-3.2959	7.4377	-5.6250	72.2021	45.4400	645	366	-418	99944	1.16 
122.590	2015-01-01 00:09:8.880	0.1396	0.0376	1.0107	0.7935	3.7842	-4.6997	7.3993	-5.5701	71.9989	45.8200	645	365	-418	99945	1.16 
122.590	2015-01-01 00:09:8.900	0.1328	0.0229	1.0151	0.6104	3.6011	-6.7749	7.3553	-5.5042	71.7627	45.8200	643	367	-418	99945	1.16 
122.637	2015-01-01 00:09:8.920	0.1318	0.0220	1.0005	0.8545	3.9063	-9.5825	7.3114	-5.4218	71.4825	45.5300	641	364	-420	99944	1.16 
122.668	2015-01-01 00:09:8.940	0.1304	0.0278	1.0044	0.9766	5.0659	-11.7798	7.2729	-5.3229	71.1584	45.4400	639	363	-422	99944	1.16 
