32+14+14+？
StartTime: 2017-07-31 15:03:29.279
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
206.973	2015-01-01 00:10:29.020	-0.0249	-0.0835	1.0034	9.8267	-14.8315	16.8457	-0.5273	-0.2362	62.7539	45.2900	617	428	-386	99947	1.15 
206.973	2015-01-01 00:10:29.040	-0.0483	-0.0796	0.9683	11.2915	-11.0474	14.4653	-0.3790	-0.4559	62.9956	45.5300	616	427	-386	99948	1.15 
207.020	2015-01-01 00:10:29.060	-0.0513	-0.0464	0.9580	12.0850	-8.6060	10.8643	-0.1758	-0.5933	63.1549	45.2900	615	427	-388	99948	1.15 
207.114	2015-01-01 00:10:29.080	-0.0327	-0.0459	0.9634	11.9019	-5.8594	8.4229	0.0220	-0.7031	63.2483	45.5300	612	424	-388	99948	1.15 
207.114	2015-01-01 00:10:29.100	-0.0376	-0.0464	1.0010	12.6343	-3.2349	7.3242	0.2307	-0.7471	63.3142	45.6800	612	423	-389	99948	1.15 
207.114	2015-01-01 00:10:29.120	-0.0425	-0.0640	1.0405	11.5967	-3.4180	3.9063	0.4340	-0.7745	63.3307	45.2400	612	422	-390	99947	1.15 
207.145	2015-01-01 00:10:29.140	-0.0493	-0.0630	1.0415	11.6577	-4.9438	-0.3662	0.6207	-0.8185	63.2758	45.3400	611	421	-390	99947	1.15 
207.161	2015-01-01 00:10:29.160	-0.0391	-0.0381	1.0488	11.8408	-5.7983	-3.5400	0.8185	-0.8789	63.1329	45.3400	610	421	-387	99947	1.15 
207.161	2015-01-01 00:10:29.180	-0.0210	-0.0098	1.0127	11.9629	-5.2490	-4.4556	1.0382	-0.9558	62.9517	45.5300	610	421	-385	99947	1.15 
207.192	2015-01-01 00:10:29.200	-0.0229	0.0107	1.0068	12.6953	-3.2349	-4.7607	1.2799	-0.9998	62.7649	45.4400	609	421	-383	99947	1.15 
207.192	2015-01-01 00:10:29.220	-0.0156	0.0386	0.9961	12.6343	-2.0752	-4.3335	1.5381	-1.0217	62.5726	45.4400	609	420	-388	99947	1.15 
207.192	2015-01-01 00:10:29.240	-0.0190	0.0547	0.9946	12.8174	-0.3662	-2.9907	1.8127	-1.0162	62.4023	45.6300	609	419	-391	99947	1.15 
207.224	2015-01-01 00:10:29.260	-0.0073	0.0635	0.9961	12.8784	2.0142	-0.9766	2.0874	-0.9833	62.2650	45.6800	609	419	-393	99947	1.15 
207.224	2015-01-01 00:10:29.280	0.0127	0.0654	0.9912	12.5122	1.8921	0.8545	2.3621	-0.9393	62.1661	45.5300	609	419	-395	99947	1.15 
207.302	2015-01-01 00:10:29.300	0.0132	0.0693	1.0117	11.9019	3.1128	1.4038	2.6202	-0.8844	62.1002	45.2900	608	418	-395	99947	1.15 
207.317	2015-01-01 00:10:29.320	0.0132	0.0581	1.0288	11.1694	3.8452	-0.5493	2.8619	-0.8185	62.0123	45.4400	608	417	-394	99947	1.15 
207.364	2015-01-01 00:10:29.340	0.0049	0.0581	1.0371	10.6812	3.9673	-2.8076	3.0817	-0.7361	61.8805	45.4800	607	414	-392	99947	1.15 
207.364	2015-01-01 00:10:29.360	0.0161	0.0684	1.0229	10.4980	4.4556	-2.3804	3.2959	-0.6592	61.7487	45.4400	607	412	-391	99947	1.15 
207.364	2015-01-01 00:10:29.380	0.0146	0.0493	1.0327	10.1318	4.5166	-3.4180	3.4991	-0.5713	61.6113	45.6800	606	411	-390	99947	1.15 
207.380	2015-01-01 00:10:29.400	0.0259	0.0479	1.0303	10.2539	2.9907	-4.6387	3.6969	-0.5109	61.4520	45.6300	607	411	-391	99947	1.15 
207.395	2015-01-01 00:10:29.420	0.0293	0.0620	1.0376	10.3149	4.1504	-5.8594	3.8892	-0.4449	61.2653	45.4400	608	412	-392	99947	1.15 
207.411	2015-01-01 00:10:29.440	0.0269	0.0791	1.0396	9.7046	4.5776	-4.5166	4.0869	-0.3625	61.0895	45.6300	608	414	-392	99947	1.15 
207.458	2015-01-01 00:10:29.460	0.0034	0.1050	1.0137	9.3994	4.0283	-1.9531	4.2902	-0.2747	60.9521	45.4400	608	414	-393	99947	1.15 
207.458	2015-01-01 00:10:29.480	0.0117	0.1025	0.9858	9.4604	7.9346	-0.0610	4.4989	-0.1648	60.8533	45.4400	610	415	-391	99947	1.15 
207.520	2015-01-01 00:10:29.500	0.0137	0.1104	1.0068	9.3994	7.0801	2.1362	4.7076	-0.0110	60.8038	45.4800	610	412	-391	99947	1.15 
207.567	2015-01-01 00:10:29.520	0.0420	0.1006	1.0039	8.7891	5.2490	4.4556	4.8999	0.0659	60.8093	45.4400	610	410	-391	99947	1.15 
207.567	2015-01-01 00:10:29.540	0.0454	0.0928	0.9888	8.1177	6.4087	3.7231	5.0702	0.1373	60.8258	45.4400	610	409	-391	99947	1.15 
207.567	2015-01-01 00:10:29.560	0.0259	0.0913	1.0078	8.6060	8.6670	5.3101	5.2405	0.2582	60.8588	45.2900	611	409	-392	99947	1.15 
207.567	2015-01-01 00:10:29.580	0.0186	0.0850	1.0234	8.0566	7.1411	5.2490	5.4053	0.3955	60.9137	45.4400	611	408	-392	99947	1.15 
207.583	2015-01-01 00:10:29.600	0.0488	0.0454	1.0073	7.4463	8.0566	2.8076	5.5426	0.4944	60.9302	45.5300	610	407	-391	99947	1.15 
207.599	2015-01-01 00:10:29.620	0.0479	0.0332	1.0181	6.8359	6.7139	-0.9155	5.6305	0.6152	60.8917	45.4400	608	407	-391	99947	1.15 
207.630	2015-01-01 00:10:29.640	0.0605	0.0498	1.0112	6.4697	7.0190	-4.5166	5.7184	0.7141	60.7819	45.3400	607	408	-389	99947	1.15 
207.708	2015-01-01 00:10:29.660	0.0845	0.0742	1.0171	6.3477	5.4321	-5.8594	5.8118	0.7855	60.6226	45.5300	609	407	-390	99946	1.15 
207.724	2015-01-01 00:10:29.680	0.0928	0.0967	1.0034	5.9814	6.8970	-6.7139	5.9216	0.8514	60.4468	45.5300	611	406	-392	99946	1.15 
207.724	2015-01-01 00:10:29.700	0.0894	0.0801	1.0210	5.6152	7.2021	-9.2163	6.0205	0.9393	60.2435	45.5300	612	405	-395	99946	1.15 
207.739	2015-01-01 00:10:29.720	0.0928	0.0625	1.0093	4.2725	6.8359	-13.4888	6.0809	1.0217	59.9799	45.5300	613	404	-396	99946	1.15 
207.755	2015-01-01 00:10:29.740	0.0786	0.0708	1.0098	2.6855	6.5308	-19.2871	6.1084	1.1206	59.6063	45.5300	616	405	-396	99946	1.15 
207.786	2015-01-01 00:10:29.760	0.0698	0.0820	1.0117	1.7090	7.0801	-23.3154	6.1249	1.2360	59.1449	45.5300	616	407	-394	99946	1.15 
207.786	2015-01-01 00:10:29.780	0.0776	0.1055	1.0049	1.5259	5.3711	-24.3530	6.1304	1.3458	58.6340	45.2900	616	409	-392	99946	1.15 
207.786	2015-01-01 00:10:29.800	0.0889	0.1382	0.9893	1.0986	3.7231	-22.0337	6.1633	1.3953	58.1396	45.4800	617	408	-391	99946	1.15 
207.802	2015-01-01 00:10:29.820	0.0781	0.1636	0.9839	-0.6104	2.5024	-19.6533	6.1853	1.4337	57.6892	45.2900	615	409	-390	99946	1.15 
207.833	2015-01-01 00:10:29.840	0.0820	0.2124	0.9883	-2.5635	0.1831	-14.9536	6.2018	1.4172	57.3102	45.4800	615	409	-390	99946	1.15 
207.927	2015-01-01 00:10:29.860	0.0767	0.2412	0.9751	-3.3569	-1.8311	-8.0566	6.2128	1.3458	57.0465	45.3400	615	411	-389	99946	1.15 
