StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
357.372	-0.1855	-0.0498	1.0273	-0.4883	0.3662	0.4883	-3.1036	10.5414	169.3433	45.1800	66	-158	-165	100570	0.63 
357.528	-0.1948	-0.0425	1.0215	-0.3662	0.6714	0.1221	-3.1146	10.5963	169.3378	45.1800	63	-157	-166	100570	0.63 
357.575	-0.2021	-0.0459	1.0151	-0.7935	0.7324	0.1831	-3.1311	10.6732	169.2773	45.1700	66	-160	-166	100570	0.63 
357.731	-0.1890	-0.0732	1.0225	-4.7607	3.4180	-1.5259	-3.4058	10.9094	169.0521	45.1900	68	-157	-165	100570	0.63 
357.794	-0.1929	-0.1333	1.0244	-2.0142	1.6479	2.5635	-3.9386	11.2830	168.9697	45.1600	67	-159	-165	100571	0.63 
357.918	-0.1572	-0.1567	1.0186	-0.7935	0.1221	0.9155	-4.2188	11.1401	169.0192	45.2000	69	-157	-166	100571	0.63 
358.012	-0.1929	-0.1553	0.9829	1.0376	-1.1597	-1.4648	-4.5483	11.0303	168.8489	45.2000	65	-158	-169	100571	0.63 
358.106	-0.1699	-0.1362	1.0591	3.7231	-2.4414	9.2773	-4.4824	11.1237	169.3048	45.1700	63	-158	-168	100570	0.63 
358.231	-0.1460	0.1177	1.0513	12.3291	5.5542	0.8545	-3.1860	11.3654	169.5520	45.1800	64	-163	-165	100571	0.63 
358.325	-0.1777	0.0518	1.0332	16.2964	5.3101	-10.3760	-1.4612	11.2775	168.6237	45.1800	68	-164	-161	100571	0.63 
358.419	-0.1050	0.0703	0.9863	8.1787	6.7749	-8.7280	-0.0989	11.8872	167.4371	45.1800	76	-167	-155	100571	0.63 
358.512	-0.0737	0.1006	0.8940	-1.3428	-7.3853	-22.9492	0.2252	11.5961	165.2069	45.1800	79	-170	-150	100571	0.63 
358.606	-0.0815	0.0708	0.7095	-19.6533	-4.5776	-23.4375	-1.1755	10.6458	162.0044	45.1900	80	-170	-152	100571	0.63 
358.778	-0.0474	0.0845	0.9634	-9.2163	-19.5313	-4.0283	-2.9224	9.0967	160.3949	45.1900	85	-160	-160	100571	0.63 
358.825	-0.6357	-0.3750	1.3477	5.9814	55.6030	-25.3906	-2.8400	9.3878	160.3125	45.2100	78	-156	-169	100571	0.63 
358.903	0.3086	0.0156	0.8076	2.8687	-56.2134	1.9531	-2.1423	8.7671	160.1257	45.1900	83	-159	-160	100572	0.63 
359.028	-0.2119	-0.2197	0.7363	-17.5171	14.6484	45.8984	-2.9718	10.5414	160.7849	45.1800	81	-157	-162	100572	0.63 
359.169	-0.1094	-0.1333	0.7866	13.5498	-3.5400	-3.4790	-3.8068	12.1729	162.1802	45.1800	78	-160	-160	100572	0.63 
359.247	-0.1172	-0.0898	0.8755	19.8364	-20.6299	15.8691	-2.4225	10.8105	162.7295	45.2000	70	-167	-159	100572	0.63 
359.325	-0.6255	0.1084	1.2896	-12.4512	16.7236	11.1084	-1.4008	9.3549	163.5040	45.1800	62	-172	-155	100572	0.63 
359.419	-0.4941	0.1768	1.7607	-9.5825	-17.8833	-20.9351	-1.4557	9.7284	162.6361	45.1700	60	-177	-152	100573	0.63 
359.544	-0.2036	-0.0942	0.7139	5.4932	12.5122	2.6245	-0.8405	9.3054	164.2126	45.1600	55	-175	-152	100573	0.63 
359.622	-0.3062	0.1929	0.9849	-21.6064	23.5596	17.9443	-0.0385	12.3486	165.7178	45.1500	59	-176	-149	100573	0.63 
359.762	0.0205	0.1641	0.5293	-8.5449	17.4561	-0.0610	-2.2522	12.0959	166.6626	45.1500	51	-174	-151	100573	0.63 
359.841	-0.0796	-0.0400	0.7480	7.8125	-0.6104	-19.9585	-2.6587	12.3376	169.4586	45.1400	44	-169	-157	100573	0.63 
359.934	-0.5532	-0.4692	2.0317	10.8643	20.0806	15.2588	-1.8237	12.4915	169.7058	45.1600	40	-172	-154	100574	0.63 
360.044	-0.2368	-0.0352	1.1890	-4.6387	13.1226	-13.0615	-1.7139	11.6840	170.7440	45.1400	34	-171	-150	100574	0.63 
360.153	-0.2651	-0.2690	0.6802	-4.9438	13.7939	4.0283	-3.1641	13.1836	171.9086	45.1300	35	-171	-152	100575	0.63 
360.278	-0.0752	0.0166	0.5728	23.4985	-40.1001	-0.7324	-2.2028	12.6233	171.2549	45.1300	41	-173	-146	100575	0.63 
