StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
35.844	-0.1465	-0.0503	1.0210	0.0000	-0.3052	1.0376	-3.5431	8.4430	83.2983	44.5000	198	31	-86	100578	0.62 
35.971	-0.1484	-0.0537	1.0278	-0.1831	0.0000	-0.4883	-3.5596	8.5199	83.2819	44.4700	198	28	-84	100578	0.62 
36.111	-0.1680	-0.0737	1.0327	-0.4883	0.6104	-0.4272	-3.5651	8.5693	83.2654	44.4900	197	28	-83	100578	0.62 
36.143	-0.1719	-0.0527	1.0225	-0.1831	-1.1597	-0.7324	-3.6035	8.5693	82.9852	44.5000	198	34	-86	100578	0.62 
36.268	-0.1792	-0.0508	1.0366	-0.0610	-3.1738	-1.4648	-3.5980	8.4100	82.8094	44.5000	197	30	-83	100578	0.62 
36.377	-0.1670	-0.0566	1.0249	0.0610	-5.9204	0.2441	-3.5815	8.0090	82.7875	44.5000	197	31	-87	100578	0.62 
36.455	-0.1660	-0.0552	1.0327	0.1221	-8.9111	0.3052	-3.5376	7.3993	82.7106	44.5200	195	33	-89	100578	0.62 
36.580	-0.1636	-0.0537	1.0298	0.4272	-11.1694	-1.3428	-3.4772	6.5149	82.6611	44.5200	192	31	-91	100578	0.62 
36.659	-0.1470	-0.0557	1.0381	1.0986	-14.2822	-2.5635	-3.3948	5.3778	82.5018	44.5200	190	30	-94	100578	0.62 
36.783	-0.1426	-0.0513	1.0313	1.4648	-17.3950	-3.4180	-3.2574	3.9496	82.2052	44.5200	188	32	-99	100578	0.62 
36.908	-0.1357	-0.0532	1.0259	1.4038	-21.6675	-0.4272	-3.0927	2.2632	82.0184	44.5300	179	35	-106	100578	0.62 
36.971	-0.1235	-0.0552	1.0200	2.2583	-28.6865	-1.1597	-2.9443	0.1538	81.9745	44.5200	178	35	-112	100578	0.62 
37.080	-0.1187	-0.0571	1.0044	3.2349	-35.6445	0.4272	-2.6807	-2.5378	81.9635	44.5300	171	36	-122	100578	0.62 
37.174	-0.1064	-0.0483	0.9644	4.5776	-46.9971	0.8545	-2.3236	-6.0590	82.0789	44.5300	159	34	-129	100578	0.62 
37.268	-0.1343	-0.0581	0.8765	6.3477	-60.4248	-1.7700	-1.8896	-10.5249	82.1613	44.5200	144	33	-143	100578	0.62 
37.378	-0.0708	-0.0542	0.7568	10.3149	-80.7495	-20.1416	-1.2579	-16.6003	81.7438	44.5200	119	30	-160	100578	0.62 
37.487	-0.0479	0.0298	0.3936	11.4136	-95.8862	7.1411	0.7526	-24.8511	79.7333	44.5300	85	28	-178	100578	0.62 
37.596	0.0972	-0.2046	-0.5693	20.3247	-104.7974	-15.0757	-1.4337	-36.8811	81.8811	44.5200	55	23	-189	100578	0.62 
37.675	4.1367	0.2036	0.9204	6.1646	-232.7271	102.6001	0.1483	-48.8068	83.9630	44.4900	13	11	-198	100577	0.62 
37.799	1.8306	-0.4297	-0.3081	-10.0098	-168.3350	28.1982	-15.2985	-69.4556	100.9863	44.5000	-49	11	-192	100579	0.62 
37.909	0.4922	0.0889	-0.0146	-16.4795	-56.4575	52.4292	-36.2988	-74.5972	121.3660	44.4700	-87	18	-175	100580	0.62 
38.019	0.6260	-0.1987	-0.0161	-15.5029	-2.1362	44.1895	-56.9971	-74.5807	141.2512	44.4700	-103	30	-165	100581	0.62 
38.190	1.1631	-0.5078	-0.2007	15.1367	39.3066	-8.6670	-62.5891	-73.3502	147.1399	44.4500	-104	37	-165	100581	0.62 
38.221	1.2446	-0.3062	0.2983	11.1084	45.9595	-9.9487	-45.5988	-70.8289	131.0669	44.4700	-91	33	-173	100582	0.62 
38.346	1.0229	0.0103	-0.0322	-3.7842	39.4287	-30.5176	-30.2124	-69.9829	114.9060	44.4400	-78	29	-180	100583	0.62 
38.455	1.2178	-0.5830	0.4443	8.8501	-7.5684	-72.5098	-19.2975	-67.4451	104.1779	44.4500	-59	29	-185	100583	0.62 
38.596	0.5962	-0.0215	0.9551	10.9253	17.8223	29.2358	-15.3534	-65.0555	100.0745	44.4300	-54	21	-191	100583	0.62 
38.659	0.7764	-0.0371	0.5313	-3.6621	-21.3623	0.3052	-15.8148	-64.2480	101.0468	44.4500	-50	18	-188	100584	0.62 
38.846	1.1484	-0.1724	0.2412	0.7935	-31.0669	6.9580	-20.0885	-67.3407	105.2985	44.4500	-59	20	-185	100584	0.62 
38.924	0.9727	-0.1885	0.2075	-3.9063	5.5542	4.8828	-23.3954	-68.5162	108.7921	44.4400	-61	21	-185	100584	0.62 
38.987	0.9590	-0.1572	0.3784	-2.4414	27.4048	1.4648	-22.4231	-66.7914	107.4298	44.4600	-61	25	-184	100585	0.62 
39.112	0.8828	-0.1299	0.5093	3.1128	8.0566	-0.3052	-20.7147	-64.7699	105.7599	44.4500	-55	22	-185	100585	0.62 
39.206	0.8867	-0.0708	0.4146	0.4883	-5.7983	-1.7090	-19.4293	-64.7205	104.6448	44.4300	-50	25	-185	100585	0.62 
39.300	0.9600	-0.1328	0.3691	-2.3193	-2.9297	1.4648	-19.9677	-65.2478	104.9908	44.4400	-52	24	-187	100585	0.62 
39.409	0.9185	-0.1567	0.4131	-0.9766	0.0000	-0.9766	-20.3687	-65.3522	105.2985	44.4500	-54	24	-186	100585	0.62 
39.549	0.9331	-0.1260	0.3940	0.1831	-0.1831	0.5493	-20.3632	-65.3632	105.3259	44.4500	-54	22	-189	100584	0.62 
39.628	0.9258	-0.1284	0.3872	-0.1221	1.2207	1.7700	-20.4016	-65.3467	105.4028	44.4500	-54	23	-186	100584	0.62 
39.722	0.9204	-0.1328	0.4004	-0.3662	1.2817	0.6104	-20.3137	-65.1874	105.3973	44.4600	-52	19	-186	100584	0.62 
39.847	0.9253	-0.1309	0.4043	-0.4883	1.0986	0.0000	-20.1160	-65.0391	105.2710	44.4600	-53	20	-189	100584	0.62 
39.941	0.9409	-0.1245	0.3940	-0.1221	0.6714	-0.4272	-20.0885	-65.0391	105.2710	44.4700	-52	22	-189	100585	0.62 
40.066	0.9204	-0.1362	0.3960	-0.4883	-0.6104	1.5869	-20.0555	-65.0336	105.2820	44.4600	-51	20	-188	100584	0.62 
40.175	0.9263	-0.1270	0.4028	-0.7324	0.2441	1.6479	-20.1489	-65.0336	105.4358	44.4600	-53	23	-186	100584	0.62 
40.300	0.9131	-0.1196	0.4087	-0.3662	-0.3662	0.4883	-20.1709	-65.0226	105.4688	44.4500	-53	21	-187	100584	0.62 
40.363	0.9233	-0.1255	0.3989	-0.3662	0.1221	0.2441	-20.1434	-65.0610	105.4633	44.4800	-51	23	-187	100584	0.62 
40.488	0.9297	-0.1318	0.4028	-0.7324	0.3052	1.4038	-20.1434	-65.0336	105.4633	44.4700	-53	22	-186	100583	0.62 
40.598	0.9282	-0.1230	0.4092	-0.4272	-1.7700	-0.1831	-20.0610	-65.0391	105.4083	44.4700	-53	23	-188	100583	0.62 
40.707	0.9248	-0.1270	0.3999	-0.3662	0.1831	0.3052	-20.0226	-65.0830	105.3589	44.4800	-50	23	-188	100583	0.62 
40.847	0.9209	-0.1255	0.4043	-0.4272	0.3662	1.4648	-20.0610	-65.0336	105.4083	44.4800	-52	22	-189	100583	0.62 
40.925	0.9243	-0.1279	0.3965	-0.5493	-0.1221	1.4648	-20.1270	-65.0336	105.4962	44.4800	-53	23	-188	100582	0.62 
41.097	0.9194	-0.1279	0.4058	-0.1831	0.1831	0.6104	-20.0995	-64.9951	105.5127	44.4900	-50	19	-186	100582	0.62 
41.144	0.9209	-0.1255	0.4077	-0.4272	-0.3052	0.7935	-20.1379	-65.0006	105.5676	44.4700	-52	21	-185	100582	0.62 
41.269	0.9307	-0.1216	0.4023	-0.2441	0.6104	1.4648	-20.2258	-65.0281	105.6665	44.4800	-51	23	-187	100582	0.62 
41.332	0.9316	-0.1279	0.4097	-0.3052	-1.6479	-0.6104	-20.2148	-65.0281	105.6116	44.4800	-49	25	-187	100582	0.62 
41.472	0.9307	-0.1289	0.4038	-0.1221	0.9766	0.0000	-20.1544	-65.0226	105.4852	44.4900	-49	25	-187	100582	0.62 
41.566	0.9131	-0.1245	0.4077	-0.3052	-0.0610	0.7935	-20.1379	-64.9841	105.4578	44.4900	-54	23	-186	100582	0.62 
41.675	0.9185	-0.1294	0.3926	-0.5493	-0.3662	0.7324	-20.1434	-65.0391	105.4303	44.5000	-51	25	-188	100582	0.62 
41.785	0.9141	-0.1299	0.4106	-0.3662	0.1831	0.6714	-20.1434	-65.0006	105.4413	44.5100	-49	23	-186	100582	0.62 
41.879	0.9224	-0.1221	0.4067	-0.4883	0.2441	0.6714	-20.1270	-64.9786	105.4303	44.5000	-51	25	-188	100582	0.62 
41.988	0.9141	-0.1289	0.3965	-0.3662	0.3052	0.7324	-20.1324	-64.9622	105.3754	44.5100	-48	28	-188	100582	0.62 
42.097	0.9219	-0.1299	0.4150	-0.0610	0.4272	-0.4883	-19.9951	-64.8907	105.1886	44.5000	-53	22	-189	100582	0.62 
42.191	0.9253	-0.1255	0.3970	-0.5493	-0.3052	0.4272	-19.8853	-64.9622	105.1007	44.4900	-51	22	-189	100582	0.62 
42.316	0.9199	-0.1265	0.4058	-0.6104	0.6714	1.3428	-19.8853	-64.9292	105.1117	44.5100	-50	22	-187	100582	0.62 
42.395	0.9204	-0.1201	0.4072	-0.4883	-0.0610	0.9766	-19.8962	-64.8798	105.1392	44.5200	-48	23	-192	100582	0.62 
42.519	0.9199	-0.1206	0.4087	-0.6104	0.8545	0.7324	-19.8523	-64.8358	105.1172	44.5100	-53	23	-187	100582	0.62 
42.629	0.9072	-0.1289	0.4063	-0.6104	-1.9531	0.5493	-19.8743	-64.8633	105.1501	44.5000	-50	21	-190	100582	0.62 
42.723	0.9268	-0.1216	0.4077	-0.4883	-1.7090	0.0610	-20.0720	-64.9786	105.3754	44.5200	-50	21	-188	100583	0.62 
42.832	0.9175	-0.1284	0.4185	-0.3662	-1.8921	-0.2441	-20.2588	-65.1709	105.5676	44.5300	-53	25	-189	100583	0.62 
42.957	0.9253	-0.1279	0.3882	-0.3662	-1.6479	0.0000	-20.3247	-65.4181	105.6116	44.5200	-54	23	-187	100583	0.62 
43.051	0.9214	-0.1221	0.3960	-0.3662	-0.1831	0.9766	-20.3851	-65.4950	105.6720	44.5300	-53	23	-185	100582	0.62 
43.176	0.9224	-0.1260	0.3892	-0.6104	-1.0376	1.3428	-20.5115	-65.5334	105.8203	44.5200	-55	24	-187	100583	0.62 
43.332	0.9204	-0.1255	0.3950	-0.3662	0.3052	0.6714	-20.5280	-65.5444	105.8533	44.5400	-52	21	-192	100583	0.62 
43.394	0.9263	-0.1250	0.3984	-0.5493	0.0000	1.3428	-20.5939	-65.5005	105.9576	44.5300	-53	20	-189	100583	0.62 
43.504	0.9121	-0.1274	0.4038	-0.3052	0.0000	0.3662	-20.6598	-65.5280	106.0950	44.5200	-58	22	-186	100583	0.62 
43.582	0.9336	-0.1274	0.3911	-0.3662	0.3052	0.3052	-20.5939	-65.5884	106.0565	44.5300	-55	23	-186	100583	0.62 
43.738	0.9292	-0.1250	0.3916	-0.3052	0.7935	0.6104	-20.5774	-65.5609	106.0455	44.5400	-54	22	-188	100583	0.62 
43.832	0.9229	-0.1274	0.3926	-0.3662	-0.7324	1.0376	-20.6543	-65.5444	106.1115	44.5200	-53	23	-188	100582	0.62 
43.926	0.9258	-0.1270	0.3945	-0.2441	0.1221	0.6104	-20.6323	-65.5609	106.0730	44.5400	-57	24	-187	100582	0.62 
44.019	0.9287	-0.1240	0.3984	-0.4272	0.1831	1.1597	-20.7202	-65.5389	106.1554	44.5500	-53	24	-187	100582	0.62 
44.129	0.9302	-0.1318	0.3774	-0.2441	-0.7935	0.4272	-20.8740	-65.5774	106.2927	44.5300	-53	24	-187	100582	0.62 
44.238	0.9146	-0.1333	0.3916	-0.3662	-1.2207	0.6104	-20.7202	-65.6268	106.1499	44.5400	-54	20	-186	100582	0.62 
44.348	0.9287	-0.1270	0.3921	-0.3662	0.1221	1.1597	-20.7312	-65.6598	106.1609	44.5300	-54	24	-185	100582	0.62 
44.442	0.9292	-0.1187	0.3989	-0.3052	0.0000	0.4883	-20.7971	-65.6158	106.1719	44.5400	-56	24	-187	100582	0.62 
44.566	0.9209	-0.1270	0.3916	-0.3662	-0.1221	0.7935	-20.8466	-65.6433	106.2048	44.5800	-54	24	-186	100582	0.62 
44.676	0.9248	-0.1304	0.3955	-0.3662	-0.1831	0.7324	-20.8685	-65.6268	106.2158	44.5500	-55	23	-190	100582	0.62 
44.785	0.9243	-0.1279	0.3916	-0.4883	-0.3052	0.9155	-20.9509	-65.6378	106.2762	44.5600	-54	23	-189	100583	0.62 
44.957	0.9248	-0.1294	0.3911	-0.4272	-0.2441	0.9155	-21.0333	-65.6433	106.3861	44.5500	-56	23	-187	100583	0.62 
45.020	0.9282	-0.1274	0.3892	-0.3662	-0.3052	0.7935	-21.0938	-65.6488	106.4795	44.5600	-55	21	-186	100582	0.62 
45.129	0.9312	-0.1299	0.4048	-0.3662	-0.8545	0.0610	-21.0498	-65.6598	106.4410	44.5500	-55	23	-188	100582	0.62 
45.191	0.9370	-0.1240	0.3882	-0.3052	0.6104	-0.0610	-20.9399	-65.7037	106.3147	44.5700	-56	23	-188	100581	0.62 
45.301	0.9287	-0.1265	0.3940	-0.3052	0.9155	0.7324	-20.9070	-65.6543	106.3092	44.5700	-54	22	-185	100582	0.62 
45.441	0.9214	-0.1279	0.3877	-0.6104	-0.7935	1.3428	-20.9729	-65.6378	106.3641	44.5700	-55	24	-189	100582	0.62 
45.535	0.9268	-0.1279	0.3926	-0.3052	0.4883	0.7324	-20.9509	-65.6433	106.3147	44.5700	-56	22	-187	100583	0.62 
45.645	0.9639	-0.1226	0.3896	-0.2441	1.7700	2.0752	-21.0059	-65.5719	106.3806	44.5600	-54	25	-190	100583	0.62
