StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
400.212	-0.2446	-0.0542	1.0059	0.1221	1.8311	-1.2207	-3.6475	13.7384	89.5770	44.7500	219	9	-73	100568	0.63 
400.290	-0.2515	-0.0654	1.0068	-0.6714	1.7700	0.6104	-3.6584	13.8702	89.5441	44.7600	218	8	-67	100568	0.63 
400.446	-0.2471	-0.0576	1.0044	-0.1831	1.7090	-0.8545	-3.7024	14.0021	89.4672	44.7400	219	9	-68	100568	0.63 
400.508	-0.2510	-0.0645	0.9990	-0.8545	1.7700	0.6104	-3.7408	14.1229	89.3518	44.7500	218	11	-70	100568	0.63 
400.602	-0.2676	-0.0820	1.0000	-1.2207	-0.6714	-0.4272	-3.8397	14.2383	89.3243	44.7500	215	9	-71	100568	0.63 
400.712	-0.2524	-0.0859	0.9780	0.7935	2.0142	-9.7046	-4.1199	14.1449	88.7256	44.7700	218	10	-69	100568	0.63 
400.868	-0.2402	-0.0732	0.9766	4.8218	8.8501	-10.3149	-4.1913	14.6118	87.6105	44.7500	217	13	-70	100568	0.63 
400.915	-0.2510	-0.0181	0.6963	-1.4038	15.5029	5.6152	-3.7079	15.9631	87.2040	44.7600	220	9	-65	100568	0.63 
401.024	-0.2437	-0.1987	0.5718	18.7378	49.9878	-28.1982	-4.2297	19.8798	86.8799	44.7700	225	11	-57	100568	0.63 
401.102	-0.3145	-0.0791	0.5273	21.7896	27.4048	3.6011	-2.5928	24.6698	85.6110	44.7600	233	15	-43	100568	0.63 
401.243	-0.2217	-0.1250	0.5259	23.3154	-12.6953	-2.5635	0.0714	25.5927	86.6986	44.7500	235	9	-31	100568	0.63 
401.321	-0.7349	-0.0449	1.2104	24.6582	-4.6387	5.4321	2.3456	28.2404	86.2042	44.7400	238	7	-24	100568	0.63 
401.415	-1.0386	0.0190	1.8081	10.8643	3.4180	3.6011	3.4662	29.9432	85.6384	44.7500	240	11	-18	100569	0.63 
401.525	-0.8311	0.1143	1.6602	-10.6812	-21.1182	8.3008	3.6475	29.4543	85.8252	44.7300	241	14	-10	100570	0.63 
401.649	-0.7095	0.0137	1.6938	-26.7944	-21.3013	16.2964	2.0599	27.9053	86.5942	44.7100	239	10	-14	100571	0.63 
401.759	-0.5439	0.2578	1.4341	-15.3198	-41.9312	54.9316	1.1151	24.6368	87.9565	44.6900	234	7	-26	100571	0.63 
401.852	0.1021	-0.2397	-0.7612	16.1743	-65.2466	-27.9541	-1.0547	16.4465	89.7198	44.6300	227	4	-48	100571	0.63 
401.946	-0.0825	0.0054	-0.0225	0.6104	-49.0723	-28.6865	-2.0874	12.9913	87.3853	44.6000	219	10	-71	100570	0.63 
402.040	-0.0693	-0.0386	-0.0537	-0.1221	-30.7007	-6.2866	1.6589	7.0093	86.8524	44.6100	212	17	-94	100570	0.63 
402.150	-0.3320	0.0068	-0.1328	-16.8457	-6.5918	18.7378	3.1036	5.5096	85.9845	44.5900	204	21	-96	100569	0.63 
402.259	-2.1636	-0.3037	5.6411	-4.0283	152.7710	-103.2104	1.4612	17.7264	84.0784	44.5800	214	24	-83	100568	0.63 
402.337	-1.1914	0.0874	1.6392	-6.4697	80.9937	-4.6997	3.8892	11.3379	82.2491	44.5800	213	30	-82	100569	0.63 
402.462	0.0283	0.0264	0.3140	-28.8086	74.0967	15.7471	4.6912	7.6355	84.7375	44.5500	212	27	-85	100569	0.63 
402.571	0.0527	0.0366	0.8330	-14.7705	-16.8457	2.0752	2.6257	10.3326	85.9296	44.5600	217	25	-76	100568	0.63 
402.665	-0.1416	-0.0737	1.0000	-10.1318	-5.1270	6.1035	1.2085	9.7394	86.5723	44.5500	219	21	-74	100568	0.63 
402.759	-0.1333	-0.0605	0.9478	-5.1880	4.1504	2.8687	0.3680	9.3604	86.6492	44.5700	216	24	-80	100568	0.63 
402.853	-0.1992	0.0010	0.9814	3.7842	-1.9531	-12.2070	0.0330	9.5032	85.8801	44.5700	220	25	-77	100568	0.63 
402.978	-0.2402	-0.2197	1.0112	0.4883	-4.7607	-2.1973	-0.1703	9.5966	84.7540	44.5800	217	28	-76	100568	0.63 
403.071	-0.1807	-0.0898	0.9800	-3.9673	-2.0142	0.6104	-0.6042	9.4757	83.9355	44.6100	216	32	-75	100568	0.63 
403.150	-0.2432	-0.0811	0.9727	-0.8545	-0.7324	3.1738	-0.9283	9.7668	83.8916	44.5900	217	32	-77	100567	0.63 
403.274	-0.2061	-0.0127	0.9985	-4.2725	-2.0752	11.2915	-1.0327	9.8328	84.5068	44.5900	217	28	-77	100568	0.63 
403.369	-0.2275	-0.1050	1.0015	-1.5869	-1.0986	12.6953	-1.3403	9.9261	85.8417	44.5900	213	27	-78	100568	0.63 
403.493	-0.2432	-0.0869	1.0068	2.2583	2.6245	4.1504	-1.3898	10.2448	86.4679	44.5900	216	27	-80	100568	0.63 
403.572	-0.2163	-0.0327	1.0010	-2.0752	-1.2817	4.4556	-1.5326	10.6293	86.6547	44.6100	218	23	-76	100568	0.63 
403.681	-0.2456	-0.0713	1.0034	-1.4038	2.0142	1.1597	-1.8347	11.0083	86.9238	44.6100	217	24	-75	100568	0.63 
403.790	-0.2427	-0.0503	1.0054	0.4272	2.0142	-0.2441	-1.9666	11.3818	86.7316	44.6200	219	23	-74	100568	0.63 
403.899	-0.2451	-0.0684	0.9883	0.8545	2.6855	-0.5493	-2.0050	11.7499	86.5338	44.6100	218	23	-74	100568	0.63 
403.962	-0.2627	-0.0635	0.9756	1.0376	5.9814	-1.2207	-1.9501	12.3047	86.2537	44.6200	218	19	-71	100568	0.63 
404.087	-0.2827	-0.0381	0.9712	0.0610	6.5918	5.3101	-1.9446	13.2001	86.2921	44.6100	219	21	-72	100568	0.63 
404.181	-0.3203	-0.0742	0.9946	-0.1831	22.2778	4.3945	-1.9061	14.8370	86.8634	44.6200	223	23	-68	100569	0.63 
404.290	-0.3208	-0.0801	0.9233	4.2725	30.8838	-4.8218	-1.9226	17.4683	86.6272	44.6200	225	21	-60	100569	0.63 
404.415	-0.2524	0.0723	0.6343	13.1226	43.2129	0.0610	-1.3184	21.4288	86.0175	44.6400	231	20	-47	100569	0.63 
404.509	-0.2104	-0.0845	0.3467	2.2583	50.4150	6.2866	-0.4175	26.3727	87.6709	44.6400	236	16	-32	100569	0.63 
404.603	-0.2021	0.1133	0.3306	16.7847	28.9307	13.6719	-0.2802	31.1682	86.0175	44.6400	242	15	-16	100569	0.63 
404.712	-0.1860	-0.0776	0.5366	19.1040	29.2358	38.1470	4.0814	32.4371	88.4454	44.6300	247	15	-5	100570	0.63 
404.790	-1.0615	0.0620	1.4961	21.3623	0.5493	-14.0381	5.0262	34.0741	87.5226	44.6300	246	12	7	100571	0.63 
404.915	-1.6387	0.2778	2.1772	16.2964	-8.0566	-17.0898	6.3666	34.0521	86.0010	44.6100	245	15	8	100571	0.63 
405.009	-0.8838	0.1230	1.6426	-23.1934	-26.7944	-17.8223	4.0649	32.4921	83.4521	44.5800	241	24	5	100573	0.63 
405.134	-0.5923	-0.0688	1.4932	-25.2075	-37.6587	7.8125	1.0986	27.4933	83.0841	44.5700	241	27	-12	100573	0.63 
405.243	0.0718	0.1123	0.0688	-7.9956	-89.8438	-23.5596	0.4504	19.4678	84.4409	44.5400	236	24	-31	100574	0.63 
405.353	-0.4067	0.1611	-0.2847	4.6997	-7.5073	-9.2773	0.0165	12.4805	81.3977	44.5000	226	33	-64	100573	0.63 
405.446	0.1108	0.0347	0.0444	-2.6245	-17.3950	18.9209	1.4832	10.9259	84.1882	44.4600	221	30	-75	100572	0.63 
