StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
510.909	-0.1758	-0.0566	1.0132	0.1221	7.2021	-2.7466	-4.0759	9.1351	-7.8552	44.4600	-8	146	-118	100584	0.62 
510.987	-0.2051	-0.0679	1.0127	-0.3662	9.0332	-0.9766	-4.0979	9.9866	-8.2782	44.4700	-3	146	-117	100584	0.62 
511.096	-0.2695	-0.0840	0.9819	2.3193	18.3716	-4.3945	-4.1144	11.4917	-8.9319	44.4800	-3	144	-115	100584	0.62 
511.190	-0.3101	-0.0503	0.9063	3.9673	30.5786	-1.9531	-3.9331	14.1010	-9.8492	44.4800	0	145	-114	100584	0.62 
511.269	-0.3408	-0.0337	0.7886	2.2583	46.9360	12.8174	-3.3453	18.5010	-9.9811	44.4900	3	147	-120	100584	0.62 
511.393	-0.4224	-0.0396	0.7124	1.5869	62.8052	8.0566	-2.9828	24.7192	-10.0305	44.4900	19	143	-118	100584	0.62 
511.503	-0.3149	-0.0376	0.5645	5.4932	72.4487	7.5684	-2.7081	31.9098	-10.3436	44.4800	31	144	-119	100584	0.62 
511.597	-0.6128	0.0327	0.8730	11.2915	43.8232	20.9351	-1.0272	38.4521	-10.3436	44.4800	48	137	-116	100584	0.62 
511.721	-0.4478	0.0620	0.7334	10.0708	-14.2822	34.1187	1.3129	39.2651	-8.5803	44.4800	58	132	-117	100585	0.62 
511.785	-0.4478	0.0190	0.5601	14.0381	-34.4849	25.3906	4.5428	36.5515	-5.3448	44.4700	63	129	-121	100585	0.62 
511.925	-1.1382	0.0386	1.5947	15.5029	-84.1064	1.5869	6.7511	32.0691	-3.9990	44.4800	65	124	-123	100586	0.62 
512.034	-0.6865	0.2148	1.9233	-15.0146	-56.4575	1.7090	6.8555	25.5817	-4.1034	44.4800	51	117	-131	100587	0.62 
512.128	0.0835	0.0728	1.0322	-19.8364	-67.0166	-11.9019	4.7845	18.3801	-3.9935	44.4600	36	121	-136	100587	0.62 
512.237	-0.2954	0.0444	0.7539	-18.0054	-62.1948	-16.4185	2.3785	10.7281	-5.4987	44.4400	17	124	-130	100588	0.62 
512.284	-0.2114	-0.0132	0.8726	-15.5640	-20.1416	-3.1128	0.5988	6.7401	-6.8500	44.4500	2	131	-127	100588	0.61 
512.410	-0.1196	-0.0024	1.2036	-10.0098	-13.9771	2.6245	-0.6042	5.8502	-6.8719	44.4500	-5	135	-121	100589	0.61 
512.518	0.0015	-0.0972	1.1260	-7.7515	-12.2681	6.5308	-1.5491	4.1418	-6.1688	44.4400	-7	137	-117	100589	0.61 
512.597	-0.0356	-0.0796	1.0273	1.5259	-13.3667	4.2114	-1.8951	2.8674	-5.2899	44.4100	-8	136	-115	100590	0.61 
512.722	-0.0488	-0.0117	0.9697	3.0518	13.3057	-0.1831	-1.6534	2.5763	-5.2130	44.4200	-10	135	-115	100590	0.61 
512.815	-0.0483	-0.0454	1.0181	6.6528	30.8838	5.7983	-1.1151	4.8175	-4.9988	44.4200	-5	135	-115	100590	0.61 
512.894	-0.0415	-0.0078	1.0181	13.7939	49.2554	19.3481	0.1813	8.5034	-3.6310	44.4000	3	133	-122	100590	0.61 
513.018	-0.1279	0.0313	0.9907	25.7568	84.7168	24.5361	2.4335	14.7162	-0.9613	44.4000	19	128	-127	100590	0.61 
513.175	-0.3555	0.0781	1.1050	31.9824	122.8638	4.0894	6.4380	24.6478	1.5710	44.3900	43	119	-130	100590	0.61 
513.190	-1.1479	0.2969	1.2690	8.1177	63.4766	-18.6157	8.9044	36.2439	1.9391	44.3800	70	111	-122	100590	0.61 
513.331	-0.9468	0.1597	0.9272	-7.5073	-6.3477	-34.1187	7.5861	39.7046	-1.0382	44.3800	85	116	-117	100590	0.61 
513.394	-0.6079	0.1143	0.8789	-8.1787	-60.8521	-20.4468	4.4165	36.7712	-4.7791	44.3600	75	122	-120	100590	0.61 
513.534	-0.3638	0.0420	0.7148	-11.3525	-58.1665	-14.4043	2.0929	30.5035	-6.7511	44.3400	56	128	-127	100590	0.61 
513.613	-0.1904	0.0332	0.5015	-5.6763	-76.2939	-25.2075	0.6812	23.7689	-8.4045	44.3200	35	134	-132	100589	0.61 
513.737	-0.3311	0.0186	0.6108	-4.5166	-72.9370	-10.0098	-0.5054	16.8475	-10.8215	44.3300	16	134	-134	100589	0.61 
513.831	-0.3530	0.1074	0.8750	-6.5918	-28.5034	0.7324	-1.1975	11.8817	-11.8433	44.2900	0	135	-133	100589	0.61 
513.925	-0.0220	0.0283	0.9922	5.9814	-31.6162	8.4229	-1.1920	7.9761	-10.5414	44.3200	-11	141	-133	100588	0.62 
514.034	-0.3120	0.0215	0.9287	-7.3242	-6.2256	15.3809	-1.0931	7.1741	-8.9923	44.3200	-12	141	-128	100587	0.62 
514.128	-0.2056	-0.1177	1.0278	-2.8687	0.0610	-8.1177	-1.8951	7.0862	-8.9209	44.3200	-12	142	-126	100587	0.62 
514.222	-0.1631	0.0122	1.0352	3.7231	3.5400	-12.3901	-1.9611	7.2180	-10.8215	44.3200	-14	144	-124	100586	0.62 
514.316	-0.2197	-0.0283	1.0278	-5.2490	4.8218	13.9771	-1.9501	7.9541	-10.7721	44.3200	-20	142	-126	100585	0.62 
514.425	-0.1602	-0.0981	1.0181	-4.0283	-1.0986	13.3667	-2.3621	8.3331	-9.3823	44.3300	-11	143	-123	100585	0.62 
514.504	-0.1431	-0.0449	1.0239	2.5024	3.8452	1.5259	-2.5104	8.5693	-8.8824	44.3300	-8	140	-120	100585	0.62 
514.629	-0.1772	-0.0244	1.0522	-1.5869	2.8076	5.9204	-2.2247	9.0637	-8.4430	44.3400	-7	143	-120	100584	0.62 
514.784	-0.1660	-0.0391	1.0225	-4.8218	-1.2817	9.4604	-2.3950	9.0747	-7.7344	44.3500	-1	147	-119	100584	0.62 
514.831	-0.1743	-0.0669	1.0405	0.8545	0.0000	0.3052	-2.5159	8.9044	-7.1136	44.3500	-3	144	-122	100584	0.62 
514.941	-0.1445	-0.0381	1.0176	1.4038	-1.0376	-3.7231	-2.4005	8.7231	-7.4158	44.3800	1	144	-119	100584	0.62 
515.004	-0.1650	-0.0400	1.0293	-0.4272	1.0376	-8.1787	-2.4664	8.6902	-8.1079	44.3600	-3	145	-124	100584	0.62 
515.128	-0.1538	-0.0552	1.0215	-1.5259	2.3804	-9.5215	-2.7356	8.8934	-9.1022	44.3900	-10	142	-122	100584	0.62 
515.223	-0.1768	-0.0430	1.0166	-1.4648	0.4272	-5.6763	-3.0762	9.1461	-10.0635	44.3700	-7	145	-120	100584	0.62 
515.331	-0.1694	-0.0352	1.0381	-1.0376	1.9531	-6.8970	-3.2520	9.2999	-10.7886	44.3800	-8	144	-123	100584	0.62 
515.426	-0.1807	-0.0845	1.0215	-4.5776	2.3193	-9.5825	-3.6749	9.4482	-11.5192	44.3800	-5	144	-119	100585	0.62 
515.534	-0.1831	-0.1001	1.0078	-2.9297	2.6855	-19.7754	-4.4824	9.6295	-13.1396	44.3800	-12	142	-120	100585	0.62 
515.623	-0.1958	-0.0698	1.0088	-0.4272	4.8828	-23.4985	-5.0647	9.8492	-15.6061	44.3900	-19	142	-120	100585	0.62 
515.723	-0.2251	-0.0200	1.0156	-0.1221	7.0190	-4.4556	-5.1746	10.5414	-17.2705	44.3900	-20	143	-122	100585	0.62 
515.833	-0.2646	-0.0859	0.9858	1.8311	13.4277	7.8735	-4.8944	11.6730	-17.1112	44.3900	-22	138	-123	100585	0.62 
515.926	-0.3232	-0.1113	0.9707	5.5542	22.6440	10.3149	-4.3945	13.7604	-16.5839	44.3900	-17	139	-121	100585	0.62 
516.021	-0.3481	-0.1035	0.8296	3.4180	40.9546	10.7422	-3.7573	17.1057	-16.0840	44.4200	-10	142	-123	100585	0.62 
516.145	-0.3535	-0.0674	0.6826	1.5259	63.2935	7.9346	-3.4003	22.8186	-15.8203	44.4100	0	139	-125	100584	0.62 
516.239	-0.4233	-0.1094	0.7041	8.4229	56.3965	-8.1787	-2.6697	28.9380	-15.1227	44.4200	19	139	-125	100584	0.62 
516.333	-0.4141	0.0156	0.6265	18.2495	39.0015	-0.3052	-0.9888	32.9974	-14.8041	44.4100	30	138	-125	100584	0.62 
516.442	-0.3511	0.0537	0.6240	20.0806	20.8740	-4.3945	0.7526	35.7330	-14.4690	44.4100	36	130	-128	100585	0.62 
516.551	-0.0884	0.0747	0.5122	14.5264	-26.5503	18.0664	3.9990	34.7388	-12.8156	44.4200	45	128	-133	100585	0.62 
516.661	-0.9854	0.2695	1.5317	19.5313	-84.0454	25.8179	6.9983	28.2294	-10.4535	44.4200	37	123	-134	100586	0.62 
516.771	-0.0664	0.2354	1.7188	-12.8174	-67.5049	14.2822	7.5916	22.0276	-9.5801	44.4100	27	113	-139	100586	0.62 
516.864	0.1113	0.0918	0.8779	-21.6675	-83.7402	-2.1973	6.0480	13.3044	-7.8882	44.3800	17	118	-143	100587	0.62 
516.942	-0.2656	0.0449	0.7417	-16.1133	-68.4204	-3.6011	4.1748	4.7186	-8.7286	44.3700	-3	123	-134	100587	0.62 
517.036	-0.1680	-0.0010	0.9434	-15.6250	-46.2646	-8.4839	2.4829	0.1208	-10.4974	44.3500	-24	129	-130	100587	0.62 
517.145	0.2573	-0.0171	0.9688	-8.3008	-1.8311	-8.2397	1.1646	-2.7631	-11.3928	44.3400	-33	128	-126	100587	0.62 
517.240	0.1978	-0.0425	1.2388	-1.2207	-7.3853	5.6763	1.0162	-2.2522	-11.0083	44.3500	-34	133	-126	100587	0.62 
517.364	0.1094	0.0322	1.0161	-1.7090	-3.7842	2.9907	0.7471	-3.5486	-10.4425	44.3400	-37	133	-123	100588	0.62 
517.473	-0.0127	0.0186	0.9443	1.1597	0.1221	0.6714	0.7581	-3.2739	-10.5139	44.3500	-38	131	-123	100587	0.62 
517.551	-0.0029	0.0269	0.9927	-1.5259	9.3994	-0.6104	0.7196	-2.4939	-10.8435	44.3200	-36	130	-121	100588	0.61 
517.630	0.0327	-0.0029	1.0771	-0.9766	9.3994	1.5259	0.5328	-1.4667	-10.9094	44.3200	-36	132	-123	100588	0.61 
517.739	0.0269	0.0063	1.0371	-0.1831	0.5493	1.2207	0.4944	-1.1041	-11.0028	44.3000	-35	130	-123	100588	0.61 
517.849	0.0015	0.0063	1.0083	0.9766	-0.4883	0.1831	0.5054	-1.1316	-11.1292	44.3100	-31	131	-121	100589	0.61 
517.958	0.0049	0.0142	1.0317	0.6104	2.8687	0.3662	0.6042	-0.8514	-11.2555	44.3100	-33	130	-118	100589	0.61 
518.036	-0.0078	0.0239	1.0601	0.9155	2.9907	2.1973	0.7086	-0.4449	-11.3104	44.3000	-33	131	-123	100589	0.61 
518.130	-0.0005	0.0176	1.0381	0.7324	2.0752	1.4038	0.7471	-0.1428	-11.2720	44.2900	-30	132	-124	100589	0.61 
518.270	-0.0171	0.0161	1.0381	0.7324	4.6387	1.5259	0.8459	0.3021	-11.1676	44.3000	-28	132	-124	100588	0.61 
518.364	-0.0508	0.0181	1.0454	1.3428	4.7607	0.7324	0.9613	0.8899	-11.1511	44.3000	-29	128	-127	100588	0.61 
518.443	-0.0752	0.0366	1.0605	1.5259	3.5400	-0.7324	1.1096	1.5820	-11.1786	44.3200	-22	131	-126	100588	0.61 
518.567	0.0093	0.0249	0.9639	-1.7090	33.9966	6.3477	1.2524	2.7136	-10.5688	44.3000	-27	129	-127	100588	0.61 
518.661	0.0361	0.0205	1.0127	6.2256	62.9272	12.0850	1.4722	7.0038	-9.4867	44.3100	-14	129	-132	100588	0.61 
518.739	-0.0796	0.0049	1.1108	20.8130	110.4736	17.7002	3.2025	15.1501	-7.0258	44.3100	4	124	-131	100589	0.61 
518.833	-0.4438	0.0854	1.1436	11.3525	117.2485	10.2539	6.0095	25.9882	-4.3286	44.3000	35	121	-130	100589	0.61 
518.973	-1.0332	0.0894	1.1328	13.4277	68.1763	12.4512	8.2837	36.7053	-2.9608	44.2900	60	117	-125	100589	0.61 
519.067	-0.9756	0.1357	0.8901	-9.4604	27.1606	-28.5645	7.9211	41.7920	-3.8947	44.2700	80	113	-118	100589	0.61 
519.177	-0.6636	0.0396	0.8013	-14.8315	-43.0298	-8.1787	4.9054	41.0724	-6.5204	44.2600	80	124	-119	100589	0.61 
519.286	-0.5010	0.0845	0.7485	-11.5967	-64.9414	6.3477	3.0267	36.0132	-7.2839	44.2500	66	126	-119	100588	0.61 
519.380	-0.2954	0.0444	0.5537	-26.9165	-53.4668	32.8369	2.5159	29.6906	-4.9274	44.2500	55	128	-130	100588	0.61 
519.489	-0.3052	0.0361	0.5498	-22.8271	-60.5469	20.9961	0.9283	23.7360	-4.1803	44.2500	47	135	-128	100588	0.61 
519.584	-0.3462	-0.0547	0.7197	-16.2964	-55.4810	21.6675	0.0000	17.9132	-2.1808	44.2400	38	138	-126	100588	0.62 
519.692	-0.1934	0.0039	0.8721	-7.6294	-61.5234	-4.3335	-1.0876	12.4750	-1.4117	44.2600	32	139	-124	100587	0.62 
