StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
425.062	-0.2407	0.0493	0.9941	-0.2441	0.9766	1.7700	2.5763	13.7109	155.4401	44.8100	95	-158	-76	100555	0.64 
425.140	-0.2437	0.0381	0.9946	-0.1831	-0.3052	1.7090	2.5818	13.7494	155.5334	44.8400	98	-160	-74	100555	0.64 
425.265	-0.2534	0.0488	1.0059	-0.3662	1.8311	1.6479	2.5928	13.8593	155.5994	44.8300	99	-159	-76	100555	0.64 
425.343	-0.2520	0.0508	1.0000	-0.7324	0.3052	1.9531	2.6093	13.9471	155.6653	44.8300	96	-158	-73	100555	0.64 
425.483	-0.2637	0.0615	0.9951	-0.6714	1.0376	4.5166	2.6752	14.0405	155.9180	44.8200	97	-162	-74	100555	0.64 
425.562	-0.2710	0.0596	1.0171	0.4883	-0.3052	2.1362	2.7740	14.1339	156.2311	44.8300	95	-160	-77	100555	0.64 
425.671	-0.2207	0.1328	0.9893	0.4883	-5.6152	-6.4087	2.9938	13.7878	155.8960	44.8500	97	-161	-72	100555	0.64 
425.765	-0.2285	0.1504	0.9580	-13.4277	-5.0049	7.9346	2.8125	13.1287	155.6927	44.8400	97	-157	-76	100556	0.64 
425.890	-0.2266	0.0693	1.0308	-20.9961	-4.5166	1.2817	1.2579	12.6947	156.1157	44.8300	91	-157	-80	100556	0.64 
425.968	-0.2217	0.1294	0.9824	-20.3247	-9.6436	-11.2305	-0.5273	11.9257	155.4071	44.8300	88	-155	-85	100556	0.64 
426.093	-0.2080	0.1221	0.9429	-31.7993	-14.9536	-3.0518	-2.6642	10.7941	154.6161	44.8400	87	-150	-89	100556	0.64 
426.202	-0.1968	0.0566	0.8877	-46.7529	-23.5596	-9.0332	-6.1414	9.2010	154.2151	44.8200	86	-140	-104	100556	0.64 
426.312	-0.2524	0.0459	0.8267	-42.2363	-42.2974	-34.7900	-10.4700	6.3721	152.4518	44.8200	84	-125	-121	100556	0.64 
426.421	-0.0425	0.2334	0.6699	-66.1621	-30.8838	-53.4668	-14.5129	1.8842	148.0573	44.8100	81	-110	-135	100556	0.64 
426.499	-0.3140	-0.1714	0.2876	-72.6929	-16.7847	-77.1484	-22.4780	-0.3076	144.9371	44.8200	79	-89	-147	100555	0.64 
426.609	-0.1396	-0.6187	-0.0532	-68.3594	13.6719	-71.2891	-29.3994	-6.7401	140.7953	44.7800	72	-62	-164	100555	0.64 
426.702	1.8208	-2.2124	2.0713	-228.0273	-178.0396	-94.6655	-43.6761	-17.1112	134.4122	44.7400	67	-22	-173	100556	0.64 
426.812	-0.2188	-1.5503	0.5933	-136.7798	-94.0552	-23.3765	-70.0214	-26.8671	148.6230	44.7300	13	43	-174	100557	0.64 
426.921	0.1899	-0.4316	0.1807	-58.6548	-46.9971	-33.6914	-84.9243	-31.1133	158.3295	44.6900	-22	87	-155	100557	0.64 
427.077	0.5679	-0.3345	-0.3340	-21.0571	-11.5356	-3.4180	-92.9993	-32.3932	163.9764	44.6800	-39	106	-137	100558	0.64 
427.125	0.4302	-0.9609	-0.2310	33.5693	19.2871	9.8267	-92.5488	-32.0526	163.7567	44.6900	-42	106	-135	100559	0.64 
427.249	0.6890	-0.8848	0.0796	45.1050	38.5132	16.4185	-87.0776	-30.4541	161.4001	44.6600	-35	103	-139	100559	0.64 
427.359	0.5322	-0.9829	0.2300	36.6821	40.9546	13.7329	-81.0077	-27.3560	158.0823	44.6600	-23	93	-152	100560	0.64 
