StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
302.943	-0.3496	0.0591	0.9570	-1.9531	-2.8076	0.3052	3.2849	19.8578	91.9006	44.5400	218	-7	-33	100564	0.63 
303.052	-0.3594	0.0557	0.9844	-1.0986	-2.6855	2.1973	3.2025	19.5831	92.0270	44.5300	220	-5	-32	100564	0.63 
303.146	-0.3433	0.0591	0.9668	-1.1597	-6.1646	2.5635	3.1696	19.1162	92.1094	44.5200	214	-6	-37	100564	0.63 
303.271	-0.3501	0.0601	1.0073	-1.5869	-6.2866	3.5400	3.1531	18.4735	92.2247	44.5300	216	-6	-39	100564	0.63 
303.349	-0.3413	0.0386	0.9624	0.4272	-20.2637	10.8643	3.2135	16.9519	92.7136	44.5300	218	-6	-42	100564	0.63 
303.474	-0.3403	0.1021	1.0151	-2.0142	-38.7573	5.6763	3.2959	14.2822	93.1860	44.5200	210	-10	-47	100564	0.64 
303.553	-0.2520	0.0957	0.9932	-2.3804	-61.0352	2.9297	3.1750	9.3988	93.2904	44.5100	203	-9	-62	100564	0.64 
303.678	-0.1455	0.0586	0.9937	-4.9438	-81.5430	5.1270	2.7301	2.4829	93.3179	44.5400	191	-9	-82	100563	0.64 
303.771	-0.0068	0.0269	1.0137	-6.3477	-119.9951	7.2021	2.2577	-7.0587	93.4552	44.5500	167	-10	-110	100564	0.63 
303.881	0.2305	0.0566	0.8359	-8.9111	-145.0195	17.0288	1.0327	-20.6488	94.4385	44.5400	131	-11	-141	100564	0.63 
303.975	0.6211	-0.0020	0.9092	-14.8315	-132.9346	47.1802	-1.9171	-33.5577	97.9541	44.5600	82	-11	-166	100564	0.64 
304.099	0.5425	-0.2104	0.6636	-21.9727	-132.7515	13.3057	-8.4650	-48.1805	104.7546	44.5400	27	-8	-184	100564	0.64 
304.240	1.6118	-0.2915	0.0771	-5.3101	-107.2388	-15.0146	-14.8370	-61.9409	110.3522	44.5400	-25	-2	-189	100564	0.64 
304.302	0.5254	-0.0298	0.3965	16.1133	-13.4277	-32.3486	-9.8053	-64.5007	105.3809	44.5300	-51	-4	-181	100564	0.64 
304.490	0.7075	-0.1406	0.3364	-9.1553	59.9976	16.1743	-8.5803	-66.0333	103.5187	44.5300	-57	-8	-177	100564	0.64 
304.568	0.8896	-0.0513	0.5977	-6.7749	43.2129	4.8828	-8.8275	-61.5454	103.0957	44.5000	-47	-4	-179	100564	0.63 
304.615	0.8018	-0.1338	0.5952	-4.2725	-11.1694	1.8921	-10.3546	-59.3866	104.2712	44.5100	-33	0	-186	100564	0.64 
304.725	0.8911	-0.0781	0.3936	3.8452	-16.6626	-4.2725	-10.6842	-61.0455	104.5404	44.5000	-34	0	-183	100564	0.64 
304.880	0.9604	-0.0815	0.3774	0.0000	0.2441	3.5400	-10.5139	-62.3309	104.5349	44.5000	-37	-1	-182	100564	0.63 
304.959	0.9033	-0.0635	0.4751	-1.7090	7.8125	3.6011	-10.3601	-61.6882	104.2822	44.5000	-40	-1	-183	100564	0.64 
305.084	0.8965	-0.0786	0.4956	-0.7935	-3.7842	-2.8687	-10.5963	-61.3312	104.4141	44.5000	-37	0	-185	100563	0.64 
305.162	0.9043	-0.0615	0.4517	0.4883	-2.1973	-0.7324	-10.5359	-61.8256	104.2163	44.5000	-40	0	-183	100563	0.64 
305.287	0.8989	-0.0742	0.4556	-0.0610	1.1597	0.0000	-10.7611	-61.9629	104.4086	44.5000	-40	-2	-182	100563	0.64 
305.412	0.8882	-0.0884	0.4653	-1.2207	2.7466	4.7607	-10.9534	-61.7981	104.5953	44.4900	-39	0	-182	100564	0.64 
305.490	0.7896	-0.1025	0.5098	-1.0376	-7.3242	-5.8594	-11.7883	-61.5564	105.1666	44.4900	-38	-1	-182	100564	0.63 
305.615	0.7573	0.1064	0.2910	4.3945	-38.2690	24.0479	-10.3326	-64.6161	104.5459	44.5000	-43	0	-181	100564	0.63 
305.693	1.0879	-0.3101	0.2549	-1.0376	0.2441	20.0806	-20.0226	-64.7644	114.7632	44.5000	-51	2	-181	100564	0.64 
305.803	1.0791	-0.0562	0.2007	8.1177	45.7764	-19.7754	-16.8805	-62.9022	111.9232	44.4900	-51	-2	-178	100564	0.63 
305.912	0.8696	-0.0806	0.5083	10.3760	70.1294	-17.9443	-9.2450	-57.0850	104.1724	44.4900	-28	-5	-183	100565	0.63 
306.006	0.8711	-0.0225	0.6538	4.0283	81.1157	-24.8413	-4.9878	-49.1748	99.6899	44.5000	2	-8	-184	100565	0.63 
306.146	0.5674	-0.0293	0.8066	6.0425	97.4121	-12.5122	-2.1588	-40.7922	96.3501	44.5000	36	-8	-181	100565	0.63 
306.287	0.3965	0.0034	0.9707	9.7656	119.0186	-22.1558	0.0385	-29.7949	93.9386	44.5200	73	-10	-174	100564	0.63 
306.334	0.2832	0.0547	0.9805	2.8687	117.7979	-11.1694	1.5216	-17.7429	92.0435	44.4900	114	-12	-152	100564	0.63 
306.459	0.1025	0.0493	1.0503	-2.8076	105.2246	-6.2866	1.7688	-6.5094	91.3788	44.4800	149	-10	-122	100564	0.63 
306.537	-0.1895	0.0459	0.9546	-6.1035	82.4585	-1.2817	1.5216	2.7576	91.3403	44.4800	178	-9	-94	100564	0.63 
306.709	-0.5430	0.0195	0.8774	-4.6387	102.4170	5.9814	1.0327	12.3651	91.4447	44.4700	203	-6	-71	100564	0.63 
306.787	-0.3647	-0.0015	0.9404	-1.8311	41.8701	-10.0098	0.7031	18.9679	91.9501	44.4800	216	-8	-43	100564	0.63 
306.896	-0.4604	0.0938	0.9233	-2.6855	21.9727	0.0000	0.2802	22.1594	90.7086	44.4800	223	-7	-26	100564	0.63 
306.943	-0.4404	0.0342	0.9482	-2.5635	-11.5356	-2.1973	0.1044	23.5327	90.7855	44.4900	225	-7	-21	100564	0.63 
307.115	-0.4009	0.0029	0.9561	-4.8828	2.3804	-1.5869	-0.2856	23.0164	90.8899	44.4800	223	-4	-23	100564	0.63 
307.162	-0.4478	-0.0034	0.9678	-2.5024	0.1831	1.8921	-0.7306	23.0658	90.7635	44.5000	225	-4	-25	100564	0.64 
307.334	-0.4023	-0.0029	0.9326	-1.0986	-0.7324	3.9673	-0.7416	22.9999	91.0217	44.5100	224	-2	-23	100564	0.64 
307.428	-0.4136	0.0049	0.9575	-0.1831	-7.3853	-1.4038	-0.7855	22.7307	91.0437	44.5000	224	-4	-23	100564	0.64 
307.537	-0.3926	-0.0034	0.9399	0.6714	-13.6108	1.8311	-0.7086	21.4398	90.9998	44.5200	223	-2	-23	100563	0.64 
307.615	-0.3462	-0.0020	0.9458	0.0000	-5.0049	0.8545	-0.6262	20.6927	91.1700	44.5100	221	-3	-29	100563	0.64 
307.693	-0.3687	0.0049	0.9741	0.1221	-3.9063	1.3428	-0.5219	20.3741	91.3184	44.5300	221	-4	-32	100563	0.64 
307.788	-0.3774	-0.0010	0.9561	0.9155	-14.0381	-4.1504	-0.5109	19.7534	91.2854	44.5100	219	-3	-32	100563	0.64 
307.913	-0.3765	0.0039	0.9756	0.9155	-21.7896	1.4038	-0.4559	18.2428	91.1261	44.5300	217	-3	-33	100563	0.64 
307.991	-0.2979	-0.0195	1.0596	-0.3662	-42.0532	4.1504	-0.2802	15.4742	91.3184	44.5100	215	-4	-44	100563	0.64 
