StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
137.220	-0.2520	0.0000	1.0039	-0.1221	0.3052	-0.9155	-0.4065	13.5516	80.9802	43.7200	182	26	-76	100557	0.64 
137.345	-0.1880	0.0093	0.9790	-2.4414	-3.5400	-2.9297	-0.4944	13.3649	80.6561	43.7200	182	25	-72	100557	0.64 
137.454	-0.2173	-0.0464	1.1099	-7.6904	0.7935	5.1270	-0.8954	13.4912	80.4419	43.7400	182	29	-71	100557	0.64 
137.550	-0.1328	-0.0811	1.0283	-0.9155	6.5308	-1.7090	-1.3623	13.0957	80.6781	43.7200	183	29	-72	100557	0.64 
137.644	-0.1528	-0.1055	1.0166	4.5166	6.7749	-15.3198	-1.7084	13.4583	80.0409	43.7400	184	29	-71	100556	0.64 
137.768	-0.2090	0.2593	0.8340	1.2207	-8.7280	11.6577	-1.2305	13.5516	78.9587	43.7400	188	32	-71	100556	0.64 
137.877	-0.1406	-0.3354	1.2983	-6.7139	0.4272	4.8828	-1.7853	13.2715	82.0020	43.7100	187	28	-66	100557	0.64 
137.971	0.0659	0.1934	0.8540	16.6016	10.5591	-5.3101	-0.3955	11.8817	80.9363	43.7500	185	31	-71	100557	0.64 
138.081	0.0645	-0.0068	0.7856	3.3569	30.8228	14.5264	1.0052	13.1671	81.4911	43.7300	190	30	-70	100558	0.64 
138.159	0.0195	0.1035	1.0713	4.5166	62.1338	-8.9722	1.9446	17.2925	82.2876	43.7300	199	25	-57	100558	0.64 
138.269	0.0132	0.1348	1.1211	2.9297	27.9541	-17.8223	1.2305	21.4563	80.0574	43.7300	209	26	-41	100559	0.64 
138.362	-0.5005	0.0654	1.2549	-14.8926	63.6597	32.6538	2.7576	26.8835	82.5183	43.7100	221	26	-26	100559	0.64 
138.471	-0.8477	-0.4390	2.3628	-40.7715	19.6533	11.9629	3.4991	31.5637	88.3575	43.7000	235	11	-7	100559	0.64 
138.581	-0.1978	-0.6035	0.8042	2.8687	-1.4038	-75.6836	-1.4502	25.2686	83.0841	43.6700	237	12	-8	100560	0.64 
138.690	-0.4839	0.6016	-0.0117	24.1089	-47.3633	5.7983	1.1536	20.7532	75.8057	43.6100	223	39	-30	100560	0.64 
138.784	-1.4927	-0.4004	2.3765	-19.1040	193.6646	-95.8252	2.1918	20.3741	77.6349	43.6000	221	39	-49	100561	0.64 
138.879	-0.6060	0.4956	1.7310	7.2021	-9.3994	66.8945	5.8502	22.3187	81.6943	43.5600	226	36	-40	100562	0.64 
139.004	0.3901	-0.4653	-0.6240	-50.6592	-75.6836	112.2437	3.0487	14.0845	88.8245	43.5500	224	14	-46	100562	0.64 
139.082	-0.3228	0.2085	-0.2485	9.5825	22.4609	5.3101	1.8896	11.0083	89.3683	43.5400	224	4	-63	100562	0.64 
139.192	-0.6460	0.3779	2.2070	-6.5308	25.9399	-40.5273	3.9111	20.0665	89.2529	43.5200	237	-2	-47	100562	0.64 
139.301	-0.1138	0.3882	0.0615	10.7422	-62.6221	-79.8950	0.4175	13.3813	80.7880	43.5000	235	14	-51	100562	0.64 
139.395	0.2275	-0.3481	-0.2944	8.3008	-46.0815	12.9395	4.9164	11.4587	79.8212	43.4700	232	29	-71	100562	0.64 
139.504	-0.3545	-0.1060	2.5757	31.0669	36.7432	37.2314	1.0657	20.4401	75.0531	43.4700	244	38	-62	100562	0.64 
139.613	-0.5498	0.7148	0.7822	-33.5083	-87.0972	141.0522	6.8555	19.2041	81.3208	43.4500	254	37	-43	100562	0.64 
139.692	-0.4658	-0.5259	-0.2642	-32.7148	14.2212	-28.1982	-0.2637	12.2223	89.4836	43.4200	250	11	-63	100562	0.64 
139.802	-1.1704	0.1084	1.5195	45.8374	243.6523	73.7305	2.1313	17.4957	89.2310	43.3800	257	9	-66	100563	0.64 
139.895	-0.5713	0.3354	1.9414	-57.5562	-53.8940	-104.0039	-0.4230	19.8907	83.4576	43.3900	264	16	-38	100563	0.64 
140.020	0.2437	0.6602	-0.6924	24.8413	-68.7866	-26.4282	-1.8951	10.7611	78.6896	43.3500	243	50	-55	100564	0.64 
