StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
217.907	-0.1396	-0.1226	0.5869	7.9956	75.3174	-20.6909	0.3735	21.5991	84.1772	44.2400	212	15	-48	100562	0.64 
218.032	-0.3120	-0.0479	0.5864	8.1177	72.0215	-17.6392	0.8734	29.1797	83.2599	44.2500	222	21	-26	100562	0.64 
218.125	-0.3174	-0.0625	0.7212	11.9019	51.5137	14.8926	2.0709	34.1235	82.1338	44.2400	226	20	-6	100563	0.64 
218.235	-0.7944	0.2349	1.0122	5.1880	51.8799	-4.0894	2.4445	37.7216	81.1890	44.2500	229	20	6	100563	0.64 
218.329	-0.8154	0.1606	1.0181	2.4414	10.3149	13.4888	3.3289	37.0789	82.4139	44.2300	233	23	11	100564	0.64 
218.438	-0.7207	0.4063	1.5317	17.7612	-75.6836	17.7612	5.1910	30.7617	84.1113	44.2300	231	18	2	100564	0.63 
218.548	-0.8818	0.3105	1.6968	7.5684	-79.7729	-9.5215	6.8665	22.3517	85.2484	44.2200	223	15	-17	100565	0.63 
218.641	0.0190	0.0068	0.9946	6.0425	-32.7148	-16.3574	6.5863	17.5891	83.7708	44.2300	212	12	-43	100566	0.63 
218.735	-0.0376	0.0752	0.6387	-8.6670	-37.7197	-4.6387	5.7953	13.1891	82.7271	44.2100	209	19	-59	100566	0.63 
218.860	-0.1470	0.1084	0.9189	-10.9253	-20.7520	20.8130	5.0537	10.0470	83.4247	44.1900	204	19	-68	100567	0.63 
219.000	-0.2632	0.0942	1.1704	-0.7935	14.5874	5.6152	4.6088	9.5526	84.3201	44.1900	202	15	-69	100567	0.63 
219.032	-0.1909	0.0562	1.0791	0.0000	21.1182	5.4321	4.7241	11.7004	85.1660	44.1900	203	12	-66	100567	0.63 
219.157	-0.1699	0.0879	0.8843	0.7324	25.6958	-1.0376	4.8450	13.5571	85.3912	44.1800	204	13	-64	100567	0.63 
